Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.259830667790648	0.922039110566352	0.526065275565434	1.69226061240185	enriched	2214	8	140097.266937669	14007, 15312, 20411, 51810, 70757, 239318, 244682, 620246
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.265382650734162	0.922039110566352	0.512825078218982	1.67000242449159	enriched	3162	10	123321.02055661	14007, 15312, 20411, 20422, 68767, 70757, 232164, 244682, 380928, 620246
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.311879747855503	0.922039110566352	0.472774706825543	1.60443987290272	enriched	2334	8	143738.277206512	12293, 14007, 20411, 70757, 74053, 192287, 244682, 620246
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.380932791550953	0.922039110566352	0.45802161206189	1.58094317013384	enriched	1397	5	135480.300644238	14007, 20411, 70757, 244682, 620246
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.472425855492084	0.922039110566352	0.334618542789802	1.39740723247704	enriched	2693	8	122706.68473821	13636, 14007, 15312, 20411, 70757, 232164, 244682, 620246
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.55603056137696	0.922039110566352	0.371030982260784	1.44922797305009	enriched	6204	16	124547.429561573	12293, 14007, 15312, 20411, 20422, 22195, 67864, 68177, 68767, 70757, 74053, 192287, 232164, 244682, 380928, 620246
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.617630236637186	0.922039110566352	0.232430854325767	1.26166320478988	enriched	4169	11	122646.408251379	12293, 14007, 15312, 20411, 22195, 51810, 68177, 70757, 239318, 244682, 620246
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.700058741857693	0.922039110566352	0.243925655336676	1.27624944462709	enriched	937	3	156050.32977588	12293, 74053, 192287
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.292069021660213	0.922039110566352	-0.594047461371134	0.552088200822111	depleted	2519	4	129874.85907106	12293, 22195, 68177, 74053
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.513368621941723	0.922039110566352	-0.412799019825036	0.661795277193386	depleted	1955	3	102883.645524297	12293, 22195, 68177
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.527361634281345	0.922039110566352	-0.312562857521986	0.731569642846461	depleted	3042	6	125822.217619987	12293, 22195, 67864, 68177, 74053, 192287
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.737631288453082	0.922039110566352	-0.159701834306808	0.852397906892489	depleted	5212	12	126171.118956255	12293, 13636, 14007, 15312, 20411, 22195, 68177, 70757, 74053, 232164, 244682, 620246
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.980646875140596	0.984171742550824	-11.8022807527307	7.48746137801748e-06	depleted	83	0	127007.21686747	
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.983749976869856	0.984171742550824	-11.068652962226	1.55935535634394e-05	depleted	23	0	232062.608695652	
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.984171742550824	0.984171742550824	-11.6927434000845	8.35422298631318e-06	depleted	60	0	86735.9833333333	
