Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.988078382703283	0.99396740515664	15.49262871636	5350115.54780777	enriched	4169	2	122646.408251379	50932, 72097
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.988419272558543	0.99396740515664	16.6633290596631	17250109.6796681	enriched	2214	2	140097.266937669	50932, 72097
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.988540887648169	0.99396740515664	16.6286996064563	16662972.6049765	enriched	2334	2	143738.277206512	50932, 72097
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.990117373756464	0.99396740515664	15.2336434380307	4129403.14700781	enriched	5212	2	126171.118956255	50932, 72097
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.990768565079316	0.99396740515664	16.9200625617697	22299226.7684723	enriched	2693	2	122706.68473821	50932, 72097
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.991234486778458	0.99396740515664	16.7590214747441	18982374.9944709	enriched	3162	2	123321.02055661	50932, 72097
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.991802437927409	0.99396740515664	18.1516819505965	76414417.7697742	enriched	1397	2	135480.300644238	50932, 72097
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.992200873115477	0.99396740515664	15.0774387912904	3532225.88068661	enriched	6204	2	124547.429561573	50932, 72097
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.989397049460399	0.99396740515664	-15.3286111448809	2.20226088149753e-07	depleted	3042	0	125822.217619987	
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.99038147215481	0.99396740515664	-15.2392526404783	2.40811193374611e-07	depleted	2519	0	129874.85907106	
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.990989035233719	0.99396740515664	-13.9930820460521	8.37301140138685e-07	depleted	937	0	156050.32977588	
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.991782042023016	0.99396740515664	-15.0416906644015	2.9341123944097e-07	depleted	1955	0	102883.645524297	
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.99244903519643	0.99396740515664	-10.80383214629	2.03214791255803e-05	depleted	60	0	86735.9833333333	
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.992517874503509	0.99396740515664	-10.0961011043558	4.12400327635312e-05	depleted	23	0	232062.608695652	
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.99396740515664	0.99396740515664	-11.8895336023495	6.86184911436573e-06	depleted	83	0	127007.21686747	
