Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.00525419788128645	0.0742674282711096	0.391390467275445	1.47903591580177	enriched	3162	108	123321.02055661	23859, 12457, 14007, 18578, 67972, 68659, 15552, 16518, 17245, 17912, 18549, 19736, 20238, 23966, 64009, 75669, 77531, 81500, 94109, 238130, 241694, 244867, 11549, 12290, 12296, 12395, 12653, 13047, 14634, 14645, 14816, 15930, 17132, 17156, 18823, 20192, 20512, 20620, 20842, 21885, 24109, 26422, 28185, 56447, 56524, 56724, 59308, 66725, 67144, 67603, 67703, 67803, 68477, 68526, 71306, 72003, 74080, 74256, 74342, 75985, 76217, 76260, 78771, 81004, 83997, 105120, 108645, 108937, 109264, 114715, 117600, 140904, 192167, 210933, 217692, 218194, 218461, 218639, 226442, 226922, 227541, 227743, 231470, 232533, 234023, 235106, 237542, 238384, 238988, 241494, 241612, 242248, 243634, 244871, 268859, 269400, 319455, 319582, 320127, 320429, 329324, 330189, 330812, 380928, 381693, 381823, 446101, 668215
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.0771969198610385	0.328292366950385	0.253165287306988	1.28809616518656	enriched	2693	88	122706.68473821	23859, 14007, 67972, 68659, 15552, 16518, 17245, 17912, 18549, 19736, 20238, 64009, 71908, 75669, 77531, 94109, 238130, 241694, 244867, 11549, 12167, 12290, 12296, 12395, 12653, 14634, 14645, 14816, 15930, 17132, 18823, 20192, 20512, 20620, 20842, 22787, 24109, 28185, 59308, 66725, 67144, 67603, 67703, 67803, 68477, 68526, 69071, 71306, 74080, 74256, 75985, 76260, 76453, 81004, 83997, 105120, 108937, 109264, 117600, 140904, 192167, 217692, 218194, 218461, 218639, 226922, 227541, 232533, 234023, 235106, 237542, 238384, 241494, 241612, 242248, 243634, 244871, 268859, 269400, 319455, 319582, 320429, 330189, 330812, 381693, 381823, 402734, 446101
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0875446311867692	0.328292366950385	0.249335213760811	1.28317209792867	enriched	2214	81	140097.266937669	23859, 14007, 18578, 67972, 68659, 15273, 17912, 18549, 19736, 20238, 64009, 75669, 77531, 94109, 238130, 241694, 244867, 11549, 12014, 12290, 12296, 12395, 12653, 14634, 14645, 15930, 18823, 19726, 20192, 20512, 20620, 20842, 21885, 28185, 56524, 65254, 66715, 66725, 67703, 67803, 68477, 68526, 68732, 74080, 74256, 74438, 76260, 83997, 104156, 104443, 105120, 108937, 117600, 140904, 192167, 217692, 218194, 218461, 226922, 227541, 234023, 235106, 237542, 238384, 238988, 239647, 241494, 242248, 243634, 268859, 319504, 319582, 320127, 320429, 320951, 329513, 330812, 373852, 381693, 446101, 100038614
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.157457256445284	0.472371769335852	0.218398857531872	1.24408318062015	enriched	5212	158	126171.118956255	23859, 14007, 67972, 68659, 14025, 15552, 16518, 17245, 17912, 18549, 19736, 20238, 20965, 56463, 64009, 67542, 68472, 71908, 75669, 77531, 94109, 102688, 238130, 241694, 243548, 244281, 244867, 320714, 624582, 11549, 12167, 12290, 12296, 12395, 12653, 12805, 14009, 14164, 14402, 14544, 14634, 14645, 14696, 14816, 15251, 15488, 15930, 16329, 16558, 17132, 17263, 18377, 18431, 18823, 19360, 19762, 20192, 20512, 20620, 20842, 21951, 22413, 22787, 23965, 24109, 26409, 28185, 29816, 50524, 54003, 56294, 59308, 65254, 66411, 66725, 67014, 67144, 67155, 67455, 67501, 67603, 67703, 67803, 68477, 68526, 69071, 70693, 70834, 71302, 71306, 71389, 71982, 72685, 72930, 73721, 74080, 74256, 75782, 75985, 76260, 76453, 76707, 77018, 81004, 83997, 93688, 93690, 98388, 105120, 107272, 108937, 109264, 109593, 117600, 140904, 192167, 194590, 215627, 217692, 218030, 218194, 218461, 218639, 226245, 226922, 227541, 232533, 233424, 234023, 235106, 235281, 237542, 238384, 238871, 239157, 241494, 241612, 242248, 243634, 244871, 246709, 268859, 269023, 269400, 319455, 319582, 320429, 320865, 330189, 330812, 338365, 381338, 381693, 381823, 402734, 435376, 446101, 100039795
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.269178093392674	0.576810200127158	0.162643088451385	1.17661666666077	enriched	2334	78	143738.277206512	14007, 18578, 67972, 68659, 14025, 15552, 18549, 19736, 20238, 23966, 64009, 75669, 77531, 94109, 238130, 243548, 244867, 12290, 12296, 12653, 14009, 14634, 15930, 17263, 18377, 20192, 20620, 22138, 22661, 24109, 28185, 29816, 54003, 56447, 66411, 66725, 67356, 67703, 68477, 68526, 71389, 71566, 71897, 71982, 72685, 73721, 74256, 74479, 75782, 76217, 83997, 93688, 105120, 107272, 140904, 192167, 215627, 217692, 218030, 218194, 226245, 226922, 227541, 233424, 235106, 235281, 237542, 238871, 241494, 242248, 246709, 268859, 269023, 320429, 320865, 330812, 435376, 100039795
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.317265345097037	0.594872522056945	0.171825495020173	1.1874705956001	enriched	1397	47	135480.300644238	14007, 18578, 67972, 68659, 15552, 18549, 19736, 20238, 23966, 64009, 75669, 77531, 94109, 238130, 244867, 12290, 12296, 12653, 14634, 15930, 20192, 20620, 22661, 24109, 28185, 56447, 66725, 67703, 68477, 68526, 74256, 76217, 83997, 105120, 140904, 192167, 217692, 218194, 226922, 227541, 235106, 237542, 241494, 242248, 268859, 320429, 330812
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.505191586366187	0.841985977276978	0.0935091678129921	1.09802066974332	enriched	4169	119	122646.408251379	23859, 14007, 18578, 67972, 68659, 15273, 17912, 18549, 19736, 20238, 64009, 67542, 68472, 75669, 77531, 94109, 102688, 226409, 238130, 241694, 243548, 244867, 624582, 11549, 11745, 12014, 12290, 12296, 12395, 12653, 14009, 14164, 14634, 14645, 14696, 15488, 15893, 15930, 18377, 18823, 19726, 20192, 20512, 20620, 20842, 21885, 26409, 28185, 29816, 54003, 54170, 56294, 56524, 65254, 66411, 66715, 66725, 67501, 67703, 67803, 67936, 68477, 68526, 68732, 70497, 71982, 73721, 74080, 74256, 74438, 75782, 76260, 83997, 93690, 99889, 104156, 104443, 105120, 107272, 108937, 117600, 140904, 192167, 217692, 218030, 218194, 218461, 226922, 227541, 233424, 234023, 235106, 235281, 237542, 238384, 238871, 238988, 239647, 241494, 242248, 243634, 246709, 268859, 319504, 319582, 320127, 320429, 320865, 320951, 329513, 330812, 373852, 381693, 381823, 381827, 435376, 446101, 791307, 100038614
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.713439639023337	0.842074498054541	0.0747307325359182	1.07759395082522	enriched	937	31	156050.32977588	14025, 243548, 14009, 17263, 18377, 22138, 29816, 54003, 66411, 67356, 71389, 71566, 71897, 71982, 72685, 73721, 74479, 75782, 93688, 107272, 215627, 218030, 226245, 233424, 235281, 238871, 246709, 269023, 320865, 435376, 100039795
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.785936198184239	0.842074498054541	0.0471228948580754	1.0482508258005	enriched	6204	176	124547.429561573	23859, 12457, 14007, 18578, 67972, 68659, 14025, 15552, 16518, 17245, 17912, 18549, 19736, 20238, 20965, 23966, 52076, 56463, 64009, 67542, 75669, 77531, 81500, 94109, 102688, 237711, 238130, 241694, 243548, 244281, 244867, 624582, 11549, 12290, 12296, 12395, 12653, 12805, 13047, 14009, 14164, 14544, 14634, 14645, 14816, 15488, 15930, 16329, 16558, 17132, 17156, 17263, 18377, 18823, 19360, 19762, 20192, 20512, 20620, 20745, 20842, 21885, 21951, 22138, 22415, 23965, 24109, 26409, 26422, 28185, 29816, 54003, 56294, 56447, 56524, 56724, 57257, 59308, 60344, 66411, 66725, 67144, 67155, 67356, 67501, 67603, 67703, 67803, 68477, 68526, 70693, 70834, 71302, 71306, 71389, 71982, 72003, 72685, 72930, 73390, 73721, 74080, 74256, 74342, 74479, 75782, 75985, 76217, 76260, 76707, 77018, 78771, 81004, 83997, 93688, 93690, 105120, 107272, 108645, 108937, 109264, 114715, 117600, 140723, 140904, 192167, 210933, 215627, 217692, 218030, 218194, 218461, 218639, 226245, 226442, 226922, 227541, 227743, 231470, 232533, 233424, 234023, 235106, 235281, 237542, 238384, 238871, 238988, 239157, 241494, 241612, 242248, 243634, 244871, 246709, 268859, 269023, 269400, 319455, 319582, 320127, 320429, 320865, 329324, 330189, 330812, 338365, 380928, 381338, 381693, 381823, 435376, 446101, 668215, 791307, 100039795
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.00990232376948128	0.0742674282711096	-0.389849868032654	0.677158530009418	depleted	3042	68	125822.217619987	14025, 20965, 52076, 56463, 67542, 102688, 237711, 243548, 244281, 624582, 12805, 14009, 14164, 14544, 15488, 16329, 16558, 17263, 18377, 19360, 19762, 20745, 21951, 22138, 22415, 23965, 26409, 29816, 54003, 56294, 57257, 60344, 66411, 67155, 67356, 67501, 70693, 70834, 71302, 71389, 71982, 72685, 72930, 73390, 73721, 74479, 75782, 76707, 77018, 93688, 93690, 107272, 140723, 215627, 218030, 226245, 233424, 235281, 238871, 239157, 246709, 269023, 320865, 338365, 381338, 435376, 791307, 100039795
