Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.000277788024972918	0.00416682037459376	0.421076338273448	1.52360058300738	enriched	2693	142	122706.68473821	17691, 21961, 27205, 78560, 224792, 327978, 12153, 12323, 12562, 12606, 12647, 12750, 12877, 13131, 13713, 13731, 13819, 13836, 13846, 13866, 14174, 14236, 14254, 14268, 14368, 14634, 15901, 16007, 16010, 16206, 16403, 16440, 16449, 17909, 18008, 18131, 18260, 18414, 18584, 18667, 19250, 19662, 20315, 20501, 20908, 21346, 21812, 22379, 22417, 22423, 22631, 22644, 22782, 26364, 26406, 50787, 50875, 50884, 52187, 54004, 56222, 56298, 56699, 57339, 58230, 59079, 60510, 66864, 67128, 67263, 67266, 67702, 67760, 68178, 69219, 70059, 70769, 70802, 71406, 72147, 72475, 73182, 73284, 74320, 74464, 75796, 78286, 78923, 80903, 93834, 93871, 94047, 98432, 98932, 99696, 101359, 105450, 106931, 106952, 107684, 108099, 108767, 109135, 109161, 110052, 114640, 194655, 214547, 216233, 216725, 217578, 217845, 219134, 225049, 225651, 226999, 227631, 227731, 229055, 229473, 230379, 233107, 234023, 235472, 239273, 242202, 244871, 245049, 269275, 277250, 319909, 320172, 320772, 329540, 330409, 338523, 353156, 381236, 381626, 381694, 665270, 666704
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.00208348380223052	0.0104174190111526	0.353695803316403	1.42432184659084	enriched	3162	156	123321.02055661	17691, 21961, 78560, 224792, 327978, 12153, 12323, 12562, 12606, 12611, 12647, 12750, 12916, 13131, 13138, 13713, 13819, 13841, 13846, 13866, 14174, 14236, 14254, 14268, 14368, 14634, 15242, 15901, 16010, 16403, 16440, 16449, 16600, 16974, 17101, 17909, 17965, 18131, 18193, 18201, 18584, 18667, 19250, 19662, 19699, 20315, 20324, 20482, 20908, 21349, 21386, 21812, 21885, 22379, 22417, 22423, 22631, 22644, 22782, 23797, 23894, 26406, 29871, 50787, 50875, 50884, 52187, 54004, 56222, 56298, 56551, 56699, 57339, 58230, 59079, 66808, 66864, 67128, 67263, 67266, 67702, 67732, 68178, 68652, 69219, 70059, 70769, 70802, 72147, 72475, 72899, 73284, 74320, 74464, 75796, 76199, 78286, 78923, 80903, 93834, 93871, 94047, 98932, 99696, 101359, 105450, 106931, 106952, 107684, 108099, 108767, 109135, 109161, 109333, 110052, 114640, 194655, 211922, 214547, 216233, 217578, 217845, 218877, 219134, 225049, 225651, 226999, 227631, 227731, 229055, 229473, 230249, 230379, 233107, 234023, 239273, 241915, 242585, 244871, 245049, 268936, 269275, 269424, 277250, 319909, 320027, 320172, 320772, 329540, 338523, 353156, 381236, 381626, 665270, 665934, 666704
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.0158093148925623	0.0338771033412048	1.06872187728579	2.91165566748192	enriched	60	6	86735.9833333333	14174, 19662, 22417, 73284, 217845, 227631
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.147476945764346	0.245794909607243	0.627840913057313	1.87356102801895	enriched	83	6	127007.21686747	14174, 19662, 22417, 73284, 217845, 227631
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.262184928645508	0.393277392968262	0.139577028045026	1.14978736818029	enriched	5212	224	126171.118956255	17691, 21961, 17356, 27205, 78560, 224792, 327978, 12153, 12168, 12323, 12562, 12606, 12647, 12750, 12877, 13056, 13131, 13548, 13713, 13731, 13797, 13819, 13836, 13846, 13866, 14174, 14236, 14254, 14268, 14360, 14368, 14634, 14677, 14924, 15259, 15901, 16007, 16010, 16206, 16403, 16440, 16449, 16589, 16649, 16939, 17909, 18008, 18131, 18260, 18414, 18584, 18667, 18719, 19230, 19250, 19324, 19662, 20315, 20501, 20663, 20908, 21346, 21406, 21812, 22194, 22379, 22417, 22423, 22631, 22644, 22782, 26364, 26398, 26406, 26992, 28015, 29864, 50787, 50875, 50884, 52187, 53626, 54004, 54201, 56222, 56294, 56298, 56699, 57339, 57752, 58230, 59079, 60510, 64660, 65960, 66270, 66694, 66799, 66864, 67063, 67074, 67128, 67166, 67246, 67263, 67266, 67702, 67760, 68099, 68178, 68799, 69219, 69399, 69554, 69894, 70059, 70572, 70769, 70802, 71406, 71521, 71870, 72123, 72144, 72147, 72306, 72475, 72568, 72750, 73182, 73284, 74053, 74150, 74320, 74464, 74998, 75796, 76499, 77044, 78286, 78923, 80903, 84652, 93834, 93871, 94047, 97159, 98432, 98932, 99696, 101359, 105450, 106931, 106952, 107684, 108099, 108767, 109135, 109161, 110052, 114640, 170760, 194309, 194655, 207259, 207304, 209032, 209195, 214547, 215351, 216233, 216725, 217578, 217845, 218756, 219094, 219134, 223255, 223732, 225049, 225651, 225888, 226999, 227631, 227731, 229055, 229473, 230379, 233107, 234023, 235472, 237253, 237339, 239273, 242126, 242202, 244871, 245049, 245555, 268291, 268996, 269275, 270669, 277250, 319909, 320172, 320772, 329540, 330409, 333789, 338370, 338523, 353156, 381236, 381305, 381338, 381626, 381644, 381694, 404634, 407823, 622675, 665270, 666704
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.344471828590332	0.430589785737915	0.135467327486171	1.14507178284959	enriched	1397	65	135480.300644238	21961, 78560, 12153, 12323, 12606, 13131, 13866, 14174, 14236, 14634, 15354, 16449, 16974, 19662, 19699, 22380, 22417, 22423, 22631, 22644, 23894, 26406, 50884, 52187, 53618, 54004, 54650, 56222, 56298, 58230, 59079, 67128, 67263, 67266, 67702, 70769, 70802, 71919, 72147, 72899, 73284, 74464, 75796, 78923, 80903, 93834, 93871, 94047, 99696, 106931, 108767, 109135, 109161, 110052, 217845, 219134, 225049, 227631, 227731, 269275, 277250, 320772, 381236, 665270, 666704
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.473542531410832	0.546395228550959	0.0888059249254327	1.09286853720063	enriched	2214	101	140097.266937669	21961, 20442, 27205, 78560, 12153, 12323, 12562, 12647, 12750, 13131, 13731, 13819, 13866, 14056, 14174, 14236, 14634, 15220, 16010, 16440, 16449, 16974, 17101, 17909, 18108, 18131, 18201, 18584, 18667, 19662, 20908, 21885, 22288, 22289, 22379, 22423, 22644, 23894, 23928, 26364, 26406, 29871, 50884, 51810, 52187, 54004, 56213, 56298, 58230, 59079, 67263, 67702, 68178, 69219, 70059, 72147, 72630, 73182, 73284, 74320, 74464, 75796, 76199, 78923, 80903, 93834, 93871, 94047, 98432, 99696, 101359, 106931, 106952, 108099, 109135, 110052, 114640, 216233, 217578, 217845, 219134, 225049, 225651, 226999, 227059, 227631, 227731, 229055, 229473, 234023, 239273, 245049, 269275, 277250, 320027, 320172, 320772, 338523, 381236, 381626, 666704
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.00143095084119814	0.0104174190111526	-0.398511761125479	0.671318385085748	depleted	3042	96	125822.217619987	11819, 12168, 13056, 14360, 14677, 14924, 16589, 16649, 16939, 18576, 18719, 19230, 19324, 19359, 20230, 20509, 20663, 21406, 22194, 23873, 26398, 27357, 28015, 29864, 50766, 53626, 54201, 56294, 57752, 60455, 64660, 66270, 66694, 67063, 67074, 67198, 68099, 68799, 69399, 69554, 69894, 70572, 70686, 71521, 71544, 71776, 71870, 72123, 72144, 72568, 73390, 74007, 74053, 74150, 75847, 76499, 77044, 77300, 81910, 84652, 94181, 97159, 116838, 170760, 194309, 207259, 207304, 209032, 214048, 215351, 217342, 218756, 219094, 223255, 225888, 227449, 227753, 236285, 237253, 237339, 242126, 245555, 268291, 268996, 270669, 319565, 319876, 331623, 333789, 338370, 381305, 381338, 381644, 404634, 407823, 622675
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.00436503501079243	0.0163688812904716	-0.445209766448549	0.640689866697569	depleted	1955	51	102883.645524297	12540, 13548, 13797, 14360, 14677, 15015, 15289, 16007, 18130, 19230, 19359, 20230, 20410, 21406, 28015, 29864, 53626, 56294, 56515, 65960, 66011, 66540, 66694, 66902, 67063, 68099, 69104, 69554, 70686, 72123, 72144, 72306, 72750, 74150, 76539, 84652, 97159, 106326, 109065, 109079, 110157, 194309, 213393, 227753, 237253, 268291, 268996, 270669, 331623, 381350, 404634
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.00968698211455326	0.0290005109192519	-0.339351877698207	0.712231786508866	depleted	2519	82	129874.85907106	17356, 12168, 13056, 13548, 13797, 14360, 14677, 14924, 15259, 16589, 16649, 16939, 18719, 19230, 19324, 20663, 21406, 22194, 26398, 26992, 28015, 29864, 53626, 54201, 56294, 57752, 64660, 65960, 66270, 66694, 66799, 67063, 67074, 67166, 67246, 68099, 68799, 69399, 69554, 69894, 70572, 71521, 71870, 72123, 72144, 72306, 72568, 72750, 74053, 74150, 74998, 76499, 77044, 84652, 97159, 170760, 194309, 207259, 207304, 209032, 209195, 215351, 218756, 219094, 223255, 223732, 225888, 237253, 237339, 242126, 245555, 268291, 268996, 270669, 333789, 338370, 381305, 381338, 381644, 404634, 407823, 622675
