Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.319268979500552	0.598629336563536	0.571029540681363	1.77008849176127	enriched	937	4	156050.32977588	14048, 69807, 330222, 625098
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.388956411899464	0.648260686499106	0.456911915016383	1.57918977521734	enriched	1955	5	102883.645524297	14048, 54170, 67775, 69807, 106143
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.650864356761307	0.887542304674509	0.215654908446605	1.24067415894459	enriched	3042	8	125822.217619987	12558, 14048, 20163, 20404, 64293, 69807, 106143, 625098
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.988302354670569	0.988302354670569	0.00736534416835791	1.00739253503141	enriched	2519	6	129874.85907106	12558, 14048, 20336, 64293, 69807, 625098
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0746599635334407	0.504650656902689	-1.34060950182684	0.261686121793944	depleted	2214	2	140097.266937669	68738, 208936
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.123349673068369	0.504650656902689	-0.73001899172857	0.481899837892376	depleted	5212	9	126171.118956255	12558, 12818, 14048, 20336, 64293, 68738, 69807, 208936, 625098
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.130134195967581	0.504650656902689	-0.959740929490734	0.382992095080598	depleted	2693	3	122706.68473821	12818, 68738, 208936
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.137001880497339	0.504650656902689	-0.845631778516929	0.429286058809624	depleted	3162	4	123321.02055661	23797, 23966, 76157, 208936
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.178586525163414	0.504650656902689	-1.38633554419026	0.249989704444411	depleted	1397	1	135480.300644238	23966
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.201860262761076	0.504650656902689	-0.6418192220722	0.526334034053159	depleted	6204	12	124547.429561573	12558, 14048, 20163, 20404, 23797, 23966, 64293, 69807, 76157, 106143, 208936, 625098
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.277870760246726	0.595437343385841	-0.526751844836195	0.590519958356564	depleted	4169	7	122646.408251379	14048, 54170, 67775, 68738, 69807, 106143, 208936
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.638680132757321	0.887542304674509	-0.248802554051474	0.779733913488922	depleted	2334	5	143738.277206512	14048, 23966, 69807, 330222, 625098
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.980008663981013	0.988302354670569	-10.880661197651	1.88186680833896e-05	depleted	60	0	86735.9833333333	
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.98288231461123	0.988302354670569	-12.0967451111786	5.5776383207093e-06	depleted	83	0	127007.21686747	
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.985397178524846	0.988302354670569	-11.6339326282759	8.86027612683482e-06	depleted	23	0	232062.608695652	
