Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.000858075565011802	0.00643556673758852	0.308064718610938	1.36078905446476	enriched	2693	218	122706.68473821	52897, 18263, 68750, 78286, 233107, 16362, 17132, 12411, 14680, 15013, 16973, 20190, 20519, 21938, 22339, 22417, 26362, 57778, 67760, 71137, 72147, 380698, 100502829, 11421, 11459, 11504, 11790, 11898, 12123, 12142, 12156, 12161, 12323, 12354, 12489, 12562, 12570, 12751, 12877, 13116, 13388, 13638, 13654, 13656, 13713, 13846, 13857, 13870, 14174, 14257, 14313, 14368, 14608, 14634, 14803, 15118, 15444, 15551, 15552, 16402, 16414, 16426, 16512, 16514, 16535, 16536, 16590, 16774, 16816, 16909, 16948, 17064, 17880, 17910, 17933, 18003, 18011, 18131, 18143, 18160, 18175, 18260, 18991, 18993, 19229, 20194, 20370, 20450, 20469, 21336, 21415, 21815, 21961, 22141, 22239, 22354, 22421, 22695, 23876, 23948, 23984, 24001, 27008, 27205, 29811, 50765, 50787, 53972, 54324, 54377, 54403, 54524, 56219, 56325, 56461, 56699, 57274, 57340, 57816, 58187, 58208, 58220, 59126, 64378, 65112, 66240, 66297, 66350, 66395, 67434, 67784, 67911, 68939, 69219, 69524, 70727, 71908, 72475, 73728, 74202, 74563, 74968, 78088, 79362, 80903, 81877, 83554, 83674, 93689, 94047, 94063, 94091, 97064, 98267, 99296, 101359, 102075, 104079, 106014, 106931, 106952, 107684, 107831, 116701, 192192, 209837, 210135, 211232, 214230, 215653, 216190, 216233, 216439, 216725, 218294, 224093, 228550, 230959, 232288, 232813, 233781, 234023, 234593, 235604, 236920, 237397, 237847, 238384, 239273, 240058, 241303, 242022, 242202, 243864, 244310, 245049, 245827, 260305, 268510, 269608, 269642, 278795, 319352, 319477, 320354, 320429, 330409, 330814, 353328, 380711, 381353, 381605, 382639, 433938, 545481, 622629, 100042480, 100042715
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0480639578249344	0.180239841843504	0.191361058866833	1.21089657810878	enriched	2214	176	140097.266937669	52897, 18263, 68750, 11513, 12411, 14680, 15013, 16973, 20190, 20519, 26362, 57778, 71137, 72147, 73040, 109594, 11421, 11459, 11489, 11790, 11898, 12123, 12156, 12161, 12323, 12562, 12751, 12790, 13116, 13654, 14119, 14174, 14313, 14608, 14634, 14734, 14803, 15118, 15444, 15478, 15551, 15565, 16402, 16426, 16512, 16514, 16536, 16590, 16716, 16774, 16816, 16909, 17201, 17345, 17880, 17933, 18019, 18131, 18143, 18208, 18399, 18578, 18991, 18993, 19229, 19719, 20194, 20370, 20450, 20469, 20564, 20608, 21336, 21961, 22141, 22239, 22288, 22393, 22421, 23876, 23948, 23984, 24001, 27008, 27205, 29811, 53972, 54377, 54403, 56219, 56461, 56739, 57816, 58208, 58250, 64378, 64817, 65112, 65254, 66297, 66395, 66673, 67784, 68169, 68939, 69219, 69430, 69524, 69551, 69635, 70727, 71979, 73230, 73728, 74202, 75578, 76279, 79362, 80903, 81877, 83554, 83674, 93689, 94047, 98733, 99296, 101359, 102075, 106014, 106648, 106931, 106952, 107831, 192192, 210135, 215798, 216190, 216233, 216439, 218294, 225030, 228550, 230959, 232288, 232813, 234023, 234593, 235604, 235611, 236920, 237397, 238384, 239273, 241303, 242570, 244310, 245049, 260305, 268510, 269608, 269642, 278795, 319352, 319477, 320027, 320354, 320429, 373852, 380711, 381353, 433938, 545481, 622434, 100040792, 100042480, 100042715
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.302618763618442	0.643366455818684	0.0946574986104512	1.09928228493178	enriched	3162	224	123321.02055661	52897, 18263, 68750, 78286, 233107, 17132, 14680, 15013, 16600, 16973, 20190, 20519, 21411, 22339, 22417, 26362, 53324, 57778, 71137, 72147, 380698, 100502829, 11421, 11459, 11489, 11790, 11898, 12123, 12156, 12161, 12323, 12343, 12354, 12370, 12489, 12562, 12570, 12751, 13047, 13116, 13388, 13638, 13642, 13654, 13656, 13713, 13846, 13857, 13870, 14174, 14257, 14313, 14368, 14548, 14599, 14608, 14634, 14803, 15118, 15444, 15478, 15551, 15552, 16170, 16402, 16426, 16512, 16514, 16536, 16590, 16774, 16816, 16909, 17064, 17201, 17910, 17933, 18003, 18011, 18019, 18131, 18143, 18175, 18578, 18991, 18993, 19229, 19699, 19719, 20194, 20370, 20450, 20564, 20608, 21336, 21844, 21961, 22141, 22239, 22354, 22393, 22421, 22441, 23876, 23948, 23966, 23984, 24001, 29811, 50765, 50787, 53972, 54377, 54403, 54524, 56219, 56325, 56461, 56551, 56699, 57274, 57340, 57816, 58208, 58220, 58226, 58250, 59126, 64378, 65112, 66240, 66297, 66350, 66395, 66673, 67434, 67784, 67911, 68939, 69219, 69430, 69524, 69635, 70727, 71326, 72475, 73728, 74134, 74202, 74563, 74968, 76157, 76527, 76650, 79362, 80903, 81877, 83554, 83674, 93689, 94047, 94063, 94091, 97064, 98267, 99296, 101359, 102075, 106014, 106931, 106952, 107684, 107831, 192192, 210135, 211480, 214230, 214290, 216190, 216233, 216439, 218294, 224093, 224640, 225030, 226971, 228550, 230959, 232288, 232813, 234023, 234593, 235604, 236920, 237397, 237847, 238384, 239273, 240058, 241303, 242022, 242570, 244310, 245049, 260305, 268510, 269608, 278795, 319352, 319477, 319675, 320027, 320354, 320429, 330814, 353328, 381353, 381605, 382639, 433938, 545481, 622629, 100041290, 100042480
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.365537510178399	0.643366455818684	0.0882653742944744	1.09227794605988	enriched	2334	169	143738.277206512	52897, 12393, 14680, 20190, 20360, 20519, 22417, 23934, 57138, 65115, 70530, 71137, 72147, 330222, 11421, 11459, 11898, 12123, 12161, 12323, 12343, 12354, 13116, 13638, 13654, 13857, 14025, 14174, 14608, 14634, 14706, 14803, 14924, 15444, 15552, 16402, 16512, 16536, 16538, 16678, 16774, 16909, 16978, 17201, 17913, 17933, 18143, 18578, 18991, 18993, 19229, 19699, 19894, 20194, 20230, 20370, 20450, 20563, 20564, 20605, 20666, 20856, 21808, 21838, 21961, 21983, 22032, 22393, 23876, 23966, 23984, 24001, 26913, 52430, 53424, 53972, 54132, 54377, 54403, 54524, 55927, 56461, 57816, 57915, 58208, 58220, 63830, 64378, 65112, 66240, 66350, 66673, 67784, 68743, 68939, 69697, 70350, 70727, 71228, 71566, 71682, 73728, 74486, 76650, 80903, 94047, 94091, 99296, 99633, 102075, 106014, 106931, 107272, 114229, 114479, 192192, 210135, 214230, 214290, 214305, 217517, 218121, 224093, 225266, 228543, 228550, 230959, 232078, 232288, 234593, 234725, 235604, 237553, 238871, 240888, 241289, 241303, 241794, 244310, 244723, 260305, 268510, 269152, 269608, 269610, 270028, 278795, 279653, 319352, 319477, 319876, 320354, 320429, 320563, 328643, 330064, 330164, 330166, 330814, 353282, 380669, 381157, 381353, 381605, 382639, 433938, 667281, 100039795, 100042480
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.38601987349121	0.643366455818684	0.546255541935996	1.72677506041662	enriched	23	3	232062.608695652	241794, 319776, 667281
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.531919688728904	0.725345030084869	0.0851602480406357	1.08889154545471	enriched	937	68	156050.32977588	12393, 20360, 23934, 65115, 70530, 330222, 14025, 14706, 14924, 16678, 16978, 17913, 19894, 20230, 20563, 20605, 20666, 20856, 21808, 21838, 21983, 22032, 26913, 52430, 53424, 54132, 55927, 57915, 63830, 68743, 69697, 70350, 71228, 71566, 71682, 74486, 99633, 107272, 114229, 114479, 214305, 217517, 218121, 225266, 228543, 232078, 234725, 237553, 238871, 240888, 241289, 241794, 244723, 269152, 269610, 270028, 279653, 319876, 320563, 328643, 330064, 330164, 330166, 353282, 380669, 381157, 667281, 100039795
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.58176836508234	0.727210456352924	0.0637652919551185	1.06584220766101	enriched	1397	101	135480.300644238	52897, 14680, 20190, 20519, 22417, 57138, 71137, 72147, 11421, 11459, 11898, 12123, 12161, 12323, 12343, 12354, 13116, 13638, 13654, 13857, 14174, 14608, 14634, 14803, 15444, 15552, 16402, 16512, 16536, 16538, 16774, 16909, 17201, 17933, 18143, 18578, 18991, 18993, 19229, 19699, 20194, 20370, 20450, 20564, 21961, 22393, 23876, 23966, 23984, 24001, 53972, 54377, 54403, 54524, 56461, 57816, 58208, 58220, 64378, 65112, 66240, 66350, 66673, 67784, 68939, 70727, 73728, 76650, 80903, 94047, 94091, 99296, 102075, 106014, 106931, 192192, 210135, 214230, 214290, 224093, 228550, 230959, 232288, 234593, 235604, 241303, 244310, 260305, 268510, 269608, 278795, 319352, 319477, 320354, 320429, 330814, 381353, 381605, 382639, 433938, 100042480
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.658384383949044	0.75867863649223	0.042726447142532	1.04365236171244	enriched	5212	358	126171.118956255	52897, 18263, 68750, 78286, 233107, 16362, 17132, 20271, 27428, 106522, 225207, 12393, 12411, 14680, 15013, 16973, 20190, 20360, 20519, 21938, 22339, 22417, 23934, 26362, 57778, 65115, 67760, 70530, 71137, 72147, 80749, 268527, 269336, 319448, 320827, 320982, 380698, 100502829, 11421, 11459, 11504, 11790, 11898, 11994, 12123, 12142, 12156, 12161, 12323, 12354, 12489, 12562, 12570, 12751, 12840, 12877, 13116, 13191, 13388, 13638, 13654, 13656, 13713, 13846, 13857, 13870, 14025, 14174, 14257, 14313, 14368, 14387, 14417, 14608, 14634, 14706, 14783, 14803, 14924, 15118, 15168, 15444, 15512, 15551, 15552, 16161, 16402, 16414, 16426, 16512, 16514, 16535, 16536, 16590, 16678, 16774, 16816, 16909, 16948, 16978, 17064, 17427, 17880, 17910, 17913, 17933, 18003, 18011, 18025, 18131, 18143, 18160, 18175, 18260, 18530, 18719, 18744, 18761, 18969, 18991, 18993, 19139, 19229, 19361, 19894, 20194, 20370, 20450, 20469, 20563, 20666, 20677, 21336, 21415, 21815, 21838, 21961, 21983, 22032, 22141, 22239, 22354, 22421, 22695, 22722, 23876, 23948, 23965, 23984, 24001, 24030, 26913, 27008, 27205, 27385, 29811, 50765, 50787, 52430, 53317, 53424, 53626, 53972, 54324, 54377, 54403, 54524, 55927, 56219, 56325, 56461, 56699, 57274, 57340, 57816, 57915, 58187, 58208, 58220, 59126, 60345, 64378, 65112, 65254, 66240, 66297, 66350, 66395, 66482, 66940, 67434, 67784, 67804, 67911, 67948, 67996, 68743, 68799, 68939, 69156, 69219, 69524, 69546, 69697, 70350, 70571, 70727, 71228, 71682, 71908, 72357, 72475, 73728, 74202, 74386, 74486, 74504, 74563, 74968, 76238, 76937, 77627, 78088, 79362, 80903, 81877, 83436, 83554, 83674, 93689, 94047, 94063, 94091, 94185, 96935, 97064, 98267, 99296, 99311, 99633, 100169, 101359, 102075, 104079, 106014, 106931, 106952, 107272, 107351, 107684, 107831, 109151, 109620, 110197, 114479, 116701, 117589, 171212, 192192, 207352, 207425, 209195, 209837, 210135, 211232, 211468, 213948, 214230, 214240, 214305, 214685, 215653, 216190, 216233, 216439, 216725, 217517, 218294, 223435, 223881, 224093, 225266, 228543, 228550, 228961, 230959, 232288, 232813, 232975, 233781, 234023, 234593, 234725, 234729, 235604, 236920, 237175, 237397, 237847, 238384, 238871, 239273, 239618, 240058, 240888, 241134, 241289, 241303, 241794, 242022, 242202, 242259, 243864, 244310, 244608, 244723, 245049, 245827, 260305, 268510, 269152, 269608, 269610, 269642, 278795, 279653, 319352, 319477, 319939, 320354, 320429, 320563, 320606, 328643, 330164, 330166, 330409, 330627, 330814, 331374, 353282, 353328, 380669, 380711, 380768, 380785, 381157, 381353, 381605, 382639, 433938, 545192, 545481, 622629, 667281, 100039795, 100042480, 100042715
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.708100060726082	0.75867863649223	0.0416742550423682	1.04255481645761	enriched	6204	420	124547.429561573	69195, 13641, 52897, 18263, 68750, 78286, 233107, 17132, 20271, 27428, 106522, 406218, 12393, 14680, 15013, 16600, 16973, 20190, 20360, 20519, 21411, 22339, 22417, 23934, 26362, 53324, 57778, 65115, 70530, 71137, 72147, 80749, 268527, 269336, 319448, 320827, 320982, 330671, 380698, 100502829, 11421, 11459, 11489, 11790, 11819, 11898, 11994, 12123, 12156, 12161, 12323, 12343, 12354, 12370, 12447, 12489, 12562, 12570, 12705, 12751, 12840, 13047, 13048, 13116, 13191, 13388, 13638, 13642, 13654, 13656, 13713, 13846, 13857, 13870, 14025, 14174, 14257, 14313, 14362, 14368, 14387, 14548, 14599, 14608, 14634, 14706, 14803, 14924, 14964, 15118, 15168, 15444, 15478, 15512, 15551, 15552, 16161, 16170, 16370, 16372, 16402, 16426, 16512, 16514, 16536, 16590, 16678, 16774, 16816, 16909, 16978, 16998, 17064, 17201, 17427, 17910, 17913, 17933, 18003, 18011, 18019, 18025, 18131, 18143, 18175, 18530, 18578, 18624, 18719, 18761, 18969, 18991, 18993, 19139, 19229, 19280, 19359, 19699, 19719, 19894, 20194, 20230, 20370, 20450, 20563, 20564, 20605, 20608, 20666, 20675, 20677, 20745, 20852, 21336, 21808, 21826, 21838, 21844, 21873, 21961, 21983, 22032, 22141, 22239, 22354, 22393, 22421, 22441, 22722, 22724, 22762, 23876, 23948, 23965, 23966, 23984, 24001, 24030, 26436, 26913, 27385, 29811, 50765, 50787, 52430, 53375, 53424, 53626, 53972, 54377, 54403, 54524, 55927, 56219, 56325, 56461, 56551, 56699, 57274, 57340, 57816, 57915, 58208, 58220, 58226, 58250, 59126, 60345, 63830, 64378, 65112, 66240, 66297, 66350, 66395, 66482, 66673, 66940, 67434, 67784, 67911, 67948, 67996, 68743, 68799, 68939, 68955, 69094, 69156, 69219, 69430, 69524, 69635, 69697, 70350, 70727, 71228, 71326, 71409, 71682, 71707, 72357, 72475, 72578, 73047, 73728, 73750, 74007, 74134, 74202, 74251, 74333, 74486, 74563, 74968, 75607, 75612, 76157, 76238, 76527, 76650, 76937, 77627, 77629, 77889, 79362, 80903, 81877, 83436, 83554, 83674, 93689, 94047, 94063, 94091, 94185, 96935, 97064, 98267, 98402, 99296, 99311, 99633, 100169, 101359, 102075, 103743, 104382, 105727, 106014, 106931, 106952, 107272, 107351, 107684, 107831, 109082, 109151, 109620, 114229, 114479, 117589, 171212, 192192, 207425, 208372, 210135, 211468, 211480, 214230, 214240, 214290, 214305, 214685, 215748, 216190, 216233, 216439, 217517, 218294, 223435, 223881, 224093, 224640, 225030, 225266, 226154, 226971, 227580, 228543, 228550, 228961, 230959, 231293, 232078, 232288, 232813, 232975, 233651, 234023, 234388, 234593, 234725, 234964, 235604, 236920, 237175, 237397, 237847, 238384, 238871, 239273, 239618, 240058, 240322, 240888, 241134, 241289, 241303, 241794, 242022, 242259, 242443, 242570, 243923, 243961, 244310, 244608, 244723, 245049, 260305, 268297, 268301, 268510, 269037, 269152, 269608, 269610, 270028, 278795, 279653, 319352, 319477, 319565, 319675, 319876, 319939, 320027, 320354, 320429, 320508, 320563, 320606, 320696, 328643, 330064, 330164, 330166, 330627, 330814, 331374, 353282, 353328, 380669, 380768, 380785, 381157, 381199, 381353, 381605, 382639, 433938, 545192, 545481, 546144, 622629, 667281, 100039795, 100041290, 100042480
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0001119539767456	0.00167930965118401	-0.472779279527304	0.623267623921314	depleted	1955	85	102883.645524297	12393, 269336, 330671, 11994, 12609, 12840, 13589, 13637, 14187, 14964, 14972, 15015, 15289, 15512, 16161, 17427, 17913, 18025, 18096, 18761, 18948, 18969, 19139, 19359, 20230, 20666, 20852, 21816, 21826, 21926, 21983, 22032, 22722, 52430, 53375, 53424, 53626, 54170, 55927, 56643, 66940, 67804, 67948, 67996, 70426, 72357, 72461, 74386, 74486, 76238, 80885, 83436, 99311, 100169, 103743, 107272, 107351, 109082, 109620, 114479, 117589, 171212, 214685, 215280, 225266, 226154, 226757, 228714, 237175, 238871, 240672, 241794, 244723, 268301, 279653, 320563, 328643, 353282, 380669, 380768, 381157, 381199, 381845, 546144, 667281
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.00319533531250703	0.0159766765625352	-0.301952873799745	0.739372907904237	depleted	2519	140	129874.85907106	20271, 27428, 106522, 225207, 12393, 20360, 23934, 65115, 70530, 80749, 268527, 269336, 319448, 320827, 320982, 11994, 12840, 13191, 14025, 14387, 14417, 14706, 14783, 14924, 15168, 15512, 16161, 16678, 16978, 17427, 17913, 18025, 18530, 18719, 18744, 18761, 18969, 19139, 19361, 19894, 20563, 20666, 20677, 21838, 21983, 22032, 22722, 23965, 24030, 26913, 27385, 52430, 53317, 53424, 53626, 55927, 57915, 60345, 65254, 66482, 66940, 67804, 67948, 67996, 68743, 68799, 69156, 69546, 69697, 70350, 70571, 71228, 71682, 72357, 74386, 74486, 74504, 76238, 76937, 77627, 83436, 94185, 96935, 99311, 99633, 100169, 107272, 107351, 109151, 109620, 110197, 114479, 117589, 171212, 207352, 207425, 209195, 211468, 213948, 214240, 214305, 214685, 217517, 223435, 223881, 225266, 228543, 228961, 232975, 234725, 234729, 237175, 238871, 239618, 240888, 241134, 241289, 241794, 242259, 244608, 244723, 269152, 269610, 279653, 319939, 320563, 320606, 328643, 330164, 330166, 330627, 331374, 353282, 380669, 380768, 380785, 381157, 545192, 667281, 100039795
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.14321261394667	0.429637841840011	-0.13272535722457	0.87570556529206	depleted	4169	261	122646.408251379	52897, 18263, 68750, 11513, 12393, 12411, 14680, 15013, 16973, 20190, 20519, 26362, 57778, 71137, 72147, 73040, 109594, 269336, 330671, 11421, 11459, 11489, 11790, 11898, 11994, 12123, 12156, 12161, 12323, 12562, 12609, 12751, 12790, 12840, 13116, 13589, 13637, 13654, 14119, 14174, 14187, 14313, 14608, 14634, 14734, 14803, 14964, 14972, 15015, 15118, 15289, 15444, 15478, 15512, 15551, 15565, 16161, 16402, 16426, 16512, 16514, 16536, 16590, 16716, 16774, 16816, 16909, 17201, 17345, 17427, 17880, 17913, 17933, 18019, 18025, 18096, 18131, 18143, 18208, 18399, 18578, 18761, 18948, 18969, 18991, 18993, 19139, 19229, 19359, 19719, 20194, 20230, 20370, 20450, 20469, 20564, 20608, 20666, 20852, 21336, 21816, 21826, 21926, 21961, 21983, 22032, 22141, 22239, 22288, 22393, 22421, 22722, 23876, 23948, 23984, 24001, 27008, 27205, 29811, 52430, 53375, 53424, 53626, 53972, 54170, 54377, 54403, 55927, 56219, 56461, 56643, 56739, 57816, 58208, 58250, 64378, 64817, 65112, 65254, 66297, 66395, 66673, 66940, 67784, 67804, 67948, 67996, 68169, 68939, 69219, 69430, 69524, 69551, 69635, 70426, 70727, 71979, 72357, 72461, 73230, 73728, 74202, 74386, 74486, 75578, 76238, 76279, 79362, 80885, 80903, 81877, 83436, 83554, 83674, 93689, 94047, 98733, 99296, 99311, 100169, 101359, 102075, 103743, 106014, 106648, 106931, 106952, 107272, 107351, 107831, 109082, 109620, 114479, 117589, 171212, 192192, 210135, 214685, 215280, 215798, 216190, 216233, 216439, 218294, 225030, 225266, 226154, 226757, 228550, 228714, 230959, 232288, 232813, 234023, 234593, 235604, 235611, 236920, 237175, 237397, 238384, 238871, 239273, 240672, 241303, 241794, 242570, 244310, 244723, 245049, 260305, 268301, 268510, 269608, 269642, 278795, 279653, 319352, 319477, 320027, 320354, 320429, 320563, 328643, 353282, 373852, 380669, 380711, 380768, 381157, 381199, 381353, 381845, 433938, 545481, 546144, 622434, 667281, 100040792, 100042480, 100042715
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.343473795967019	0.643366455818684	-0.685257358076806	0.503960514575123	depleted	60	2	86735.9833333333	22417, 14174
