Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
ActiveMotif.Htt_histone_modifications.diffbind	Enh	0	119.8004	0.0083	-6.9165	0.70617	0.76205	0.742468457943925
ActiveMotif.Htt_histone_modifications.diffbind	Enh	3987	14944.8585	0.2668	-1.906	4e-05	9.6774e-05	7.08661417322835e-05
ActiveMotif.Htt_histone_modifications.diffbind	Enh	599	345.2359	1.7329	0.7932	0.23483	0.30259	0.2765859375
ActiveMotif.Htt_histone_modifications.diffbind	Enh	16444	6594.383	2.4934	1.3181	8e-04	0.0017143	0.00132352941176471
ActiveMotif.Htt_histone_modifications.diffbind	Enh	45932	15567.2088	2.9504	1.5609	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	Enh	39323	5559.2337	7.0724	2.8222	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	Enh	184252	18231.2471	10.1059	3.3371	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	Enh	5964	476.771	12.4851	3.6421	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	Enh	1890	126.7383	14.8037	3.8879	0.00104	0.0021667	0.00169565217391304
ActiveMotif.Htt_histone_modifications.diffbind	Enh	600	8.0617	66.3227	6.0514	0.00406	0.0077089	0.0063
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	0	165.3232	0.006	-7.3778	0.64552	0.70677	0.685103773584906
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	7629	20462.788	0.3729	-1.4233	0.00046	0.0010147	0.000772388059701493
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	7599	9052.8811	0.8394	-0.2525	0.3453	0.40465	0.382721674876847
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	25378	21186.2484	1.1978	0.2604	0.20307	0.2672	0.244335561497326
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	786	472.6433	1.6616	0.7326	0.23602	0.30259	0.2765859375
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	79001	24846.4424	3.1795	1.6688	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	600	176.8444	3.3794	1.7567	0.108	0.15882	0.142105263157895
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	4102	638.9007	6.4119	2.6808	0.00074	0.0016087	0.00123333333333333
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	54883	7539.5571	7.2785	2.8636	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo1	777	10.7043	66.4712	6.0547	0.00252	0.0049091	0.00396503496503497
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	0	690.1742	0.0014	-9.4329	0.24491	0.30614	0.282588461538462
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	0	42.9335	0.0228	-5.4572	0.89663	0.94714	0.929685483870968
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	36323	85943.0936	0.4226	-1.2425	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	102481	88225.13	1.1616	0.2161	0.13926	0.19894	0.177025423728814
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	2771	1958.5728	1.4146	0.5004	0.24822	0.30732	0.284946428571429
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	58793	37699.8648	1.5595	0.6411	0.00547	0.010256	0.00842979452054794
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	180456	101783.3772	1.7729	0.8261	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	2732	768.6113	3.5511	1.8283	0.02413	0.040217	0.0345812101910828
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	16653	2743.5919	6.0679	2.6012	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhLo2	220301	32400.3703	6.7992	2.7654	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	0	420.058	0.0024	-8.7179	0.24057	0.30495	0.28045725388601
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	0	24.0716	0.0399	-4.648	0.9096	0.95413	0.938807339449541
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	13476	50693.994	0.2658	-1.9113	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	28808	19044.0532	1.5127	0.5971	0.00874	0.015795	0.01311
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	214330	52872.9419	4.0536	2.0192	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	5788	1203.1933	4.8074	2.2652	0.00034	0.00076119	0.000575187969924812
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	225070	22351.9835	10.0689	3.3318	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	16254	1605.8678	10.116	3.3386	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	700929	61617.3961	11.3753	3.5078	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois1	5884	452.0956	12.9884	3.6992	1e-05	2.5424e-05	1.81451612903226e-05
ActiveMotif.Htt_histone_modifications.diffbind	EnhPois2	0	1721.0299	6e-04	-10.7499	0.02171	0.037431	0.0317191558441558
