Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	0	1293.7931	8e-04	-10.3385	0.09879	0.13471	0.12522676056338
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	76213	153665.2179	0.496	-1.0117	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	422251	159924.8668	2.6403	1.4007	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	187730	57334.9842	3.2742	1.7112	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	12104	3565.9439	3.3937	1.7628	0.00032	0.00064	0.000505263157894737
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	26897	4879.0277	5.5119	2.4625	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	1177568	184946.8297	6.367	2.6706	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	576799	67901.1668	8.4946	3.0865	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	961	71.2122	13.3218	3.7357	0.01555	0.024553	0.0215307692307692
ActiveMotif.Htt_histone_modifications.diffbind	H3k27ac	19685	1372.9745	14.3278	3.8407	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	0	1007.7111	0.001	-9.9783	0.32332	0.36602	0.350587951807229
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	0	60.7012	0.0162	-5.9472	0.9061	0.92573	0.92052808988764
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	9066	42378.2926	0.2139	-2.2247	0.00011	0.00023571	0.00018
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	1060	2747.6222	0.386	-1.3733	0.27937	0.33273	0.314244444444444
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	327925	117066.1171	2.8012	1.486	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	6346	1060.1026	5.9815	2.5805	0.00128	0.0024774	0.00198620689655172
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	22875	3616.6089	6.3235	2.6607	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	2269171	146158.7593	15.5253	3.9565	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	1954797	124471.1209	15.7047	3.9731	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k27me3	1037943	51179.9065	20.2799	4.342	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	0	188.4445	0.0053	-7.5656	0.65699	0.69157	0.679644827586207
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	999	9062.5686	0.1103	-3.1801	0.00292	0.0050057	0.00423870967741935
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	1474	3432.4351	0.4296	-1.2189	0.13262	0.1693	0.161294594594595
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	6486	11787.7627	0.5503	-0.8618	0.07601	0.10606	0.0977271428571429
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	262566	422911.5638	0.6209	-0.6877	0.00191	0.0033706	0.00281803278688525
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	271343	401674.1923	0.6755	-0.5659	0.00178	0.0033375	0.00271525423728814
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	106126	144614.9711	0.7339	-0.4464	0.04759	0.067986	0.0620739130434783
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	178275	173973.0598	1.0247	0.0352	0.4236	0.46211	0.448517647058824
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	5646	3400.5552	1.6601	0.7313	0.12913	0.1693	0.161294594594595
ActiveMotif.Htt_histone_modifications.diffbind	H3k36me3	1252170	501147.032	2.4986	1.3211	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	138	5918.5184	0.0235	-5.4123	0.00018	0.00037241	0.000289285714285714
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	291687	702362.5237	0.4153	-1.2678	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	21650	16282.5435	1.3296	0.411	0.13142	0.1693	0.161294594594595
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	557792	258055.5086	2.1615	1.112	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	2749057	735645.7925	3.7369	1.9019	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	86411	21817.7801	3.9604	1.9857	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	1576	341.4389	4.6052	2.2033	0.03309	0.049635	0.0444492537313433
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	33520	6125.6071	5.4714	2.4519	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	1735383	309889.9339	5.6	2.4854	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me1	5371312	858233.2511	6.2586	2.6458	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	0	703.3079	0.0014	-9.4601	0.28282	0.33273	0.314244444444444
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	0	40.7454	0.024	-5.3835	0.9103	0.92573	0.92052808988764
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	78836	82909.805	0.9509	-0.0727	0.3665	0.40722	0.392678571428571
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	45043	30694.1054	1.4675	0.5533	0.01169	0.018957	0.0164390625
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	6716	1926.1822	3.4854	1.8013	0.00186	0.0033706	0.00279
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	665651	87478.8442	7.6092	2.9277	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	33485	2608.4954	12.8324	3.6817	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	1449991	102465.4535	14.1509	3.8228	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	657817	36234.1895	18.1541	4.1822	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k4me3	22313	749.9055	29.7161	4.8932	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	0	3.8179	0.2076	-2.2684	0.97763	0.97763	0.97763
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	83	261.7398	0.3197	-1.6452	0.30322	0.34987	0.33280243902439
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	101	194.4353	0.5219	-0.9381	0.50357	0.53954	0.526991860465116
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	4058	3277.4228	1.2381	0.3081	0.23166	0.28367	0.2673
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	18672	10618.8702	1.7583	0.8142	0.04191	0.061332	0.0554691176470588
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	163	69.6222	2.3222	1.2155	0.13546	0.16933	0.162552
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	9155	3822.0906	2.3949	1.26	0.01749	0.026908	0.02385
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	22758	9287.3453	2.4503	1.2929	0.00398	0.0066333	0.00568571428571429
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	325321	8983.2201	36.2104	5.1783	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.diffbind	H3k9me3	3465	74.9989	45.6059	5.5111	1e-05	2.2222e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27ac	173501	668467.9992	0.2596	-1.9459	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27ac	7829699	4582813.9401	1.7085	0.7727	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27ac	18888904	4104867.4961	4.6016	2.2021	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27ac	12576054	1636053.2948	7.6868	2.9424	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27ac	9765347	1235156.7262	7.9062	2.983	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27me3	566685	507968.0761	1.1156	0.1578	0.16113	0.17264	0.190811842105263
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27me3	12012273	3075287.6747	3.9061	1.9657	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27me3	18733647	3479418.4293	5.3841	2.4287	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27me3	14712280	1252553.994	11.7458	3.5541	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k27me3	12617801	952958.5649	13.2406	3.7269	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k36me3	3777982	12051477.7667	0.3135	-1.6735	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k36me3	830395	1729590.5928	0.4801	-1.0586	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k36me3	6419255	4276463.3699	1.5011	0.586	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k36me3	22612001	10685957.8894	2.116	1.0814	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k36me3	7314084	3263957.6017	2.2409	1.1641	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k4me1	613290	3052167.4792	0.2009	-2.3152	1e-05	1.1111e-05	1.66666666666667e-05
ActiveMotif.Htt_histone_modifications.merged_peaks	H3k4me1	52587517	20922857.0828	2.5134	1.3296	1e-05	1.1111e-05	1.66666666666667e-05
