Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	0	721.7736	0.0014	-9.4974	0.28591	0.35739	0.350124324324324
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	0	258.3162	0.0039	-8.0186	0.57981	0.64423	0.621225
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	0	16.8727	0.056	-4.1597	0.95877	0.95877	0.95877
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	2473	30696.2032	0.0806	-3.6332	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	1431	11248.5212	0.1273	-2.9738	5e-05	7.1429e-05	7.25806451612903e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	7959	972.2578	8.1787	3.0319	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	318766	31957.6032	9.9744	3.3182	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	712013	37895.8137	18.7882	4.2318	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	378194	13350.2164	28.3266	4.8241	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27ac.filtered_qval_2.mm10.sorted.bed	9507	280.5465	33.7706	5.0777	1e-05	1.6667e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27me3.filtered_qval_2.mm10.sorted.bed	0	14217.0151	1e-04	-13.7954	1e-05	2e-05	1.5e-05
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27me3.filtered_qval_2.mm10.sorted.bed	0	367.6933	0.0027	-8.5263	0.47958	0.54313	0.536509756097561
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27me3.filtered_qval_2.mm10.sorted.bed	0	365.2869	0.0027	-8.5168	0.48882	0.54313	0.536509756097561
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27me3.filtered_qval_2.mm10.sorted.bed	0	18.3322	0.0517	-4.2729	0.95496	0.95496	0.95877
ActiveMotif.Htt_histone_modifications.diffbind	Striatum_adult_PRC2neg_H3K27me3.filtered_qval_2.mm10.sorted.bed	1061	919.5545	1.1537	0.2062	0.31724	0.4532	0.375678947368421
