Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6.28935849647854e-16	9.43403774471782e-15	1.41532212206311	4.11781269067811	enriched	1397	62	135480.300644238	23984, 71978, 18574, 54403, 67972, 75141, 108100, 218194, 11430, 12323, 12326, 12709, 13435, 13638, 14758, 14810, 15444, 16520, 17859, 17937, 18619, 19055, 19395, 19704, 19739, 22036, 22631, 23956, 26404, 52633, 56453, 57276, 58208, 59046, 69338, 72289, 74026, 74100, 74136, 75909, 77579, 78779, 93737, 104263, 110351, 114641, 193796, 223697, 229709, 233020, 239170, 246710, 268510, 268980, 320292, 320354, 320661, 360013, 381353, 399548, 546071, 606496
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	5.04998325330904e-13	3.78748743998178e-12	1.30940152356571	3.70395631817727	enriched	2693	88	122706.68473821	23984, 71978, 18574, 19317, 54403, 67972, 75141, 108100, 216439, 218194, 233489, 11430, 11766, 12323, 12326, 12709, 13384, 13435, 13638, 13653, 13713, 14708, 14758, 14810, 15382, 15444, 16520, 16969, 17859, 17937, 18619, 18626, 18763, 19055, 19252, 19395, 19704, 19739, 22036, 22631, 23956, 26404, 52633, 56453, 57276, 58208, 59046, 66961, 69338, 70240, 71878, 72289, 73635, 74026, 74100, 74136, 74309, 75909, 78779, 78926, 93737, 102423, 104263, 106618, 110351, 114641, 192160, 193796, 217166, 223697, 225872, 228866, 229709, 233020, 239170, 246710, 268510, 268980, 319586, 320292, 320354, 320661, 360013, 381353, 399548, 546071, 606496, 100037396
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	1.54050623486987e-12	7.70253117434935e-12	1.35154447061677	3.86338781418613	enriched	3162	97	123321.02055661	23984, 71978, 18574, 19317, 54403, 67972, 75141, 78887, 108100, 216439, 218194, 233489, 11430, 11766, 12323, 12326, 12709, 13384, 13435, 13638, 13653, 13681, 13713, 14708, 14758, 14810, 15382, 15444, 16520, 16969, 17859, 17937, 18619, 18626, 18763, 19055, 19252, 19395, 19704, 19735, 19739, 20918, 22036, 22631, 23956, 26404, 26422, 52633, 56453, 57276, 58208, 59046, 66083, 66865, 69338, 70240, 71878, 72289, 73635, 74026, 74100, 74136, 74309, 75909, 77579, 78779, 93737, 102423, 104263, 106618, 110351, 114641, 140742, 192160, 193796, 216873, 217166, 223697, 225872, 228866, 229709, 233020, 239170, 246710, 268510, 268980, 319586, 320292, 320354, 320661, 360013, 380977, 381353, 399548, 546071, 606496, 100037396
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	1.15516511083888e-09	4.33186916564578e-09	1.05889765643485	2.88319096984029	enriched	2214	70	140097.266937669	23984, 71978, 18574, 19317, 54403, 67972, 75141, 78887, 108100, 216439, 218194, 11430, 11766, 12323, 12326, 12709, 13435, 14708, 14758, 14810, 15382, 15444, 16520, 17937, 18619, 18626, 19055, 19395, 19704, 19739, 22036, 26404, 52633, 56453, 57276, 58208, 59046, 69338, 71878, 72289, 74026, 74100, 74136, 74309, 75909, 78779, 102423, 104263, 106618, 110351, 140742, 192160, 193796, 217166, 223697, 229709, 233020, 239170, 246710, 268510, 268980, 319586, 320292, 320354, 320661, 360013, 381353, 399548, 546071, 100037396
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	1.13421577072531e-07	3.40264731217594e-07	0.919844510713361	2.50890025249548	enriched	2334	69	143738.277206512	23984, 71978, 18574, 54403, 67972, 75141, 108100, 218194, 11430, 12323, 12326, 12709, 13435, 13638, 14758, 14810, 15444, 16520, 17859, 17937, 18619, 19055, 19395, 19704, 19739, 20658, 22036, 22631, 23956, 26404, 52633, 56453, 57276, 58208, 59008, 59046, 66931, 69338, 72289, 74026, 74100, 74136, 75909, 76719, 76897, 77579, 78779, 93737, 104263, 110351, 114641, 192287, 193796, 217151, 223697, 229709, 233020, 239170, 246710, 268510, 268980, 320292, 320354, 320661, 360013, 381353, 399548, 546071, 606496
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	1.34780414364575e-05	2.88815173638375e-05	1.01946198625464	2.77170314835357	enriched	5212	114	126171.118956255	23984, 71978, 18574, 19317, 54403, 67972, 75141, 108100, 216439, 218194, 233489, 11430, 11766, 12323, 12326, 12709, 13384, 13435, 13638, 13653, 13690, 13713, 14470, 14708, 14758, 14810, 15382, 15444, 15481, 16520, 16969, 17356, 17859, 17904, 17937, 18481, 18619, 18626, 18763, 19055, 19252, 19336, 19395, 19704, 19739, 20658, 22036, 22142, 22631, 23956, 26371, 26404, 52633, 56453, 56632, 57276, 58208, 59008, 59046, 65105, 66931, 66961, 67125, 68090, 69338, 70240, 70300, 71878, 72289, 73635, 74026, 74100, 74136, 74309, 75909, 76719, 76897, 78779, 78926, 93737, 102423, 104263, 105782, 106618, 110351, 114641, 170791, 192160, 193796, 214572, 217151, 217166, 223697, 225872, 228866, 229709, 233020, 239170, 246710, 268510, 268933, 268980, 317717, 319586, 320292, 320354, 320661, 360013, 378937, 381353, 399548, 546071, 606496, 100037396
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.000939823720682838	0.00176216947628032	0.969252545670512	2.63597345305742	enriched	6204	123	124547.429561573	23984, 71978, 18574, 19317, 54403, 67972, 75141, 78887, 108100, 216439, 218194, 233489, 11430, 11565, 11766, 12323, 12326, 12709, 13384, 13435, 13498, 13638, 13653, 13681, 13690, 13713, 14470, 14708, 14758, 14810, 15382, 15444, 15481, 16520, 16969, 17859, 17937, 18481, 18619, 18626, 18763, 19055, 19252, 19395, 19704, 19735, 19739, 20658, 20918, 22036, 22142, 22631, 23956, 26371, 26404, 26422, 52633, 56453, 56632, 57276, 58208, 59008, 59046, 65105, 66083, 66256, 66865, 66931, 68090, 69338, 70240, 70300, 71878, 72289, 73635, 74026, 74100, 74136, 74309, 75909, 76719, 76897, 77579, 78779, 93737, 102423, 104263, 105782, 106618, 110351, 114641, 140742, 192160, 192287, 193796, 214572, 216873, 217151, 217166, 223697, 225872, 228866, 229709, 233020, 237711, 239170, 246710, 268510, 268933, 268980, 317717, 319586, 320292, 320354, 320661, 360013, 378937, 380977, 381353, 399548, 546071, 606496, 100037396
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.00308574836185014	0.0042078386752502	0.538027000341925	1.71262451901069	enriched	4169	89	122646.408251379	23984, 71978, 18574, 19317, 54403, 67972, 75141, 78887, 108100, 216439, 218194, 11430, 11565, 11766, 12323, 12326, 12709, 12799, 13435, 13690, 14470, 14708, 14758, 14810, 15382, 15444, 15481, 16520, 17937, 18619, 18626, 19055, 19395, 19704, 19739, 22036, 22142, 23802, 23918, 26404, 52633, 56453, 57276, 58208, 59008, 59046, 65105, 66931, 67125, 69338, 71878, 72093, 72289, 72461, 74026, 74100, 74136, 74309, 75909, 76719, 78779, 102423, 104263, 106618, 110351, 112415, 140742, 192160, 193796, 214572, 217151, 217166, 223697, 229709, 233020, 239170, 246710, 268510, 268980, 317717, 319586, 320292, 320354, 320661, 360013, 381353, 399548, 546071, 100037396
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.00704259725807022	0.00880324657258778	1.417068068176	4.12500844961473	enriched	60	4	86735.9833333333	18619, 22036, 74100, 399548
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.0376084849906604	0.0402948053471361	1.08245681915331	2.95192299045382	enriched	83	4	127007.21686747	18619, 22036, 74100, 399548
