Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Biological Process	GO:0008380	RNA splicing	1.60270597011859e-12	1.01467314968208e-08	1.75010819508126	5.75522532939328	enriched	336	19	97926.7351190476	19317, 66704, 12748, 15382, 15388, 15481, 19205, 20383, 20658, 22668, 65105, 68295, 69131, 71514, 72289, 170791, 192160, 214572, 233208
Gene Ontology Molecular Function	GO:0005515	protein binding	2.38432237769076e-10	2.81111608329741e-07	0.887134813883823	2.42816253742712	enriched	8129	132	117955.282568582	71978, 18574, 19317, 54403, 67972, 75141, 78887, 100855, 108100, 216439, 218194, 233489, 11430, 11565, 11766, 12049, 12323, 12326, 12362, 12631, 12709, 12748, 13384, 13435, 13498, 13612, 13638, 13653, 13681, 13690, 14312, 14470, 14800, 14810, 15270, 15388, 15444, 15481, 16520, 16969, 17356, 17859, 17904, 17937, 18481, 18619, 18626, 18763, 19055, 19205, 19252, 19266, 19336, 19735, 19739, 20383, 20658, 20877, 21833, 22036, 22084, 22142, 22433, 22631, 23802, 26404, 26422, 53624, 56216, 56351, 56486, 56632, 58208, 59008, 59046, 65105, 66083, 66155, 66961, 67513, 67673, 68961, 69131, 69917, 71514, 71769, 71820, 71878, 71923, 72289, 74100, 74136, 74490, 76897, 76905, 77579, 77891, 78926, 93696, 102423, 104263, 105782, 108000, 110351, 114641, 140742, 170791, 192160, 192662, 214572, 217166, 223696, 223697, 224727, 224860, 225872, 229571, 229709, 233208, 235312, 237711, 241638, 244059, 246710, 268448, 268980, 317717, 320707, 360013, 381677, 399548, 606496
Gene Ontology Biological Process	GO:0006397	mRNA processing	2.49428705103952e-10	7.89566566006561e-07	1.55853952416595	4.75187617449915	enriched	406	19	97858.60591133	19317, 66704, 15382, 15388, 15481, 19205, 20383, 20658, 22668, 65105, 68295, 69131, 71514, 72289, 170791, 192160, 214572, 229709, 233208
Gene Ontology Molecular Function	GO:0019899	enzyme binding	1.62447567493864e-09	9.5762841037633e-07	1.0074928075164	2.73872588702515	enriched	1963	47	115999.173204279	71978, 75141, 78887, 100855, 216439, 218194, 12049, 12323, 12631, 12709, 13498, 13653, 14800, 14810, 15270, 15444, 15481, 16969, 17356, 18481, 18626, 18763, 19055, 20383, 22084, 22433, 22631, 23802, 26404, 26422, 56216, 56351, 56486, 59008, 69131, 69917, 71514, 71878, 77891, 102423, 110351, 192160, 192662, 224727, 229571, 268980, 606496
Gene Ontology Biological Process	GO:0006996	organelle organization	2.67872166305124e-09	5.65299561625913e-06	0.882777869829144	2.41760618251899	enriched	3341	67	101504.700987728	100855, 108100, 216439, 217218, 218194, 233489, 11430, 12323, 12631, 12799, 13435, 14312, 14758, 15270, 15481, 18481, 18626, 18763, 19205, 19704, 19735, 20658, 20877, 22433, 22631, 22668, 26404, 56216, 56351, 56453, 56486, 59008, 59046, 59047, 66083, 66359, 66419, 66865, 66961, 69188, 69917, 70300, 71514, 71769, 71820, 71878, 74026, 75909, 76719, 77579, 77891, 78926, 104263, 192287, 192662, 193796, 214572, 223696, 223697, 224727, 233020, 244059, 317717, 360013, 382406, 546071, 606496
Gene Ontology Cellular Component	GO:0043025	neuronal cell body	1.58801424120664e-08	9.23019201550355e-06	1.29558397258735	3.65312867836649	enriched	633	22	178232.372827804	23984, 18574, 67972, 108100, 233489, 12323, 12631, 12709, 14800, 14810, 15444, 15481, 16520, 18619, 22084, 23802, 56351, 77579, 110351, 217166, 268980, 381677
Gene Ontology Cellular Component	GO:0043197	dendritic spine	2.41395805102713e-08	9.23019201550355e-06	1.87610553606227	6.52803210739716	enriched	154	10	215645.103896104	108100, 12631, 14800, 14810, 15444, 15481, 77579, 217166, 241638, 268980
Gene Ontology Biological Process	GO:0060999	positive regulation of dendritic spine development	2.72210577536845e-08	3.48990998450449e-05	2.45990446142229	11.7036933323508	enriched	56	6	171885.089285714	108100, 12323, 12631, 13690, 18481, 22084
Gene Ontology Biological Process	GO:0016071	mRNA metabolic process	2.75620753791225e-08	3.48990998450449e-05	1.32980736714771	3.78031510454427	enriched	536	20	88284.9608208955	19317, 66704, 15382, 15388, 15481, 19205, 19704, 20383, 20658, 22668, 65105, 68295, 69131, 71514, 72289, 170791, 192160, 214572, 229709, 233208
Gene Ontology Cellular Component	GO:0044309	neuron spine	3.56082001886334e-08	9.23019201550355e-06	1.851363653798	6.36849803054371	enriched	158	10	213397.550632911	108100, 12631, 14800, 14810, 15444, 15481, 77579, 217166, 241638, 268980
Gene Ontology Cellular Component	GO:0044297	cell body	4.7032825556706e-08	9.23019201550355e-06	1.2257974813577	3.40688192455303	enriched	709	23	169583.781382228	23984, 18574, 67972, 108100, 233489, 12323, 12631, 12709, 14800, 14810, 15444, 15481, 16520, 18619, 22084, 23802, 56351, 56486, 77579, 110351, 217166, 268980, 381677
MeSH	12261	Ribonucleoproteins	5.65708505814648e-08	0.000163263474778107	2.07772498573382	7.98627933194814	enriched	86	8	87765.011627907	15382, 15388, 19205, 19704, 20383, 22668, 140486, 192160
Gene Ontology Biological Process	GO:0050773	regulation of dendrite development	6.2807218834554e-08	6.62720837402603e-05	1.82187649347211	6.18345077503516	enriched	164	10	214081.085365854	108100, 12323, 12631, 13690, 14810, 18481, 19055, 19266, 22084, 606496
Gene Ontology Molecular Function	GO:0005516	calmodulin binding	8.62291169837943e-08	3.38880429746312e-05	1.78778453468595	5.97619773031919	enriched	182	10	159833.241758242	18574, 67972, 12323, 12326, 14810, 19055, 68961, 74100, 77579, 268980
Gene Ontology Biological Process	GO:0016569	covalent chromatin modification	1.05832805831224e-07	9.08875251804137e-05	1.33379968768046	3.79543750079711	enriched	509	18	103973.041257367	217218, 13435, 14312, 18626, 20877, 22433, 26404, 66083, 69188, 71514, 74026, 76719, 104263, 193796, 214572, 224727, 233020, 244059
Gene Ontology Biological Process	GO:0016043	cellular component organization	1.14847607241085e-07	9.08875251804137e-05	0.730890546357314	2.07692938623974	enriched	5457	92	122039.898662269	19317, 100855, 108100, 216439, 217218, 218194, 225908, 233489, 11430, 12323, 12631, 12799, 13435, 13690, 14312, 14758, 14800, 14810, 15270, 15481, 17356, 18481, 18626, 18763, 19055, 19205, 19266, 19704, 19735, 20658, 20877, 21833, 22084, 22433, 22631, 22668, 23802, 23918, 26371, 26404, 53624, 56216, 56351, 56453, 56486, 58208, 59008, 59046, 59047, 66083, 66359, 66419, 66865, 66961, 68295, 69188, 69917, 70300, 71514, 71769, 71820, 71878, 72289, 74026, 75909, 76719, 77579, 77891, 78926, 104263, 105782, 110351, 140742, 192287, 192662, 193796, 214572, 223696, 223697, 224727, 225872, 233020, 235312, 241638, 244059, 268980, 317717, 360013, 378937, 382406, 546071, 606496
Gene Ontology Biological Process	GO:0043484	regulation of RNA splicing	1.92998070482975e-07	0.000135763420469746	1.95918565946451	7.09354814867508	enriched	108	8	134489.037037037	12748, 15388, 15481, 19205, 20383, 20658, 69131, 72289
Gene Ontology Biological Process	GO:0019222	regulation of metabolic process	2.92757114922611e-07	0.000185344529457505	0.705803001171073	2.02547248885428	enriched	5773	94	113497.135804608	18574, 19317, 66704, 75141, 78887, 100855, 216439, 217218, 218194, 225908, 233489, 12326, 12362, 12631, 12748, 13435, 13498, 13653, 13681, 13690, 13713, 14312, 14708, 14800, 14810, 15270, 15388, 15444, 15481, 16969, 17859, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19356, 19704, 19735, 20383, 20658, 20877, 20918, 21833, 22084, 22433, 22668, 26371, 26404, 56216, 56351, 58208, 59046, 59047, 66083, 67673, 69131, 69188, 69917, 70300, 71514, 71878, 72289, 72461, 74490, 75909, 77891, 78926, 102423, 104263, 105782, 108000, 112415, 140486, 170791, 192160, 193796, 214572, 217166, 224727, 224860, 225872, 228866, 229571, 229709, 244059, 268448, 268755, 268933, 387157, 606496, 723896
Gene Ontology Molecular Function	GO:0030165	PDZ domain binding	3.387938830316e-07	9.9859497023564e-05	1.91764449815895	6.80491059687508	enriched	115	8	280054.591304348	67972, 108100, 11430, 13384, 14800, 16520, 241638, 320707
Gene Ontology Cellular Component	GO:0036477	somatodendritic compartment	3.8376355611215e-07	6.02508783096075e-05	1.09620634899527	2.99279085684079	enriched	864	25	183185.278935185	23984, 18574, 67972, 108100, 233489, 12323, 12631, 12709, 14800, 14810, 15444, 15481, 16520, 18619, 22084, 23802, 56351, 74309, 77579, 110351, 140486, 217166, 241638, 268980, 381677
Gene Ontology Biological Process	GO:0016358	dendrite development	4.41712416344123e-07	0.00021813152639017	1.54570687186895	4.69128659377791	enriched	256	12	228946.91015625	108100, 233489, 12323, 12631, 13690, 14810, 18481, 19055, 19266, 22084, 268980, 606496
Gene Ontology Biological Process	GO:1900006	positive regulation of dendrite development	4.58828122685614e-07	0.00021813152639017	2.03835552202944	7.67797255466058	enriched	95	7	202007.336842105	108100, 12323, 12631, 13690, 18481, 19266, 22084
Gene Ontology Cellular Component	GO:0005622	intracellular	4.62213931439485e-07	6.04729893633327e-05	0.827392109330603	2.28734580748254	enriched	12895	173	105063.701279566	23984, 71978, 18574, 19317, 66704, 67972, 78887, 100855, 108100, 216439, 217218, 218194, 225908, 233489, 11430, 11565, 11766, 12049, 12323, 12326, 12362, 12631, 12709, 12748, 12799, 13435, 13498, 13653, 13681, 13690, 13713, 14312, 14470, 14708, 14800, 14810, 15270, 15382, 15388, 15444, 15481, 16520, 16969, 17356, 17859, 17904, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19336, 19356, 19395, 19704, 19735, 19739, 20364, 20383, 20658, 20877, 21833, 22036, 22084, 22142, 22433, 22631, 22668, 23802, 23918, 23956, 26371, 26404, 26422, 52633, 56216, 56351, 56453, 56486, 56632, 58208, 59008, 59046, 59047, 65105, 66083, 66155, 66256, 66359, 66419, 66477, 66836, 66865, 66942, 66961, 67504, 67513, 67673, 68090, 68961, 69131, 69188, 69917, 70300, 71514, 71820, 71878, 71923, 72289, 72461, 74026, 74100, 74136, 74490, 75909, 76719, 76897, 76905, 77579, 77891, 78926, 93696, 93737, 102423, 104263, 105782, 108000, 110351, 114641, 140486, 140742, 170749, 170791, 192160, 192287, 192662, 193796, 214572, 216873, 217151, 217166, 223696, 223697, 224727, 224860, 225872, 228866, 229571, 229709, 233020, 233208, 233870, 235312, 237711, 241638, 244059, 268448, 268510, 268980, 317717, 320292, 320707, 360013, 380994, 381677, 382406, 387157, 546071, 606496, 619991, 723896
Gene Ontology Biological Process	GO:0051171	regulation of nitrogen compound metabolic process	5.2430955577446e-07	0.00021813152639017	0.736913816597747	2.08947704423535	enriched	3854	69	113198.180591593	18574, 19317, 66704, 216439, 217218, 225908, 233489, 12326, 12748, 13435, 13498, 13653, 13690, 13713, 14312, 14708, 14810, 15270, 15388, 15444, 15481, 16969, 17859, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19356, 19704, 19735, 20383, 20658, 20877, 21833, 22084, 22433, 22668, 26371, 56351, 58208, 59047, 66083, 67673, 69131, 69188, 69917, 71514, 72289, 74490, 102423, 104263, 108000, 112415, 140486, 170791, 192160, 193796, 214572, 217166, 225872, 229709, 244059, 268448, 268755, 606496, 723896
Gene Ontology Biological Process	GO:0031323	regulation of cellular metabolic process	5.39795025361056e-07	0.00021813152639017	0.696516785277174	2.00675057643425	enriched	5336	88	114153.047226387	18574, 19317, 66704, 75141, 78887, 100855, 216439, 217218, 218194, 225908, 233489, 12326, 12362, 12631, 12748, 13435, 13498, 13653, 13690, 13713, 14312, 14708, 14800, 14810, 15270, 15388, 15444, 15481, 16969, 17859, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19356, 19704, 19735, 20383, 20658, 20877, 21833, 22084, 22433, 22668, 26371, 26404, 56351, 58208, 59046, 59047, 66083, 67673, 69131, 69188, 69917, 70300, 71514, 71878, 72289, 72461, 74490, 75909, 77891, 102423, 104263, 105782, 108000, 112415, 140486, 170791, 192160, 193796, 214572, 217166, 224727, 224860, 225872, 228866, 229709, 244059, 268448, 268755, 268933, 606496, 723896
Gene Ontology Cellular Component	GO:0030425	dendrite	5.48663757228614e-07	6.15287213463517e-05	1.22538817321178	3.40548774537301	enriched	572	19	192599.678321678	108100, 12323, 12631, 12709, 14800, 14810, 15444, 15481, 16520, 18619, 22084, 23802, 74309, 77579, 110351, 140486, 217166, 241638, 268980
Gene Ontology Biological Process	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	5.8242821387098e-07	0.00021813152639017	1.5955143691136	4.93086470444507	enriched	211	11	111013.085308057	15382, 15388, 15481, 19205, 20383, 20658, 22668, 68295, 71514, 72289, 214572
Gene Ontology Biological Process	GO:0000398	mRNA splicing, via spliceosome	5.8242821387098e-07	0.00021813152639017	1.5955143691136	4.93086470444507	enriched	211	11	111013.085308057	15382, 15388, 15481, 19205, 20383, 20658, 22668, 68295, 71514, 72289, 214572
Gene Ontology Biological Process	GO:0071840	cellular component organization or biogenesis	5.85726733317469e-07	0.00021813152639017	0.688575621871931	1.99087774996195	enriched	5612	92	120797.412687099	19317, 100855, 108100, 216439, 217218, 218194, 225908, 233489, 11430, 12323, 12631, 12799, 13435, 13690, 14312, 14758, 14800, 14810, 15270, 15481, 17356, 18481, 18626, 18763, 19055, 19205, 19266, 19704, 19735, 20658, 20877, 21833, 22084, 22433, 22631, 22668, 23802, 23918, 26371, 26404, 53624, 56216, 56351, 56453, 56486, 58208, 59008, 59046, 59047, 66083, 66359, 66419, 66865, 66961, 68295, 69188, 69917, 70300, 71514, 71769, 71820, 71878, 72289, 74026, 75909, 76719, 77579, 77891, 78926, 104263, 105782, 110351, 140742, 192287, 192662, 193796, 214572, 223696, 223697, 224727, 225872, 233020, 235312, 241638, 244059, 268980, 317717, 360013, 378937, 382406, 546071, 606496
Gene Ontology Biological Process	GO:0000375	RNA splicing, via transesterification reactions	6.40008181530167e-07	0.000225105099848194	1.58946294127921	4.90111603427276	enriched	212	11	110579.051886792	15382, 15388, 15481, 19205, 20383, 20658, 22668, 68295, 71514, 72289, 214572
KEGG Pathway	path:hsa05050	Dentatorubropallidoluysian atrophy (DRPLA)	6.50586303721593e-07	0.000121659638795938	3.54033084279628	34.4783242093116	enriched	14	3	365632.285714286	108100, 12362, 13498
Gene Ontology Cellular Component	GO:0044424	intracellular part	8.73283473492754e-07	8.56909408364765e-05	0.795543529705852	2.21564493842707	enriched	12790	171	105029.765363565	23984, 71978, 18574, 19317, 66704, 67972, 78887, 100855, 108100, 216439, 217218, 218194, 225908, 233489, 11430, 11565, 11766, 12049, 12323, 12326, 12362, 12631, 12709, 12748, 12799, 13435, 13498, 13653, 13681, 13690, 13713, 14312, 14470, 14708, 14800, 14810, 15270, 15382, 15388, 15444, 15481, 16520, 16969, 17356, 17859, 17904, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19336, 19356, 19395, 19704, 19735, 19739, 20364, 20383, 20658, 20877, 21833, 22036, 22084, 22142, 22433, 22631, 22668, 23802, 23918, 23956, 26371, 26404, 26422, 52633, 56216, 56351, 56453, 56486, 56632, 58208, 59008, 59046, 59047, 65105, 66083, 66155, 66256, 66359, 66419, 66477, 66836, 66865, 66942, 66961, 67504, 67513, 67673, 68090, 68961, 69131, 69188, 69917, 70300, 71514, 71820, 71878, 71923, 72289, 72461, 74026, 74100, 74136, 74490, 75909, 76719, 76897, 76905, 77579, 77891, 78926, 93696, 93737, 102423, 104263, 105782, 108000, 110351, 114641, 140486, 140742, 170749, 170791, 192160, 192287, 192662, 193796, 214572, 216873, 217166, 223696, 223697, 224727, 224860, 225872, 228866, 229571, 229709, 233020, 233208, 233870, 235312, 237711, 241638, 244059, 268448, 268510, 268980, 317717, 320292, 320707, 360013, 380994, 381677, 382406, 387157, 606496, 619991, 723896
Gene Ontology Biological Process	GO:0044237	cellular metabolic process	9.58715238421128e-07	0.000319454009181272	0.678022953411755	1.96997913911431	enriched	8971	130	105317.254040798	23984, 71978, 18574, 19317, 66704, 75141, 78887, 100855, 216439, 217218, 218194, 225908, 233489, 11430, 11565, 12323, 12326, 12362, 12631, 12709, 12748, 12799, 13435, 13498, 13653, 13681, 13690, 13713, 14312, 14708, 14800, 14810, 15270, 15382, 15388, 15444, 15481, 16969, 17859, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19266, 19336, 19356, 19704, 19735, 20383, 20658, 20877, 20918, 21833, 22036, 22084, 22433, 22668, 23802, 23918, 23956, 26371, 26404, 52633, 56351, 56486, 56632, 58208, 59008, 59046, 59047, 65105, 66083, 66155, 66359, 66419, 66865, 66942, 67513, 67673, 68295, 68730, 68961, 69131, 69188, 69917, 70300, 71514, 71878, 72289, 72461, 74026, 74490, 75909, 76719, 77891, 102423, 104263, 105782, 108000, 112415, 114641, 140486, 140742, 170749, 170791, 192160, 193796, 214572, 217166, 224727, 224860, 225872, 228866, 229571, 229709, 233020, 233208, 233870, 244059, 268448, 268510, 268755, 268933, 381677, 546071, 606496, 723896
Gene Ontology Biological Process	GO:0007616	long-term memory	1.01459732370145e-06	0.000321170782817695	2.64741317521589	14.1174719436289	enriched	32	4	171535.59375	12326, 13653, 14810, 225872
Gene Ontology Cellular Component	GO:0005654	nucleoplasm	1.13887535691477e-06	9.93352394642328e-05	0.802901190828774	2.23200702257432	enriched	2369	48	96093.1819333052	66704, 100855, 217218, 225908, 11430, 12326, 12748, 13435, 13498, 13653, 13713, 15270, 15382, 15388, 17356, 18626, 19055, 19356, 19704, 20383, 20658, 20877, 22668, 56216, 56351, 66961, 67513, 67673, 69131, 69917, 71514, 72289, 74026, 76719, 76897, 102423, 104263, 105782, 108000, 114641, 140486, 170791, 214572, 217166, 224727, 228866, 244059, 268448
Gene Ontology Biological Process	GO:0044271	cellular nitrogen compound biosynthetic process	1.16672357399022e-06	0.000349116471135663	0.705883520628294	2.02563558536583	enriched	4146	72	105793.991075736	19317, 66704, 216439, 217218, 225908, 233489, 11565, 12326, 13435, 13498, 13653, 13681, 13690, 13713, 14312, 14708, 14810, 15270, 15388, 15444, 15481, 16969, 17859, 17937, 18481, 18626, 18763, 19055, 19205, 19252, 19704, 19735, 20658, 20877, 20918, 21833, 22084, 22433, 22668, 23918, 26371, 56351, 56632, 58208, 59047, 66083, 66419, 67513, 67673, 69131, 69188, 71514, 74490, 102423, 104263, 108000, 112415, 114641, 140486, 170791, 192160, 193796, 214572, 217166, 225872, 233208, 233870, 244059, 268448, 268755, 606496, 723896
Gene Ontology Biological Process	GO:0048814	regulation of dendrite morphogenesis	1.21316732980328e-06	0.000349116471135663	1.9607617791038	7.10473724458509	enriched	97	7	241277.030927835	108100, 12323, 12631, 14810, 18481, 19055, 19266
