Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	1.56110603145078e-12	1.21032577971424e-11	1.35906893565767	3.8925673833847	enriched	1397	50	135480.300644238	268980, 23984, 19739, 67972, 75141, 218194, 246710, 12323, 12709, 13170, 13488, 16520, 16800, 18574, 18619, 19049, 19395, 19704, 19736, 20312, 20620, 22036, 22129, 22631, 26404, 57276, 58200, 58208, 59046, 66259, 67300, 71764, 72289, 74026, 74100, 78217, 104263, 114641, 193796, 214931, 229709, 233020, 234854, 239170, 320354, 320661, 360013, 399548, 546071, 606496
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	1.61376770628565e-12	1.21032577971424e-11	1.42895375201222	4.17432952257964	enriched	2693	76	122706.68473821	268980, 23984, 19317, 19739, 67972, 75141, 216439, 218194, 246710, 11766, 12323, 12514, 12709, 13170, 13488, 13653, 13713, 15382, 16520, 16800, 16969, 18574, 18619, 18626, 18763, 19049, 19252, 19395, 19704, 19736, 20312, 20620, 22036, 22129, 22631, 26404, 56399, 57276, 58200, 58208, 59046, 66259, 66961, 67760, 68953, 71186, 71764, 71878, 72289, 73635, 74026, 74100, 74309, 78217, 78926, 102423, 104263, 114641, 193796, 214931, 217166, 225872, 228866, 229709, 230775, 233020, 234854, 239170, 319586, 320354, 320661, 360013, 399548, 546071, 606496, 100037396
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	2.08035184187439e-10	1.04017592093720e-09	1.32452868269964	3.76041258975523	enriched	3162	80	123321.02055661	268980, 23984, 19317, 19739, 67972, 75141, 216439, 218194, 246710, 11766, 12323, 12514, 12709, 13170, 13488, 13653, 13681, 13713, 13841, 15382, 16520, 16800, 16969, 18574, 18619, 18626, 18763, 19049, 19252, 19395, 19704, 19735, 19736, 20312, 20620, 20918, 22036, 22129, 22631, 26404, 56399, 57276, 58200, 58208, 59046, 66083, 66259, 66865, 68953, 71186, 71764, 71878, 72289, 73635, 74026, 74100, 74309, 78217, 102423, 104263, 114641, 140742, 193796, 214931, 217166, 225872, 228866, 229709, 230775, 233020, 234854, 239170, 319586, 320354, 320661, 360013, 399548, 546071, 606496, 100037396
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	7.95816463836287e-09	2.98431173938608e-08	1.10086279301446	3.00675911589614	enriched	2214	59	140097.266937669	268980, 23984, 19317, 19739, 67972, 75141, 216439, 218194, 246710, 11766, 12323, 12709, 13170, 13488, 15382, 16520, 16800, 18574, 18619, 18626, 19049, 19395, 19704, 19736, 20312, 20620, 22036, 22129, 26404, 57276, 58200, 58208, 59046, 66259, 71186, 71764, 71878, 72289, 74026, 74100, 74309, 102423, 104263, 140742, 193796, 214931, 217166, 229709, 230775, 233020, 234854, 239170, 319586, 320354, 320661, 360013, 399548, 546071, 100037396
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	2.90755714539904e-06	8.72267143619711e-06	2.07690150177669	7.97970546614912	enriched	60	6	86735.9833333333	13170, 18619, 19736, 22036, 74100, 399548
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	6.37287488536791e-06	1.59321872134198e-05	1.25723444316819	3.51568520321507	enriched	5212	98	126171.118956255	268980, 23984, 19317, 19739, 66931, 67972, 75141, 216439, 218194, 246710, 11480, 11766, 12323, 12514, 12709, 13170, 13488, 13653, 13713, 14470, 15382, 15481, 16520, 16800, 16969, 18190, 18481, 18574, 18619, 18626, 18763, 19049, 19252, 19336, 19395, 19704, 19736, 20312, 20620, 20658, 22036, 22129, 22142, 22631, 26404, 56399, 57276, 58200, 58208, 59046, 65105, 66259, 66599, 66961, 67125, 67760, 68090, 68953, 70300, 71186, 71764, 71878, 72289, 73635, 74026, 74100, 74309, 78217, 78926, 101023, 102423, 104263, 105663, 114641, 170791, 193796, 214931, 217151, 217166, 224904, 225872, 228866, 229709, 230775, 233020, 234854, 239170, 268933, 317717, 319586, 320354, 320661, 360013, 378937, 399548, 546071, 606496, 100037396
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	1.31582897758592e-05	2.81963352339841e-05	0.828345040679971	2.28952652988368	enriched	2334	55	143738.277206512	268980, 23984, 19739, 66931, 67972, 75141, 218194, 246710, 11480, 12323, 12709, 13170, 13488, 16520, 16800, 18574, 18619, 19049, 19395, 19704, 19736, 20312, 20620, 20658, 22036, 22129, 22631, 26404, 57276, 58200, 58208, 59046, 66259, 67300, 71764, 72289, 74026, 74100, 78217, 104263, 114641, 193796, 214931, 217151, 229709, 233020, 234854, 239170, 269630, 320354, 320661, 360013, 399548, 546071, 606496
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	7.40285216688612e-05	0.000123380869448102	1.73192284905359	5.65151046887625	enriched	83	6	127007.21686747	13170, 18619, 19736, 22036, 74100, 399548
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.00635916930458436	0.00794896163073044	0.837112639161717	2.30968843580391	enriched	6204	101	124547.429561573	268980, 23984, 19317, 19739, 66931, 67972, 75141, 216439, 218194, 246710, 11480, 11565, 11766, 12323, 12514, 12709, 13170, 13488, 13498, 13653, 13681, 13713, 13841, 14470, 15382, 15481, 16520, 16800, 16969, 18190, 18481, 18574, 18619, 18626, 18763, 19049, 19252, 19395, 19704, 19735, 19736, 20312, 20429, 20620, 20658, 20918, 22036, 22129, 22142, 22631, 26404, 56399, 57276, 58200, 58208, 59046, 65105, 66083, 66259, 66599, 66865, 68090, 68953, 70300, 71186, 71764, 71878, 72289, 73635, 74026, 74100, 74309, 78217, 101023, 102423, 104263, 105663, 114641, 140742, 193796, 214931, 217151, 217166, 225872, 228866, 229709, 230775, 233020, 234854, 239170, 268933, 317717, 319586, 320354, 320661, 360013, 378937, 399548, 546071, 606496, 100037396
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0112487230087901	0.0129792957793731	0.502460830521777	1.65278349049223	enriched	4169	73	122646.408251379	268980, 23984, 19317, 19739, 66931, 67972, 75141, 216439, 218194, 246710, 11565, 11766, 12323, 12709, 13170, 13488, 14470, 15382, 15481, 16520, 16800, 18574, 18619, 18626, 19049, 19395, 19704, 19736, 20312, 20620, 22036, 22129, 22142, 23802, 26404, 57259, 57276, 58200, 58208, 59046, 65105, 66259, 66599, 67125, 71186, 71764, 71878, 72093, 72289, 74026, 74100, 74309, 102423, 104263, 105663, 140742, 193796, 214931, 217151, 217166, 229709, 230775, 233020, 234854, 239170, 317717, 319586, 320354, 320661, 360013, 399548, 546071, 100037396
