Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2	1889	450.3568	4.1874	2.066	0.08323	0.1189	0.226990909090909
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2	1257864	103288.3746	12.1781	3.6062	1e-05	2.5e-05	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2.Q111-enriched	0	95.7635	0.0103	-6.5964	0.95124	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2.Q111-enriched	0	0.2548	0.797	-0.3274	0.99956	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2.WT-enriched	0	6.1172	0.1405	-2.8313	0.9932	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EZH2.WT-enriched	0	0.0648	0.9391	-0.0906	0.99987	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac	0	1203.0286	8e-04	-10.2337	0.2315	0.28937	0.480765517241379
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac	1574287	315267.4576	4.9935	2.32	1e-05	2.5e-05	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac.Q111-enriched	0	9.6251	0.0941	-3.4094	0.9851	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac.Q111-enriched	53408	3703.0934	14.4189	3.8499	1e-05	1e-04	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac.WT-enriched	0	12.4566	0.0743	-3.7502	0.98282	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27Ac.WT-enriched	8773	4974.3118	1.7635	0.8184	0.18856	0.62853	0.419022222222222
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3	59694	343665.1407	0.1737	-2.5253	1e-05	2.5e-05	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3	3819	1331.9024	2.8659	1.519	0.03929	0.065483	0.112257142857143
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3.Q111-enriched	0	233.6515	0.0043	-7.8744	0.90435	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3.Q111-enriched	0	0.7176	0.5822	-0.7804	0.99898	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3.WT-enriched	0	46.3051	0.0211	-5.5639	0.94772	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K27me3.WT-enriched	24577	12874.8367	1.9088	0.9327	0.10793	0.53965	0.269825
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K4me3	0	542.3661	0.0018	-9.0858	0.50374	0.55971	0.97498064516129
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K4me3	936631	129136.8308	7.253	2.8586	1e-05	2.5e-05	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K4me3.Q111-enriched	0	86.9794	0.0114	-6.4591	0.91832	0.9999	0.99999
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K4me3.Q111-enriched	123014	17313.0057	7.1049	2.8288	1e-05	1e-04	4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3K4me3.WT-enriched	0	1.1934	0.4559	-1.1332	0.99839	0.9999	0.99999
