Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	Enh	0	19.8733	0.0479	-4.3836	0.94113	0.96424	0.97038
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	Enh	25652	4781.1688	5.3643	2.4234	1e-05	3e-05	3e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhLo1	0	25.4346	0.0378	-4.7244	0.93057	0.96424	0.97038
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhLo1	15908	6420.3222	2.4775	1.3089	0.00422	0.0097385	0.010128
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhLo2	0	97.261	0.0102	-6.6185	0.8023	0.91923	0.936577358490566
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhLo2	82148	26558.8681	3.093	1.629	1e-05	3e-05	3e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhPois1	92	61.8305	1.4802	0.5658	0.17537	0.25053	0.2698
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhPois1	62870	16629.4929	3.7805	1.9186	1e-05	3e-05	3e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhPois2	0	75.7975	0.013	-6.263	0.79784	0.91923	0.936577358490566
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	EnhPois2	43137	23057.0503	1.8708	0.9037	0.00361	0.009025	0.009025
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	HetCons	592	25135.1154	0.0236	-5.4056	1e-05	3e-05	3e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	HetCons	719	40.4518	17.3696	4.1185	0.02079	0.04455	0.0471111111111111
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	HetFac	13712	28789.4671	0.4763	-1.07	0.11982	0.18919	0.205405714285714
