Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k27ac	0	190.5709	0.0052	-7.5817	0.67171	0.80605	0.732774545454545
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k27ac	140664	48828.0895	2.8808	1.5265	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k27me3	153	162.4199	0.9424	-0.0857	0.83431	0.83431	0.83431
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k27me3	106777	38934.2992	2.7424	1.4555	0.00062	0.00124	0.00135272727272727
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k36me3	0	524.7591	0.0019	-9.0383	0.40503	0.54004	0.510768
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k36me3	808443	134012.4328	6.0326	2.5928	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k4me1	85	887.8243	0.0968	-3.3695	0.25044	0.42933	0.37566
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k4me1	536239	227567.228	2.3564	1.2366	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k4me3	0	115.323	0.0086	-6.862	0.78245	0.83431	0.816469565217391
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k4me3	112301	28110.1681	3.9949	1.9982	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k9me3	3120	2839.023	1.0989	0.1361	0.28697	0.43046	0.405134117647059
Htt_ChIPSeq.any_2_samples.diffbind.B2020.genotype_enriched	H3k9me3	2863	9.6891	267.9357	8.0657	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k27ac	96057	32371.3527	2.9673	1.5691	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k27ac	1325	380.1463	3.479	1.7987	0.06767	0.090227	0.108272
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k27me3	70115	25556.4571	2.7435	1.456	0.00082	0.00164	0.00164
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k27me3	16908	277.7058	60.6697	5.9229	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k36me3	0	836.0229	0.0012	-9.7091	0.42564	0.46433	0.510768
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k36me3	558333	87554.2789	6.3769	2.6729	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k4me1	1375	1689.9409	0.8137	-0.2973	0.52905	0.52905	0.604628571428571
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k4me1	356846	150569.8761	2.37	1.2449	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k4me3	83693	18437.4456	4.5391	2.1824	1e-05	2.4e-05	2.4e-05
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k4me3	2379	200.8876	11.7887	3.5593	0.00238	0.00408	0.00439384615384615
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k9me3	1973	1905.3225	1.0355	0.0503	0.32134	0.38561	0.428453333333333
Htt_ChIPSeq.any_3_samples.diffbind.B2020.genotype_enriched	H3k9me3	241	21.329	10.8379	3.438	0.01969	0.029535	0.0337542857142857
