Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	0	544.2639	0.0018	-9.0908	0.42671	0.47412	0.46977247706422
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	0	33.1584	0.0293	-5.0942	0.93573	0.93573	0.94578
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	9630	64022.2173	0.1504	-2.7328	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	19669	23567.5675	0.8346	-0.2609	0.25978	0.32473	0.311736
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	2931	1496.5817	1.9578	0.9693	0.13947	0.19924	0.181917391304348
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	342074	67134.3591	5.0953	2.3492	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	12960	2015.1855	6.4285	2.6845	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	1367842	79132.0092	17.2854	4.1115	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	675188	27894.5919	24.2041	4.5972	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_pQ.filtered_qval_5.mm10.sorted.bed	23027	583.1729	39.4198	5.3008	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	0	573.8777	0.0017	-9.1671	0.41271	0.45857	0.458566666666667
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	0	34.347	0.0283	-5.1435	0.93418	0.93418	0.94578
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	11631	66828.081	0.1741	-2.5224	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	20246	24514.6077	0.8259	-0.276	0.24586	0.35123	0.3008
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	2024	1555.1197	1.3013	0.38	0.31385	0.39231	0.365650485436893
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	355071	70275.8181	5.0525	2.337	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	13172	2089.7882	6.3005	2.6555	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	1420825	82784.5456	17.1627	4.1012	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	724850	29085.276	24.9207	4.6393	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_08wks_WT.filtered_qval_5.mm10.sorted.bed	23432	603.9776	38.7337	5.2755	1e-05	1.6667e-05	1.46341463414634e-05
ActiveMotif.Htt_histone_modifications.diffbind	Cortex_12wks_pQ.filtered_qval_5.mm10.sorted.bed	0	826.8828	0.0012	-9.6933	0.27964	0.34955	0.332245544554455
