Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	4.19618694006485e-17	6.29428041009727e-16	0.916522062153171	2.50057839259482	enriched	1397	140	135480.300644238	14007, 17536, 108100, 11938, 12323, 23984, 71978, 108655, 360013, 12296, 14680, 18546, 18574, 19055, 19739, 53618, 58208, 67972, 72097, 75909, 77531, 77579, 108699, 218194, 11540, 11847, 11991, 12313, 12314, 12709, 12810, 13175, 13385, 15331, 15444, 16492, 16520, 16980, 17344, 17827, 18619, 18762, 18771, 18797, 19099, 19395, 19419, 19704, 19736, 20620, 21770, 22145, 22631, 22661, 24064, 26404, 26562, 50884, 53321, 53625, 54393, 54403, 56455, 57138, 57276, 59046, 64009, 64378, 67300, 68349, 68526, 68810, 69338, 69596, 69938, 71722, 72289, 74026, 74100, 74136, 74203, 74206, 74256, 74464, 74533, 74648, 75141, 78779, 80906, 81701, 94093, 94109, 100715, 101739, 102075, 107932, 108069, 108705, 109135, 110351, 114641, 140580, 170676, 207278, 208943, 209225, 212163, 217692, 217732, 223697, 224020, 224129, 226922, 227632, 229709, 230594, 233020, 234593, 234854, 237542, 238271, 239170, 244859, 246710, 268566, 268980, 269019, 270192, 278795, 319162, 319387, 319405, 320354, 320661, 320772, 330914, 381582, 546071, 620246, 100504663
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	2.73558000366738e-11	2.05168500275053e-10	0.686505676514991	1.98676100399668	enriched	2214	180	140097.266937669	19317, 14007, 17536, 108100, 320951, 11938, 12323, 23984, 71978, 108655, 328734, 360013, 12296, 14680, 18546, 18574, 19055, 19739, 20464, 58208, 67972, 72097, 75909, 77531, 78887, 102423, 108699, 216439, 217340, 218194, 383348, 11540, 11766, 11847, 11991, 12006, 12313, 12314, 12709, 12723, 12810, 13175, 13385, 13507, 13821, 14056, 14732, 15201, 15382, 15444, 16201, 16492, 16520, 16554, 16795, 18005, 18087, 18213, 18387, 18619, 18626, 18762, 18771, 18797, 18830, 19395, 19704, 19736, 20620, 21770, 22145, 22288, 23859, 24064, 26404, 26562, 30785, 50884, 52808, 53321, 53625, 54393, 54403, 57276, 58175, 58235, 59046, 60595, 64009, 64378, 67016, 67752, 68053, 68526, 68810, 69338, 69938, 71685, 71722, 71878, 72157, 72289, 73100, 73940, 74026, 74100, 74136, 74206, 74256, 74309, 74464, 74533, 74648, 75141, 76089, 78779, 80906, 81701, 83766, 83925, 94109, 100715, 102075, 108069, 108073, 108705, 109135, 110351, 140742, 170676, 170707, 192160, 208943, 209225, 211484, 212163, 217166, 217335, 217692, 217732, 217826, 217843, 218461, 223254, 223697, 224129, 226922, 227632, 229709, 233020, 234593, 234854, 237542, 238271, 239170, 241175, 244859, 246710, 264064, 268566, 268980, 269019, 269587, 270192, 271127, 278795, 319405, 319476, 319586, 319931, 320127, 320354, 320661, 320772, 330119, 330914, 546071, 620246, 622434, 100037396
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	2.52449493877139e-10	1.2622474693857e-09	0.643952998247084	1.90399250183031	enriched	2693	201	122706.68473821	19317, 14007, 17536, 108100, 11938, 12323, 23984, 71978, 108655, 360013, 12296, 14680, 18546, 18574, 19055, 19739, 58208, 67972, 72097, 75909, 77531, 102423, 108699, 216439, 217340, 218194, 383348, 11461, 11540, 11766, 11838, 11847, 11991, 12006, 12313, 12314, 12709, 12723, 12810, 13175, 13385, 13653, 13821, 14732, 15331, 15357, 15382, 15444, 15936, 16201, 16492, 16520, 16554, 16969, 18005, 18213, 18387, 18619, 18626, 18762, 18771, 18797, 19099, 19201, 19395, 19419, 19704, 19736, 20620, 21770, 22145, 22631, 23859, 24064, 26404, 26561, 30785, 50884, 51799, 52004, 52808, 53321, 53625, 54393, 54403, 56399, 56455, 56722, 57276, 58175, 59046, 60595, 64009, 64378, 66961, 67016, 67760, 67848, 68349, 68526, 68810, 69338, 69596, 69938, 71685, 71722, 71878, 72289, 73100, 73635, 74026, 74100, 74136, 74206, 74256, 74309, 74464, 74533, 74648, 75141, 75580, 75659, 78408, 78749, 78779, 78926, 80906, 81701, 94109, 98267, 98956, 100715, 102075, 107895, 107932, 108069, 108073, 108705, 108946, 109135, 109648, 110351, 114641, 117109, 140580, 170707, 192160, 207683, 208943, 209225, 212163, 216846, 217166, 217335, 217692, 217732, 217826, 218461, 223254, 223697, 224020, 224129, 224792, 225872, 226922, 227632, 229709, 233020, 233489, 234593, 234825, 234854, 237542, 238271, 239170, 241175, 242022, 244859, 246710, 264064, 268566, 268709, 268980, 269019, 269587, 269633, 270192, 271127, 278795, 319405, 319586, 320354, 320661, 320772, 330119, 330914, 407800, 546071, 620246, 100037396, 100504663
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	5.64567289749235e-10	2.11712733655963e-09	0.632064716010813	1.88149131682126	enriched	3162	226	123321.02055661	19317, 14007, 17536, 108100, 11938, 12323, 23984, 71978, 108655, 360013, 12296, 14680, 18546, 18574, 18755, 19055, 19739, 58208, 67972, 72097, 75909, 77531, 77579, 78887, 102423, 108699, 216439, 217340, 218194, 383348, 11461, 11540, 11567, 11766, 11838, 11847, 11991, 12313, 12314, 12709, 12723, 12810, 13175, 13385, 13653, 13681, 13821, 13841, 14732, 15331, 15357, 15382, 15444, 16201, 16492, 16520, 16554, 16969, 17250, 17344, 17827, 18005, 18087, 18213, 18387, 18619, 18626, 18762, 18771, 18797, 19099, 19395, 19419, 19704, 19735, 19736, 20620, 20918, 21770, 22145, 22210, 22631, 23859, 24064, 26404, 26422, 26561, 26562, 30785, 50884, 51799, 52004, 52808, 53321, 53625, 54393, 54403, 56399, 56455, 57276, 58175, 59046, 60595, 64009, 64378, 66083, 66561, 66865, 67016, 67848, 68349, 68526, 68810, 69338, 69596, 69938, 71685, 71722, 71878, 72157, 72289, 72397, 73100, 73635, 74026, 74100, 74136, 74203, 74206, 74256, 74309, 74342, 74464, 74533, 74648, 75033, 75141, 75617, 75659, 76089, 78408, 78779, 80906, 81701, 83767, 94109, 98267, 98956, 100715, 101739, 102075, 102323, 107932, 108069, 108073, 108705, 108946, 109135, 110351, 114641, 117109, 140580, 140742, 170676, 170707, 192160, 207683, 208943, 209225, 211484, 212163, 216846, 217166, 217335, 217692, 217732, 217826, 218461, 223697, 224020, 224129, 224792, 225872, 226922, 227632, 227700, 229709, 230734, 233020, 233489, 234593, 234825, 234854, 237542, 238271, 239170, 241175, 242022, 244859, 246710, 252870, 264064, 268566, 268980, 269019, 269587, 269702, 270192, 278795, 319387, 319405, 319586, 319931, 320127, 320354, 320661, 320772, 330119, 330914, 331524, 381582, 407800, 546071, 620246, 100037396, 100504663
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6.82118107644986e-07	2.04635432293496e-06	0.514902530677647	1.67347538133665	enriched	2334	171	143738.277206512	14007, 17536, 108100, 11938, 12323, 23984, 71978, 108655, 360013, 12296, 12661, 14680, 18546, 18574, 19055, 19739, 53618, 58208, 67972, 72097, 75909, 77531, 77579, 108699, 218194, 11540, 11847, 11991, 12313, 12314, 12393, 12418, 12709, 12810, 13175, 13385, 13627, 13629, 14705, 15331, 15444, 16392, 16492, 16520, 16980, 17344, 17827, 18377, 18619, 18762, 18771, 18797, 19099, 19395, 19419, 19704, 19736, 20620, 20658, 21770, 22145, 22631, 22661, 22680, 24064, 26404, 26562, 50884, 53321, 53625, 54003, 54196, 54393, 54403, 56455, 57138, 57276, 59008, 59046, 63830, 64009, 64295, 64378, 66931, 67300, 67684, 68126, 68349, 68526, 68810, 69338, 69596, 69938, 71722, 71805, 72289, 73174, 74026, 74100, 74136, 74203, 74206, 74256, 74464, 74533, 74648, 74718, 75141, 78779, 80906, 81701, 93687, 94093, 94109, 99633, 100715, 101739, 102075, 107932, 108069, 108705, 109135, 110351, 110750, 114641, 140580, 170676, 207278, 208943, 209225, 212163, 214552, 217151, 217692, 217732, 217951, 223697, 224020, 224129, 225861, 226922, 227632, 229709, 230594, 233020, 234593, 234854, 237542, 238271, 239170, 244859, 246710, 268566, 268980, 269019, 269630, 270192, 278795, 319162, 319387, 319405, 320354, 320661, 320772, 330914, 331424, 381582, 407823, 546071, 620246, 100504663
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.000580942415167785	0.00124487660393097	0.356539682811757	1.42837821145771	enriched	4169	251	122646.408251379	19317, 14007, 17536, 108100, 320951, 11938, 12323, 23984, 71978, 108655, 328734, 360013, 12296, 14680, 18546, 18574, 19055, 19739, 20464, 21761, 58208, 67005, 67972, 72097, 75909, 77531, 78887, 102423, 108699, 216439, 217340, 218194, 317717, 383348, 11540, 11565, 11766, 11847, 11964, 11991, 12006, 12313, 12314, 12393, 12418, 12709, 12723, 12810, 13175, 13207, 13244, 13385, 13507, 13627, 13821, 14056, 14433, 14705, 14732, 15201, 15382, 15444, 15481, 16201, 16392, 16492, 16520, 16554, 16795, 18005, 18087, 18089, 18096, 18213, 18377, 18387, 18619, 18626, 18749, 18762, 18771, 18797, 18830, 18996, 19158, 19172, 19395, 19646, 19698, 19704, 19736, 20382, 20620, 21770, 22142, 22145, 22288, 23802, 23859, 23918, 24064, 26404, 26562, 29806, 30785, 50884, 52808, 53321, 53625, 54003, 54393, 54403, 55992, 56193, 56433, 56434, 57276, 58175, 58235, 59008, 59046, 60595, 64009, 64295, 64378, 65105, 66117, 66448, 66599, 66645, 66929, 66931, 67016, 67044, 67125, 67588, 67752, 67790, 68053, 68126, 68526, 68675, 68810, 68979, 69338, 69654, 69938, 70225, 70799, 71685, 71722, 71805, 71878, 72157, 72289, 72611, 73100, 73174, 73940, 74026, 74100, 74136, 74206, 74256, 74309, 74464, 74533, 74648, 74718, 75141, 76089, 76894, 78108, 78779, 80906, 81701, 83766, 83925, 93687, 94109, 100715, 102075, 108069, 108073, 108705, 109129, 109135, 110351, 110750, 140742, 170676, 170707, 192160, 208943, 209225, 211484, 212163, 213673, 214552, 217151, 217166, 217335, 217692, 217732, 217826, 217843, 218454, 218461, 223254, 223664, 223697, 224129, 225631, 226922, 227632, 229709, 233020, 233875, 234593, 234854, 237542, 238271, 239170, 241175, 244859, 246710, 264064, 268566, 268980, 269019, 269587, 270192, 271127, 278795, 319405, 319476, 319586, 319887, 319931, 320127, 320354, 320661, 320772, 330119, 330914, 382985, 399566, 546071, 620246, 622434, 100037396
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.00142844768584617	0.00238074614307694	0.364444992103448	1.43971473332204	enriched	5212	304	126171.118956255	19317, 14007, 17536, 108100, 11938, 12323, 23984, 71978, 108655, 360013, 12296, 12661, 14680, 18546, 18574, 19055, 19739, 20817, 21761, 23801, 58208, 67005, 67972, 72097, 75909, 76937, 77531, 102423, 108699, 216439, 217340, 218194, 317717, 383348, 11461, 11540, 11766, 11838, 11847, 11931, 11964, 11991, 12006, 12234, 12313, 12314, 12393, 12418, 12709, 12723, 12810, 13175, 13207, 13211, 13244, 13385, 13627, 13653, 13821, 14402, 14705, 14732, 14886, 15331, 15357, 15382, 15444, 15481, 15936, 16201, 16392, 16492, 16520, 16554, 16969, 17904, 17999, 18005, 18015, 18089, 18213, 18377, 18387, 18481, 18619, 18626, 18749, 18762, 18771, 18797, 18996, 19099, 19201, 19336, 19395, 19419, 19698, 19704, 19736, 20620, 20658, 20663, 21333, 21376, 21770, 22142, 22145, 22365, 22631, 22680, 23859, 24064, 26372, 26404, 26561, 27223, 29806, 30785, 50884, 50931, 51799, 52004, 52808, 53321, 53625, 54003, 54196, 54384, 54393, 54403, 56399, 56433, 56455, 56632, 56722, 57276, 58175, 59008, 59046, 60595, 64009, 64295, 64378, 65105, 66599, 66645, 66931, 66961, 67016, 67044, 67125, 67452, 67487, 67588, 67684, 67760, 67785, 67790, 67848, 68126, 68349, 68526, 68810, 68979, 69101, 69228, 69338, 69596, 69938, 70144, 70799, 71685, 71722, 71805, 71878, 72289, 72925, 72930, 73100, 73174, 73635, 74026, 74100, 74136, 74206, 74256, 74309, 74464, 74533, 74648, 74718, 74766, 74996, 75141, 75580, 75659, 76484, 78108, 78408, 78749, 78779, 78926, 80906, 81701, 93687, 94109, 98267, 98956, 99633, 100715, 101023, 102075, 104001, 107895, 107932, 108069, 108073, 108705, 108946, 109129, 109135, 109648, 110351, 110637, 110750, 114641, 117109, 140580, 170707, 170791, 192160, 192197, 192292, 207683, 208943, 209225, 212163, 213498, 214552, 216613, 216846, 217151, 217166, 217335, 217337, 217692, 217732, 217826, 217951, 218461, 223254, 223435, 223664, 223697, 224020, 224129, 224792, 224904, 225631, 225872, 226751, 226922, 227632, 229709, 233020, 233489, 234593, 234825, 234854, 235606, 237542, 238271, 239170, 241175, 242022, 244859, 246710, 264064, 268566, 268709, 268933, 268980, 269019, 269587, 269633, 270192, 271127, 278795, 319405, 319586, 319887, 320354, 320661, 320772, 330119, 330914, 331424, 382985, 407800, 407823, 546071, 620246, 100037396, 100504663
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.112694288642829	0.140867860803536	0.206923086188562	1.22988797277119	enriched	6204	338	124547.429561573	19317, 14007, 17536, 108100, 11938, 12323, 23984, 71978, 83560, 108655, 237711, 360013, 12296, 12661, 13498, 14680, 18546, 18574, 18755, 19055, 19739, 20817, 21761, 23801, 58208, 67005, 67972, 72097, 75909, 76937, 77531, 77579, 78887, 102423, 108699, 216439, 217340, 218194, 317717, 383348, 11461, 11540, 11565, 11567, 11766, 11838, 11847, 11931, 11964, 11991, 12313, 12314, 12393, 12418, 12709, 12723, 12810, 13175, 13207, 13244, 13385, 13627, 13629, 13653, 13681, 13821, 13841, 14705, 14732, 14755, 14886, 14912, 15114, 15331, 15357, 15382, 15444, 15481, 16201, 16392, 16492, 16520, 16554, 16969, 17250, 17344, 17827, 17999, 18005, 18015, 18087, 18089, 18213, 18377, 18387, 18481, 18619, 18626, 18654, 18749, 18762, 18771, 18797, 18996, 19099, 19395, 19419, 19698, 19704, 19735, 19736, 20620, 20658, 20663, 20918, 21770, 22142, 22145, 22210, 22365, 22631, 22680, 23859, 24064, 26372, 26404, 26422, 26561, 26562, 27355, 29806, 30785, 50884, 50931, 51799, 52004, 52808, 53321, 53419, 53625, 54003, 54196, 54384, 54393, 54403, 55992, 56399, 56434, 56455, 56632, 57276, 58175, 58235, 59008, 59046, 60595, 63830, 64009, 64295, 64378, 65105, 66083, 66256, 66561, 66599, 66645, 66865, 66931, 67016, 67044, 67487, 67588, 67684, 67785, 67790, 67848, 68126, 68349, 68526, 68675, 68708, 68810, 68979, 69101, 69228, 69338, 69596, 69606, 69654, 69938, 70144, 70225, 70799, 71685, 71722, 71805, 71878, 72157, 72289, 72397, 72578, 72925, 72930, 73100, 73174, 73635, 74026, 74100, 74136, 74203, 74206, 74211, 74256, 74309, 74342, 74464, 74533, 74648, 74718, 74766, 74996, 75033, 75141, 75617, 75659, 76089, 76484, 78108, 78408, 78779, 80906, 81701, 83767, 93687, 94109, 98267, 98956, 99633, 100715, 101023, 101739, 102075, 102323, 107932, 108069, 108073, 108705, 108946, 109129, 109135, 110351, 110637, 110750, 114641, 117109, 140580, 140742, 170676, 170707, 192160, 192197, 192292, 207683, 208943, 209225, 211484, 212163, 213498, 214552, 216613, 216846, 217151, 217166, 217335, 217692, 217732, 217826, 217951, 218454, 218461, 223435, 223664, 223697, 224020, 224129, 224792, 225631, 225872, 226751, 226922, 227632, 227700, 229709, 230734, 233020, 233489, 234593, 234825, 234854, 235606, 237542, 238271, 239170, 241175, 242022, 244859, 246710, 252870, 264064, 268566, 268933, 268980, 269019, 269587, 269702, 270192, 278795, 319387, 319405, 319586, 319887, 319931, 320127, 320354, 320661, 320772, 330119, 330914, 331424, 331524, 381582, 382985, 407800, 407823, 546071, 620246, 100037396, 100504663
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.530494679531726	0.61210924561353	0.32716601858418	1.38703173111077	enriched	60	4	86735.9833333333	11540, 18619, 19736, 74100
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.766728157192931	0.766728157192931	0.138292063351816	1.14831088082769	enriched	83	5	127007.21686747	11540, 18619, 19736, 74100, 100040591
