Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Molecular Function	GO:0019899	enzyme binding	2.34153455112402e-17	2.76066923577522e-14	0.844809937891074	2.32753539624208	enriched	1963	135	115999.173204279	71978, 83560, 192160, 268980, 218194, 252870, 11938, 12296, 12323, 12418, 12661, 13144, 13498, 15270, 18005, 18755, 19055, 69131, 77891, 78887, 109676, 216439, 11461, 11733, 11847, 11931, 11991, 12006, 12049, 12298, 12313, 12314, 12393, 12631, 12709, 13207, 13385, 13627, 13629, 13653, 14433, 14800, 14886, 15444, 15481, 15516, 16201, 16478, 16554, 16561, 16800, 16969, 17344, 17930, 18245, 18481, 18521, 18582, 18626, 18749, 18762, 18996, 19045, 19099, 19367, 19646, 20383, 20384, 20393, 20922, 21412, 22145, 22288, 22433, 22631, 23802, 23859, 24064, 26404, 26412, 26422, 51791, 53379, 54003, 56193, 56399, 56455, 56812, 57261, 59008, 67016, 67149, 67300, 67773, 69228, 69917, 70435, 70799, 71132, 71474, 71514, 71878, 74256, 74766, 75141, 75406, 75580, 75665, 77480, 83767, 97031, 98956, 100855, 102323, 102423, 108017, 110351, 110750, 110809, 140629, 192197, 214444, 217232, 217692, 219181, 223254, 223332, 224727, 227801, 229571, 233877, 238799, 271639, 320127, 399566
Gene Ontology Cellular Component	GO:0097458	neuron part	3.32664588768799e-16	1.63178186699391e-13	0.871019347035746	2.38934518453067	enriched	1490	118	177868.153020134	23984, 108100, 67972, 268980, 19739, 20740, 58208, 77579, 229279, 12323, 12661, 18546, 60595, 84036, 140486, 233489, 383348, 11438, 11461, 11596, 11733, 11911, 12313, 12314, 12631, 12709, 13385, 13841, 14402, 14800, 14886, 15114, 15166, 15444, 15481, 16492, 16554, 16561, 16646, 16800, 17754, 17968, 17969, 17999, 18015, 18189, 18190, 18387, 18574, 18587, 18619, 18762, 18996, 19045, 19049, 19099, 19205, 19290, 19395, 19735, 20393, 20604, 20620, 21333, 22288, 23802, 23859, 26404, 26562, 30785, 51791, 53321, 53379, 54003, 54393, 56418, 56843, 57776, 58235, 58800, 67300, 67790, 69654, 71877, 74309, 74342, 74413, 75406, 76484, 77945, 83766, 97031, 99633, 100678, 108069, 108073, 109624, 110351, 110637, 140492, 211484, 213081, 217166, 217692, 223254, 227801, 230822, 233908, 241638, 243547, 268566, 268709, 271639, 319387, 319757, 320127, 331461, 100503659
Gene Ontology Cellular Component	GO:0042995	cell projection	4.15740603055775e-16	1.63178186699391e-13	0.792247899741019	2.20835501162526	enriched	2076	146	157304.772157996	108100, 67972, 268980, 19739, 20740, 58208, 77579, 229279, 12323, 12661, 18546, 60595, 77531, 140486, 11426, 11438, 11461, 11596, 11733, 11838, 11911, 11964, 12313, 12314, 12491, 12631, 12709, 13385, 13411, 13627, 13841, 14402, 14800, 14886, 15114, 15166, 15444, 15450, 15481, 15516, 16492, 16554, 16561, 16646, 16800, 17754, 17968, 17969, 17999, 18015, 18189, 18387, 18582, 18587, 18619, 18749, 18762, 18996, 19045, 19099, 19158, 19205, 19290, 19395, 19735, 20393, 20494, 20532, 20620, 21333, 22288, 23802, 23805, 23859, 24064, 26404, 26562, 30785, 51791, 53321, 53379, 54003, 54393, 55992, 56193, 56418, 56843, 57776, 58235, 58800, 66086, 67300, 67790, 68708, 69654, 70549, 71132, 71769, 71820, 71877, 73293, 74025, 74256, 74309, 74342, 75406, 76484, 77945, 83767, 97031, 99633, 100678, 108069, 108073, 108101, 109624, 110351, 110637, 140492, 192292, 211484, 213081, 214552, 217166, 217335, 217692, 223254, 227801, 230822, 233908, 234593, 235312, 241638, 243547, 245880, 268566, 268709, 271639, 319387, 319757, 320127, 330914, 331461, 382406, 100503659, 100504663
Gene Ontology Molecular Function	GO:0005515	protein binding	5.95658002162088e-16	3.51140392274551e-13	0.639478263073671	1.89549167327524	enriched	8129	386	117955.282568582	19317, 17536, 71978, 108100, 67972, 83560, 192160, 237711, 241568, 268980, 19739, 20658, 20740, 20817, 21833, 58208, 74100, 77579, 108655, 114641, 140488, 218194, 244059, 252870, 268448, 317717, 320038, 360013, 11938, 12295, 12296, 12323, 12418, 12661, 13144, 13395, 13498, 14794, 15270, 17904, 18005, 18546, 18755, 19055, 19769, 20464, 21761, 22772, 53618, 60595, 69131, 75033, 77531, 77891, 78887, 80906, 84036, 109676, 170791, 216439, 225326, 229709, 233489, 246710, 319162, 11426, 11438, 11461, 11596, 11733, 11766, 11838, 11847, 11865, 11889, 11911, 11931, 11991, 12006, 12049, 12163, 12177, 12298, 12313, 12314, 12393, 12491, 12631, 12709, 12723, 12747, 13207, 13385, 13507, 13627, 13629, 13653, 13681, 13821, 13841, 14056, 14123, 14312, 14402, 14433, 14635, 14680, 14800, 14886, 15081, 15114, 15166, 15201, 15388, 15444, 15450, 15481, 15516, 16201, 16392, 16478, 16554, 16561, 16646, 16795, 16800, 16956, 16969, 17300, 17344, 17754, 17930, 17969, 17999, 18015, 18032, 18189, 18190, 18245, 18377, 18452, 18481, 18521, 18574, 18582, 18619, 18626, 18654, 18749, 18762, 18771, 18797, 18861, 18996, 19045, 19049, 19092, 19099, 19158, 19201, 19205, 19290, 19336, 19367, 19646, 19698, 19735, 19736, 20239, 20383, 20384, 20393, 20532, 20604, 20620, 20663, 20877, 20922, 21333, 21412, 21770, 21780, 21923, 22142, 22145, 22288, 22365, 22433, 22631, 23802, 23805, 23859, 23958, 24064, 26404, 26412, 26422, 26562, 27041, 27220, 27223, 29806, 30785, 50931, 51791, 51799, 52004, 53321, 53379, 54003, 54384, 54393, 54403, 55992, 56193, 56399, 56418, 56420, 56433, 56455, 56722, 56812, 57261, 58200, 58235, 58800, 59008, 59013, 59046, 63830, 64177, 65105, 66083, 66645, 66743, 66890, 66961, 67016, 67149, 67245, 67269, 67300, 67440, 67773, 67790, 68053, 68708, 68795, 68961, 69151, 69228, 69654, 69917, 70435, 70549, 70799, 71132, 71474, 71514, 71722, 71732, 71769, 71820, 71877, 71878, 71923, 72289, 72780, 72925, 72930, 73293, 74136, 74200, 74203, 74256, 74648, 74718, 74766, 74996, 75141, 75406, 75580, 75665, 76055, 76484, 77480, 77945, 78455, 78926, 83766, 83767, 83925, 93670, 93679, 93686, 94093, 97031, 98956, 99633, 100678, 100715, 100855, 102323, 102423, 103844, 106565, 107976, 108017, 108073, 108101, 108699, 108705, 109624, 110351, 110637, 110750, 110796, 110809, 140492, 140580, 140629, 140742, 192197, 192292, 209456, 211484, 213498, 214137, 214444, 214552, 215061, 216846, 217166, 217207, 217232, 217335, 217692, 217843, 219181, 223254, 223332, 223697, 223773, 224727, 224860, 225872, 226751, 227700, 227801, 228769, 229571, 230594, 230908, 231769, 233877, 233908, 234549, 234593, 234854, 235312, 237542, 238271, 238799, 239719, 241638, 242022, 243547, 245880, 268566, 270192, 271639, 319154, 319387, 319757, 319887, 320127, 329416, 329559, 331461, 382301, 399566, 407800, 434438, 100126775, 100503659, 100504663
Gene Ontology Cellular Component	GO:0043005	neuron projection	2.57883920639919e-15	6.74796259007788e-13	0.912182378968218	2.48975018707635	enriched	1164	99	190825.478522337	108100, 67972, 268980, 20740, 58208, 77579, 229279, 12323, 12661, 18546, 60595, 140486, 11438, 11461, 11596, 11733, 11911, 12313, 12314, 12631, 12709, 13385, 13841, 14402, 14800, 15114, 15166, 15444, 15481, 16492, 16554, 16561, 16646, 16800, 17968, 17969, 17999, 18015, 18189, 18387, 18619, 18762, 18996, 19045, 19099, 19205, 19290, 19395, 19735, 20393, 20620, 21333, 22288, 23802, 23859, 26404, 26562, 51791, 53321, 53379, 54003, 54393, 56418, 56843, 57776, 58235, 58800, 67300, 67790, 69654, 74309, 74342, 75406, 76484, 99633, 100678, 108069, 108073, 109624, 110351, 110637, 140492, 211484, 217166, 217692, 223254, 227801, 230822, 233908, 241638, 243547, 268566, 268709, 271639, 319387, 319757, 320127, 331461, 100503659
Gene Ontology Cellular Component	GO:0005622	intracellular	2.3366739925387e-13	4.0511574526346e-11	0.657820256218407	1.93057957587754	enriched	12895	532	105063.701279566	19317, 17536, 23984, 71978, 83486, 108100, 14007, 67972, 83560, 110109, 192160, 237711, 241568, 268980, 320951, 19739, 20658, 20740, 20817, 21833, 58208, 67005, 67758, 74100, 77579, 108655, 114641, 140488, 218194, 229279, 235469, 244059, 252870, 268448, 317717, 320038, 360013, 11938, 12295, 12323, 12418, 13144, 13395, 13404, 13498, 13549, 14794, 14912, 15270, 16848, 17184, 17904, 18005, 18546, 18755, 19055, 19704, 20364, 20464, 20813, 20872, 21761, 22772, 26561, 53618, 59047, 60595, 66704, 69131, 69188, 69938, 71805, 74148, 74533, 75033, 77531, 77891, 78887, 80906, 84036, 109676, 140486, 170791, 208043, 213827, 216439, 225326, 229709, 233489, 319162, 11370, 11426, 11461, 11596, 11733, 11766, 11838, 11847, 11865, 11911, 11964, 11991, 12006, 12049, 12177, 12193, 12313, 12314, 12393, 12491, 12514, 12631, 12709, 12747, 13041, 13170, 13207, 13244, 13385, 13396, 13507, 13627, 13629, 13653, 13681, 13821, 14029, 14056, 14312, 14402, 14433, 14635, 14680, 14755, 14800, 14886, 15081, 15114, 15117, 15166, 15201, 15229, 15331, 15382, 15388, 15416, 15444, 15450, 15476, 15481, 15516, 16201, 16392, 16478, 16554, 16561, 16646, 16795, 16800, 16969, 17250, 17300, 17344, 17537, 17754, 17827, 17930, 17968, 17969, 17999, 18015, 18032, 18087, 18089, 18096, 18120, 18189, 18223, 18245, 18420, 18452, 18481, 18521, 18554, 18574, 18582, 18626, 18749, 18762, 18771, 18797, 18861, 18996, 19045, 19049, 19092, 19099, 19158, 19172, 19201, 19205, 19290, 19336, 19367, 19395, 19646, 19698, 19714, 19735, 19736, 20239, 20383, 20384, 20393, 20448, 20494, 20532, 20620, 20877, 20922, 20931, 21412, 21780, 22142, 22145, 22288, 22365, 22433, 22631, 22661, 22668, 23801, 23802, 23805, 23859, 23958, 24064, 24116, 26372, 26404, 26412, 26422, 26562, 27041, 27220, 27223, 27355, 29806, 30785, 30838, 30942, 50798, 51791, 51799, 52004, 52808, 53379, 53382, 53419, 54003, 54384, 54393, 54397, 54446, 55992, 56193, 56374, 56399, 56418, 56420, 56433, 56455, 56722, 56812, 57261, 57776, 58175, 58200, 58235, 58800, 59008, 59013, 59046, 64294, 64295, 64378, 65105, 66083, 66086, 66117, 66256, 66266, 66359, 66379, 66448, 66495, 66599, 66645, 66743, 66890, 66961, 67016, 67036, 67229, 67245, 67269, 67300, 67427, 67440, 67452, 67487, 67504, 67684, 67773, 67785, 67790, 67848, 67869, 68053, 68126, 68349, 68393, 68526, 68675, 68795, 68961, 68979, 69228, 69237, 69596, 69612, 69654, 69683, 69917, 70144, 70225, 70435, 70510, 70549, 70561, 70799, 71132, 71147, 71254, 71474, 71514, 71685, 71722, 71732, 71820, 71877, 71878, 71923, 72157, 72289, 72425, 72611, 72925, 72930, 73293, 73809, 74026, 74136, 74200, 74203, 74206, 74211, 74256, 74319, 74342, 74392, 74413, 74455, 74648, 74718, 74766, 74996, 75406, 75580, 75665, 76055, 76380, 76479, 76484, 76952, 77480, 77945, 78455, 78748, 78749, 78926, 79059, 83766, 83767, 83925, 93679, 93686, 94093, 98267, 98956, 100715, 100855, 101023, 102323, 102423, 103844, 103850, 104001, 107895, 107976, 108073, 108101, 108699, 108705, 108888, 109135, 109624, 110351, 110637, 110750, 110796, 110809, 117109, 140492, 140580, 140629, 140742, 170676, 192197, 192292, 207278, 208943, 209225, 209456, 211484, 213081, 213389, 213498, 214137, 214444, 214552, 214931, 215061, 215418, 216846, 217151, 217166, 217207, 217232, 217335, 217692, 219181, 223254, 223332, 223697, 223773, 224727, 224792, 224823, 224860, 224904, 225055, 225872, 226751, 226861, 226922, 227700, 227801, 228769, 229571, 230594, 230801, 230848, 230908, 231655, 231769, 233020, 233877, 233908, 234593, 234854, 235312, 237542, 237877, 238271, 238455, 238799, 239719, 241638, 243547, 243963, 244745, 245880, 264064, 268566, 268709, 269019, 269514, 269702, 270192, 271639, 317750, 319154, 319189, 319476, 319757, 319887, 320100, 320127, 320162, 327655, 327992, 329416, 329559, 330914, 331461, 381373, 382301, 382406, 382985, 387246, 399566, 434438, 474156, 546071, 546272, 723902, 723951, 100043034, 100124465, 100503659, 100504663
Gene Ontology Cellular Component	GO:0120025	plasma membrane bounded cell projection	2.58035506537235e-13	4.0511574526346e-11	0.747561936117977	2.11184492211234	enriched	1861	129	162812.459430414	108100, 67972, 268980, 19739, 20740, 58208, 77579, 229279, 12323, 12661, 18546, 60595, 140486, 11438, 11461, 11596, 11733, 11911, 11964, 12313, 12314, 12631, 12709, 13385, 13411, 13627, 13841, 14402, 14800, 15114, 15166, 15444, 15450, 15481, 16492, 16554, 16561, 16646, 16800, 17754, 17968, 17969, 17999, 18015, 18189, 18387, 18587, 18619, 18749, 18762, 18996, 19045, 19099, 19158, 19205, 19290, 19395, 19735, 20393, 20494, 20620, 21333, 22288, 23802, 23805, 23859, 26404, 26562, 51791, 53321, 53379, 54003, 54393, 56193, 56418, 56843, 57776, 58235, 58800, 66086, 67300, 67790, 68708, 69654, 70549, 71132, 71820, 71877, 73293, 74025, 74256, 74309, 74342, 75406, 76484, 77945, 83767, 97031, 99633, 100678, 108069, 108073, 109624, 110351, 110637, 140492, 211484, 213081, 214552, 217166, 217335, 217692, 223254, 227801, 230822, 233908, 241638, 243547, 245880, 268566, 268709, 271639, 319387, 319757, 320127, 331461, 382406, 100503659, 100504663
Gene Ontology Cellular Component	GO:0044424	intracellular part	5.63135899099355e-13	7.36769467988323e-11	0.640949106833431	1.89828169671584	enriched	12790	527	105029.765363565	19317, 17536, 23984, 71978, 83486, 108100, 14007, 67972, 83560, 110109, 192160, 237711, 241568, 268980, 320951, 19739, 20658, 20740, 20817, 21833, 58208, 67005, 67758, 74100, 77579, 108655, 114641, 140488, 218194, 229279, 235469, 244059, 252870, 268448, 317717, 320038, 360013, 11938, 12295, 12323, 12418, 13144, 13395, 13404, 13498, 13549, 14794, 14912, 15270, 16848, 17184, 17904, 18005, 18546, 18755, 19055, 19704, 20364, 20464, 20813, 20872, 21761, 22772, 26561, 53618, 59047, 60595, 66704, 69131, 69188, 69938, 71805, 74148, 74533, 75033, 77531, 77891, 78887, 80906, 84036, 109676, 140486, 170791, 208043, 213827, 216439, 225326, 229709, 233489, 319162, 11370, 11426, 11461, 11596, 11733, 11766, 11838, 11847, 11865, 11911, 11964, 11991, 12006, 12049, 12177, 12193, 12313, 12314, 12393, 12491, 12514, 12631, 12709, 12747, 13041, 13170, 13207, 13244, 13385, 13396, 13507, 13627, 13629, 13653, 13681, 13821, 14029, 14056, 14312, 14402, 14433, 14635, 14680, 14755, 14800, 14886, 15081, 15114, 15117, 15166, 15201, 15229, 15331, 15382, 15388, 15416, 15444, 15450, 15476, 15481, 15516, 16201, 16392, 16478, 16554, 16561, 16646, 16795, 16800, 16969, 17250, 17300, 17344, 17537, 17754, 17827, 17930, 17968, 17969, 17999, 18015, 18032, 18087, 18089, 18096, 18120, 18189, 18223, 18245, 18420, 18452, 18481, 18521, 18554, 18574, 18582, 18626, 18749, 18762, 18771, 18797, 18861, 18996, 19045, 19049, 19092, 19099, 19158, 19172, 19201, 19205, 19290, 19336, 19367, 19395, 19646, 19698, 19714, 19735, 19736, 20239, 20383, 20384, 20393, 20448, 20494, 20532, 20620, 20877, 20922, 20931, 21412, 21780, 22142, 22145, 22288, 22365, 22433, 22631, 22661, 22668, 23801, 23802, 23805, 23859, 23958, 24064, 24116, 26372, 26404, 26412, 26422, 26562, 27041, 27220, 27223, 27355, 29806, 30785, 30838, 30942, 50798, 51791, 51799, 52004, 52808, 53379, 53382, 53419, 54003, 54384, 54393, 54397, 54446, 55992, 56193, 56374, 56399, 56418, 56420, 56433, 56455, 56722, 56812, 57261, 57776, 58175, 58200, 58235, 58800, 59008, 59013, 59046, 64294, 64295, 64378, 65105, 66083, 66086, 66117, 66256, 66266, 66359, 66379, 66448, 66495, 66599, 66645, 66743, 66890, 66961, 67036, 67229, 67245, 67269, 67300, 67427, 67440, 67452, 67487, 67504, 67684, 67773, 67785, 67790, 67848, 67869, 68053, 68126, 68349, 68393, 68526, 68675, 68795, 68961, 68979, 69228, 69237, 69596, 69612, 69654, 69683, 69917, 70144, 70225, 70435, 70510, 70549, 70561, 70799, 71132, 71147, 71254, 71474, 71514, 71685, 71722, 71732, 71820, 71877, 71878, 71923, 72157, 72289, 72425, 72611, 72925, 72930, 73293, 73809, 74026, 74136, 74200, 74203, 74206, 74211, 74256, 74319, 74342, 74392, 74413, 74455, 74648, 74718, 74766, 74996, 75406, 75580, 75665, 76055, 76380, 76479, 76484, 76952, 77480, 77945, 78455, 78748, 78749, 78926, 79059, 83766, 83767, 83925, 93679, 93686, 94093, 98267, 98956, 100715, 100855, 101023, 102323, 102423, 103844, 103850, 104001, 107895, 107976, 108073, 108101, 108699, 108705, 108888, 109135, 109624, 110351, 110637, 110750, 110796, 110809, 117109, 140492, 140580, 140629, 140742, 170676, 192197, 192292, 207278, 208943, 209225, 209456, 211484, 213081, 213389, 213498, 214137, 214444, 214552, 214931, 215061, 215418, 216846, 217166, 217207, 217232, 217335, 217692, 219181, 223254, 223332, 223697, 223773, 224727, 224792, 224823, 224860, 224904, 225055, 225872, 226751, 226861, 226922, 227700, 227801, 228769, 229571, 230594, 230801, 230848, 230908, 231655, 231769, 233020, 233877, 233908, 234593, 234854, 235312, 237542, 237877, 238455, 238799, 239719, 241638, 243547, 243963, 244745, 245880, 264064, 268566, 268709, 269514, 269702, 270192, 271639, 317750, 319154, 319189, 319476, 319757, 319887, 320100, 320127, 320162, 327655, 327992, 329416, 329559, 330914, 331461, 381373, 382301, 382406, 382985, 387246, 399566, 434438, 474156, 546272, 723902, 723951, 100043034, 100124465, 100503659, 100504663
Gene Ontology Cellular Component	GO:0098794	postsynapse	1.80262041246249e-12	1.93398663295644e-10	1.10485578975647	3.01878909710392	enriched	460	52	245779.439130435	108100, 241568, 268980, 77579, 12323, 77531, 109676, 233489, 383348, 11426, 11438, 11461, 11733, 11838, 12313, 12314, 12631, 13175, 13385, 13821, 13841, 14402, 14800, 15444, 15481, 16800, 17754, 17999, 18015, 19045, 22631, 23859, 26422, 51791, 54393, 64295, 74342, 108069, 108073, 109624, 110637, 140492, 217166, 217692, 233908, 241638, 243547, 268566, 319757, 320127, 330914, 331461
Gene Ontology Cellular Component	GO:0045202	synapse	1.97094179154797e-12	1.93398663295644e-10	0.898022421244625	2.45474385865856	enriched	899	79	207670.935483871	108100, 67972, 241568, 268980, 77579, 218194, 381582, 11938, 12323, 77531, 109676, 233489, 383348, 11426, 11438, 11461, 11733, 11838, 12298, 12313, 12314, 12631, 13175, 13385, 13821, 13841, 14402, 14800, 15114, 15166, 15444, 15481, 16800, 17754, 17999, 18015, 18189, 18190, 18387, 18619, 19045, 19099, 19395, 22288, 22631, 23859, 26422, 30785, 51791, 54393, 58235, 58800, 64295, 67300, 70549, 74342, 74413, 75406, 76380, 83767, 108069, 108073, 109624, 110637, 140492, 207278, 217166, 217692, 223254, 227801, 233908, 241638, 243547, 268566, 319757, 320127, 330914, 331461, 100503659
