Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EZH2	3393996	393148.9984	8.6328	3.1098	1e-05	1.25e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EZH2.Q111-enriched	4808	395.6307	12.1246	3.5999	0.00638	0.01276	0.0123483870967742
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EZH2.WT-enriched	0	23.2514	0.0412	-4.6	0.91785	0.91785	0.988007142857143
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27Ac	4830747	1252131.6749	3.858	1.9479	1e-05	1.25e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27Ac.Q111-enriched	84457	15827.0538	5.336	2.4158	1e-05	5e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27Ac.WT-enriched	35525	19524.5378	1.8195	0.8635	0.02914	0.048567	0.0514235294117647
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27me3	515516	1390331.285	0.3708	-1.4313	1e-05	1.25e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27me3.Q111-enriched	36	986.0875	0.0375	-4.7376	0.11817	0.16881	0.186584210526316
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K27me3.WT-enriched	58109	48832.2014	1.19	0.2509	0.22715	0.28394	0.316953488372093
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K4me3	2887448	501286.0421	5.7601	2.5261	1e-05	1.25e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K4me3.Q111-enriched	336667	62735.901	5.3663	2.4239	1e-05	5e-05	2.60869565217391e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3K4me3.WT-enriched	13267	1298.8743	10.2071	3.3515	8e-05	0.00026667	0.000184615384615385
