Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	Enh	93137	19794.5359	4.705	2.2342	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EnhLo1	48181	26956.2722	1.7873	0.8378	0.00012	0.00013846	0.000171428571428571
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EnhLo2	245235	112396.8518	2.1819	1.1256	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EnhPois1	235855	67306.1074	3.5042	1.8091	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	EnhPois2	148294	96092.9575	1.5432	0.626	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	HetCons	21031	94320.7238	0.223	-2.165	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	HetFac	188168	117336.9196	1.6037	0.6814	0.00177	0.0018964	0.00241363636363636
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	Quies	1073975	5796179.0016	0.1853	-2.4321	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	QuiesG	3194990	2505351.8281	1.2753	0.3508	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	TssA	611499	91326.0191	6.6957	2.7432	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	TssAFlnk1	142841	19163.2289	7.4536	2.8979	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	TssAFlnk2	330533	73462.3043	4.4993	2.1697	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	TssBiv	30384	20606.7059	1.4744	0.5602	0.03657	0.03657	0.0384947368421053
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	Tx1	158775	13031.6032	12.183	3.6068	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	Tx2	3310080	779652.9405	4.2456	2.086	1e-05	1.25e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	Enh	43673	8351.9912	5.2285	2.3864	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	EnhLo1	20391	11364.4723	1.7942	0.8433	0.01627	0.018773	0.0187730769230769
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	EnhLo2	111668	47197.1124	2.366	1.2424	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	EnhPois1	110480	28393.8899	3.8909	1.9601	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	EnhPois2	60597	40390.2584	1.5003	0.5852	0.00836	0.010788	0.0102367346938775
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	HetCons	3165	39708.6276	0.0797	-3.6488	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	HetFac	89079	49754.2451	1.7904	0.8403	0.02631	0.028189	0.0287018181818182
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	Quies	161808	2382405.4242	0.0679	-3.8801	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	QuiesG	1197100	1068104.3012	1.1208	0.1645	0.10634	0.10634	0.110006896551724
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	TssA	338349	38601.7895	8.7649	3.1317	1e-05	1.5e-05	1.46341463414634e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	TssAFlnk1	65809	8221.0296	8.0041	3.0007	1e-05	1.5e-05	1.46341463414634e-05
