Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k27ac	503677	202774.9323	2.4839	1.3126	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k27me3	451069	157142.5922	2.8704	1.5213	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k36me3	2654891	535540.9117	4.9574	2.3096	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k4me1	1695680	930946.4429	1.8215	0.8651	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k4me3	406789	112637.5881	3.6115	1.8526	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.all_reproducible	H3k9me3	25381	11562.3073	2.195	1.1343	0.00298	0.00298	0.00340571428571429
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27ac	250166	85093.6416	2.9399	1.5558	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27me3	246580	66619.5802	3.7013	1.888	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k36me3	1429494	228871.311	6.2458	2.6429	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me1	795934	393533.4105	2.0225	1.0162	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me3	218642	47623.5984	4.591	2.1988	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k9me3	8177	4898.8893	1.669	0.739	0.09519	0.09519	0.09519
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k27ac	191695	61667.2087	3.1085	1.6362	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k27me3	210834	48416.6324	4.3545	2.1225	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k36me3	1053084	164775.2805	6.391	2.676	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k4me1	625765	285406.1736	2.1925	1.1326	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k4me3	177706	34648.7183	5.1287	2.3586	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.all_reproducible	H3k9me3	6431	3570.9171	1.8007	0.8486	0.07474	0.07474	0.0779895652173913
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k27ac	144025	44386.0076	3.2448	1.6981	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k27me3	160511	34816.1413	4.6101	2.2048	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k36me3	768823	118847.6449	6.4689	2.6935	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k4me1	468747	205483.0102	2.2812	1.1898	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k4me3	139350	24880.142	5.6007	2.4856	1e-05	1.2e-05	1.2e-05
Htt_ChIPSeq.2017_2020_together.any_3_samples.reproducibility_groups.conditionally_reproducible	H3k9me3	5518	2566.0795	2.1499	1.1043	0.06395	0.06395	0.0697636363636364
