Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	4264_GSE3621__Expression_in_cerebrum_of_22_wk_R6/1_HD_mice	4264_GSE3621__Expression_in_cerebrum_of_22_wk_R6/1_HD_mice	1.17580177561056e-20	1.89539246228422e-17	1.87278762169503	6.50640854827402	enriched	781	32	155412.361075544	18574, 19739, 108655, 225872, 11838, 13175, 13488, 13653, 15081, 18626, 19201, 19395, 19735, 20429, 20620, 23984, 52480, 56455, 59046, 64378, 66259, 74100, 78108, 78779, 218194, 225631, 241638, 269630, 319984, 320038, 666737, 100042332
user-supplied	7172_E-AFMX-6__HD_grade_1_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	7172_E-AFMX-6__HD_grade_1_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	2.97752814934864e-19	2.39988768837501e-16	2.57358738106403	13.1127807067715	enriched	186	15	228724.38172043	18574, 19739, 108655, 11938, 12313, 13175, 13488, 19395, 19735, 20620, 22631, 23984, 59046, 64378, 218194
user-supplied	7155_GSE3621__Expression_in_cerebrum_of_22_wk_R6/1_HD_mice_[down]	7155_GSE3621__Expression_in_cerebrum_of_22_wk_R6/1_HD_mice_[down]	7.51952204636226e-19	3.31586761869642e-16	1.98485302484145	7.27797762492585	enriched	541	25	173327.914972274	18574, 19739, 108655, 225872, 11838, 13175, 13488, 13653, 18626, 19201, 19395, 19735, 20429, 20620, 23984, 56455, 59046, 64378, 66259, 74100, 78779, 218194, 241638, 319984, 320038
user-supplied	8910_GSE78272__Down-regulated_genes_in_cortex_of_6_mon_HD_Q140_mice_vs_Q20	8910_GSE78272__Down-regulated_genes_in_cortex_of_6_mon_HD_Q140_mice_vs_Q20	8.22795935160402e-19	3.31586761869642e-16	2.09385509036986	8.1161433980523	enriched	421	22	165126.368171021	18574, 19317, 19739, 13488, 17536, 19395, 19735, 20429, 23984, 59046, 64378, 69338, 71514, 71978, 74100, 74648, 218194, 225631, 268980, 270162, 320038, 381373
user-supplied	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	8.31738276779232e-18	2.68152420433624e-15	1.33698833820067	3.80755914012366	enriched	3505	72	147516.394008559	18574, 19317, 19739, 108655, 225872, 11461, 11838, 11931, 11938, 12313, 12631, 13175, 13488, 13653, 13681, 14227, 15481, 17536, 17537, 17754, 18626, 19164, 19201, 19395, 19704, 19735, 20364, 20602, 20620, 20918, 22145, 22631, 23984, 29819, 52480, 53379, 56013, 56086, 56455, 59046, 64378, 66259, 66961, 67293, 69131, 71514, 71978, 72289, 73100, 74100, 74648, 78779, 78926, 107932, 108937, 117109, 170791, 217166, 218194, 233908, 239170, 241638, 260297, 268566, 268980, 270162, 319586, 319984, 320038, 320203, 320661, 666737
user-supplied	7006_GSE1980__Expression_in_striatum_from_6_wk_R6/2_HD_mice_[down]	7006_GSE1980__Expression_in_striatum_from_6_wk_R6/2_HD_mice_[down]	2.11681849103195e-16	5.68718567923918e-14	2.71056073545158	15.0377053256942	enriched	113	11	157338.672566372	18574, 19739, 108655, 11838, 11938, 13653, 19395, 23984, 59046, 74100, 268980
user-supplied	7020_GSE9803__Expression_in_12_wk_R6/2_HD_mice_(Set1)_[down]	7020_GSE9803__Expression_in_12_wk_R6/2_HD_mice_(Set1)_[down]	9.70292251694156e-16	2.23444444247283e-13	1.41562435468958	4.11905741611175	enriched	1777	45	160189.351716376	14056, 18574, 19317, 19739, 108655, 225872, 11838, 11938, 12313, 13175, 13488, 13653, 14227, 17754, 18626, 19201, 19395, 19735, 20620, 22145, 22631, 23984, 29819, 56013, 56455, 59046, 64378, 66259, 71978, 72289, 73100, 74100, 78779, 78926, 217166, 218194, 223332, 239170, 241638, 260297, 268980, 270162, 319984, 320038, 320661
user-supplied	8162_PXD003442__Down-regulated_proteins_in_striatum_of_HD_Q175_mice	8162_PXD003442__Down-regulated_proteins_in_striatum_of_HD_Q175_mice	1.81440993758575e-15	3.65603602423528e-13	1.93836707064044	6.94739709443327	enriched	423	20	190154.158392435	18574, 19739, 108655, 11838, 11938, 13175, 19395, 23984, 56420, 59046, 71978, 74100, 78779, 216439, 218194, 233908, 241638, 268980, 270162, 319984
user-supplied	4031_GSE1980__Expression_in_striatum_from_6_wk_R6/2_HD_mice	4031_GSE1980__Expression_in_striatum_from_6_wk_R6/2_HD_mice	2.26514508273023e-15	4.05712652595681e-13	2.47689740808136	11.9042729617378	enriched	149	12	140433.067114094	18574, 19739, 108655, 11838, 11938, 13653, 19395, 23984, 59046, 65105, 74100, 268980
user-supplied	4303_E-AFMX-6__HD_grade_1_markers_in_human_caudate_nucleus_(HG-U133A)	4303_E-AFMX-6__HD_grade_1_markers_in_human_caudate_nucleus_(HG-U133A)	4.11485069038279e-15	6.63313931289706e-13	2.22246263641048	9.23003311633688	enriched	254	15	225033.031496063	18574, 19739, 108655, 11938, 12313, 13175, 13488, 19395, 19735, 20620, 22631, 23984, 59046, 64378, 218194
