Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	2.67898989618152e-07	4.01848484427227e-06	1.06947135280332	2.91383870008274	enriched	1397	38	135480.300644238	18574, 19739, 108655, 11938, 12313, 13175, 13488, 13716, 14227, 17536, 19395, 19704, 20620, 22145, 22631, 23984, 29819, 56455, 59046, 64378, 66259, 69338, 71978, 72289, 74100, 74648, 78779, 107932, 207278, 218194, 233020, 239170, 268566, 268980, 270162, 319984, 320354, 320661
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	2.74149416557732e-06	2.05612062418299e-05	0.948877619485744	2.58280913722794	enriched	2693	57	122706.68473821	18574, 19317, 19739, 108655, 225872, 11461, 11838, 11938, 12313, 13175, 13488, 13653, 13716, 14227, 17536, 18626, 19201, 19395, 19704, 20620, 22145, 22631, 23984, 29819, 56399, 56455, 59046, 64378, 66259, 66961, 68592, 68953, 69338, 71978, 72289, 73100, 74100, 74648, 78779, 78926, 107932, 108937, 117109, 216439, 217166, 218194, 224619, 233020, 239170, 268566, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	1.64068817888598e-05	8.20344089442991e-05	0.864993851080578	2.37499148230096	enriched	2334	50	143738.277206512	18574, 19739, 108655, 11938, 12313, 13175, 13488, 13627, 13629, 13716, 14227, 14705, 17536, 18377, 19395, 19704, 20620, 22145, 22631, 23984, 29819, 53817, 54196, 56455, 59046, 64378, 66259, 66931, 69338, 71805, 71978, 72289, 74100, 74648, 78779, 93687, 107932, 207278, 216848, 217151, 218194, 233020, 239170, 268566, 268980, 269630, 270162, 319984, 320354, 320661
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	3.41018016460011e-05	0.000127881756172504	1.19822942983012	3.31424362383093	enriched	5212	87	126171.118956255	18574, 19317, 19739, 108655, 225872, 11461, 11838, 11931, 11938, 12313, 13175, 13207, 13488, 13627, 13653, 13716, 14227, 14470, 14705, 15481, 17536, 18089, 18377, 18626, 19201, 19395, 19704, 20620, 20817, 22142, 22145, 22365, 22631, 23801, 23984, 29819, 52480, 54196, 56321, 56399, 56455, 56632, 59046, 64378, 65105, 66259, 66599, 66931, 66961, 68592, 68953, 69338, 71805, 71978, 72289, 73100, 74100, 74648, 78108, 78779, 78926, 93687, 101023, 107932, 108937, 117109, 170791, 192292, 216439, 216848, 217151, 217166, 218194, 224619, 225631, 233020, 235606, 239170, 268566, 268933, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.000149864521096025	0.000426402311133207	0.766701697354162	2.15265442596327	enriched	2214	45	140097.266937669	14056, 18574, 19317, 19739, 20464, 108655, 11938, 12313, 13175, 13488, 13716, 14227, 17536, 18626, 19395, 19704, 20620, 22145, 23984, 29819, 59046, 64378, 66259, 69338, 71978, 72289, 73100, 74100, 74648, 78779, 108937, 216439, 217166, 218194, 224619, 233020, 239170, 268566, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.000170560924453283	0.000426402311133207	0.764460980207462	2.14783633628407	enriched	3162	59	123321.02055661	18574, 19317, 19739, 108655, 225872, 11461, 11838, 11938, 12313, 13175, 13488, 13653, 13681, 13716, 14227, 17536, 18626, 19164, 19395, 19704, 19735, 20620, 20918, 22145, 22631, 23984, 29819, 56399, 56455, 59046, 64378, 66083, 66259, 68592, 68953, 69338, 71978, 72289, 73100, 74100, 74648, 78779, 107932, 108937, 117109, 216439, 217166, 218194, 224619, 233020, 239170, 268566, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.0115986407990451	0.0248542302836681	0.809600515583106	2.24701016181064	enriched	6204	90	124547.429561573	18574, 19317, 19739, 108655, 225872, 11461, 11838, 11931, 11938, 12313, 13175, 13207, 13488, 13627, 13629, 13653, 13681, 13716, 14227, 14470, 14705, 15481, 17536, 18089, 18377, 18626, 19164, 19395, 19704, 19735, 20429, 20620, 20817, 20918, 22142, 22145, 22365, 22631, 23801, 23984, 29819, 54196, 56321, 56399, 56455, 56632, 59046, 64378, 65105, 66083, 66259, 66599, 66931, 68592, 68953, 69338, 71805, 71978, 72289, 73100, 74100, 74648, 78108, 78779, 83560, 93687, 101023, 107932, 108937, 117109, 192292, 216439, 216848, 217151, 217166, 218194, 224619, 225631, 233020, 235606, 239170, 268566, 268933, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0181343099320068	0.0340018311225128	0.494136931064806	1.63908298680665	enriched	4169	65	122646.408251379	14056, 18574, 19317, 19739, 20464, 108655, 11938, 12313, 13175, 13207, 13488, 13627, 13716, 14227, 14470, 14705, 15481, 17536, 18089, 18377, 18626, 19395, 19704, 20382, 20620, 22142, 22145, 23984, 29819, 52480, 56321, 59046, 64378, 65105, 66259, 66599, 66931, 69338, 71805, 71978, 72289, 73100, 74100, 74648, 78108, 78779, 93687, 108937, 216439, 216848, 217151, 217166, 218194, 224619, 225631, 233020, 239170, 268566, 268980, 270162, 319586, 319984, 320354, 320661, 100037396
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.81008290584442	0.967745287687487	0.243769097537015	1.27604965346206	enriched	60	1	86735.9833333333	74100
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.0938940853910039	0.15649014231834	-0.363857033069696	0.694990548305886	depleted	3042	31	125822.217619987	11931, 13207, 13627, 13629, 14470, 14705, 15481, 18089, 18377, 20429, 20817, 22142, 22365, 23801, 54196, 56321, 56632, 65105, 66599, 66931, 71805, 78108, 83560, 93687, 101023, 192292, 216848, 217151, 225631, 235606, 268933
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.215198126845945	0.322797190268918	-0.31161584629604	0.732262775661274	depleted	1955	20	102883.645524297	13207, 13627, 14470, 14705, 15481, 18089, 18377, 20382, 22142, 52480, 56321, 65105, 66599, 66931, 71805, 78108, 93687, 216848, 217151, 225631
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.650196142445141	0.886631103334284	-0.0994315273661047	0.905351939578089	depleted	2519	30	129874.85907106	11931, 13207, 13627, 14470, 14705, 15481, 18089, 18377, 20817, 22142, 22365, 23801, 52480, 54196, 56321, 56632, 65105, 66599, 66931, 71805, 78108, 93687, 101023, 170791, 192292, 216848, 217151, 225631, 235606, 268933
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.943996474752182	0.967745287687487	-0.0710732960525727	0.931393622149768	depleted	83	1	127007.21686747	74100
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.954734123353943	0.967745287687487	-0.0175911786221395	0.982562642872719	depleted	937	12	156050.32977588	13627, 13629, 14705, 18377, 53817, 54196, 66931, 71805, 93687, 216848, 217151, 269630
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.967745287687487	0.967745287687487	-10.9601820326908	1.7380146087095e-05	depleted	23	0	232062.608695652	
