Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Biological Process	GO:0008380	RNA splicing	2.02296111727329e-18	1.28073668334572e-14	2.14675767897396	8.55706860634808	enriched	336	20	97926.7351190476	19317, 12748, 13207, 15388, 15481, 19205, 20382, 20384, 20817, 22668, 53379, 53817, 59013, 65105, 66704, 68592, 69131, 71514, 72289, 170791
Gene Ontology Biological Process	GO:0043484	regulation of RNA splicing	2.59669430671172e-16	8.21983582789594e-13	2.68800125846817	14.7022605146363	enriched	108	11	134489.037037037	12748, 13207, 15388, 15481, 19205, 20382, 20384, 53379, 59013, 69131, 72289
Gene Ontology Biological Process	GO:0006397	mRNA processing	1.51352124021747e-15	3.19403432393894e-12	1.94510231205894	6.99434742451262	enriched	406	20	97858.60591133	19317, 13207, 15388, 15481, 19205, 20382, 20384, 20817, 22668, 53379, 53817, 54196, 59013, 65105, 66704, 68592, 69131, 71514, 72289, 170791
Gene Ontology Cellular Component	GO:0005634	nucleus	4.61272506408014e-15	3.62098917530291e-12	1.23820192820118	3.44940560640412	enriched	6393	102	105598.291568903	14056, 18574, 19317, 19739, 20464, 22772, 108655, 225872, 11461, 11911, 11938, 12049, 12313, 12631, 12748, 13207, 13488, 13627, 13653, 13716, 14029, 14237, 14312, 15081, 15229, 15388, 15481, 15925, 17536, 17537, 18089, 18420, 18626, 18861, 19164, 19205, 19241, 19704, 19735, 20382, 20384, 20429, 20602, 20817, 20877, 22142, 22631, 22668, 29819, 53379, 53817, 54196, 56086, 56321, 56399, 56420, 56455, 56812, 59013, 64378, 65105, 66083, 66266, 66599, 66704, 66961, 68592, 68953, 69131, 71514, 71805, 72289, 74648, 93687, 100855, 101023, 107932, 108937, 110109, 117109, 140488, 170791, 192662, 216439, 216848, 217166, 217218, 218194, 223332, 224619, 224727, 225631, 227801, 233020, 233908, 235606, 244059, 268515, 270162, 320038, 329559, 381373
pFAM	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	4.37876933697271e-14	1.53694803727742e-11	2.29871365125262	9.96136042627604	enriched	159	14	104140.955974843	15388, 19205, 20382, 20384, 53379, 54196, 59013, 66599, 66704, 71514, 140488, 170791, 233908, 319586
Gene Ontology Biological Process	GO:0016071	mRNA metabolic process	4.53189981860486e-14	7.17286443789684e-11	1.75992031714666	5.81197426125824	enriched	536	22	88284.9608208955	19317, 11911, 13207, 15388, 15481, 19205, 19704, 20382, 20384, 20817, 22668, 53379, 53817, 54196, 59013, 65105, 66704, 68592, 69131, 71514, 72289, 170791
Gene Ontology Molecular Function	GO:0036002	pre-mRNA binding	2.21382034075139e-13	2.61009418174588e-10	3.40521515185192	30.1207755674621	enriched	30	6	91152.3	13207, 15388, 19205, 20382, 22668, 53379
MeSH	16601	RNA-Binding Proteins	1.08822248470836e-12	3.14061009086831e-09	2.03938562223575	7.6858857107453	enriched	244	15	119134.704918033	19317, 15388, 19205, 19704, 20382, 20384, 22668, 29819, 53379, 53817, 54196, 59013, 71514, 140488, 233908
Gene Ontology Biological Process	GO:0010468	regulation of gene expression	2.08668971498836e-12	2.64216651711827e-09	1.11046241456592	3.03576185041973	enriched	3925	69	112867.612993631	14056, 19317, 20464, 22772, 108655, 225872, 11911, 11931, 12748, 13207, 13488, 13629, 13653, 13681, 13716, 14029, 14237, 14312, 15229, 15388, 15481, 17536, 17537, 18089, 18420, 18626, 19164, 19205, 19241, 19704, 19735, 20382, 20384, 20429, 20602, 20817, 20877, 20918, 22668, 29819, 53379, 53817, 56086, 56321, 56399, 56455, 59013, 66083, 66266, 66704, 69131, 71514, 72289, 78926, 101023, 107932, 140488, 170791, 216439, 217166, 217218, 224619, 225631, 244059, 268515, 268755, 320038, 329559, 381373
Gene Ontology Molecular Function	GO:0003676	nucleic acid binding	2.84298081527797e-12	1.67593719060637e-09	1.12149377546468	3.06943582841236	enriched	3344	63	99867.1426435407	14056, 19317, 20464, 22772, 108655, 225872, 11461, 11911, 13207, 13627, 13629, 13653, 13681, 14029, 14237, 15081, 15229, 15388, 15481, 17536, 17537, 18089, 18420, 18626, 18861, 19205, 19704, 20382, 20384, 20429, 20602, 20817, 20918, 22631, 22668, 29819, 53379, 53817, 54196, 56086, 56321, 56399, 59013, 65105, 66599, 66704, 68592, 69131, 71514, 74100, 101023, 107932, 110109, 140488, 170791, 216848, 217166, 225631, 235606, 244059, 268515, 329559, 381373
MeSH	12326	RNA Splicing	7.25496135011313e-12	7.90838706346608e-09	2.39277646354068	10.9438369647308	enriched	106	10	84084.9339622642	15388, 19205, 20382, 20384, 20817, 22668, 53379, 53817, 71514, 233908
Gene Ontology Biological Process	GO:0051171	regulation of nitrogen compound metabolic process	7.76242262947149e-12	8.19064961119734e-09	1.08737489930353	2.96647654275197	enriched	3854	67	113198.180591593	14056, 18574, 19317, 20464, 22772, 108655, 225872, 11911, 12748, 13207, 13488, 13629, 13653, 13716, 14029, 14237, 14312, 15229, 15388, 15481, 17536, 17537, 18089, 18420, 18626, 19164, 19205, 19241, 19704, 19735, 20382, 20384, 20429, 20602, 20817, 20877, 22668, 53379, 53817, 56086, 56321, 56399, 56420, 56455, 59013, 66083, 66266, 66704, 69131, 71514, 72289, 101023, 107932, 108937, 140488, 170791, 216439, 217166, 217218, 224619, 225631, 244059, 268515, 268755, 320038, 329559, 381373
MeSH	12261	Ribonucleoproteins	8.22077657324956e-12	7.90838706346608e-09	2.51774190011593	12.4005633138561	enriched	86	9	87765.011627907	15388, 19205, 19704, 20382, 20384, 22668, 53379, 59013, 233908
Gene Ontology Molecular Function	GO:0097159	organic cyclic compound binding	1.15085519112272e-11	3.50198891023277e-09	1.05306343383214	2.8664187658764	enriched	5206	83	101461.095082597	14056, 19317, 20464, 22772, 108655, 225872, 11461, 11911, 11931, 11938, 12748, 13175, 13207, 13488, 13627, 13629, 13653, 13681, 14029, 14227, 14237, 15081, 15229, 15388, 15481, 15925, 17536, 17537, 18089, 18420, 18626, 18861, 19205, 19704, 20382, 20384, 20429, 20602, 20620, 20817, 20877, 20918, 22142, 22145, 22631, 22668, 23984, 29819, 53379, 53817, 54196, 56086, 56321, 56399, 56632, 59013, 65105, 66599, 66704, 68592, 69131, 71514, 74100, 83560, 93687, 101023, 107932, 110109, 140488, 170791, 216439, 216848, 217151, 217166, 225631, 233020, 235606, 244059, 268515, 268566, 320661, 329559, 381373
Gene Ontology Molecular Function	GO:1901363	heterocyclic compound binding	1.18812176767863e-11	3.50198891023277e-09	1.05262368360041	2.86515853467366	enriched	5115	82	101676.875073314	14056, 19317, 20464, 22772, 108655, 225872, 11461, 11911, 11931, 11938, 12748, 13175, 13207, 13627, 13629, 13653, 13681, 14029, 14227, 14237, 15081, 15229, 15388, 15481, 15925, 17536, 17537, 18089, 18420, 18626, 18861, 19205, 19704, 20382, 20384, 20429, 20602, 20620, 20817, 20877, 20918, 22142, 22145, 22631, 22668, 23984, 29819, 53379, 53817, 54196, 56086, 56321, 56399, 56632, 59013, 65105, 66599, 66704, 68592, 69131, 71514, 74100, 83560, 93687, 101023, 107932, 110109, 140488, 170791, 216439, 216848, 217151, 217166, 225631, 233020, 235606, 244059, 268515, 268566, 320661, 329559, 381373
Gene Ontology Molecular Function	GO:0043565	sequence-specific DNA binding	1.72427091255093e-11	4.06583081179509e-09	1.41545889199354	4.11837592214901	enriched	986	28	129806.645030426	14056, 22772, 108655, 225872, 11461, 11911, 13653, 14029, 14237, 15081, 15229, 17536, 17537, 18089, 18420, 18626, 19205, 19704, 20429, 20602, 53379, 71514, 107932, 217166, 225631, 244059, 268515, 329559
Gene Ontology Biological Process	GO:0006396	RNA processing	2.19791464278276e-11	1.98785680049395e-08	1.499967416857	4.48154304520118	enriched	752	24	82783.6090425532	19317, 12748, 13207, 15388, 15481, 19205, 20382, 20384, 20602, 20817, 22668, 53379, 53817, 54196, 59013, 65105, 66704, 68592, 69131, 71514, 72289, 110109, 117109, 170791
