Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8866_Soluble_brain_proteome_of_WT_and_HD_R6/2_mice	8866_Soluble_brain_proteome_of_WT_and_HD_R6/2_mice	8.0479672426164e-15	7.14471272996684e-12	0.608240723421493	1.83719641737529	enriched	8210	374	120057.05408039	21807, 320365, 11426, 14397, 20273, 26422, 53618, 58208, 64378, 66797, 66815, 66904, 67755, 72145, 77573, 83669, 207278, 208440, 210933, 210998, 320127, 545156, 11472, 11515, 11735, 11765, 11864, 12028, 12177, 12217, 12294, 12300, 12373, 12540, 12563, 12565, 12589, 12663, 12808, 12876, 13144, 13483, 13837, 13853, 14025, 14050, 14104, 14198, 14245, 14402, 14679, 14751, 15273, 15469, 15567, 15925, 16337, 16401, 16423, 16449, 16456, 16476, 16510, 16551, 16561, 16648, 16795, 16859, 16969, 16993, 17079, 17128, 17237, 17756, 17827, 17925, 17931, 17969, 17977, 18004, 18019, 18032, 18128, 18173, 18481, 18578, 18645, 18647, 18708, 18709, 18739, 18802, 18805, 18845, 19056, 19058, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19714, 20116, 20192, 20318, 20336, 20346, 20480, 20623, 20650, 20652, 20663, 20926, 20979, 21406, 21770, 21780, 21871, 22041, 22129, 22222, 22240, 22275, 22335, 23802, 23859, 23999, 24012, 24105, 26396, 26430, 26754, 26894, 27367, 27416, 28200, 29806, 29863, 52174, 52715, 53322, 53881, 53972, 54393, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56749, 56792, 56807, 56808, 57138, 57748, 58175, 64009, 64176, 66237, 66274, 66355, 66399, 66437, 66522, 66725, 66942, 66958, 66988, 66993, 67046, 67155, 67245, 67398, 67414, 67568, 67604, 67771, 67848, 67917, 67980, 68404, 68423, 68926, 68975, 69226, 69399, 69482, 69710, 69893, 70097, 70120, 70144, 70350, 70394, 70497, 70533, 70599, 70661, 70797, 71323, 71461, 71481, 71702, 71715, 71745, 71770, 71843, 72108, 72324, 72482, 72555, 72736, 72930, 73218, 73385, 73884, 74012, 74189, 74355, 74392, 74741, 74762, 75747, 75786, 75805, 76089, 76246, 76438, 76457, 76499, 76773, 77087, 77578, 78523, 78689, 78771, 78784, 78891, 79264, 80297, 80909, 83431, 93679, 93686, 93742, 94109, 94175, 94217, 99371, 99982, 100169, 100678, 100683, 102747, 103537, 103554, 104001, 104027, 104318, 105148, 105653, 106583, 106628, 106633, 106861, 107686, 108073, 108150, 109624, 109676, 110355, 110379, 110446, 110842, 110956, 114713, 114716, 116838, 140486, 170638, 192167, 192786, 207227, 207683, 207728, 208151, 208898, 208922, 209018, 209773, 212996, 213464, 213539, 214290, 215114, 215351, 216154, 216445, 216965, 217232, 217333, 218038, 218461, 219140, 219228, 223601, 224129, 224619, 225028, 225876, 227333, 227696, 227720, 228005, 228136, 228140, 228866, 228880, 229791, 230316, 230737, 231580, 231672, 231863, 232947, 233781, 233824, 234135, 234825, 235106, 235134, 238217, 239510, 239556, 239667, 239857, 239985, 241568, 242384, 242425, 242466, 242687, 243043, 243385, 243725, 244059, 244650, 246293, 268281, 268859, 268880, 269132, 270120, 270163, 272396, 277360, 319604, 320119, 320707, 320865, 329152, 330908, 333050, 338523, 381126, 381338, 432572, 432879, 636808
user-supplied	7276_GSE79064__Methylation_profiles_of_human_cerebral_cortex_vs_liver_[down]	7276_GSE79064__Methylation_profiles_of_human_cerebral_cortex_vs_liver_[down]	8.86440785355688e-15	7.14471272996684e-12	0.626053989573298	1.87021610726802	enriched	9467	432	130031.447132143	21807, 320365, 11426, 14056, 14397, 14463, 15229, 20273, 26422, 53618, 58208, 64378, 66797, 66815, 66904, 72145, 77018, 83669, 207278, 208440, 209225, 210933, 210998, 213956, 216742, 269695, 320127, 545156, 11438, 11441, 11472, 11480, 11515, 11596, 11695, 11735, 11864, 11910, 12177, 12217, 12228, 12294, 12300, 12386, 12393, 12442, 12493, 12540, 12563, 12565, 12589, 12638, 12808, 12876, 13082, 13144, 13483, 13656, 13837, 14025, 14029, 14198, 14219, 14236, 14245, 14402, 14472, 14679, 14751, 14794, 14805, 15273, 15437, 15469, 15567, 15925, 16337, 16401, 16423, 16449, 16468, 16493, 16510, 16524, 16528, 16561, 16598, 16648, 16716, 16782, 16795, 16969, 16993, 17079, 17131, 17237, 17268, 17756, 17775, 17827, 17925, 17933, 17977, 18019, 18032, 18101, 18128, 18173, 18245, 18383, 18436, 18481, 18578, 18590, 18591, 18645, 18647, 18708, 18709, 18710, 18739, 18740, 18802, 18845, 18976, 18996, 19056, 19058, 19157, 19242, 19272, 19274, 19317, 19713, 19724, 20116, 20181, 20192, 20256, 20259, 20318, 20336, 20347, 20480, 20620, 20650, 20652, 20663, 20840, 20926, 20979, 21333, 21388, 21406, 21676, 21770, 21942, 22063, 22129, 22240, 22255, 22275, 22335, 22418, 22678, 23802, 23859, 23999, 24012, 26754, 27367, 27416, 29806, 29863, 30941, 50490, 50787, 52662, 53325, 53972, 54371, 54393, 54607, 56295, 56453, 56490, 56533, 56550, 56807, 56808, 57080, 57138, 57339, 58175, 58198, 60611, 64009, 64085, 64176, 64817, 66065, 66237, 66274, 66437, 66522, 66548, 66599, 66725, 66988, 66993, 67046, 67149, 67155, 67213, 67393, 67568, 67604, 67771, 67848, 67917, 67967, 67980, 68170, 68393, 68404, 68423, 68703, 68753, 68926, 68975, 69226, 69307, 69399, 69660, 69707, 69710, 69900, 70054, 70097, 70120, 70350, 70394, 70497, 70661, 71096, 71323, 71461, 71481, 71702, 71770, 72108, 72324, 72482, 72555, 72749, 72930, 73218, 73230, 73884, 74012, 74189, 74355, 74741, 74762, 74775, 75087, 75467, 75471, 75616, 75769, 75786, 75805, 76089, 76438, 76457, 76499, 76773, 77048, 77087, 77578, 78523, 78771, 78784, 78891, 80297, 80909, 83431, 83560, 93679, 93686, 93742, 94109, 94217, 94245, 94353, 99334, 100072, 100678, 100683, 102747, 103889, 104001, 104027, 104318, 105653, 106583, 106628, 106633, 107587, 108073, 108150, 109624, 109676, 110355, 114713, 114716, 116838, 140486, 140781, 140904, 170638, 192167, 192651, 192786, 207227, 207683, 207728, 208151, 208922, 210027, 212390, 212996, 213464, 214058, 215114, 215351, 216154, 216161, 216445, 217951, 218038, 218203, 218215, 218461, 219140, 219228, 224129, 224454, 224619, 224796, 225028, 225339, 226641, 226777, 227333, 227933, 228005, 228140, 228731, 228880, 229791, 230316, 231440, 231580, 231672, 231863, 233060, 233781, 233824, 233836, 234135, 234825, 235106, 235132, 235320, 235533, 239510, 239667, 239857, 239985, 241568, 242425, 242466, 242687, 243043, 243725, 244059, 246103, 246293, 268445, 268510, 268859, 268880, 269132, 269633, 269831, 270120, 270163, 272396, 277360, 277396, 319165, 319259, 319604, 319922, 319974, 320116, 320119, 320244, 320429, 320438, 320678, 320816, 320865, 320878, 329152, 330908, 333050, 333315, 380912, 381126, 381338, 384763, 432572, 432879, 433940, 545474, 636808, 666704, 668225, 100217457, 100504234
user-supplied	7183_E-AFMX-6__HD_grade_3_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	7183_E-AFMX-6__HD_grade_3_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	2.40298565402577e-12	1.29120429142985e-09	0.894867027863815	2.44701038362986	enriched	886	80	192107.198645598	320365, 14397, 20273, 26422, 58208, 64378, 210933, 269695, 320127, 545156, 11472, 11515, 12217, 12294, 12563, 13483, 13656, 14025, 14104, 14402, 14751, 15273, 16795, 16969, 17756, 17933, 18481, 18647, 19056, 19058, 19242, 20620, 20979, 21333, 22129, 23859, 24012, 27416, 52662, 54371, 54393, 56405, 56533, 56807, 56808, 57138, 58175, 64176, 66237, 66274, 66993, 67245, 70350, 70661, 71096, 72930, 74392, 76499, 78771, 78784, 93686, 100072, 102747, 105653, 109676, 116838, 170638, 192167, 207728, 218038, 218461, 226777, 229791, 231863, 239556, 268859, 320429, 320707, 320865, 330908
user-supplied	7181_E-AFMX-6__HD_grade_2_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	7181_E-AFMX-6__HD_grade_2_markers_in_human_caudate_nucleus_(HG-U133A)_[down]	4.85358397421982e-12	1.91151517090578e-09	0.913622251793293	2.49333769286819	enriched	798	74	192212.403508772	320365, 14397, 20273, 26422, 58208, 64378, 210933, 269695, 320127, 545156, 11472, 11515, 12217, 12294, 12540, 12563, 13483, 13656, 14025, 14402, 14751, 15273, 16795, 17756, 17933, 18481, 18647, 19056, 19058, 20620, 20979, 21333, 23859, 24012, 52662, 54393, 56533, 56807, 57138, 58175, 64176, 66237, 66274, 66993, 70350, 71096, 72108, 72930, 74392, 76499, 78771, 78784, 83431, 93686, 100072, 102747, 104001, 105653, 116838, 170638, 192167, 207728, 218038, 226777, 229791, 231863, 239556, 242425, 268859, 320429, 320707, 320865, 320878, 330908
user-supplied	7231_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_7_d_[down]	7231_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_7_d_[down]	5.92901727948442e-12	1.91151517090578e-09	0.62651158391004	1.87107210340174	enriched	3765	174	91863.3104913679	21807, 14463, 58208, 66402, 66904, 77018, 99662, 208440, 209225, 11515, 11695, 11864, 12294, 12373, 12487, 12589, 12808, 12876, 13483, 13549, 13853, 14025, 14050, 14104, 14245, 16337, 16476, 16493, 16528, 16598, 16716, 16795, 17237, 17827, 18019, 18032, 18128, 18245, 18478, 18591, 18709, 18821, 18845, 19157, 19274, 19713, 20181, 20336, 20347, 20480, 20528, 20532, 20623, 21388, 21393, 21871, 22275, 22418, 23999, 24105, 26396, 26894, 28200, 29863, 30941, 52174, 53325, 56017, 56018, 56295, 56490, 56749, 56808, 57080, 57259, 57339, 57434, 58198, 60611, 64085, 66274, 66355, 66399, 66437, 66522, 66599, 66988, 67046, 67393, 67414, 67568, 67685, 67917, 68001, 68170, 68404, 68753, 68926, 69893, 70103, 70120, 70394, 70661, 72324, 72472, 72482, 73218, 74392, 74741, 74762, 76499, 76773, 77578, 77782, 78523, 78689, 78891, 80297, 93742, 94217, 94245, 94254, 100683, 101185, 103889, 104001, 105193, 105653, 106628, 106633, 106861, 107686, 109676, 110446, 110842, 140781, 192651, 208922, 210027, 213539, 216154, 218038, 219228, 223455, 224129, 226777, 227696, 228140, 232947, 233824, 235320, 239667, 243725, 246293, 268859, 268880, 269132, 272396, 277396, 319259, 319415, 319476, 319922, 319974, 320116, 320244, 320709, 380912, 381126, 381338, 432879, 433940, 545428, 666704
user-supplied	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	2.42182758610896e-11	6.50664344801275e-09	0.724223037819668	2.06312750503624	enriched	2342	111	75795.5777113578	20273, 53618, 66797, 545156, 11515, 11910, 12217, 12294, 12300, 12876, 13483, 13549, 13656, 14050, 14104, 15936, 16476, 16524, 16528, 16716, 16795, 16969, 17237, 17925, 18128, 18591, 18709, 19058, 19242, 19724, 20256, 20318, 20620, 20840, 20926, 20979, 21676, 21770, 23999, 24012, 24105, 26894, 30941, 52174, 53972, 54371, 54393, 56018, 56405, 56807, 57138, 57339, 60611, 64009, 64176, 66237, 66355, 66522, 66548, 66993, 67398, 67771, 67848, 68404, 68423, 68897, 68926, 70497, 71770, 71971, 73218, 74762, 76566, 78784, 78891, 93679, 94245, 103554, 104027, 105148, 105653, 106633, 107686, 110355, 114716, 140781, 207728, 212996, 216161, 218038, 224619, 225876, 226641, 227720, 228140, 228880, 231070, 231580, 232947, 235320, 242425, 268445, 319626, 320429, 320678, 320707, 320878, 333050, 381126, 545474, 666704
user-supplied	6248_GSE65399__Expression_in_normal_human_brain_vs_other_fetal_tissues_[up]	6248_GSE65399__Expression_in_normal_human_brain_vs_other_fetal_tissues_[up]	1.47153831459724e-10	2.76664295436894e-08	0.594298851045692	1.81176018575677	enriched	2757	175	183219.665578527	21807, 11426, 20273, 26422, 53618, 58208, 64378, 66402, 66797, 66815, 207278, 208440, 210933, 269695, 320127, 11472, 11480, 11735, 11864, 12177, 12217, 12294, 12300, 12386, 12540, 12876, 13082, 13106, 13483, 13837, 14025, 14104, 14402, 15273, 16423, 16528, 16561, 16795, 16859, 17756, 17933, 17977, 18032, 18481, 18578, 18645, 18647, 18708, 18709, 18739, 18845, 19056, 19058, 19157, 19242, 19272, 19714, 20192, 20336, 20346, 20979, 21333, 22063, 22129, 22240, 22678, 23859, 24012, 27416, 52662, 53972, 54393, 56490, 56533, 56550, 56807, 57138, 57339, 57748, 58175, 64176, 66237, 66993, 67149, 67245, 67568, 68404, 68975, 69399, 69707, 69893, 70350, 70533, 70797, 71770, 71843, 72108, 72925, 72930, 74189, 74741, 74762, 75471, 75769, 75786, 75805, 76089, 76499, 76773, 77578, 78771, 78784, 80297, 80909, 93686, 94217, 99982, 100072, 102747, 104001, 108073, 109676, 110355, 116838, 140904, 170638, 192167, 192651, 207227, 207683, 207728, 208151, 208898, 208922, 209018, 212390, 217951, 218038, 219228, 223455, 227333, 228880, 229791, 230316, 231070, 231863, 233781, 234135, 235106, 239510, 239556, 239667, 239857, 241568, 242259, 242384, 242425, 242466, 243043, 243725, 246293, 268859, 269633, 270120, 270163, 277396, 319415, 319974, 320119, 320865, 330908, 381338, 384763, 432879, 545474
user-supplied	8921_GSE78270__Up-regulated_genes_in_cerebellum_of_6_mon_HD_Q140_mice_vs_Q20	8921_GSE78270__Up-regulated_genes_in_cerebellum_of_6_mon_HD_Q140_mice_vs_Q20	1.53188441247991e-10	2.76664295436894e-08	0.691076007024307	1.99586193972846	enriched	1431	125	260342.489168414	320365, 20273, 26422, 66797, 72145, 77573, 207278, 208440, 210933, 210998, 216742, 545156, 11441, 11735, 11765, 12300, 12663, 13837, 14025, 14104, 14805, 16423, 16468, 16510, 16561, 16795, 17128, 17756, 17931, 17933, 17977, 18383, 18578, 18845, 19056, 19274, 19713, 19714, 20346, 20926, 20979, 22063, 23859, 29863, 52662, 54393, 56533, 56808, 57138, 57339, 64176, 66725, 69893, 70097, 70797, 71096, 71770, 72324, 72555, 74355, 74392, 74762, 75747, 75786, 76246, 77578, 78771, 93686, 94109, 94217, 99371, 100683, 104001, 105148, 106583, 108073, 109241, 109676, 114713, 116838, 140904, 170638, 192167, 208898, 208922, 210027, 212996, 214290, 216965, 218038, 218215, 219228, 223455, 225876, 226641, 227720, 228005, 229791, 230316, 233060, 239857, 239985, 241568, 242259, 242384, 242425, 242466, 243043, 243725, 244059, 246103, 268281, 272396, 277360, 319405, 319604, 319974, 320119, 320244, 320707, 320865, 333050, 381126, 381338, 636808
user-supplied	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	1.54465177353105e-10	2.76664295436894e-08	0.562245525384088	1.75460809692207	enriched	3505	198	147516.394008559	21807, 320365, 11426, 14397, 20273, 26422, 58208, 64378, 74720, 209225, 320127, 545156, 11441, 11472, 11515, 11596, 11735, 11765, 12217, 12228, 12294, 12300, 12563, 12565, 12808, 13144, 13483, 14198, 14236, 14402, 15273, 16401, 16423, 16449, 16476, 16493, 16510, 16561, 16969, 17079, 17131, 17237, 17756, 17925, 17933, 18019, 18436, 18578, 18591, 18708, 18845, 19056, 19058, 19242, 19317, 19724, 20192, 20318, 20620, 20650, 20652, 20979, 21333, 21393, 21770, 22129, 23859, 24105, 26894, 27416, 29863, 52662, 53322, 53972, 54371, 54393, 56018, 56405, 56453, 56490, 56533, 56807, 56808, 57080, 57138, 57339, 58175, 64009, 64085, 64817, 66548, 66725, 66993, 67149, 67245, 67393, 67398, 69482, 69660, 69893, 70097, 70661, 70797, 71033, 71071, 71481, 71715, 71770, 72324, 72555, 73230, 73284, 74012, 74189, 74455, 74741, 75747, 75769, 76499, 76566, 76773, 77048, 77087, 77422, 78617, 78771, 78784, 93679, 93686, 93742, 93961, 94109, 94217, 100102, 102747, 103537, 103554, 104027, 105193, 105653, 108073, 109624, 109676, 114716, 116838, 140781, 140904, 170638, 207683, 207728, 208898, 208922, 210027, 214058, 215114, 216965, 218461, 219140, 224129, 224454, 226641, 228880, 229791, 230737, 231070, 231672, 232947, 234135, 234825, 235106, 239857, 239985, 241568, 242466, 243043, 243385, 243725, 268445, 268510, 268859, 270120, 272396, 277360, 319415, 319604, 319626, 319974, 320116, 320429, 320678, 329152, 338523, 381126, 432572, 545428, 545474, 666704, 100040792
user-supplied	4324_GSE38219__Expression_in_15_wk_R6/2_HD_mice	4324_GSE38219__Expression_in_15_wk_R6/2_HD_mice	5.95574991467444e-10	9.15793489464427e-08	0.487523671757295	1.62827906991626	enriched	9450	395	118183.158412698	21807, 170942, 320365, 11426, 14397, 15229, 20273, 20969, 53618, 64378, 66266, 66815, 66904, 67755, 72145, 74720, 83669, 207278, 208440, 210998, 216742, 545156, 11438, 11441, 11480, 11515, 11735, 11765, 11864, 11910, 12028, 12177, 12217, 12228, 12294, 12300, 12386, 12393, 12487, 12540, 12565, 12638, 12808, 13144, 13404, 13483, 13549, 13837, 13853, 14025, 14198, 14219, 14245, 14402, 14751, 14805, 15273, 15469, 15925, 15936, 16177, 16337, 16401, 16423, 16449, 16456, 16468, 16476, 16493, 16510, 16524, 16528, 16551, 16561, 16648, 16716, 16782, 16795, 16969, 17079, 17128, 17131, 17237, 17268, 17756, 17775, 17827, 17931, 17933, 17969, 17977, 18004, 18019, 18032, 18101, 18128, 18245, 18383, 18481, 18578, 18591, 18645, 18647, 18708, 18709, 18710, 18739, 18805, 18821, 18845, 18976, 18996, 19056, 19058, 19076, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19714, 19724, 20116, 20181, 20192, 20256, 20318, 20336, 20346, 20480, 20528, 20650, 20663, 20926, 20979, 21393, 21406, 21676, 21780, 21871, 22041, 22063, 22129, 22222, 22240, 22275, 22335, 22678, 23802, 23859, 23999, 24012, 24105, 26396, 26894, 27367, 27416, 29863, 50787, 52662, 52715, 53881, 53972, 54371, 54393, 56017, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56743, 56807, 56808, 57080, 57138, 57259, 57339, 57434, 57748, 58175, 64009, 64085, 64176, 66237, 66355, 66399, 66437, 66522, 66548, 66599, 66725, 66942, 66958, 66988, 66993, 67149, 67213, 67245, 67393, 67414, 67604, 67685, 67771, 67917, 67967, 67980, 68001, 68170, 68404, 68423, 68703, 68975, 69399, 69504, 69585, 69660, 69893, 69900, 70120, 70394, 70497, 70533, 70661, 70797, 71323, 71702, 71843, 71971, 72324, 72472, 72482, 72736, 72749, 72930, 73230, 73284, 73884, 74012, 74149, 74189, 74355, 74392, 74455, 74741, 75616, 75747, 75786, 75805, 76457, 76499, 76566, 76773, 77048, 77055, 77059, 77087, 77422, 78523, 78617, 78689, 78891, 79264, 80297, 80909, 83431, 93742, 94109, 94217, 94254, 94353, 99371, 99982, 100072, 100169, 100683, 101185, 102747, 103537, 103554, 104001, 104027, 104318, 106583, 106861, 108954, 109241, 109624, 109676, 110355, 110446, 116838, 140781, 140904, 170638, 192167, 192651, 192786, 207227, 207683, 207728, 208898, 208922, 209773, 212539, 213464, 214058, 214290, 215114, 215351, 216154, 216161, 216445, 217232, 217333, 218038, 218215, 218461, 219228, 223455, 224454, 224796, 225339, 225876, 226182, 226641, 227333, 227696, 227720, 228005, 228866, 228880, 230801, 231070, 231440, 231580, 231672, 231863, 232947, 233824, 234135, 235106, 235134, 235320, 238455, 239510, 239667, 239857, 241568, 242384, 242466, 243043, 243385, 243725, 244059, 246103, 246293, 268445, 268859, 268880, 269132, 269831, 270120, 270163, 270624, 272396, 277360, 277396, 319165, 319415, 319604, 319974, 320116, 320244, 320429, 320678, 320707, 320878, 329152, 330908, 338523, 347740, 380912, 381338, 384763, 432572, 432879, 553095, 100040792, 100043040
