Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	1.2460705571039e-05	0.000186910583565585	0.511647438726006	1.66803692123742	enriched	3162	163	123321.02055661	14397, 26422, 58208, 64378, 74720, 99662, 209225, 210933, 214766, 216742, 269695, 320127, 545156, 11441, 11472, 11515, 12217, 12294, 12300, 12373, 12565, 12876, 13656, 14050, 14198, 14236, 16337, 16449, 16468, 16969, 16993, 17128, 17131, 17237, 17827, 17933, 18019, 18128, 18578, 18709, 18845, 18976, 19058, 19242, 19317, 19724, 20192, 20318, 20620, 20650, 21676, 21770, 21871, 22129, 22678, 23859, 23999, 24012, 24105, 27416, 29863, 30941, 50787, 53322, 53972, 54393, 56018, 56295, 56405, 56453, 57080, 57339, 58175, 64009, 66355, 66548, 66725, 66993, 67213, 67398, 67848, 69482, 70661, 71033, 71096, 71461, 71715, 71770, 72324, 72555, 73218, 73284, 74189, 75087, 75747, 76089, 76457, 76773, 77048, 77087, 78617, 78771, 78784, 83431, 93742, 94109, 100102, 100683, 103537, 104027, 105193, 105653, 108073, 108954, 140781, 140904, 192167, 207683, 207728, 208151, 210027, 212996, 214290, 215114, 216965, 218461, 219140, 224129, 224619, 226641, 228866, 228880, 231070, 231672, 232947, 233060, 234825, 235106, 239667, 239857, 243385, 243725, 246103, 268445, 268510, 268859, 269831, 270120, 270163, 272396, 277360, 319405, 319798, 319974, 320116, 320429, 320939, 329152, 333050, 338523, 433940, 666704, 100038713
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.000378636430626923	0.00189318215313461	0.478469993757809	1.61360368885509	enriched	1397	82	135480.300644238	14397, 53618, 58208, 64378, 74720, 207278, 209225, 216742, 269695, 11441, 11472, 11515, 12294, 12300, 12565, 14236, 16449, 16993, 17827, 17933, 18578, 19058, 20192, 20620, 20650, 21770, 22129, 22678, 24012, 24105, 29863, 53972, 54393, 56018, 56405, 56453, 57080, 57138, 64009, 66355, 66725, 66993, 69482, 71461, 71702, 71770, 73284, 75747, 76773, 77087, 78784, 93742, 94109, 100102, 104027, 105653, 140781, 140904, 192167, 207728, 208151, 212996, 214290, 219140, 224129, 226641, 228880, 231672, 235106, 243385, 243725, 268510, 268859, 270163, 272396, 319405, 320116, 320429, 329152, 433940, 666704, 100038713
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.000949602309561643	0.00356100866085616	0.391266626840452	1.4788527626917	enriched	2693	135	122706.68473821	58208, 64378, 74720, 209225, 214766, 216742, 545156, 11441, 11472, 12217, 12294, 12300, 12373, 12565, 12876, 13656, 14198, 14219, 14236, 15936, 16337, 16449, 16476, 16969, 16993, 17131, 17933, 18128, 18709, 19058, 19242, 19317, 19724, 20192, 20318, 20620, 20650, 21676, 21770, 21871, 22129, 22678, 23859, 23999, 24012, 24105, 29863, 30941, 50787, 53322, 53972, 54393, 56018, 56405, 56453, 57080, 57339, 58175, 64009, 66355, 66548, 66725, 66993, 67213, 67393, 67848, 69482, 69585, 70097, 70661, 71461, 71481, 71715, 72324, 72555, 73218, 73284, 74189, 75087, 75747, 76457, 76566, 76773, 77087, 78617, 78784, 93742, 94109, 100102, 103537, 104027, 105653, 106861, 108073, 140781, 140904, 192167, 207683, 207728, 208151, 212996, 218461, 219140, 224129, 224619, 226641, 226777, 228866, 228880, 231070, 231672, 232947, 233060, 233781, 234825, 235106, 239667, 239857, 243385, 243725, 268445, 268510, 268859, 269633, 269831, 270163, 319405, 319798, 320429, 320939, 329152, 338523, 433940, 666704, 100038713
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0336663440280867	0.0721421657744715	0.260614099561904	1.2977267754619	enriched	2214	112	140097.266937669	14056, 58208, 64378, 74720, 99662, 209225, 214766, 320127, 545156, 11441, 11472, 11515, 12294, 12300, 12373, 12565, 12876, 13106, 14236, 15273, 16337, 16449, 16493, 16716, 16795, 17933, 18019, 18578, 18845, 19058, 19317, 19724, 20192, 20620, 20650, 20840, 21676, 21770, 22129, 23859, 24105, 27416, 29863, 53972, 54393, 56405, 56453, 58175, 64009, 64817, 66355, 66725, 66993, 69482, 70661, 71461, 71715, 71770, 72555, 73230, 73284, 74189, 74762, 75087, 75747, 76089, 76773, 77048, 77087, 77422, 78784, 93742, 94109, 103537, 104027, 105653, 108073, 140781, 140904, 192167, 207728, 208151, 216965, 218461, 219140, 224129, 224619, 226641, 228880, 231070, 231440, 232947, 235106, 243385, 243725, 268445, 268510, 268859, 270120, 270163, 277360, 319405, 319476, 319798, 319974, 320429, 320939, 329152, 338523, 666704, 100038713, 100040792
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.0430977143235515	0.080808214356659	0.972582046921553	2.6447645568414	enriched	60	5	86735.9833333333	66402, 74720, 18976, 73284, 320116
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.152927656180619	0.229391484270928	0.182570801998082	1.20029913152195	enriched	5212	222	126171.118956255	320365, 58208, 64378, 72145, 74720, 77018, 83669, 209225, 214766, 216742, 545156, 11441, 11472, 11480, 12217, 12294, 12300, 12373, 12393, 12565, 12876, 13483, 13656, 14025, 14198, 14219, 14236, 14402, 14751, 14805, 15936, 16337, 16449, 16476, 16551, 16782, 16969, 16993, 17131, 17268, 17775, 17933, 17977, 18004, 18101, 18128, 18478, 18481, 18645, 18709, 18996, 19058, 19076, 19157, 19242, 19317, 19335, 19724, 20192, 20318, 20336, 20620, 20650, 20663, 21333, 21406, 21676, 21770, 21871, 22129, 22222, 22240, 22335, 22678, 23859, 23999, 24012, 24105, 28200, 29806, 29863, 30941, 50787, 52715, 53322, 53972, 54393, 56018, 56405, 56453, 57080, 57339, 57434, 58175, 64009, 66237, 66355, 66548, 66599, 66725, 66993, 67155, 67213, 67393, 67414, 67771, 67848, 67917, 68001, 68170, 69399, 69482, 69585, 69900, 69953, 70097, 70103, 70120, 70144, 70350, 70661, 71461, 71481, 71715, 72324, 72555, 72749, 72925, 72930, 73218, 73284, 74012, 74149, 74189, 74355, 75087, 75747, 75786, 76457, 76499, 76566, 76773, 77087, 78617, 78784, 80909, 93742, 94109, 94254, 94353, 99371, 99982, 100102, 100169, 101185, 103537, 104001, 104027, 104318, 105653, 106861, 108073, 110446, 110637, 140781, 140904, 192167, 207683, 207728, 208151, 209018, 212996, 213464, 213539, 215351, 217951, 218038, 218461, 219140, 219228, 223455, 224129, 224619, 226641, 226777, 227333, 228866, 228880, 231070, 231672, 232947, 233060, 233781, 234825, 235106, 239667, 239857, 242259, 243043, 243385, 243725, 244650, 268445, 268510, 268859, 269633, 269831, 270163, 277396, 319405, 319798, 320119, 320429, 320709, 320865, 320939, 329152, 338523, 381338, 433940, 666704, 100038713
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.367832739871786	0.501590099825163	0.427720066268131	1.53375667063858	enriched	83	5	127007.21686747	66402, 74720, 18976, 73284, 320116
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.503382815054372	0.590597298279938	0.0836193234311724	1.08721493777005	enriched	2334	104	143738.277206512	14397, 53618, 58208, 64378, 66904, 74720, 207278, 209225, 216742, 269695, 11441, 11472, 11480, 11515, 12294, 12300, 12393, 12563, 12565, 14025, 14236, 14751, 16449, 16782, 16993, 17268, 17827, 17933, 18101, 18578, 19058, 20192, 20620, 20650, 21406, 21770, 22129, 22240, 22678, 24012, 24105, 29863, 53972, 54393, 56018, 56405, 56453, 57080, 57138, 64009, 66355, 66725, 66993, 67414, 69482, 70350, 71461, 71702, 71770, 73284, 74149, 74775, 75747, 76438, 76499, 76773, 77087, 78784, 93742, 94109, 94353, 100102, 104027, 105653, 140781, 140904, 192167, 207728, 208151, 212996, 214290, 217951, 219140, 224129, 226641, 228880, 231672, 235106, 243385, 243725, 244650, 268510, 268859, 270163, 272396, 319405, 320116, 320429, 320709, 320865, 329152, 433940, 666704, 100038713
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.551224145061276	0.590597298279938	0.0868309897219234	1.09071232254665	enriched	6204	252	124547.429561573	320365, 14397, 26422, 58208, 64378, 66904, 72145, 74720, 77018, 83669, 99662, 209225, 210933, 214766, 216742, 269695, 320127, 545156, 11441, 11472, 11480, 11515, 12217, 12294, 12300, 12373, 12393, 12493, 12563, 12565, 12876, 13483, 13656, 14025, 14050, 14198, 14236, 14751, 14805, 16337, 16449, 16468, 16524, 16551, 16782, 16969, 16993, 17128, 17131, 17237, 17268, 17775, 17827, 17933, 18004, 18019, 18101, 18128, 18481, 18578, 18645, 18647, 18709, 18739, 18845, 18976, 18996, 19058, 19076, 19157, 19242, 19317, 19335, 19387, 19724, 20192, 20318, 20620, 20650, 20663, 21406, 21676, 21770, 21871, 22129, 22222, 22240, 22335, 22678, 23859, 23999, 24012, 24105, 27416, 28200, 29806, 29863, 30941, 50490, 50787, 53322, 53972, 54393, 56017, 56018, 56295, 56405, 56453, 57080, 57339, 57434, 58175, 64009, 66237, 66355, 66548, 66599, 66725, 66993, 67155, 67213, 67398, 67414, 67568, 67771, 67848, 67917, 68001, 68404, 69399, 69482, 70120, 70144, 70350, 70599, 70661, 71033, 71096, 71461, 71715, 71770, 72324, 72555, 72749, 72925, 72930, 73218, 73284, 74149, 74189, 74355, 74775, 74928, 75087, 75747, 76089, 76438, 76457, 76499, 76773, 77048, 77087, 77578, 78500, 78617, 78771, 78784, 80909, 83431, 83560, 93742, 94109, 94254, 94353, 99371, 99982, 100102, 100169, 100683, 101185, 103537, 104027, 104318, 105193, 105653, 108073, 108954, 110355, 110446, 110637, 116838, 140781, 140904, 192167, 207683, 207728, 208151, 209018, 210027, 212390, 212996, 213539, 214290, 215114, 215351, 216965, 217951, 218038, 218461, 219140, 224129, 224619, 226641, 228140, 228866, 228880, 231070, 231672, 232947, 233060, 234825, 235106, 239667, 239857, 242259, 243385, 243725, 244650, 246103, 268445, 268510, 268859, 269831, 270120, 270163, 272396, 277360, 319405, 319798, 319974, 320116, 320429, 320709, 320865, 320939, 329152, 333050, 338523, 381338, 433940, 666704, 100038713
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	9.61176459793536e-05	0.000720882344845152	-0.503949909774117	0.604139643589187	depleted	3042	89	125822.217619987	320365, 66904, 72145, 77018, 83669, 11480, 12393, 12493, 12563, 13483, 14025, 14751, 14805, 16524, 16551, 16782, 17268, 17775, 18004, 18101, 18481, 18645, 18647, 18739, 18996, 19076, 19157, 19335, 19387, 20663, 21406, 22222, 22240, 22335, 28200, 29806, 50490, 56017, 57434, 66237, 66599, 67155, 67414, 67568, 67771, 67917, 68001, 68404, 69399, 70120, 70144, 70350, 70599, 72749, 72925, 72930, 74149, 74355, 74775, 74928, 76438, 76499, 77578, 78500, 80909, 83560, 94254, 94353, 99371, 99982, 100169, 101185, 104318, 110355, 110446, 110637, 116838, 209018, 212390, 213539, 215351, 217951, 218038, 228140, 242259, 244650, 320709, 320865, 381338
