Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Cellular Component	GO:0044422	organelle part	1.51693833077354e-10	1.19079658965723e-07	0.52471772987079	1.68998174968006	enriched	6659	276	94412.641237423	11426, 14056, 14463, 20273, 26422, 53618, 66402, 66815, 67755, 72145, 77573, 83669, 320127, 545156, 11472, 11596, 11735, 11765, 11910, 12028, 12177, 12217, 12373, 12393, 12442, 12540, 12589, 12638, 12663, 12808, 12876, 13106, 13144, 13404, 13853, 14025, 14050, 14198, 14245, 14287, 14679, 14751, 15273, 15469, 15925, 15936, 16468, 16476, 16493, 16510, 16551, 16561, 16598, 16648, 16716, 16993, 17128, 17131, 17756, 17827, 17925, 17931, 17969, 17977, 18004, 18019, 18032, 18173, 18436, 18578, 18708, 18740, 18802, 18805, 18821, 18996, 19056, 19076, 19272, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20318, 20528, 20532, 20620, 20650, 20652, 20926, 20979, 21393, 21406, 21676, 21780, 21871, 22041, 22063, 22129, 22240, 22275, 22335, 23802, 23999, 26396, 26430, 26754, 26894, 27367, 28200, 30941, 50490, 52662, 53322, 53325, 54371, 54393, 56017, 56295, 56453, 56715, 56749, 56792, 56807, 57080, 57339, 57434, 58175, 58198, 60611, 64009, 66237, 66399, 66437, 66599, 66725, 66942, 66988, 66993, 67046, 67155, 67393, 67398, 67414, 67604, 67685, 67771, 67848, 68703, 68753, 68975, 69482, 69660, 69707, 69710, 70103, 70120, 70350, 70394, 70593, 71702, 71715, 71745, 71843, 72108, 72555, 72736, 72749, 72925, 72930, 73218, 74012, 74189, 74355, 74392, 74741, 75786, 75805, 76246, 76499, 76566, 77048, 77055, 77087, 77215, 78523, 78617, 78784, 78891, 79264, 80297, 83431, 83560, 93679, 93686, 93742, 94175, 94245, 94353, 99371, 99982, 100072, 100683, 101185, 102747, 103554, 103889, 104001, 104027, 104318, 106583, 106628, 106633, 107686, 109241, 109624, 109676, 110379, 110446, 110842, 140486, 140781, 140904, 170644, 192786, 207728, 208898, 209018, 212541, 213464, 214290, 215114, 215351, 216154, 217232, 218215, 219140, 223455, 224796, 225876, 226182, 226641, 227720, 228005, 228140, 228866, 230737, 230801, 231070, 233781, 233824, 235134, 235320, 238217, 239985, 243725, 244059, 244650, 246103, 246293, 268281, 268859, 268880, 270163, 319165, 320244, 320438, 320678, 329152, 338523, 545428, 545913
Gene Ontology Cellular Component	GO:0044446	intracellular organelle part	1.05336733148613e-09	2.88946331399247e-07	0.503794139504364	1.65498863130673	enriched	6436	263	92489.2249844624	11426, 14056, 14463, 26422, 53618, 66402, 66815, 67755, 72145, 77573, 83669, 320127, 545156, 11472, 11596, 11765, 11910, 12028, 12177, 12217, 12373, 12393, 12442, 12540, 12589, 12638, 12663, 12808, 12876, 13106, 13144, 13404, 13853, 14025, 14050, 14198, 14245, 14287, 14679, 14751, 15273, 15469, 15925, 15936, 16468, 16476, 16510, 16551, 16561, 16598, 16648, 16993, 17128, 17131, 17756, 17827, 17925, 17931, 17969, 17977, 18004, 18019, 18032, 18173, 18436, 18578, 18708, 18740, 18802, 18805, 18821, 18996, 19076, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20318, 20528, 20532, 20620, 20650, 20652, 20926, 20979, 21406, 21676, 21780, 21871, 22041, 22129, 22240, 22275, 22335, 23802, 26396, 26430, 26754, 26894, 27367, 28200, 30941, 50490, 52662, 53322, 53325, 54371, 54393, 56017, 56295, 56453, 56715, 56749, 56792, 56807, 57080, 57339, 57434, 58175, 58198, 60611, 64009, 66237, 66399, 66437, 66599, 66725, 66942, 66988, 66993, 67046, 67155, 67393, 67398, 67414, 67604, 67685, 67771, 67848, 68703, 68753, 68975, 69482, 69660, 69707, 69710, 70103, 70120, 70350, 70394, 70593, 71702, 71715, 71745, 71843, 72108, 72736, 72749, 72925, 72930, 73218, 74012, 74189, 74355, 74392, 74741, 75786, 75805, 76246, 76499, 76566, 77048, 77055, 77087, 77215, 78523, 78617, 78784, 78891, 79264, 80297, 83431, 83560, 93679, 93686, 93742, 94175, 94245, 94353, 99371, 99982, 100072, 100683, 101185, 102747, 103554, 103889, 104001, 104027, 104318, 106583, 106628, 106633, 107686, 109241, 109624, 110379, 110446, 110842, 140486, 140781, 140904, 170644, 192786, 207728, 208898, 209018, 212541, 213464, 214290, 215114, 215351, 216154, 217232, 218215, 219140, 223455, 225876, 226182, 226641, 227720, 228005, 228140, 228866, 230737, 230801, 231070, 233781, 233824, 235134, 235320, 238217, 239985, 243725, 244059, 246103, 246293, 268281, 268859, 268880, 270163, 319165, 320244, 320438, 320678, 329152, 338523, 545428, 545913
Gene Ontology Cellular Component	GO:0044424	intracellular part	1.1042534957933e-09	2.88946331399247e-07	0.556366869641635	1.74432361902793	enriched	12790	480	105029.765363565	21807, 320365, 11426, 14056, 14463, 15229, 20273, 26422, 53618, 58208, 64378, 66266, 66402, 66797, 66815, 66904, 67755, 72145, 77573, 83669, 99662, 207278, 209225, 216742, 320127, 545156, 11441, 11472, 11480, 11515, 11596, 11695, 11735, 11765, 11864, 11910, 12028, 12177, 12217, 12228, 12373, 12386, 12393, 12442, 12540, 12589, 12638, 12663, 12808, 12876, 13082, 13106, 13144, 13404, 13549, 13656, 13837, 13853, 14025, 14029, 14050, 14104, 14198, 14219, 14236, 14245, 14287, 14402, 14472, 14679, 14751, 14794, 15273, 15437, 15469, 15567, 15925, 15936, 16177, 16337, 16456, 16468, 16476, 16493, 16510, 16551, 16561, 16598, 16648, 16716, 16782, 16795, 16859, 16969, 16993, 17128, 17131, 17237, 17268, 17756, 17775, 17827, 17925, 17931, 17933, 17969, 17977, 18004, 18019, 18032, 18101, 18128, 18173, 18245, 18436, 18481, 18578, 18591, 18645, 18647, 18708, 18709, 18739, 18740, 18802, 18805, 18821, 18976, 18996, 19056, 19058, 19076, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20256, 20259, 20318, 20336, 20480, 20528, 20532, 20620, 20623, 20650, 20652, 20840, 20926, 20979, 21388, 21393, 21406, 21676, 21780, 21871, 22041, 22063, 22129, 22222, 22240, 22255, 22275, 22335, 22418, 22678, 23802, 23859, 23999, 24012, 24105, 26396, 26430, 26754, 26894, 27367, 27416, 28200, 29806, 30941, 50490, 52662, 53322, 53325, 53972, 54371, 54393, 54607, 56017, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56749, 56792, 56807, 57080, 57259, 57339, 57434, 57748, 58175, 58176, 58198, 60611, 64009, 64085, 64176, 64817, 66065, 66237, 66399, 66437, 66522, 66599, 66725, 66942, 66988, 66993, 67046, 67155, 67245, 67393, 67398, 67414, 67568, 67604, 67685, 67771, 67848, 67967, 67980, 68001, 68393, 68423, 68703, 68753, 68926, 68975, 69226, 69307, 69482, 69504, 69660, 69707, 69710, 69893, 70054, 70103, 70120, 70144, 70350, 70394, 70497, 70593, 70599, 70661, 70797, 70873, 71096, 71481, 71702, 71715, 71745, 71770, 71843, 71971, 72108, 72324, 72482, 72736, 72749, 72925, 72930, 73218, 73284, 73353, 74012, 74088, 74189, 74355, 74392, 74455, 74741, 75467, 75471, 75747, 75786, 75805, 76089, 76246, 76438, 76499, 76566, 76773, 77048, 77055, 77087, 77215, 77422, 77578, 77782, 78523, 78617, 78689, 78771, 78784, 78891, 79264, 80297, 80909, 83431, 83560, 93679, 93686, 93742, 93961, 94175, 94245, 94254, 94353, 99334, 99371, 99982, 100072, 100102, 100169, 100683, 101185, 102747, 103537, 103554, 103889, 104001, 104027, 104318, 105148, 105193, 106583, 106628, 106633, 107587, 107686, 108073, 108150, 108954, 109241, 109624, 109676, 110355, 110379, 110446, 110637, 110842, 114713, 114716, 140486, 140781, 140904, 170644, 192167, 192786, 207227, 207728, 208898, 208922, 209018, 209773, 212390, 212541, 212996, 213464, 214290, 215114, 215351, 216154, 216965, 217232, 217333, 218038, 218203, 218215, 219140, 223455, 224129, 224454, 224619, 224796, 225028, 225876, 226182, 226641, 227333, 227720, 228005, 228136, 228140, 228731, 228866, 228880, 230737, 230801, 231070, 231440, 231580, 231672, 233060, 233781, 233824, 234135, 235106, 235132, 235134, 235320, 235533, 238217, 238455, 239510, 239667, 239857, 239985, 241568, 242425, 242466, 242687, 243725, 244059, 244650, 246103, 246293, 268281, 268445, 268510, 268859, 268880, 269132, 270163, 272396, 277360, 277396, 319165, 319415, 319476, 319974, 320119, 320244, 320438, 320678, 320707, 320709, 320878, 329152, 333050, 338523, 380912, 380994, 384763, 387231, 432572, 432879, 545428, 545474, 545913, 666704, 668225, 723904, 723965
Gene Ontology Cellular Component	GO:0005622	intracellular	2.11795378499862e-09	4.15648430305979e-07	0.548854037220806	1.73126791206791	enriched	12895	482	105063.701279566	21807, 320365, 11426, 14056, 14463, 15229, 20273, 26422, 53618, 58208, 64378, 66266, 66402, 66797, 66815, 66904, 67755, 72145, 77573, 83669, 99662, 207278, 209225, 216742, 320127, 545156, 11441, 11472, 11480, 11515, 11596, 11695, 11735, 11765, 11864, 11910, 12028, 12177, 12217, 12228, 12373, 12386, 12393, 12442, 12540, 12589, 12638, 12663, 12808, 12876, 13082, 13106, 13144, 13404, 13549, 13656, 13837, 13853, 14025, 14029, 14050, 14104, 14198, 14219, 14236, 14245, 14287, 14402, 14472, 14679, 14751, 14794, 15273, 15437, 15469, 15567, 15925, 15936, 16177, 16337, 16456, 16468, 16476, 16493, 16510, 16551, 16561, 16598, 16648, 16716, 16782, 16795, 16859, 16969, 16993, 17128, 17131, 17237, 17268, 17756, 17775, 17827, 17925, 17931, 17933, 17969, 17977, 18004, 18019, 18032, 18101, 18128, 18173, 18245, 18436, 18481, 18578, 18591, 18645, 18647, 18708, 18709, 18739, 18740, 18802, 18805, 18821, 18976, 18996, 19056, 19058, 19076, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20256, 20259, 20318, 20336, 20480, 20528, 20532, 20620, 20623, 20650, 20652, 20840, 20926, 20979, 21388, 21393, 21406, 21676, 21780, 21871, 22041, 22063, 22129, 22222, 22240, 22255, 22275, 22335, 22418, 22678, 23802, 23859, 23999, 24012, 24105, 26396, 26430, 26754, 26894, 27367, 27416, 28200, 29806, 30941, 50490, 52662, 53322, 53325, 53972, 54371, 54393, 54607, 56017, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56749, 56792, 56807, 57080, 57259, 57339, 57434, 57748, 58175, 58176, 58198, 60611, 64009, 64085, 64176, 64817, 66065, 66237, 66399, 66437, 66522, 66599, 66725, 66942, 66988, 66993, 67046, 67155, 67245, 67393, 67398, 67414, 67568, 67604, 67685, 67771, 67848, 67967, 67980, 68001, 68393, 68423, 68703, 68753, 68926, 68975, 69226, 69307, 69482, 69504, 69660, 69707, 69710, 69893, 70054, 70103, 70120, 70144, 70350, 70394, 70497, 70593, 70599, 70661, 70797, 70873, 71096, 71481, 71702, 71715, 71745, 71770, 71843, 71971, 72108, 72324, 72482, 72736, 72749, 72925, 72930, 73218, 73284, 73353, 74012, 74088, 74189, 74355, 74392, 74455, 74741, 75467, 75471, 75747, 75786, 75805, 76089, 76246, 76438, 76499, 76566, 76773, 77048, 77055, 77087, 77215, 77422, 77578, 77782, 78523, 78617, 78689, 78771, 78784, 78891, 79264, 80297, 80909, 83431, 83560, 93679, 93686, 93742, 93961, 94175, 94245, 94254, 94353, 99334, 99371, 99982, 100072, 100102, 100169, 100683, 101185, 102747, 103537, 103554, 103889, 104001, 104027, 104318, 105148, 105193, 106583, 106628, 106633, 107587, 107686, 108073, 108150, 108954, 109241, 109624, 109676, 110355, 110379, 110446, 110637, 110842, 114713, 114716, 140486, 140781, 140904, 170638, 170644, 192167, 192786, 207227, 207728, 208898, 208922, 209018, 209773, 212390, 212541, 212996, 213464, 214290, 215114, 215351, 216154, 216965, 217232, 217333, 218038, 218203, 218215, 219140, 223455, 224129, 224454, 224619, 224796, 225028, 225876, 226182, 226641, 227333, 227720, 228005, 228136, 228140, 228731, 228866, 228880, 230737, 230801, 231070, 231440, 231580, 231672, 233060, 233781, 233824, 234135, 235106, 235132, 235134, 235320, 235533, 238217, 238455, 239510, 239667, 239857, 239985, 241568, 242425, 242466, 242687, 243725, 244059, 244650, 246103, 246293, 268281, 268445, 268510, 268859, 268880, 269132, 270163, 272396, 277360, 277396, 319165, 319415, 319476, 319974, 320119, 320244, 320438, 320678, 320707, 320709, 320878, 329152, 333050, 338523, 380912, 380994, 381338, 384763, 387231, 432572, 432879, 545428, 545474, 545913, 666704, 668225, 723904, 723965
Gene Ontology Cellular Component	GO:0032991	macromolecular complex	3.83437409819484e-09	6.01996733416589e-07	0.509556031395985	1.66455202203571	enriched	4776	212	104922.110343384	14056, 14397, 14463, 20273, 20969, 66797, 66815, 72145, 77018, 77573, 83669, 320127, 11438, 11441, 11480, 11515, 11695, 11765, 11864, 11910, 12028, 12300, 12373, 12393, 12487, 12589, 12638, 12663, 13483, 13853, 14050, 14245, 14402, 14679, 14805, 15273, 15469, 15925, 16177, 16337, 16401, 16468, 16476, 16493, 16510, 16528, 16551, 16561, 16648, 16782, 17128, 17131, 17268, 17756, 17925, 17931, 17969, 17977, 18019, 18128, 18436, 18578, 18647, 18708, 18709, 18710, 18739, 18740, 18821, 19056, 19058, 19076, 19387, 19713, 19714, 20116, 20181, 20192, 20259, 20336, 20650, 20926, 20979, 21388, 21406, 21676, 21780, 21871, 22041, 22063, 22222, 22240, 22335, 23802, 23859, 24012, 24105, 26754, 26894, 27367, 29806, 50490, 54393, 56295, 56550, 56792, 56807, 56808, 57339, 57434, 58198, 64009, 66237, 66355, 66437, 66725, 66993, 67155, 67398, 67414, 67604, 67771, 68404, 68703, 68753, 68975, 69482, 69585, 70097, 70103, 70350, 70394, 70593, 70797, 71702, 71715, 71745, 71770, 71843, 72324, 72555, 72749, 72930, 74392, 75747, 75786, 76089, 76246, 76438, 76499, 77048, 78523, 78689, 78891, 79264, 80909, 83431, 83560, 93742, 94217, 94245, 99982, 100102, 100683, 101185, 103554, 106583, 106633, 107686, 108073, 108954, 110379, 110637, 110842, 116838, 140486, 140781, 192167, 208922, 209018, 212390, 213464, 215114, 216154, 217232, 218215, 224129, 224619, 224796, 226182, 227720, 228140, 230801, 231070, 231672, 233824, 235134, 235320, 238217, 239985, 242425, 242687, 243043, 246293, 268281, 270163, 277396, 319922, 387231, 432879, 723904, 723965
Gene Ontology Cellular Component	GO:0044464	cell part	9.30955275022136e-09	1.14712574726039e-06	0.614603895791387	1.84892408787981	enriched	14871	541	108422.79772712	21807, 320365, 11426, 14056, 14397, 14463, 15229, 20273, 20969, 26422, 53618, 58208, 64378, 66266, 66402, 66797, 66815, 66904, 67755, 72145, 74720, 77018, 77573, 83669, 99662, 207278, 209225, 210933, 216742, 320127, 545156, 11438, 11441, 11472, 11480, 11515, 11596, 11695, 11735, 11765, 11864, 11910, 12028, 12177, 12217, 12228, 12300, 12373, 12386, 12393, 12442, 12487, 12493, 12540, 12563, 12565, 12589, 12638, 12663, 12808, 12876, 13082, 13106, 13144, 13404, 13483, 13549, 13656, 13837, 13853, 14025, 14029, 14050, 14104, 14198, 14219, 14236, 14245, 14287, 14402, 14472, 14679, 14751, 14794, 14805, 15273, 15437, 15469, 15567, 15925, 15936, 16177, 16337, 16401, 16423, 16449, 16456, 16468, 16476, 16493, 16510, 16524, 16528, 16551, 16561, 16598, 16648, 16716, 16782, 16795, 16859, 16969, 16993, 17079, 17128, 17131, 17237, 17268, 17756, 17775, 17827, 17925, 17931, 17933, 17969, 17977, 18004, 18019, 18032, 18101, 18128, 18173, 18245, 18383, 18436, 18481, 18578, 18590, 18591, 18645, 18647, 18708, 18709, 18739, 18740, 18802, 18805, 18821, 18845, 18976, 18996, 19056, 19058, 19076, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20256, 20259, 20318, 20336, 20346, 20480, 20493, 20528, 20532, 20620, 20623, 20650, 20652, 20840, 20926, 20979, 21333, 21388, 21393, 21406, 21676, 21780, 21871, 21942, 22041, 22063, 22129, 22222, 22240, 22255, 22275, 22335, 22418, 22678, 23802, 23859, 23999, 24012, 24105, 26396, 26430, 26754, 26894, 27367, 27416, 28200, 29806, 30941, 50490, 50928, 52662, 53322, 53325, 53881, 53972, 54371, 54393, 54607, 56017, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56743, 56749, 56792, 56807, 56808, 57080, 57138, 57259, 57339, 57434, 57748, 58175, 58176, 58198, 60611, 64009, 64085, 64176, 64817, 66065, 66237, 66355, 66399, 66437, 66522, 66599, 66725, 66942, 66988, 66993, 67046, 67149, 67155, 67245, 67393, 67398, 67414, 67568, 67604, 67685, 67771, 67848, 67967, 67980, 68001, 68170, 68393, 68404, 68423, 68703, 68742, 68753, 68926, 68975, 69226, 69307, 69482, 69504, 69585, 69660, 69707, 69710, 69893, 70054, 70103, 70120, 70144, 70350, 70394, 70497, 70593, 70599, 70661, 70797, 70873, 71096, 71461, 71481, 71702, 71715, 71745, 71770, 71843, 71971, 72108, 72324, 72472, 72482, 72555, 72736, 72749, 72925, 72930, 73218, 73284, 73353, 74012, 74088, 74189, 74355, 74392, 74455, 74741, 74762, 74775, 75467, 75471, 75747, 75769, 75786, 75805, 76089, 76246, 76438, 76499, 76566, 76773, 77048, 77055, 77087, 77215, 77422, 77578, 77782, 78523, 78617, 78689, 78771, 78784, 78891, 79264, 80297, 80909, 83431, 83560, 93679, 93686, 93742, 93961, 94175, 94245, 94254, 94353, 99334, 99371, 99982, 100072, 100102, 100169, 100678, 100683, 101185, 102747, 103537, 103554, 103889, 104001, 104027, 104318, 105148, 105193, 106583, 106628, 106633, 107587, 107686, 108073, 108150, 108954, 109241, 109624, 109676, 110355, 110379, 110446, 110637, 110842, 114713, 114716, 116838, 140486, 140781, 140904, 170638, 170644, 192167, 192786, 207227, 207683, 207728, 208166, 208898, 208922, 209018, 209773, 212390, 212541, 212996, 213464, 214058, 214290, 215114, 215351, 216154, 216965, 217232, 217333, 218038, 218203, 218215, 219140, 219228, 223455, 223601, 224129, 224454, 224619, 224796, 225028, 225876, 226182, 226641, 227333, 227720, 228005, 228136, 228140, 228731, 228866, 228880, 229791, 230737, 230801, 231070, 231440, 231580, 231672, 233060, 233781, 233824, 233836, 234135, 235106, 235132, 235134, 235320, 235533, 238217, 238455, 239510, 239556, 239667, 239857, 239985, 241568, 242425, 242466, 242687, 243043, 243725, 244059, 244650, 246103, 246293, 268281, 268445, 268510, 268859, 268880, 269132, 269831, 270120, 270163, 272396, 277360, 277396, 319165, 319415, 319476, 319922, 319974, 320119, 320244, 320355, 320438, 320678, 320707, 320709, 320878, 329152, 333050, 338523, 380912, 380994, 381338, 381974, 384763, 387231, 432572, 432879, 545428, 545474, 545913, 666704, 668225, 723904, 723965
Gene Ontology Cellular Component	GO:0005623	cell	1.0229146790857e-08	1.14712574726039e-06	0.612903591108994	1.84578302473473	enriched	14879	541	108418.624571544	21807, 320365, 11426, 14056, 14397, 14463, 15229, 20273, 20969, 26422, 53618, 58208, 64378, 66266, 66402, 66797, 66815, 66904, 67755, 72145, 74720, 77018, 77573, 83669, 99662, 207278, 209225, 210933, 216742, 320127, 545156, 11438, 11441, 11472, 11480, 11515, 11596, 11695, 11735, 11765, 11864, 11910, 12028, 12177, 12217, 12228, 12300, 12373, 12386, 12393, 12442, 12487, 12493, 12540, 12563, 12565, 12589, 12638, 12663, 12808, 12876, 13082, 13106, 13144, 13404, 13483, 13549, 13656, 13837, 13853, 14025, 14029, 14050, 14104, 14198, 14219, 14236, 14245, 14287, 14402, 14472, 14679, 14751, 14794, 14805, 15273, 15437, 15469, 15567, 15925, 15936, 16177, 16337, 16401, 16423, 16449, 16456, 16468, 16476, 16493, 16510, 16524, 16528, 16551, 16561, 16598, 16648, 16716, 16782, 16795, 16859, 16969, 16993, 17079, 17128, 17131, 17237, 17268, 17756, 17775, 17827, 17925, 17931, 17933, 17969, 17977, 18004, 18019, 18032, 18101, 18128, 18173, 18245, 18383, 18436, 18481, 18578, 18590, 18591, 18645, 18647, 18708, 18709, 18739, 18740, 18802, 18805, 18821, 18845, 18976, 18996, 19056, 19058, 19076, 19157, 19242, 19272, 19274, 19317, 19335, 19387, 19713, 19714, 19724, 20116, 20181, 20192, 20256, 20259, 20318, 20336, 20346, 20480, 20493, 20528, 20532, 20620, 20623, 20650, 20652, 20840, 20926, 20979, 21333, 21388, 21393, 21406, 21676, 21780, 21871, 21942, 22041, 22063, 22129, 22222, 22240, 22255, 22275, 22335, 22418, 22678, 23802, 23859, 23999, 24012, 24105, 26396, 26430, 26754, 26894, 27367, 27416, 28200, 29806, 30941, 50490, 50928, 52662, 53322, 53325, 53881, 53972, 54371, 54393, 54607, 56017, 56018, 56295, 56405, 56453, 56490, 56533, 56550, 56715, 56743, 56749, 56792, 56807, 56808, 57080, 57138, 57259, 57339, 57434, 57748, 58175, 58176, 58198, 60611, 64009, 64085, 64176, 64817, 66065, 66237, 66355, 66399, 66437, 66522, 66599, 66725, 66942, 66988, 66993, 67046, 67149, 67155, 67245, 67393, 67398, 67414, 67568, 67604, 67685, 67771, 67848, 67967, 67980, 68001, 68170, 68393, 68404, 68423, 68703, 68742, 68753, 68926, 68975, 69226, 69307, 69482, 69504, 69585, 69660, 69707, 69710, 69893, 70054, 70103, 70120, 70144, 70350, 70394, 70497, 70593, 70599, 70661, 70797, 70873, 71096, 71461, 71481, 71702, 71715, 71745, 71770, 71843, 71971, 72108, 72324, 72472, 72482, 72555, 72736, 72749, 72925, 72930, 73218, 73284, 73353, 74012, 74088, 74189, 74355, 74392, 74455, 74741, 74762, 74775, 75467, 75471, 75747, 75769, 75786, 75805, 76089, 76246, 76438, 76499, 76566, 76773, 77048, 77055, 77087, 77215, 77422, 77578, 77782, 78523, 78617, 78689, 78771, 78784, 78891, 79264, 80297, 80909, 83431, 83560, 93679, 93686, 93742, 93961, 94175, 94245, 94254, 94353, 99334, 99371, 99982, 100072, 100102, 100169, 100678, 100683, 101185, 102747, 103537, 103554, 103889, 104001, 104027, 104318, 105148, 105193, 106583, 106628, 106633, 107587, 107686, 108073, 108150, 108954, 109241, 109624, 109676, 110355, 110379, 110446, 110637, 110842, 114713, 114716, 116838, 140486, 140781, 140904, 170638, 170644, 192167, 192786, 207227, 207683, 207728, 208166, 208898, 208922, 209018, 209773, 212390, 212541, 212996, 213464, 214058, 214290, 215114, 215351, 216154, 216965, 217232, 217333, 218038, 218203, 218215, 219140, 219228, 223455, 223601, 224129, 224454, 224619, 224796, 225028, 225876, 226182, 226641, 227333, 227720, 228005, 228136, 228140, 228731, 228866, 228880, 229791, 230737, 230801, 231070, 231440, 231580, 231672, 233060, 233781, 233824, 233836, 234135, 235106, 235132, 235134, 235320, 235533, 238217, 238455, 239510, 239556, 239667, 239857, 239985, 241568, 242425, 242466, 242687, 243043, 243725, 244059, 244650, 246103, 246293, 268281, 268445, 268510, 268859, 268880, 269132, 269831, 270120, 270163, 272396, 277360, 277396, 319165, 319415, 319476, 319922, 319974, 320119, 320244, 320355, 320438, 320678, 320707, 320709, 320878, 329152, 333050, 338523, 380912, 380994, 381338, 381974, 384763, 387231, 432572, 432879, 545428, 545474, 545913, 666704, 668225, 723904, 723965
Gene Ontology Biological Process	GO:0030029	actin filament-based process	2.78855543390274e-08	6.4441615456857e-05	0.846099881378395	2.33053972265703	enriched	655	53	145353.522137405	320365, 14463, 207278, 11472, 12373, 12540, 12808, 13144, 13837, 14219, 14245, 16456, 16493, 17128, 17925, 18481, 18578, 18590, 18591, 18645, 18708, 18709, 18821, 20259, 21333, 21393, 22041, 22240, 23999, 50490, 56792, 57748, 67771, 68753, 69710, 70394, 70497, 71461, 74392, 76499, 76566, 93742, 94245, 100169, 104027, 106628, 109624, 109676, 140781, 242687, 243725, 277360, 320878
Gene Ontology Biological Process	GO:0007015	actin filament organization	3.72470148460134e-08	6.4441615456857e-05	1.07181865275693	2.92068638717192	enriched	336	32	134534.431547619	320365, 207278, 11472, 12540, 12808, 14219, 18481, 18645, 18708, 18709, 20259, 21333, 21393, 22041, 22240, 23999, 50490, 57748, 67771, 68753, 69710, 70394, 70497, 74392, 76499, 76566, 104027, 109624, 242687, 243725, 277360, 320878
Gene Ontology Biological Process	GO:0030030	cell projection organization	4.07085378754624e-08	6.4441615456857e-05	0.645260272908833	1.90648317062351	enriched	1375	96	175160.893818182	320365, 14056, 15229, 58208, 66797, 77018, 210933, 545156, 11441, 11472, 11596, 11735, 12386, 12540, 12589, 12808, 13837, 14025, 14245, 14472, 15469, 16476, 17128, 17756, 17925, 18004, 18128, 18481, 18590, 18591, 18645, 18805, 18845, 18996, 19242, 19272, 19274, 19317, 19335, 19713, 20346, 20620, 20979, 21770, 22240, 22335, 22418, 23999, 26396, 26565, 30941, 53972, 56792, 57138, 64009, 66725, 67046, 67414, 67685, 67771, 68001, 68404, 68703, 69707, 69710, 71461, 75769, 76089, 76499, 77048, 80297, 83431, 93686, 94245, 99982, 104318, 106633, 116838, 192167, 192786, 208922, 219140, 224796, 228880, 229791, 231580, 231672, 233781, 235106, 239985, 241568, 242687, 243725, 270120, 277360, 320244
