Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8955_PXD005485__Down-regulated_proteins_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	8955_PXD005485__Down-regulated_proteins_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	8.4370866243663e-07	0.00110217789291263	4.03253277563795	56.4035881204858	enriched	11	2	165671	18976, 110637
user-supplied	8949_PXD005485__Differentially_expressed_proteins_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	8949_PXD005485__Differentially_expressed_proteins_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	1.36746636837795e-06	0.00110217789291263	3.82259622974109	45.7227611514112	enriched	17	2	115032.764705882	18976, 110637
user-supplied	2799_Markers_of_central_gray_substance_of_midbrain_in_mesencephalon	2799_Markers_of_central_gray_substance_of_midbrain_in_mesencephalon	0.000535875277617013	0.287943649172875	2.68473054067145	14.6542521232669	enriched	26	2	353499.038461538	18420, 20429
user-supplied	8276_GSE79666__Up-regulated_genes_in_HD_vs_control	8276_GSE79666__Up-regulated_genes_in_HD_vs_control	0.000717595775413145	0.289191097491497	2.03446147455884	7.6481323024412	enriched	148	3	93344.0608108108	14463, 18173, 20429
user-supplied	8615_GSE65770__Down-regulated_genes_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	8615_GSE65770__Down-regulated_genes_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	0.00147754203088158	0.476359550756221	3.348518550893	28.4605395563771	enriched	15	1	71854.1333333333	18976
user-supplied	8003_GSE65770__CAG_length-dependent_genes_in_2_mon_mouse_cortex	8003_GSE65770__CAG_length-dependent_genes_in_2_mon_mouse_cortex	0.00239005628412557	0.564399327562485	3.21054116204412	24.7924993545515	enriched	15	1	94496.8666666667	18976
user-supplied	3095_Genes_upregulated_in_frontal_cortex_of_Alzheimer_disease_patients	3095_Genes_upregulated_in_frontal_cortex_of_Alzheimer_disease_patients	0.00245086556633834	0.564399327562485	1.81859992813907	6.16322345075837	enriched	197	3	87562.3248730964	18709, 54607, 56490
user-supplied	7158_GSE3634__Expression_in_retina_of_9_wk_R7E_Spinocerebellar_Ataxia_7_mice_[down]	7158_GSE3634__Expression_in_retina_of_9_wk_R7E_Spinocerebellar_Ataxia_7_mice_[down]	0.00299507797071898	0.603508211099875	1.55443759525072	4.73242423872087	enriched	277	4	128761.321299639	16493, 68926, 217732, 619441
user-supplied	2776_CA1_overexpressed_genes_compared_to_CA3_Ginsberg	2776_CA1_overexpressed_genes_compared_to_CA3_Ginsberg	0.00534479963682218	0.742865035684143	2.97895184897038	19.6671916504179	enriched	12	1	194709.166666667	14805
user-supplied	2877_Coexpressed_gene_module_M3_from_cerebral_cortex	2877_Coexpressed_gene_module_M3_from_cerebral_cortex	0.00542521400912581	0.742865035684143	2.95922423748016	19.2830069176366	enriched	14	1	162971.714285714	78689
user-supplied	2837_Alzheimer_disease_down-regulated_genes_in_CA1_area_of_hippocampus_Colangelo	2837_Alzheimer_disease_down-regulated_genes_in_CA1_area_of_hippocampus_Colangelo	0.00552926905143539	0.742865035684143	2.96831947936463	19.4591905315638	enriched	17	1	145713.588235294	14463
user-supplied	2811_Markers_of_cortico-medial_group_inamygdala	2811_Markers_of_cortico-medial_group_inamygdala	0.00553001267258667	0.742865035684143	2.93852498307986	18.8879656861382	enriched	14	1	157987.928571429	18420
user-supplied	8192_GSE84243__Up-regulated_genes_overlapping_between_PRC2_KO_at_3_mon_and_HD_human_patients	8192_GSE84243__Up-regulated_genes_overlapping_between_PRC2_KO_at_3_mon_and_HD_human_patients	0.00647573118767077	0.769274137108982	2.89360793737231	18.0583455880474	enriched	15	1	164215	20429
user-supplied	9022_GSE62718__Down-regulated_genes_in_hippocampus_of_Foxp1_KO_vs_WT_mice	9022_GSE62718__Down-regulated_genes_in_hippocampus_of_Foxp1_KO_vs_WT_mice	0.00668104089300605	0.769274137108982	0.949700110690079	2.58493434888992	enriched	1022	10	183640.284735812	16716, 18647, 18709, 26422, 56490, 57339, 74762, 110637, 228140, 242425
user-supplied	7232_GSE60487__CPSF6_binding_sites_in_MEFs_from_Mbnl1/2_KO_Myotonic_Dystrophy_mice_vs_WT_mice_[down]	7232_GSE60487__CPSF6_binding_sites_in_MEFs_from_Mbnl1/2_KO_Myotonic_Dystrophy_mice_vs_WT_mice_[down]	0.00776265276849567	0.834226417521001	0.830523991283074	2.29452073418306	enriched	2215	13	110570.826636569	14029, 14463, 18420, 19017, 20429, 57339, 66274, 67980, 72925, 73272, 83771, 244853, 619441
user-supplied	2732_Markers_of_amygdaloid_transition_zone_in_amygdala	2732_Markers_of_amygdaloid_transition_zone_in_amygdala	0.00846911451729731	0.853263287617704	1.92510203301506	6.85584815307106	enriched	104	2	105565	83771, 99662
user-supplied	8242_GSE72778__Locuses_with_increased_DNA_methylation_in_Parietal_Lobe_of_HD_vs_control	8242_GSE72778__Locuses_with_increased_DNA_methylation_in_Parietal_Lobe_of_HD_vs_control	0.0097872362968461	0.853690514273168	2.70074350951909	14.8907990608768	enriched	23	1	112320.565217391	76438
user-supplied	8187_GSE84243__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_up-regulated_in_6_mon_PRC2_deficient_mice	8187_GSE84243__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_up-regulated_in_6_mon_PRC2_deficient_mice	0.00996895113374879	0.853690514273168	1.88837830556369	6.60864278709309	enriched	86	2	145284.38372093	14463, 20429
user-supplied	3005_Markers_of_posterior_hypothalamic_area_in_hypothalamus	3005_Markers_of_posterior_hypothalamic_area_in_hypothalamus	0.0100621090391999	0.853690514273168	2.68572327738731	14.668807160858	enriched	18	1	143209.833333333	20429
user-supplied	7093_GSE2867__Expression_in_cerebellum_of_4_wk_SCA1_Spinocerebellar_Ataxia_1_mice_[down]	7093_GSE2867__Expression_in_cerebellum_of_4_wk_SCA1_Spinocerebellar_Ataxia_1_mice_[down]	0.0111599469392589	0.899491723304266	2.67863519142455	14.5652010131437	enriched	18	1	173799.277777778	19017
user-supplied	8238_GSE72778__Locuses_with_decreased_DNA_methylation_in_Midbrain_of_HD_vs_control	8238_GSE72778__Locuses_with_decreased_DNA_methylation_in_Midbrain_of_HD_vs_control	0.0124784331076073	0.916358398002688	2.59940775021629	13.4557664998655	enriched	27	1	101932.259259259	20429
user-supplied	7229_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_12_h_[down]	7229_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_12_h_[down]	0.012506131982667	0.916358398002688	0.7449985064554	2.10643828891885	enriched	3274	15	79518.3805742211	14463, 16493, 16598, 18647, 18709, 18976, 50794, 54607, 57339, 66942, 67980, 68926, 72925, 217732, 619441
user-supplied	3000_Markers_of_pontine_reticular_formation_in_pontine_tegmentum	3000_Markers_of_pontine_reticular_formation_in_pontine_tegmentum	0.0137236068312692	0.931328445490554	2.6118188589992	13.6238081160145	enriched	14	1	258105.785714286	18420
user-supplied	8188_GSE84243__PRC2_deficiency_up-regulated_genes_with_potential_auto-regulatory_functions	8188_GSE84243__PRC2_deficiency_up-regulated_genes_with_potential_auto-regulatory_functions	0.0144436793655483	0.931328445490554	2.53057504362633	12.5607270263245	enriched	29	1	93420.0344827586	14463
user-supplied	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	0.0154605646041657	0.958555005458271	0.810515156160156	2.24906630865601	enriched	2342	11	75795.5777113578	12331, 16716, 18709, 50794, 57339, 68926, 74762, 76566, 228140, 242425, 320707
user-supplied	8103_GSE65770__Cortex_RNA_M19_module_(lightyellow)	8103_GSE65770__Cortex_RNA_M19_module_(lightyellow)	0.0169554396190016	0.988929326679738	1.43330311800777	4.19252474962705	enriched	381	3	52819.9527559055	16598, 68926, 69698
user-supplied	7224_GSE55177__Expression_in_mesencephalon_of_6_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice_[down]	7224_GSE55177__Expression_in_mesencephalon_of_6_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice_[down]	0.0172515391767516	0.988929326679738	1.42458175717108	4.15611921213986	enriched	234	3	121630.341880342	50794, 78500, 244853
user-supplied	8183_GSE84244__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_in_MSNs_of_adult_mice	8183_GSE84244__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_in_MSNs_of_adult_mice	0.02207830436304	0.988929326679738	0.92289985166807	2.51657752055162	enriched	831	7	135701.706377858	14029, 14463, 16598, 18420, 20429, 74762, 140486
user-supplied	8193_GSE84243__Up-regulated_genes_overlapping_between_PRC2_KO_at_6_mon_and_HD_human_patients	8193_GSE84243__Up-regulated_genes_overlapping_between_PRC2_KO_at_6_mon_and_HD_human_patients	0.0233480673790553	0.988929326679738	2.33811175939155	10.3616527855486	enriched	39	1	84899.6666666667	20429
user-supplied	7230_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_24_h_[down]	7230_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_24_h_[down]	0.0240292512749263	0.988929326679738	0.755615293872213	2.12892103251323	enriched	2418	11	75384.2994210091	14463, 16598, 18709, 50794, 56490, 66274, 68926, 74762, 76438, 217732, 244853
user-supplied	2826_Developmental_transcription_factor_genes_bound_by_Suz12	2826_Developmental_transcription_factor_genes_bound_by_Suz12	0.0247240234773073	0.988929326679738	1.17294320647936	3.231489597038	enriched	329	4	159004.911854103	14029, 14463, 18420, 20429
user-supplied	7140_GSE34201__HD_markers_in_hESCs_[down]	7140_GSE34201__HD_markers_in_hESCs_[down]	0.0249216590131946	0.988929326679738	1.33919310730652	3.8159631899749	enriched	277	3	105488.512635379	17775, 76566, 242425
user-supplied	6047_GSE18644__bmbf1_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	6047_GSE18644__bmbf1_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	0.0259678370651677	0.988929326679738	1.62295626216267	5.06805067875211	enriched	166	2	89559.4698795181	12331, 66942
user-supplied	4173_GSE2867__Expression_in_cerebellum_of_4_wk_SCA1_Spinocerebellar_Ataxia_1_mice	4173_GSE2867__Expression_in_cerebellum_of_4_wk_SCA1_Spinocerebellar_Ataxia_1_mice	0.0330090863353223	0.988929326679738	2.21207061181644	9.13461105812661	enriched	30	1	155659.266666667	19017
user-supplied	8186_GSE84243__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_up-regulated_in_3_mon_PRC2_deficient_mice	8186_GSE84243__Bivalent_H3K27me3_and_H3K4me3-enriched_genes_up-regulated_in_3_mon_PRC2_deficient_mice	0.0357808171337917	0.988929326679738	2.17089064083165	8.76608800086965	enriched	27	1	171665.814814815	20429
user-supplied	4419_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_12_h	4419_GSE56185__Expression_in_the_heart_of_mice_inducibly_expressing_Celf1_for_12_h	0.0389593208615883	0.988929326679738	0.614629517326936	1.84897146076093	enriched	3559	15	82635.2284349536	14463, 16493, 16598, 18647, 18709, 18976, 50794, 54607, 57339, 66942, 67980, 68926, 72925, 217732, 619441
user-supplied	8609_GSE65770__Differentially_expressed_genes_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	8609_GSE65770__Differentially_expressed_genes_in_cortex_of_2_mon_HD_Q175_mice_vs_Q20	0.0405634294971306	0.988929326679738	2.09544420111035	8.12905110186659	enriched	46	1	80856.4782608696	18976
user-supplied	8823_PC12_Htt-Q74_vs_PC12_Htt-Q23_upon_120_h_of_induction	8823_PC12_Htt-Q74_vs_PC12_Htt-Q23_upon_120_h_of_induction	0.0414899644314091	0.988929326679738	1.06046336848149	2.887708752525	enriched	560	4	84513.8821428571	20429, 66942, 74762, 76566
user-supplied	8133_GSE65772__Liver_RNA_M12_module_(tan)	8133_GSE65772__Liver_RNA_M12_module_(tan)	0.0415232227520008	0.988929326679738	0.955448419480259	2.59983613874112	enriched	704	5	95332.0639204545	12331, 18173, 72925, 76438, 244853
user-supplied	3062_Markers_of_superior_colliculus_in_mesencephalon	3062_Markers_of_superior_colliculus_in_mesencephalon	0.0450344542946396	0.988929326679738	2.08921383575385	8.07856159087312	enriched	21	1	286027.047619048	20429
user-supplied	8415_GSE95602__Genes_up-regulated_upon_heat_shock_in_quadriceps_of_Hsf1_KO_mice	8415_GSE95602__Genes_up-regulated_upon_heat_shock_in_quadriceps_of_Hsf1_KO_mice	0.0488851806806249	0.988929326679738	2.04523892553815	7.73100545190164	enriched	38	1	159695.842105263	18976
user-supplied	2758_Amygdala_and_hippocampal_pyramidal_neuron_gene_module	2758_Amygdala_and_hippocampal_pyramidal_neuron_gene_module	0.0493758459251021	0.988929326679738	1.43023142677658	4.17966636671828	enriched	138	2	140076.637681159	18647, 50794
user-supplied	8897_Insoluble_proteins_enriched_in_brain_of_12_wk_R6/2_mice_vs_WT	8897_Insoluble_proteins_enriched_in_brain_of_12_wk_R6/2_mice_vs_WT	0.0526870582820055	0.988929326679738	0.909143540440657	2.48219572249637	enriched	622	5	132629.548231511	12331, 57339, 75786, 110842, 242425
user-supplied	4412_GSE55177__Expression_in_mesencephalon_of_6_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice	4412_GSE55177__Expression_in_mesencephalon_of_6_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice	0.0564938580344092	0.988929326679738	0.992450953431166	2.69783865267652	enriched	473	4	125001.545454545	50794, 78500, 244853, 553095
user-supplied	6089_GSE26317__Expression_in_cortex_of_5_mon_R6/2_HD_mice_[up]	6089_GSE26317__Expression_in_cortex_of_5_mon_R6/2_HD_mice_[up]	0.0565907258658146	0.988929326679738	1.38306953521081	3.98712147302824	enriched	188	2	92358.0585106383	20429, 140488
user-supplied	9050_Role_of_Sirtuin1_and_PGC1-alpha_in_oxidative_stress_in_HD	9050_Role_of_Sirtuin1_and_PGC1-alpha_in_oxidative_stress_in_HD	0.059794082288783	0.988929326679738	1.93192375991865	6.90277676195183	enriched	48	1	112056.229166667	19017
user-supplied	3103_Alzheimer_disease_up-regulated_genes_in_CA1_area_of_hippocampus_Liang	3103_Alzheimer_disease_up-regulated_genes_in_CA1_area_of_hippocampus_Liang	0.0601768553008968	0.988929326679738	0.714741481738166	2.04365829097294	enriched	1201	8	136252.581182348	18481, 18647, 18709, 56490, 68926, 70354, 72925, 76566
user-supplied	8824_PC12_Htt-Q74_vs_PC12_Htt-Q23_upon_120_h_of_induction_[up]	8824_PC12_Htt-Q74_vs_PC12_Htt-Q23_upon_120_h_of_induction_[up]	0.0604058194516929	0.988929326679738	1.36550457678332	3.91769933348562	enriched	289	2	51118.5847750865	20429, 76566
user-supplied	6048_GSE18644__bna4_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	6048_GSE18644__bna4_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	0.0639411854976043	0.988929326679738	1.34527166097926	3.83922936775544	enriched	212	2	90227.0801886792	12331, 66942
user-supplied	7189_GSE38218__Influence_of_Hdac4_reduction_on_expression_in_9_wk_R6/2_HD_mice_[down]	7189_GSE38218__Influence_of_Hdac4_reduction_on_expression_in_9_wk_R6/2_HD_mice_[down]	0.0668711641421567	0.988929326679738	0.965899356035893	2.62714933693296	enriched	311	4	249132.125401929	20429, 56490, 70354, 78689
user-supplied	2846_Markers_of_facial_motor_nucleus_in_pontine_tegmentum	2846_Markers_of_facial_motor_nucleus_in_pontine_tegmentum	0.0695095053252673	0.988929326679738	1.8643101954937	6.45148408793636	enriched	46	1	133134.608695652	20429
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.0700468860653915	0.988929326679738	1.85207318425282	6.3730182772846	enriched	60	1	86735.9833333333	18976
user-supplied	6046_GSE18644__ume1_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	6046_GSE18644__ume1_suppressor_deletion_in_Htt103Q_yeasts_vs_control_Htt25Q_strain_[up]	0.0705825576797126	0.988929326679738	1.85429550008858	6.3871968855613	enriched	60	1	96591.7166666667	66942
user-supplied	7032_GSE10581__HttQ74_changed_genes_before_transgene_induction_in_PC12_cells_[down]	7032_GSE10581__HttQ74_changed_genes_before_transgene_induction_in_PC12_cells_[down]	0.0765676462391445	0.988929326679738	1.81306807225023	6.12922351489467	enriched	60	1	97785.85	76566
user-supplied	8053_GSE65774__Striatum_RNA_M4_module_(yellow)	8053_GSE65774__Striatum_RNA_M4_module_(yellow)	0.076716545076334	0.988929326679738	0.718471317306472	2.05129503339951	enriched	837	7	186457.188769415	14805, 18647, 19017, 20429, 70354, 76566, 242425
user-supplied	8153_GSE65772__Liver_RNA_M44_module_(floralwhite)	8153_GSE65772__Liver_RNA_M44_module_(floralwhite)	0.0795767380801928	0.988929326679738	1.79188754512907	6.00076850461852	enriched	116	1	32906.7586206897	83771
user-supplied	7226_GSE55177__Expression_in_cerebellum_of_24_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice_[down]	7226_GSE55177__Expression_in_cerebellum_of_24_mon_ataxin-2_KO_Spinocerebellar_Ataxia_2_mice_[down]	0.0807441421748524	0.988929326679738	1.04468716759809	2.84250915558086	enriched	277	3	166239.732851986	14805, 18481, 19017
user-supplied	2994_Microglia_(Type_1)_gene_module_from_mouse_brain	2994_Microglia_(Type_1)_gene_module_from_mouse_brain	0.0809879263535148	0.988929326679738	1.78122798803733	5.93714268414412	enriched	69	1	76592.4202898551	16493
