Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.0832876597511197	0.406886050516739	1.79024362069009	5.99091179868079	enriched	60	1	86735.9833333333	18976
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.214784889855756	0.406886050516739	1.27695518199168	3.58570526732882	enriched	83	1	127007.21686747	18976
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.721734709535053	0.980377780202705	0.176938392336272	1.19355755856931	enriched	6204	22	124547.429561573	12331, 12373, 14805, 17775, 18481, 18647, 18709, 18976, 19076, 20429, 26422, 57339, 71715, 72925, 76438, 78500, 99662, 110637, 217732, 228140, 619441, 621976
user-supplied	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8604_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.825381156515583	0.980377780202705	0.0866952487133626	1.09056427820401	enriched	3042	11	125822.217619987	14805, 17775, 18481, 18647, 19076, 20429, 72925, 76438, 78500, 110637, 228140
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	0.937239657557269	0.980377780202705	0.0309351479521252	1.0314186121083	enriched	3162	11	123321.02055661	12331, 12373, 18709, 18976, 26422, 57339, 71715, 99662, 217732, 619441, 621976
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	0.0324470415881745	0.406886050516739	-1.31476702138539	0.268536879301953	depleted	2334	3	143738.277206512	12331, 76438, 217732
user-supplied	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8605_GSE65774__Up-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.0862205691997232	0.406886050516739	-1.26362648038801	0.282627223701116	depleted	1955	2	102883.645524297	17775, 19076
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.120334790344259	0.406886050516739	-0.620825340759254	0.537500633294196	depleted	4169	10	122646.408251379	12331, 12373, 16493, 16716, 17775, 19076, 71715, 74762, 99662, 217732
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.153936495163379	0.406886050516739	-1.04959638148351	0.350079018973965	depleted	1397	2	135480.300644238	12331, 217732
user-supplied	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-UP_GSE65774__Up-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	0.181987154987214	0.406886050516739	-1.36344669641846	0.255777667951444	depleted	937	1	156050.32977588	76438
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	0.217005893608927	0.406886050516739	-0.479905598857776	0.618841808422371	depleted	5212	15	126171.118956255	12331, 12373, 14805, 17775, 18481, 18709, 19076, 57339, 71715, 72925, 75786, 76566, 110637, 217732, 621976
user-supplied	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	8032_GSE65774__Up-regulated_genes_in_striatum_of_HD_Q175_mice	0.462297667999319	0.770496113332198	-0.323833328103793	0.723370797915503	depleted	2519	7	129874.85907106	14805, 17775, 18481, 19076, 72925, 75786, 110637
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	0.61233152515964	0.91849728773946	-0.214178401167011	0.807204365975574	depleted	2693	8	122706.68473821	12331, 12373, 18709, 57339, 71715, 76566, 217732, 621976
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.942191236807688	0.980377780202705	-0.0307217642124952	0.969745353405098	depleted	2214	8	140097.266937669	12331, 12373, 16493, 16716, 71715, 74762, 99662, 217732
user-supplied	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8603_GSE65774__Up-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.980377780202705	0.980377780202705	-11.0633960795814	1.56757428850702e-05	depleted	23	0	232062.608695652	
