Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Molecular Function	GO:0048027	mRNA 5'-UTR binding	2.09558916202064e-07	0.000247069962202233	4.06694209862385	58.3781746726282	enriched	20	2	67825.15	140486, 140488
MeSH	5914	Globins	7.44015150461703e-07	0.00214722772423248	3.8485522283359	46.9250772322	enriched	27	2	37074.4444444444	16598, 50794
Gene Ontology Molecular Function	GO:0003730	mRNA 3'-UTR binding	1.06846414847383e-06	0.000629859615525323	3.0309828491987	20.7175848478174	enriched	66	3	97820.7272727273	70354, 140486, 140488
Gene Ontology Biological Process	GO:0019882	antigen processing and presentation	3.16819643017404e-06	0.0200578515994318	2.86507054771847	17.5502912939231	enriched	107	3	53188.8785046729	18173, 72925, 76438
MeSH	5786	Gene Expression Regulation	3.33577029550255e-06	0.00481351653641017	2.51695526024367	12.3908123720575	enriched	111	4	120368.09009009	14463, 16598, 19017, 50794
MeSH	12519	Sarcoplasmic Reticulum	7.0620951541416e-06	0.00679373553828422	3.51573047984425	33.6404926526443	enriched	19	2	162329.105263158	12373, 57339
Gene Ontology Biological Process	GO:2000272	negative regulation of receptor activity	1.08186919828343e-05	0.0333831081281173	3.39731351230568	29.8837098932777	enriched	28	2	115189.785714286	12373, 19017
pFAM	PF01094	Receptor family ligand binding region	1.23699963656668e-05	0.00434186872434906	2.93255406220076	18.7755231642257	enriched	32	3	354396.84375	14805, 110637, 242425
Gene Ontology Cellular Component	GO:0030018	Z disc	1.3225100464388e-05	0.0048037836180138	2.3313306192781	10.2916266630162	enriched	115	4	170241.052173913	12373, 16493, 16716, 57339
Gene Ontology Biological Process	GO:0048255	mRNA stabilization	1.5818879226718e-05	0.0333831081281173	3.26100060026825	26.0756153611315	enriched	35	2	84086.1428571429	18173, 140486
MeSH	11401	Promoter Regions, Genetic	1.72553282113391e-05	0.0101664578949128	2.09702664087316	8.14192501897679	enriched	216	5	119684.574074074	14463, 16598, 18173, 19017, 50794
MeSH	7335	Insulin-Like Growth Factor II	1.86781741531534e-05	0.0101664578949128	3.36035532595413	28.7994222435876	enriched	20	2	232668.9	140486, 140488
MeSH	51557	Hepatocyte Nuclear Factor 4	2.11360870996107e-05	0.0101664578949128	3.44448515952583	31.3271508089816	enriched	16	2	393771.5	14463, 19017
Gene Ontology Cellular Component	GO:0031674	I band	2.16510627068256e-05	0.0048037836180138	2.26518679271941	9.63292379309821	enriched	129	4	157353.333333333	12373, 16493, 16716, 57339
Gene Ontology Biological Process	GO:0086003	cardiac muscle cell contraction	2.39346444084116e-05	0.0343013784717155	2.62253143975904	13.770538789585	enriched	55	3	203975.018181818	12373, 14463, 16493
Gene Ontology Cellular Component	GO:0034706	sodium channel complex	2.44467359695359e-05	0.0048037836180138	3.25534158254087	25.9284697340947	enriched	22	2	183192.181818182	14805, 110637
Gene Ontology Biological Process	GO:0048002	antigen processing and presentation of peptide antigen	2.70900161678373e-05	0.0343013784717155	3.16415943589337	23.6688404911392	enriched	62	2	46035.5161290323	18173, 72925
MeSH	32383	Myocytes, Cardiac	3.23603625154842e-05	0.0125280200582793	3.20887219067488	24.7511558930804	enriched	23	2	189269.217391304	12373, 16493
MeSH	18092	Receptors, Kainic Acid	3.47277063292566e-05	0.0125280200582793	3.32765951118807	27.8730287889436	enriched	15	2	366227.8	14805, 110637
Gene Ontology Biological Process	GO:0043489	RNA stabilization	3.5755821247277e-05	0.0377283507194185	3.10899227789055	22.3984615990922	enriched	39	2	89655.0512820513	18173, 140486
MeSH	18094	Receptors, Metabotropic Glutamate	4.03905294252456e-05	0.0129518964356954	3.2566724983105	25.9630013175634	enriched	18	2	321459.5	14805, 242425
Gene Ontology Biological Process	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	4.17444768826527e-05	0.0377548975920106	4.47490210603796	87.786006269139	enriched	10	1	31730	110842
Transcription Factors	45	ARP1_01	4.18362683745278e-05	0.0100825406782612	2.00511763257763	7.42696749870561	enriched	280	5	124240.703571429	71715, 76566, 99662, 228140, 621976
pFAM	PF00013	KH domain	4.44608896950521e-05	0.00780288614148164	3.2407195965074	25.5521023368527	enriched	27	2	167270.444444444	140486, 140488
Reactome	R-MMU-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	5.80690877671752e-05	0.0574883968895035	3.13159975580572	22.9106016093855	enriched	38	2	125815.078947368	83771, 242425
Gene Ontology Biological Process	GO:0048557	embryonic digestive tract morphogenesis	6.50489418073517e-05	0.0502229102696959	3.08731638218174	21.9181789642809	enriched	20	2	246956.5	14463, 20429
MeSH	9206	Myocardium	6.62510535703324e-05	0.0191200540603979	2.47015441978724	11.8242726123371	enriched	82	3	153756.37804878	12373, 14463, 16493
Gene Ontology Biological Process	GO:0060306	regulation of membrane repolarization	8.33786459835726e-05	0.0502229102696959	2.99592972513646	20.0039494215463	enriched	28	2	174919.392857143	12373, 16493
Gene Ontology Biological Process	GO:0032354	response to follicle-stimulating hormone	8.38532604827012e-05	0.0502229102696959	3.34578379274166	28.3828131936782	enriched	10	2	690400.5	14463, 19017
Gene Ontology Biological Process	GO:0002579	positive regulation of antigen processing and presentation	8.72614141473156e-05	0.0502229102696959	4.22202455178205	68.1713611235778	enriched	11	1	36230.1818181818	18173
Transcription Factors	58	HOXA3_01	0.00010417065276511	0.0102619187847026	2.09123068081742	8.094871239427	enriched	173	4	130689.751445087	14029, 19017, 20429, 56490
