Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	8052_GSE65774__Striatum_RNA_M2_module_(blue)	8052_GSE65774__Striatum_RNA_M2_module_(blue)	1.16869682095321e-52	1.88393927537657e-49	1.29159330004061	3.63857928827465	enriched	1861	203	124347.343901128	23984, 71978, 18574, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13384, 13435, 14007, 16201, 16438, 16520, 19055, 22393, 24105, 53972, 64009, 67972, 75141, 78408, 108655, 216439, 217166, 223697, 224129, 228866, 230863, 233904, 243272, 268980, 320292, 399548, 546071, 11430, 11496, 11540, 11766, 11898, 12290, 12295, 12314, 12348, 12709, 13199, 13488, 13528, 13638, 13653, 13716, 14227, 14232, 14645, 14680, 14758, 14809, 14810, 15382, 15444, 16514, 16526, 16536, 17347, 17933, 17937, 18005, 18619, 18626, 18628, 18795, 18806, 19069, 19252, 19395, 19704, 19719, 19735, 19736, 20192, 20312, 20320, 20411, 20451, 20609, 20620, 20807, 20874, 21345, 21429, 21770, 22004, 22036, 22145, 22626, 22671, 23956, 26403, 26404, 26406, 26556, 28019, 28042, 29871, 53605, 54383, 54393, 56325, 56354, 56453, 56455, 57276, 58208, 59046, 66259, 67263, 67266, 68339, 68526, 68810, 69171, 69338, 69564, 69601, 70369, 70727, 71713, 71770, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74648, 75668, 76089, 77531, 78779, 80286, 80981, 83431, 83797, 93737, 93742, 94280, 101490, 104263, 105653, 107932, 108069, 109135, 110265, 110351, 114641, 117109, 140742, 170952, 193796, 208151, 210673, 211480, 212163, 214931, 215001, 217335, 225872, 227632, 229512, 229709, 233020, 234593, 234854, 237891, 238323, 239170, 240752, 243819, 245688, 246277, 246710, 268510, 268566, 276952, 277973, 278795, 319586, 319984, 320354, 320661, 330914, 332359, 353326, 380728, 380977, 381353, 382056
user-supplied	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	7101_GSE29681__Expression_in_Hsp90_inhibitor_treated_R6/2_HD_mice_vs_WT_mice_[down]	8.96340543918875e-52	7.22450478398613e-49	1.12352417877226	3.0756743522873	enriched	3505	304	147516.394008559	23984, 71978, 18574, 19317, 19739, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13435, 14007, 16438, 16520, 17904, 19055, 22129, 24105, 26422, 53972, 54446, 56036, 64009, 67300, 67972, 69188, 75141, 77097, 78408, 83486, 108655, 217166, 223697, 224129, 230863, 232685, 233489, 233904, 233908, 243272, 268448, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11735, 11766, 11804, 11865, 11898, 11931, 11938, 12286, 12295, 12348, 12564, 12631, 12709, 12846, 13002, 13030, 13199, 13447, 13488, 13527, 13528, 13638, 13653, 13681, 14227, 14232, 14270, 14421, 14645, 14660, 14680, 14758, 14800, 14809, 14810, 15166, 15382, 15444, 15481, 16526, 16536, 16969, 16974, 17179, 17258, 17263, 17535, 17754, 17859, 17918, 17933, 17937, 18005, 18191, 18417, 18514, 18619, 18626, 18628, 18749, 18795, 18806, 19155, 19252, 19266, 19358, 19395, 19704, 19719, 19735, 19736, 19775, 20166, 20192, 20250, 20312, 20320, 20364, 20393, 20411, 20451, 20609, 20620, 20658, 20742, 20743, 20807, 20874, 20918, 21345, 21429, 21770, 21833, 22004, 22031, 22036, 22145, 22631, 22671, 22756, 23956, 23969, 26404, 26406, 26556, 26919, 28042, 29871, 30928, 53379, 53605, 54152, 54393, 54525, 56214, 56216, 56310, 56323, 56325, 56334, 56351, 56354, 56453, 56455, 56490, 56808, 57138, 58172, 58208, 58249, 59046, 66259, 66865, 66910, 66961, 67023, 67040, 67263, 67266, 68328, 68339, 68526, 68810, 69131, 69564, 69601, 70231, 70240, 70369, 70727, 71514, 71713, 71770, 72289, 72318, 72567, 72902, 73635, 74026, 74100, 74309, 74326, 74610, 74648, 74737, 75279, 75556, 75668, 75909, 76055, 77531, 77579, 78779, 78926, 80913, 80981, 83767, 83797, 93679, 93742, 94280, 101490, 101739, 103806, 104263, 105522, 105653, 107338, 107932, 107976, 108069, 109135, 110265, 110351, 110809, 117109, 117600, 140546, 170791, 170952, 192285, 193796, 207740, 208449, 208898, 210673, 210982, 212163, 214931, 217335, 217695, 224530, 224860, 225872, 226856, 227632, 227723, 229512, 229542, 229709, 231093, 232227, 234593, 235312, 238323, 239170, 239606, 241638, 243819, 244895, 246710, 260297, 268510, 268566, 276952, 277973, 319387, 319415, 319586, 319984, 320661, 330914, 338362, 380977, 381353, 381677, 382056, 630836, 665113, 666737, 668212, 100043597
user-supplied	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	8929_GSE73503__Down-regulated_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	1.65384311685018e-51	8.88665034787498e-49	1.2122995342884	3.3612049786685	enriched	2342	234	75795.5777113578	52858, 108100, 246198, 360013, 11838, 12323, 13498, 13549, 16201, 16520, 18763, 19055, 22393, 24105, 53972, 64009, 67972, 75141, 78408, 80284, 110355, 216439, 217166, 224020, 230863, 233877, 233904, 268448, 399548, 546071, 11766, 11911, 11931, 12286, 12295, 12348, 12631, 12709, 12748, 12846, 13002, 13030, 13199, 13447, 13638, 13653, 13681, 13716, 14232, 14312, 14421, 14433, 14645, 14790, 14809, 14810, 15166, 15357, 15444, 16536, 16594, 16969, 17179, 17263, 17347, 17754, 17937, 18128, 18142, 18453, 18619, 18626, 18628, 19025, 19069, 19205, 19252, 19309, 19345, 19704, 19719, 19735, 20312, 20320, 20364, 20441, 20620, 20740, 20743, 20807, 20931, 21423, 21429, 21770, 21833, 22084, 22145, 22190, 22411, 22671, 23879, 23969, 26403, 26404, 26406, 26968, 29812, 54383, 54393, 54525, 56210, 56216, 56310, 56323, 56354, 56420, 56455, 56486, 57138, 57276, 57354, 59004, 59047, 66043, 66059, 66077, 66155, 66256, 66259, 66419, 66448, 66477, 66863, 66890, 67588, 67673, 68295, 68339, 68342, 68730, 68957, 68961, 69773, 69917, 70231, 70317, 70510, 70727, 71474, 71713, 71770, 71878, 71998, 74100, 74762, 75210, 75580, 75665, 75668, 75956, 76022, 76308, 76500, 76905, 77531, 77891, 78779, 78926, 80385, 83767, 83797, 93679, 103850, 104831, 105653, 106618, 107701, 107932, 107976, 110265, 110351, 117109, 140546, 193796, 207740, 210673, 214931, 215001, 215418, 216873, 223664, 223693, 224727, 224829, 225872, 226982, 229512, 229542, 229709, 230770, 232227, 232975, 233020, 233208, 234593, 234854, 238323, 239170, 241638, 243819, 244895, 245688, 246710, 260297, 268480, 268755, 276952, 278795, 319322, 319586, 319984, 320354, 327655, 329427, 330671, 380728, 380977, 381353, 381677, 382056, 606496, 633640, 668212, 100037396
user-supplied	8904_GSE78274__Down-regulated_genes_in_striatum_of_6_mon_HD_Q140_mice_vs_Q20	8904_GSE78274__Down-regulated_genes_in_striatum_of_6_mon_HD_Q140_mice_vs_Q20	6.47822789457135e-50	2.61072584151226e-47	1.35351308579	3.87100082914697	enriched	1421	168	146268.586910626	23984, 71978, 18574, 19739, 52633, 54403, 108100, 218194, 237459, 360013, 11838, 12323, 14007, 15270, 16438, 16520, 19055, 22129, 24105, 53972, 64009, 67972, 75141, 108655, 217166, 224129, 230863, 243272, 268980, 320292, 399548, 100040591, 11430, 11496, 11540, 11898, 11938, 12290, 12295, 12314, 12348, 12564, 12709, 12846, 13199, 13488, 13638, 13653, 14227, 14232, 14645, 14680, 14758, 15205, 15357, 15382, 15444, 16526, 16536, 16691, 17347, 17859, 17918, 17933, 18453, 18619, 18628, 18795, 19252, 19345, 19395, 19735, 19736, 19775, 20024, 20269, 20312, 20320, 20451, 20620, 20743, 20807, 21345, 21429, 21770, 22004, 22036, 22145, 22631, 23807, 23879, 23956, 26404, 26556, 28042, 30928, 53605, 54393, 56354, 56453, 56455, 58208, 59046, 66050, 66259, 66865, 67263, 67266, 68342, 68365, 68810, 70369, 70727, 71770, 72289, 72902, 73635, 74026, 74100, 75668, 75909, 76089, 77531, 78779, 78926, 80286, 80913, 80981, 83431, 83797, 93742, 101739, 104263, 105653, 108069, 110265, 110351, 114641, 170952, 193796, 208151, 214931, 216873, 224860, 225872, 226982, 229512, 229709, 233020, 234593, 237891, 238323, 239170, 239606, 241638, 245688, 246710, 268480, 268510, 270150, 276952, 277973, 278795, 320661, 329427, 330914, 380728, 432467
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	2.60646141491724e-47	8.40323160169319e-45	1.10006871431594	3.00437246025223	enriched	3162	275	123321.02055661	23984, 71978, 18574, 19317, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13384, 13435, 14007, 16201, 16438, 16520, 18763, 19055, 22129, 22393, 24105, 26422, 53972, 64009, 67972, 75141, 77097, 78408, 108655, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11567, 11766, 11898, 11938, 12290, 12295, 12314, 12348, 12457, 12564, 12709, 13030, 13199, 13488, 13528, 13638, 13653, 13681, 13713, 13716, 14227, 14232, 14645, 14680, 14758, 14809, 14810, 15357, 15382, 15444, 16514, 16526, 16536, 16969, 16974, 17347, 17535, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18514, 18619, 18626, 18628, 18795, 18806, 19069, 19252, 19345, 19395, 19704, 19719, 19735, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20807, 20874, 20918, 21345, 21429, 21770, 22004, 22036, 22145, 22190, 22626, 22631, 22671, 23807, 23956, 23969, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 29871, 50787, 50875, 53605, 54383, 54393, 56210, 56325, 56354, 56399, 56453, 56455, 56480, 57276, 58172, 58208, 58249, 59046, 66083, 66259, 66865, 67263, 67266, 68339, 68342, 68526, 68810, 68953, 69171, 69281, 69338, 69564, 69601, 70240, 70369, 70727, 71713, 71770, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74648, 75210, 75668, 75909, 76055, 76089, 77531, 77579, 78779, 80286, 80981, 83431, 83767, 83797, 93737, 93742, 94280, 101490, 101739, 102423, 103806, 104263, 105653, 106618, 107932, 108069, 108946, 109135, 110265, 110351, 114641, 117109, 117600, 140742, 170952, 192160, 193796, 208151, 210673, 211480, 212163, 214931, 215001, 216873, 217335, 225872, 226278, 226517, 226551, 227632, 229512, 229709, 233020, 234593, 234854, 235626, 237891, 238323, 239170, 239667, 240752, 243819, 245688, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319387, 319586, 319984, 320354, 320661, 329324, 330401, 330914, 353326, 380728, 380977, 381353, 381582, 382056, 606496, 619313, 668212, 100037396
user-supplied	7020_GSE9803__Expression_in_12_wk_R6/2_HD_mice_(Set1)_[down]	7020_GSE9803__Expression_in_12_wk_R6/2_HD_mice_(Set1)_[down]	3.01611606095914e-46	8.10329848377688e-44	1.23775700925414	3.44787124185304	enriched	1777	189	160189.351716376	23984, 71978, 14056, 18574, 19317, 19739, 54403, 108100, 218194, 246198, 360013, 11838, 12323, 13435, 14007, 16438, 16520, 19055, 20239, 22129, 24105, 26422, 53972, 64009, 67300, 67972, 75141, 77097, 78408, 108655, 217166, 223697, 224020, 224129, 230863, 243272, 268980, 320292, 399548, 546071, 11496, 11540, 11735, 11938, 12286, 12295, 12348, 12362, 12457, 12709, 13030, 13199, 13488, 13527, 13528, 13638, 13653, 14227, 14270, 14421, 14645, 14758, 14809, 14810, 15357, 15444, 16526, 16536, 16969, 16988, 17179, 17263, 17347, 17754, 17918, 17933, 17937, 18142, 18191, 18619, 18626, 18628, 18795, 19252, 19266, 19395, 19735, 19736, 19775, 20166, 20192, 20312, 20451, 20620, 20660, 20742, 20743, 20807, 21345, 21429, 21833, 22004, 22036, 22145, 22631, 22671, 23969, 26404, 26556, 28042, 29871, 30928, 52856, 53605, 54525, 56216, 56325, 56453, 56455, 57742, 58208, 59046, 66259, 66865, 67263, 67266, 68339, 68526, 68810, 69601, 70727, 71713, 72205, 72289, 72902, 73635, 74026, 74100, 74309, 75580, 75668, 77531, 77579, 78779, 78926, 80981, 83797, 94280, 101739, 104263, 105653, 107239, 107338, 108069, 109135, 110265, 110351, 170952, 193003, 193796, 210673, 212163, 214931, 217335, 224530, 225131, 225872, 226856, 227632, 229512, 231093, 232227, 233902, 234854, 239170, 241638, 246710, 260297, 268510, 270150, 276952, 277973, 319984, 320661, 330914, 380977, 381353, 382056, 665113
user-supplied	8017_GSE65774__CAG_length-dependent_genes_in_6_mon_mouse_striatum_[down]	8017_GSE65774__CAG_length-dependent_genes_in_6_mon_mouse_striatum_[down]	3.82188136406116e-45	8.80124679838085e-43	1.05334291194359	2.86721997913528	enriched	3562	294	119347.70157215	23984, 71978, 18574, 19317, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13384, 13435, 14007, 16201, 16438, 16520, 18763, 19055, 22129, 22393, 24105, 26422, 53972, 64009, 67972, 75141, 78408, 108655, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11567, 11766, 11865, 11898, 11938, 12290, 12295, 12314, 12348, 12457, 12564, 12709, 13030, 13199, 13488, 13638, 13653, 13681, 13713, 13716, 14227, 14232, 14645, 14680, 14758, 14809, 14810, 15357, 15382, 15444, 16514, 16526, 16536, 16969, 16974, 17347, 17535, 17829, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18619, 18626, 18628, 18795, 18806, 19069, 19252, 19345, 19395, 19704, 19719, 19735, 19736, 19775, 19921, 20166, 20192, 20250, 20269, 20312, 20320, 20411, 20451, 20609, 20620, 20660, 20807, 20874, 20918, 21345, 21429, 21770, 22004, 22036, 22145, 22190, 22626, 22631, 22671, 23807, 23879, 23956, 23969, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 29871, 50787, 50875, 53605, 54383, 54390, 54393, 56210, 56325, 56354, 56399, 56453, 56455, 56480, 57276, 58172, 58208, 58249, 59046, 66083, 66259, 66865, 67263, 67266, 67760, 68339, 68342, 68526, 68810, 68953, 68966, 69171, 69259, 69281, 69338, 69564, 69601, 69770, 70240, 70369, 70727, 71713, 71770, 71820, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74648, 74762, 75210, 75668, 75909, 76055, 76089, 76500, 77531, 77579, 78779, 78926, 79059, 80286, 80913, 80981, 83431, 83797, 93737, 93742, 94280, 101490, 101739, 102423, 103806, 104263, 105653, 106618, 107932, 108069, 108946, 109135, 110265, 110351, 110809, 114641, 117109, 117600, 140742, 170952, 192160, 193796, 208151, 210673, 211480, 212163, 214931, 215001, 215418, 216873, 217335, 224829, 225872, 226278, 226517, 226551, 227632, 229512, 229709, 233020, 234593, 234854, 235626, 237891, 238323, 239170, 239667, 240752, 243819, 245688, 246277, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319387, 319586, 319984, 320354, 320661, 329324, 330401, 330914, 353326, 380728, 380977, 381353, 381582, 382056, 606496, 619313, 668212, 100037396
user-supplied	8925_GSE73503__Differentially_expressed_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	8925_GSE73503__Differentially_expressed_genes_in_hippocampus_of_6_mon_HD_Q175_mice_vs_Q20	1.15296002482221e-43	2.32321445001676e-41	0.994781085108935	2.70413230165043	enriched	4687	353	139914.720716876	19317, 19739, 52858, 108100, 237459, 246198, 360013, 11838, 12323, 13498, 13549, 13690, 14007, 16201, 16520, 17356, 17977, 18763, 19055, 20817, 22393, 24105, 26422, 53972, 54446, 64009, 67972, 70974, 73469, 75141, 77097, 78408, 80284, 83486, 110355, 216439, 217166, 224020, 224129, 230863, 233489, 233877, 233904, 233908, 244059, 268448, 268980, 320127, 399548, 546071, 11480, 11496, 11735, 11766, 11804, 11911, 11931, 12286, 12290, 12295, 12348, 12418, 12631, 12709, 12748, 12846, 13002, 13030, 13199, 13207, 13447, 13612, 13638, 13653, 13681, 13716, 14232, 14312, 14400, 14421, 14432, 14433, 14645, 14660, 14680, 14758, 14790, 14800, 14804, 14809, 14810, 15166, 15357, 15444, 16526, 16536, 16594, 16969, 16974, 17179, 17184, 17258, 17263, 17347, 17754, 17918, 17937, 18128, 18142, 18453, 18619, 18626, 18628, 18749, 19025, 19069, 19205, 19252, 19266, 19309, 19325, 19345, 19704, 19719, 19735, 19775, 20192, 20269, 20312, 20320, 20364, 20378, 20382, 20383, 20441, 20451, 20620, 20658, 20740, 20742, 20743, 20807, 20874, 20931, 21423, 21429, 21770, 21833, 22084, 22145, 22190, 22215, 22411, 22671, 23879, 23969, 24127, 26403, 26404, 26406, 26968, 27362, 27418, 28042, 29812, 50875, 52830, 53379, 53605, 54383, 54393, 54525, 56068, 56210, 56216, 56310, 56323, 56334, 56354, 56420, 56455, 56486, 57138, 57276, 57354, 57748, 59004, 59013, 59047, 65964, 66043, 66059, 66077, 66155, 66256, 66259, 66313, 66419, 66448, 66477, 66599, 66756, 66863, 66884, 66890, 67040, 67429, 67588, 67673, 67785, 68295, 68339, 68342, 68365, 68526, 68675, 68730, 68957, 68961, 69227, 69773, 69917, 70231, 70317, 70510, 70727, 70790, 71474, 71514, 71713, 71745, 71770, 71878, 71998, 72193, 72289, 72567, 72902, 74100, 74326, 74762, 75210, 75580, 75665, 75668, 75956, 76007, 76022, 76308, 76500, 76897, 76905, 77531, 77891, 78779, 78926, 80385, 80913, 83767, 83797, 93679, 93687, 93742, 97863, 101739, 103850, 104831, 105203, 105522, 105653, 106585, 106618, 107701, 107932, 107976, 108116, 108829, 108946, 110265, 110351, 110809, 117109, 140546, 170791, 192287, 192786, 193796, 207740, 208263, 208898, 210673, 214931, 215001, 215418, 216848, 216873, 217378, 223664, 223693, 224727, 224829, 225872, 226551, 226747, 226856, 226982, 228410, 229512, 229542, 229709, 230770, 232227, 232975, 233020, 233208, 234593, 234854, 235439, 237711, 238323, 239170, 239606, 241638, 243819, 244891, 244895, 245688, 246710, 260297, 268480, 268510, 268755, 269152, 276952, 278795, 319322, 319586, 319984, 320354, 327655, 329427, 330671, 380669, 380728, 380977, 381353, 381677, 382056, 606496, 633640, 666737, 668212, 100037396
user-supplied	7018_GSE10202__Expression_in_22_mon_CHL2_HD_mice_[down]	7018_GSE10202__Expression_in_22_mon_CHL2_HD_mice_[down]	7.26640595023824e-43	1.30149404353156e-40	1.19761876830046	3.31222036057732	enriched	1791	185	165832.385817979	23984, 71978, 18574, 19739, 52633, 54403, 108100, 218194, 237459, 360013, 12323, 13435, 14007, 16438, 16520, 19055, 22393, 22668, 24105, 26422, 53972, 64009, 67300, 67972, 75141, 78408, 83486, 108655, 223697, 224129, 230863, 243272, 268448, 268980, 320127, 320292, 399548, 546071, 11540, 11735, 11898, 11938, 12295, 12348, 12564, 12709, 12994, 13199, 13447, 13488, 13528, 13638, 14645, 14660, 14680, 14758, 14800, 15444, 16526, 16536, 17179, 17263, 17535, 17918, 17933, 17937, 18005, 18619, 18626, 18628, 18795, 19252, 19395, 19735, 19736, 19775, 20192, 20312, 20320, 20393, 20411, 20451, 20620, 20743, 20807, 21429, 21833, 22004, 22036, 22145, 22671, 22756, 23956, 26404, 26406, 26556, 28042, 29871, 30928, 52846, 56325, 56453, 56455, 58208, 58249, 59046, 66259, 66836, 66865, 66910, 67263, 68328, 68339, 68526, 68810, 70369, 70727, 71514, 71713, 71820, 71878, 72289, 72902, 73040, 73635, 74026, 74100, 74309, 74648, 74737, 75668, 77531, 77579, 78779, 78926, 83767, 83797, 93742, 103768, 104263, 105653, 107239, 107976, 108069, 109135, 110265, 110351, 117109, 140742, 170952, 193796, 208898, 210673, 214931, 215418, 217335, 224860, 225131, 227632, 227656, 228410, 229512, 229709, 231093, 238323, 239170, 239606, 241638, 246277, 246710, 268510, 270150, 276952, 277973, 319586, 319984, 320661, 330401, 330914, 380977, 381353, 381677, 382056, 630836, 665113
user-supplied	8868_Insoluble_brain_proteome_of_WT_and_HD_R6/2_mice	8868_Insoluble_brain_proteome_of_WT_and_HD_R6/2_mice	5.27354059348389e-41	8.50094743669602e-39	1.27049197776571	3.562604853652	enriched	1350	151	131292.682962963	54403, 108100, 218194, 360013, 12323, 13690, 15270, 16201, 16438, 17356, 19055, 20817, 26422, 64009, 67300, 67972, 77097, 216439, 223697, 224020, 224129, 244059, 269713, 546071, 11496, 11735, 11931, 11938, 12286, 12290, 12466, 12469, 12631, 12709, 12799, 13207, 13627, 13629, 13681, 14232, 14270, 14312, 14432, 14433, 14645, 14660, 14758, 14800, 14810, 15382, 15388, 15481, 16536, 16594, 16691, 17184, 17754, 17918, 17931, 18417, 18749, 18795, 19155, 19205, 19309, 19325, 19921, 20024, 20382, 20383, 20411, 20658, 20740, 20742, 20743, 20974, 21429, 21770, 22031, 22088, 22145, 22154, 22190, 22631, 23969, 24127, 26556, 53379, 54525, 56216, 56351, 57261, 57748, 58996, 65105, 67040, 68365, 69131, 69601, 69940, 71514, 71713, 71770, 72193, 72567, 74326, 74610, 74737, 75406, 75956, 76089, 77531, 77579, 83767, 93687, 94280, 101490, 101739, 107701, 107932, 108829, 110351, 110809, 114585, 114641, 170791, 207165, 208898, 224860, 226856, 226982, 227723, 228410, 229542, 229709, 230861, 232227, 232975, 233208, 233870, 234593, 237711, 239667, 268890, 269700, 319322, 319984, 330914, 381353, 606496, 665113
