Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
user-supplied	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DOWN_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q111_mice	2.71398347497464e-36	4.07097521246195e-35	1.29621355085297	3.65542933292896	enriched	1397	178	135480.300644238	23984, 71978, 18574, 19739, 52633, 54403, 108100, 218194, 360013, 12323, 13435, 14007, 16438, 16520, 19055, 22129, 22393, 24105, 53972, 64009, 67300, 67972, 75141, 108655, 223697, 224020, 224129, 230863, 233904, 243272, 268980, 320292, 399548, 546071, 11430, 11540, 11898, 11938, 12290, 12295, 12314, 12348, 12709, 13199, 13488, 13638, 13716, 14227, 14680, 14758, 14810, 15444, 16526, 16536, 16974, 17347, 17859, 17933, 17937, 18191, 18453, 18619, 18795, 19069, 19395, 19704, 19736, 19775, 20192, 20312, 20320, 20350, 20411, 20451, 20620, 20874, 21345, 21429, 21770, 22004, 22036, 22145, 22631, 22671, 23956, 23969, 26404, 26406, 26556, 28042, 53605, 54393, 56354, 56453, 56455, 56480, 57138, 57276, 58172, 58208, 58249, 59046, 66259, 67263, 67266, 68339, 68365, 68526, 68810, 69338, 69564, 69601, 70369, 70727, 71770, 72289, 72902, 74026, 74100, 74648, 75668, 75909, 76055, 77531, 77579, 78779, 80286, 80981, 83797, 93737, 93742, 94280, 101490, 101739, 104263, 105653, 107932, 108069, 109135, 110265, 110351, 114641, 170952, 193796, 208151, 210673, 212163, 214931, 226551, 227632, 229512, 229709, 233020, 234593, 234854, 235626, 237891, 238323, 239170, 243819, 245688, 246710, 268510, 268566, 277973, 278795, 319387, 319984, 320354, 320661, 330914, 332359, 353326, 380728, 381353, 381582, 606496, 668212
user-supplied	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8607_GSE65774__Down-regulated_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	2.58964402341061e-24	1.94223301755796e-23	1.05330465759705	2.86711029760652	enriched	3162	275	123321.02055661	23984, 71978, 18574, 19317, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13384, 13435, 14007, 16201, 16438, 16520, 18763, 19055, 22129, 22393, 24105, 26422, 53972, 64009, 67972, 75141, 77097, 78408, 108655, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11567, 11766, 11898, 11938, 12290, 12295, 12314, 12348, 12457, 12564, 12709, 13030, 13199, 13488, 13528, 13638, 13653, 13681, 13713, 13716, 14227, 14232, 14645, 14680, 14758, 14809, 14810, 15357, 15382, 15444, 16514, 16526, 16536, 16969, 16974, 17347, 17535, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18514, 18619, 18626, 18628, 18795, 18806, 19069, 19252, 19345, 19395, 19704, 19719, 19735, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20807, 20874, 20918, 21345, 21429, 21770, 22004, 22036, 22145, 22190, 22626, 22631, 22671, 23807, 23956, 23969, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 29871, 50787, 50875, 53605, 54383, 54393, 56210, 56325, 56354, 56399, 56453, 56455, 56480, 57276, 58172, 58208, 58249, 59046, 66083, 66259, 66865, 67263, 67266, 68339, 68342, 68526, 68810, 68953, 69171, 69281, 69338, 69564, 69601, 70240, 70369, 70727, 71713, 71770, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74648, 75210, 75668, 75909, 76055, 76089, 77531, 77579, 78779, 80286, 80981, 83431, 83767, 83797, 93737, 93742, 94280, 101490, 101739, 102423, 103806, 104263, 105653, 106618, 107932, 108069, 108946, 109135, 110265, 110351, 114641, 117109, 117600, 140742, 170952, 192160, 193796, 208151, 210673, 211480, 212163, 214931, 215001, 216873, 217335, 225872, 226278, 226517, 226551, 227632, 229512, 229709, 233020, 234593, 234854, 235626, 237891, 238323, 239170, 239667, 240752, 243819, 245688, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319387, 319586, 319984, 320354, 320661, 329324, 330401, 330914, 353326, 380728, 380977, 381353, 381582, 382056, 606496, 619313, 668212, 100037396
user-supplied	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	8042_GSE65774__Down-regulated_genes_in_striatum_of_HD_Q175_mice	2.76184798726119e-20	1.38092399363059e-19	0.925210851682629	2.52240005658731	enriched	2693	236	122706.68473821	23984, 71978, 18574, 19317, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 11838, 12323, 13384, 13435, 14007, 16201, 16438, 16520, 18763, 19055, 22129, 24105, 53972, 64009, 67972, 75141, 78408, 108655, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 320292, 399548, 546071, 11430, 11496, 11540, 11766, 11898, 11938, 12290, 12295, 12314, 12348, 12709, 13030, 13199, 13488, 13638, 13653, 13713, 13716, 14227, 14232, 14645, 14680, 14758, 14809, 14810, 15357, 15382, 15444, 16514, 16526, 16536, 16969, 17347, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18619, 18626, 18628, 18795, 18806, 19069, 19252, 19395, 19704, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20807, 20874, 21345, 21429, 21770, 22004, 22036, 22145, 22190, 22626, 22631, 22671, 23807, 23956, 23969, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 50787, 50875, 53605, 54383, 54393, 56325, 56354, 56399, 56453, 56455, 57276, 58172, 58208, 59046, 66259, 66961, 67263, 67266, 67760, 68339, 68526, 68810, 68953, 69171, 69338, 69564, 69601, 70240, 70292, 70369, 70727, 71713, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74648, 75210, 75580, 75668, 75811, 75909, 77531, 78779, 78926, 80287, 80981, 83797, 93737, 93742, 94280, 102423, 104263, 105653, 106618, 107932, 108069, 108946, 109135, 110265, 110351, 114641, 117109, 117600, 170952, 192160, 193796, 208151, 210673, 212163, 214931, 215001, 217335, 225872, 226278, 227632, 229512, 229709, 233020, 234593, 234854, 237891, 238323, 239170, 239667, 240752, 243819, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319586, 319984, 320354, 320661, 330914, 353326, 380728, 381353, 382056, 606496, 619313, 668212, 100037396
user-supplied	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	6m-Q111-DEG_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q111_mice	5.63602617175158e-19	2.11350981440684e-18	0.89065775357194	2.43673189339862	enriched	2334	212	143738.277206512	23984, 71978, 18574, 19739, 52633, 54403, 76719, 108100, 218194, 360013, 12323, 13435, 14007, 16438, 16520, 19055, 22129, 22393, 24105, 53972, 64009, 67300, 67972, 70974, 75141, 108655, 223697, 224020, 224129, 230863, 233904, 243272, 268980, 320292, 399548, 546071, 11430, 11480, 11540, 11736, 11898, 11938, 12290, 12295, 12314, 12348, 12418, 12709, 13199, 13488, 13627, 13629, 13638, 13716, 14227, 14432, 14660, 14680, 14705, 14758, 14810, 15444, 16526, 16536, 16974, 17263, 17347, 17859, 17933, 17937, 18191, 18453, 18548, 18619, 18795, 19069, 19395, 19704, 19736, 19775, 20192, 20312, 20320, 20350, 20411, 20451, 20620, 20658, 20874, 21345, 21429, 21770, 22004, 22036, 22145, 22631, 22671, 23956, 23969, 26404, 26406, 26556, 28042, 29812, 53605, 54196, 54393, 56354, 56453, 56455, 56480, 57138, 57276, 58172, 58208, 58249, 59008, 59046, 66259, 66863, 66931, 67263, 67266, 68126, 68339, 68365, 68526, 68810, 69338, 69564, 69601, 69700, 70369, 70727, 71770, 72289, 72902, 73379, 74026, 74100, 74648, 75668, 75909, 76055, 76897, 77531, 77579, 78779, 80286, 80981, 83797, 93687, 93737, 93742, 94280, 99326, 101490, 101739, 104263, 105653, 107932, 108069, 109135, 110265, 110351, 114641, 170952, 192287, 193796, 208151, 210673, 212163, 214931, 215627, 216848, 217151, 226551, 227632, 229512, 229709, 233020, 233057, 234593, 234854, 235626, 237891, 238323, 239170, 243819, 244891, 245688, 246710, 268510, 268566, 269152, 269630, 277973, 278795, 319387, 319984, 320354, 320661, 330914, 332359, 353326, 380669, 380728, 381353, 381356, 381582, 606496, 668212
user-supplied	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8608_GSE65774__Down-regulated_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	3.27088633449056e-18	9.81265900347168e-18	0.87289456566481	2.39382993275948	enriched	2214	201	140097.266937669	23984, 71978, 14056, 18574, 19317, 19739, 52633, 54403, 108100, 218194, 237459, 246198, 360013, 12323, 13435, 14007, 16201, 16438, 16520, 19055, 22129, 22393, 24105, 53972, 64009, 67972, 75141, 77097, 108655, 216439, 217166, 223697, 224129, 230863, 233904, 243272, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11766, 11898, 11938, 12290, 12295, 12314, 12348, 12709, 13199, 13488, 13716, 14227, 14344, 14400, 14645, 14680, 14758, 14809, 14810, 15382, 15444, 16514, 16526, 16536, 16974, 17347, 17918, 17933, 17937, 18005, 18191, 18417, 18514, 18619, 18626, 18628, 18795, 18806, 19395, 19704, 19719, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20807, 20874, 21345, 21429, 21770, 22004, 22036, 22145, 22626, 22671, 23969, 26404, 26406, 26556, 28019, 28042, 29871, 54393, 56354, 56453, 57276, 57742, 58208, 59046, 66259, 67263, 68339, 68526, 68810, 69338, 69564, 69601, 70727, 71713, 71770, 71878, 72289, 72902, 73040, 74026, 74100, 74309, 74648, 74762, 75811, 75909, 76055, 76089, 77531, 78779, 83797, 93742, 94280, 102423, 104263, 105653, 106618, 108069, 109135, 110351, 117600, 140742, 170952, 192160, 193796, 208151, 210673, 212163, 214931, 215001, 216853, 217335, 227632, 229512, 229709, 231093, 233020, 234593, 234854, 235626, 237891, 238323, 239170, 239606, 240752, 243819, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319586, 319984, 320354, 320661, 330914, 332359, 353326, 380728, 381353, 382056, 432467, 619313, 668212, 100037396
user-supplied	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	8022_GSE65774__Differentially_expressed_genes_in_striatum_of_HD_Q175_mice	4.98054407245873e-07	9.33852013586011e-07	0.591297482683132	1.8063305782567	enriched	5212	331	126171.118956255	23984, 71978, 18574, 19317, 19739, 52633, 52858, 54403, 76719, 108100, 214572, 218194, 237459, 246198, 317717, 360013, 11838, 12323, 13384, 13435, 13690, 14007, 16201, 16438, 16520, 17356, 17904, 17977, 18763, 19055, 20817, 22129, 23801, 24105, 53972, 64009, 66236, 67972, 70300, 70974, 75141, 78408, 108655, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 269713, 320292, 399548, 546071, 11430, 11480, 11496, 11540, 11736, 11766, 11898, 11931, 11938, 12290, 12295, 12314, 12348, 12418, 12466, 12469, 12709, 13030, 13199, 13207, 13488, 13627, 13638, 13653, 13713, 13716, 14227, 14232, 14432, 14470, 14645, 14660, 14680, 14705, 14758, 14804, 14809, 14810, 15357, 15382, 15444, 15481, 16514, 16526, 16536, 16969, 17263, 17347, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18548, 18619, 18626, 18628, 18749, 18795, 18806, 19069, 19252, 19336, 19395, 19704, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20658, 20807, 20874, 20974, 21345, 21429, 21770, 22004, 22036, 22142, 22145, 22154, 22190, 22626, 22631, 22671, 23807, 23956, 23969, 26371, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 29812, 50787, 50875, 53605, 54196, 54383, 54393, 56325, 56354, 56399, 56453, 56455, 56632, 57276, 57742, 58172, 58208, 58859, 59008, 59046, 65105, 66259, 66599, 66832, 66863, 66884, 66931, 66961, 67125, 67263, 67266, 67429, 67588, 67760, 67785, 68001, 68090, 68126, 68339, 68526, 68810, 68953, 69171, 69338, 69564, 69601, 70231, 70240, 70292, 70369, 70727, 71713, 71878, 72289, 72902, 73635, 74026, 74100, 74309, 74326, 74648, 74766, 75210, 75580, 75668, 75811, 75909, 76897, 77531, 78108, 78779, 78926, 80287, 80981, 83797, 93687, 93737, 93742, 94280, 100213, 101023, 102423, 103468, 104080, 104263, 105653, 105663, 105782, 106618, 107338, 107932, 108069, 108946, 109135, 110265, 110351, 114641, 117109, 117600, 170791, 170952, 192160, 192292, 193796, 207165, 208151, 210673, 212163, 214931, 215001, 215627, 216848, 217151, 217335, 223664, 224674, 224904, 225872, 226278, 227632, 228876, 229512, 229709, 230861, 232196, 232975, 233020, 233057, 234593, 234854, 235606, 237891, 238323, 239170, 239667, 240752, 243819, 244891, 246710, 268480, 268510, 268566, 268933, 269152, 276952, 277973, 278795, 319322, 319586, 319984, 320225, 320301, 320354, 320661, 330914, 338362, 353326, 378937, 380669, 380728, 381353, 381356, 382056, 606496, 619313, 668173, 668212, 100037396
user-supplied	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	8601_GSE65774__Differentially_expressed_genes_in_striatum_of_6_mon_HD_Q175_mice_vs_Q20	6.8222915386004e-05	0.000102334373079006	0.56958262788287	1.76752918006501	enriched	6204	370	124547.429561573	23984, 71978, 18574, 19317, 19739, 52633, 52858, 54403, 76719, 108100, 214572, 218194, 237459, 246198, 317717, 360013, 11838, 12323, 13384, 13435, 13498, 13690, 14007, 16201, 16438, 16520, 18763, 19055, 20817, 22129, 22393, 23801, 24105, 26422, 53972, 64009, 66236, 67972, 70300, 70974, 75141, 77097, 78408, 108655, 110355, 216439, 217166, 223697, 224020, 224129, 228866, 230863, 233489, 233904, 243272, 268980, 269713, 320127, 320292, 399548, 546071, 11430, 11480, 11496, 11540, 11565, 11567, 11736, 11766, 11898, 11931, 11938, 12290, 12295, 12314, 12348, 12418, 12457, 12466, 12469, 12564, 12709, 13030, 13199, 13207, 13488, 13528, 13627, 13629, 13638, 13653, 13681, 13713, 13716, 14227, 14232, 14432, 14470, 14645, 14660, 14680, 14705, 14758, 14809, 14810, 15357, 15382, 15444, 15481, 16514, 16526, 16536, 16969, 16974, 17263, 17347, 17535, 17859, 17918, 17933, 17937, 18005, 18128, 18191, 18417, 18453, 18514, 18548, 18619, 18626, 18628, 18749, 18795, 18806, 19069, 19252, 19345, 19395, 19704, 19719, 19735, 19736, 20192, 20250, 20312, 20320, 20411, 20451, 20609, 20620, 20658, 20807, 20874, 20918, 20974, 21345, 21429, 21770, 22004, 22036, 22088, 22142, 22145, 22154, 22190, 22215, 22626, 22631, 22671, 23807, 23956, 23969, 26371, 26403, 26404, 26406, 26556, 26919, 28019, 28042, 29812, 29871, 50787, 50875, 53605, 54196, 54383, 54393, 56210, 56325, 56354, 56399, 56453, 56455, 56480, 56632, 57276, 58172, 58208, 58249, 58859, 59008, 59046, 65105, 66083, 66256, 66259, 66599, 66832, 66863, 66865, 66884, 66931, 67263, 67266, 67588, 67785, 68001, 68090, 68126, 68339, 68342, 68526, 68675, 68810, 68953, 69171, 69281, 69338, 69564, 69601, 70240, 70369, 70727, 71713, 71770, 71878, 72289, 72902, 73379, 73635, 74026, 74100, 74309, 74610, 74648, 74766, 75210, 75668, 75909, 76055, 76089, 76897, 77531, 77579, 78108, 78779, 80286, 80981, 83431, 83767, 83797, 93687, 93737, 93742, 94280, 100213, 101023, 101490, 101739, 102423, 103806, 104080, 104263, 105653, 105663, 105782, 106618, 107338, 107932, 108069, 108946, 109135, 110265, 110351, 114641, 117109, 117600, 140742, 170789, 170952, 192160, 192287, 192292, 193796, 208151, 210673, 211480, 212163, 214931, 215001, 215627, 216848, 216873, 217151, 217335, 223664, 225872, 226278, 226517, 226551, 227632, 228876, 229512, 229709, 230861, 232196, 232975, 233020, 233057, 234593, 234854, 235606, 235626, 237711, 237891, 238323, 239170, 239546, 239667, 240752, 243819, 244891, 245688, 246710, 268480, 268510, 268566, 268933, 269152, 276952, 277973, 278795, 319387, 319586, 319984, 320225, 320301, 320354, 320661, 329324, 330401, 330671, 330914, 338362, 353326, 378937, 380669, 380728, 380787, 380977, 381353, 381356, 381582, 382056, 606496, 619313, 668173, 668212, 100037396
user-supplied	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	8602_GSE65774__Differentially_expressed_genes_in_striatum_of_10_mon_HD_Q175_mice_vs_Q20	0.000485082831655536	0.000661476588621185	0.354716597928525	1.42577652899744	enriched	4169	261	122646.408251379	23984, 71978, 14056, 18574, 19317, 19739, 52633, 52858, 54403, 76719, 108100, 214572, 218194, 237459, 246198, 317717, 360013, 12323, 13435, 13690, 14007, 16201, 16438, 16520, 19055, 22129, 22393, 24105, 53972, 64009, 67972, 75141, 77097, 108655, 216439, 217166, 223697, 224129, 230863, 233904, 243272, 268980, 320127, 320292, 399548, 546071, 11430, 11496, 11540, 11565, 11766, 11898, 11938, 12290, 12295, 12314, 12348, 12418, 12466, 12469, 12709, 12799, 13199, 13207, 13488, 13627, 13716, 14227, 14344, 14400, 14432, 14433, 14470, 14645, 14680, 14705, 14758, 14809, 14810, 15382, 15444, 15481, 16514, 16526, 16536, 16974, 17246, 17347, 17918, 17933, 17937, 18005, 18104, 18191, 18417, 18514, 18619, 18626, 18628, 18749, 18795, 18806, 19395, 19704, 19719, 19736, 20192, 20250, 20312, 20320, 20382, 20411, 20451, 20609, 20620, 20807, 20874, 21345, 21429, 21770, 22004, 22036, 22088, 22142, 22145, 22626, 22671, 23802, 23918, 23969, 26404, 26406, 26556, 28019, 28042, 29812, 29871, 54393, 56354, 56453, 57259, 57276, 57742, 58208, 58859, 59008, 59046, 65105, 66259, 66448, 66599, 66929, 66931, 66939, 67125, 67263, 67588, 68001, 68126, 68339, 68526, 68675, 68810, 69338, 69564, 69601, 70231, 70317, 70727, 71713, 71770, 71878, 72093, 72289, 72461, 72902, 73040, 74026, 74100, 74309, 74648, 74762, 75811, 75909, 76055, 76089, 77531, 78108, 78779, 83797, 93687, 93742, 94280, 102423, 104263, 105653, 105663, 106618, 108069, 109135, 110351, 112415, 117600, 140742, 170952, 192160, 193796, 208151, 210673, 212163, 214931, 215001, 216848, 216853, 217151, 217335, 217365, 223664, 227632, 229512, 229709, 231093, 232196, 233020, 233057, 234593, 234854, 235626, 237891, 238323, 239170, 239606, 240752, 243819, 243912, 244891, 246710, 268480, 268510, 268566, 276952, 277973, 278795, 319586, 319984, 320354, 320661, 330671, 330914, 332359, 338362, 353326, 380669, 380728, 381353, 382056, 432467, 619313, 668173, 668212, 100037396
user-supplied	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8606_GSE65774__Down-regulated_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.00177106321938908	0.00221382902423635	1.14294133397263	3.13597877400714	enriched	60	9	86735.9833333333	399548, 11540, 18619, 19736, 20451, 22036, 74100, 75668, 380728
user-supplied	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	8600_GSE65774__Differentially_expressed_genes_in_striatum_of_2_mon_HD_Q175_mice_vs_Q20	0.00279922481756641	0.0032298747894997	0.980938496740636	2.66695799918993	enriched	83	11	127007.21686747	399548, 100040591, 11540, 18619, 19736, 20451, 22036, 74100, 74610, 75668, 380728
