Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Molecular Function	GO:0005515	protein binding	8.62113944373009e-20	8.09536008520478e-17	0.663918901254112	1.9423894709989	enriched	8129	445	117955.282568582	71978, 12747, 14056, 18574, 19317, 19739, 54403, 71923, 108100, 214572, 218194, 317717, 360013, 11838, 11889, 12323, 13384, 13435, 13498, 13690, 15270, 16201, 16438, 16520, 17356, 17904, 17977, 18763, 19055, 20239, 20817, 22129, 22393, 24105, 26422, 53972, 56036, 64009, 67300, 67972, 71769, 75141, 100855, 108655, 110355, 216439, 217166, 223697, 224020, 224129, 230863, 233489, 233877, 233904, 233908, 244059, 268448, 268980, 269713, 320127, 399548, 11430, 11480, 11496, 11540, 11565, 11567, 11735, 11736, 11766, 11804, 11865, 11898, 11911, 11931, 11938, 12049, 12286, 12290, 12295, 12314, 12362, 12418, 12457, 12466, 12469, 12579, 12631, 12709, 12748, 13002, 13030, 13207, 13447, 13488, 13508, 13527, 13528, 13612, 13627, 13629, 13638, 13653, 13681, 13716, 14167, 14232, 14270, 14312, 14325, 14366, 14400, 14432, 14433, 14470, 14645, 14660, 14680, 14729, 14800, 14804, 14809, 14810, 15166, 15205, 15357, 15388, 15444, 15481, 16150, 16478, 16514, 16526, 16536, 16591, 16594, 16691, 16969, 16974, 17179, 17246, 17258, 17347, 17535, 17754, 17826, 17859, 17918, 17931, 17933, 17937, 17979, 18005, 18104, 18128, 18142, 18191, 18417, 18453, 18514, 18521, 18619, 18626, 18628, 18710, 18749, 18795, 18806, 18861, 19025, 19205, 19252, 19266, 19325, 19336, 19345, 19358, 19367, 19735, 19736, 19769, 20166, 20192, 20269, 20312, 20378, 20382, 20383, 20393, 20411, 20609, 20620, 20658, 20660, 20740, 20742, 20743, 20807, 20874, 20877, 20974, 21345, 21423, 21429, 21770, 21833, 22004, 22031, 22036, 22084, 22088, 22142, 22145, 22154, 22190, 22215, 22218, 22411, 22433, 22631, 23802, 23807, 23879, 23897, 23969, 26403, 26404, 26406, 26431, 26556, 26919, 27362, 27418, 28019, 29871, 50875, 52679, 53379, 53605, 53624, 54196, 54383, 54390, 54393, 54525, 56216, 56310, 56323, 56325, 56351, 56354, 56399, 56420, 56455, 56480, 56486, 56632, 56812, 57138, 57259, 57261, 57748, 58172, 58208, 58249, 59004, 59008, 59013, 59046, 64177, 65105, 66043, 66083, 66155, 66174, 66259, 66313, 66340, 66884, 66890, 66929, 66961, 67040, 67169, 67266, 67470, 67513, 67588, 67673, 67773, 68328, 68339, 68365, 68736, 68810, 68953, 68961, 69131, 69171, 69259, 69281, 69564, 69601, 69917, 69940, 70292, 70369, 70790, 71474, 71514, 71732, 71745, 71770, 71820, 71878, 72205, 72289, 72567, 72832, 74100, 74490, 74648, 74737, 74766, 75387, 75406, 75580, 75665, 75811, 76007, 76022, 76055, 76089, 76897, 76905, 77531, 77579, 77891, 78912, 78926, 80287, 80913, 83431, 83767, 83797, 84036, 84092, 93679, 93687, 93696, 93742, 98417, 100213, 101490, 101739, 101867, 102423, 103806, 104080, 104263, 104831, 105653, 105782, 107338, 107932, 107976, 108000, 110351, 110379, 110809, 114641, 117600, 140499, 140546, 140742, 170789, 170791, 170952, 192160, 192285, 192292, 192662, 192786, 193003, 207165, 208263, 208898, 209456, 215001, 216848, 216853, 217335, 217365, 217378, 223696, 224727, 224829, 224836, 224860, 225131, 225518, 225872, 226517, 227801, 229512, 229542, 229571, 229709, 230861, 231093, 232975, 233208, 233902, 234593, 234854, 235312, 235606, 237711, 237891, 239546, 240752, 241638, 242687, 243547, 243819, 243912, 244058, 244329, 245688, 246694, 246710, 268566, 269152, 276952, 319154, 319322, 319387, 329324, 381677, 382056, 387147, 606496, 665113, 668173, 723815
Gene Ontology Molecular Function	GO:0019899	enzyme binding	1.37325870826205e-19	8.09536008520478e-17	0.845261410211163	2.32858645129078	enriched	1963	153	115999.173204279	71978, 218194, 12323, 13498, 15270, 16201, 16438, 17356, 17977, 18763, 19055, 22393, 24105, 26422, 56036, 64009, 67300, 75141, 100855, 216439, 224129, 233877, 268980, 320127, 11540, 11736, 11931, 11938, 12049, 12314, 12418, 12579, 12631, 12709, 13207, 13488, 13627, 13629, 13653, 13716, 14270, 14366, 14433, 14800, 14810, 15205, 15357, 15444, 15481, 16150, 16478, 16969, 17246, 17258, 17918, 17931, 17979, 18005, 18128, 18453, 18521, 18626, 18628, 18749, 18795, 18806, 19358, 19367, 20166, 20382, 20383, 20393, 20411, 20660, 20742, 20807, 21423, 22031, 22084, 22088, 22145, 22154, 22190, 22218, 22433, 22631, 23802, 23807, 26403, 26404, 26919, 53379, 53605, 54196, 54390, 56216, 56351, 56399, 56455, 56486, 56812, 57138, 57261, 59004, 59008, 66259, 67588, 67773, 68328, 69131, 69171, 69601, 69917, 69940, 70369, 71474, 71514, 71745, 71878, 74737, 74766, 75406, 75580, 75665, 76007, 76089, 77891, 78912, 83767, 93742, 100213, 102423, 103806, 104831, 107932, 110351, 110809, 117600, 140499, 170952, 192160, 192662, 192786, 208263, 217365, 224727, 225131, 226517, 227801, 229512, 229571, 243819, 606496
Gene Ontology Cellular Component	GO:0097458	neuron part	1.88258941963213e-18	1.23581834385091e-15	0.887823243564929	2.42983473211662	enriched	1490	126	177868.153020134	23984, 18574, 19739, 108100, 12323, 13690, 16438, 16520, 17977, 64009, 67300, 67972, 110355, 217166, 233489, 233908, 268980, 269713, 320127, 11496, 11540, 11567, 11735, 11898, 11911, 12286, 12290, 12314, 12362, 12564, 12631, 12709, 12846, 13002, 13199, 13409, 13488, 13508, 13527, 14270, 14400, 14432, 14645, 14800, 14804, 14809, 14810, 15166, 15444, 15481, 16514, 16526, 16536, 16594, 16974, 17754, 17918, 18104, 18191, 18587, 18619, 19205, 19395, 19711, 19735, 20269, 20320, 20393, 20609, 20620, 20660, 20740, 20742, 20743, 20974, 22084, 22218, 23802, 23879, 23969, 24127, 26404, 26556, 53379, 53605, 54393, 54525, 56216, 56351, 57138, 58208, 66259, 67169, 67263, 67760, 68328, 69601, 72832, 74309, 74326, 75406, 76089, 77579, 80913, 83431, 83797, 84036, 84092, 93742, 101490, 105782, 108069, 110351, 207165, 208898, 211480, 227801, 232975, 241638, 243547, 244058, 268566, 319387, 319984, 381677, 382056
Gene Ontology Cellular Component	GO:0043005	neuron projection	3.14858176777302e-18	1.23581834385091e-15	0.952015320638302	2.59092594783838	enriched	1164	106	190825.478522337	108100, 12323, 13690, 16438, 16520, 17977, 64009, 67300, 67972, 110355, 217166, 233908, 268980, 269713, 320127, 11496, 11540, 11567, 11735, 11898, 11911, 12286, 12314, 12362, 12564, 12631, 12709, 12846, 13002, 13199, 13488, 13508, 13527, 14270, 14400, 14432, 14645, 14800, 14804, 14809, 14810, 15166, 15444, 15481, 16514, 16526, 16536, 16594, 17918, 18619, 19205, 19395, 19735, 20269, 20320, 20393, 20609, 20620, 20740, 20742, 22084, 22218, 23802, 23879, 23969, 24127, 26404, 26556, 53379, 53605, 54393, 54525, 56351, 57138, 58208, 66259, 67169, 67760, 68328, 69601, 72832, 74309, 74326, 75406, 76089, 77579, 80913, 83431, 84092, 93742, 101490, 108069, 110351, 207165, 208898, 211480, 227801, 232975, 241638, 243547, 244058, 268566, 319387, 319984, 381677, 382056
Gene Ontology Cellular Component	GO:0044424	intracellular part	6.783287161647e-18	1.77496014063097e-15	0.723869471735016	2.06239818206167	enriched	12790	618	105029.765363565	23984, 71978, 12747, 14056, 18574, 19317, 19739, 52633, 52858, 66704, 71923, 74148, 76719, 108100, 214572, 218194, 237459, 317717, 360013, 11838, 12323, 13435, 13498, 13549, 13690, 14007, 15270, 16201, 16438, 16520, 17356, 17904, 17977, 18763, 19055, 20239, 20817, 22129, 22393, 22668, 23801, 24105, 26422, 53972, 54446, 56036, 64009, 66047, 67036, 67300, 67972, 69188, 70300, 70974, 73469, 83486, 100855, 108655, 110109, 110355, 216439, 217166, 217218, 223697, 224020, 224129, 225908, 228866, 233489, 233877, 233904, 233908, 244059, 268448, 268980, 269713, 320127, 320292, 474156, 11430, 11480, 11540, 11565, 11567, 11735, 11736, 11766, 11804, 11865, 11898, 11911, 11938, 12049, 12286, 12295, 12314, 12362, 12418, 12457, 12466, 12469, 12579, 12631, 12709, 12748, 12799, 12846, 13002, 13030, 13199, 13207, 13447, 13488, 13527, 13528, 13627, 13629, 13653, 13681, 13713, 13716, 14167, 14227, 14232, 14237, 14270, 14312, 14325, 14344, 14377, 14400, 14421, 14432, 14433, 14470, 14645, 14660, 14680, 14705, 14790, 14800, 14809, 14810, 15166, 15205, 15357, 15382, 15388, 15444, 15481, 16150, 16478, 16514, 16526, 16594, 16691, 16848, 16969, 16974, 17179, 17184, 17246, 17258, 17347, 17535, 17754, 17826, 17829, 17859, 17918, 17931, 17933, 17937, 17979, 18005, 18104, 18128, 18142, 18426, 18453, 18514, 18521, 18548, 18626, 18628, 18749, 18795, 18806, 18861, 19025, 19069, 19155, 19205, 19222, 19252, 19309, 19325, 19336, 19345, 19356, 19358, 19367, 19395, 19704, 19711, 19719, 19735, 19736, 19775, 19921, 20024, 20068, 20192, 20250, 20269, 20312, 20364, 20382, 20383, 20393, 20411, 20441, 20451, 20480, 20609, 20620, 20658, 20660, 20740, 20742, 20743, 20807, 20874, 20877, 20931, 20974, 21345, 21423, 21429, 21833, 22004, 22031, 22036, 22084, 22088, 22142, 22145, 22154, 22190, 22215, 22218, 22411, 22433, 22626, 22631, 22671, 23802, 23807, 23879, 23897, 23918, 23956, 23969, 24116, 24127, 26371, 26403, 26404, 26406, 26431, 26556, 26919, 27362, 27418, 28019, 29812, 29871, 30928, 50875, 52679, 52830, 52846, 52856, 53379, 53605, 54152, 54196, 54383, 54393, 54525, 56068, 56176, 56210, 56214, 56216, 56310, 56323, 56325, 56334, 56351, 56354, 56399, 56420, 56453, 56455, 56480, 56486, 56490, 56632, 56812, 57259, 57261, 57354, 57748, 58172, 58208, 58249, 59004, 59008, 59013, 59046, 59047, 65105, 65964, 66043, 66059, 66077, 66083, 66084, 66155, 66174, 66256, 66313, 66340, 66359, 66379, 66419, 66448, 66477, 66599, 66836, 66863, 66865, 66884, 66890, 66929, 66939, 66961, 67023, 67040, 67169, 67266, 67429, 67504, 67513, 67588, 67673, 67713, 67767, 67773, 67785, 67892, 68001, 68011, 68090, 68114, 68126, 68328, 68339, 68342, 68365, 68526, 68675, 68810, 68953, 68961, 68966, 69131, 69227, 69259, 69281, 69564, 69601, 69612, 69770, 69773, 69917, 69940, 70078, 70231, 70292, 70369, 70510, 70790, 71254, 71474, 71514, 71564, 71679, 71713, 71732, 71745, 71770, 71820, 71878, 71966, 71998, 72193, 72205, 72289, 72461, 72567, 74026, 74100, 74326, 74490, 74610, 74648, 74737, 74766, 75387, 75406, 75580, 75665, 75668, 75811, 75909, 75956, 76007, 76022, 76055, 76089, 76308, 76375, 76500, 76897, 76905, 77531, 77579, 77891, 78670, 78912, 78926, 79059, 80286, 80287, 80385, 80913, 80981, 83431, 83767, 83797, 84036, 84092, 93679, 93687, 93696, 93737, 93742, 94280, 98417, 99334, 100213, 101023, 101490, 101739, 101867, 102423, 102448, 103468, 103768, 103806, 103850, 104263, 104831, 105522, 105663, 105782, 106585, 107338, 107701, 107932, 107976, 108000, 108829, 108946, 109135, 110265, 110351, 110379, 110809, 114585, 114641, 117109, 117600, 140499, 140742, 170749, 170789, 170791, 171506, 192160, 192285, 192287, 192292, 192662, 192786, 193796, 207165, 208263, 208449, 208898, 209186, 209456, 213827, 214931, 215418, 215627, 216848, 216853, 216873, 217335, 217365, 217378, 217695, 223696, 224530, 224674, 224727, 224823, 224829, 224836, 224860, 224904, 225131, 225518, 225872, 226517, 226551, 226747, 226856, 226982, 227656, 227801, 228410, 229512, 229542, 229571, 229709, 231093, 232196, 232227, 232975, 233020, 233208, 233870, 233902, 234593, 234854, 235312, 235606, 235626, 237711, 237891, 238323, 239546, 239667, 240327, 240752, 241638, 242687, 242748, 243547, 243819, 243912, 243963, 244058, 244329, 244891, 244895, 245688, 246102, 246694, 268510, 268566, 269152, 319154, 319189, 319322, 319415, 319758, 319984, 327655, 330401, 330671, 330914, 332359, 338362, 380669, 380994, 381677, 382056, 382406, 387157, 387189, 387222, 432467, 544791, 606496, 619991, 665113, 668173, 668212, 723896, 723902, 723951, 100043597, 100127111
Gene Ontology Cellular Component	GO:0005622	intracellular	2.12404470116692e-17	4.16843772604008e-15	0.715362479082926	2.04492779148265	enriched	12895	620	105063.701279566	23984, 71978, 12747, 14056, 18574, 19317, 19739, 52633, 52858, 66704, 71923, 74148, 76719, 108100, 214572, 218194, 237459, 317717, 360013, 11838, 12323, 13435, 13498, 13549, 13690, 14007, 15270, 16201, 16438, 16520, 17356, 17904, 17977, 18763, 19055, 20239, 20817, 22129, 22393, 22668, 23801, 24105, 26422, 53972, 54446, 56036, 64009, 66047, 67036, 67300, 67972, 69188, 70300, 70974, 73469, 83486, 100855, 108655, 110109, 110355, 216439, 217166, 217218, 223697, 224020, 224129, 225908, 228866, 233489, 233877, 233904, 233908, 244059, 268448, 268980, 269713, 320127, 320292, 474156, 546071, 11430, 11480, 11540, 11565, 11567, 11735, 11736, 11766, 11804, 11865, 11898, 11911, 11938, 12049, 12286, 12295, 12314, 12362, 12418, 12457, 12466, 12469, 12579, 12631, 12709, 12748, 12799, 12846, 13002, 13030, 13199, 13207, 13447, 13488, 13527, 13528, 13627, 13629, 13653, 13681, 13713, 13716, 14167, 14227, 14232, 14237, 14270, 14312, 14325, 14344, 14377, 14400, 14421, 14432, 14433, 14470, 14645, 14660, 14680, 14705, 14790, 14800, 14809, 14810, 15166, 15205, 15357, 15382, 15388, 15444, 15481, 16150, 16478, 16514, 16526, 16594, 16691, 16848, 16969, 16974, 17179, 17184, 17246, 17258, 17347, 17535, 17754, 17826, 17829, 17859, 17918, 17931, 17933, 17937, 17979, 18005, 18104, 18128, 18142, 18426, 18453, 18514, 18521, 18548, 18626, 18628, 18749, 18795, 18806, 18861, 19025, 19069, 19155, 19205, 19222, 19252, 19309, 19325, 19336, 19345, 19356, 19358, 19367, 19395, 19704, 19711, 19719, 19735, 19736, 19775, 19921, 20024, 20068, 20192, 20250, 20269, 20312, 20364, 20382, 20383, 20393, 20411, 20441, 20451, 20480, 20609, 20620, 20658, 20660, 20740, 20742, 20743, 20807, 20874, 20877, 20931, 20974, 21345, 21423, 21429, 21833, 22004, 22031, 22036, 22084, 22088, 22142, 22145, 22154, 22190, 22215, 22218, 22411, 22433, 22626, 22631, 22671, 23802, 23807, 23879, 23897, 23918, 23956, 23969, 24116, 24127, 26371, 26403, 26404, 26406, 26431, 26556, 26919, 27362, 27418, 28019, 29812, 29871, 30928, 50875, 52679, 52830, 52846, 52856, 53379, 53605, 54152, 54196, 54383, 54393, 54525, 56068, 56176, 56210, 56214, 56216, 56310, 56323, 56325, 56334, 56351, 56354, 56399, 56420, 56453, 56455, 56480, 56486, 56490, 56632, 56812, 57259, 57261, 57354, 57748, 58172, 58208, 58249, 59004, 59008, 59013, 59046, 59047, 65105, 65964, 66043, 66059, 66077, 66083, 66084, 66155, 66174, 66256, 66313, 66340, 66359, 66379, 66419, 66448, 66477, 66599, 66836, 66863, 66865, 66884, 66890, 66929, 66939, 66961, 67023, 67040, 67169, 67266, 67429, 67504, 67513, 67588, 67673, 67713, 67767, 67773, 67785, 67892, 68001, 68011, 68090, 68114, 68126, 68328, 68339, 68342, 68365, 68526, 68675, 68810, 68953, 68961, 68966, 69131, 69227, 69259, 69281, 69564, 69601, 69612, 69770, 69773, 69917, 69940, 70078, 70231, 70292, 70369, 70510, 70790, 71254, 71474, 71514, 71564, 71679, 71713, 71732, 71745, 71770, 71820, 71878, 71966, 71998, 72193, 72205, 72289, 72461, 72567, 74026, 74100, 74326, 74490, 74610, 74648, 74737, 74766, 75387, 75406, 75580, 75665, 75668, 75811, 75909, 75956, 76007, 76022, 76055, 76089, 76308, 76375, 76500, 76897, 76905, 77531, 77579, 77891, 78670, 78912, 78926, 79059, 80286, 80287, 80385, 80913, 80981, 83431, 83767, 83797, 84036, 84092, 93679, 93687, 93696, 93737, 93742, 94280, 98417, 99334, 100213, 101023, 101490, 101739, 101867, 102423, 102448, 103468, 103768, 103806, 103850, 104263, 104831, 105522, 105663, 105782, 106585, 107338, 107701, 107932, 107976, 108000, 108829, 108946, 109135, 110265, 110351, 110379, 110809, 114585, 114641, 117109, 117600, 140499, 140742, 170749, 170789, 170791, 171506, 192160, 192285, 192287, 192292, 192662, 192786, 193796, 207165, 208263, 208449, 208898, 209186, 209456, 213827, 214931, 215418, 215627, 216848, 216853, 216873, 217151, 217335, 217365, 217378, 217695, 223696, 224530, 224674, 224727, 224823, 224829, 224836, 224860, 224904, 225131, 225518, 225872, 226517, 226551, 226747, 226856, 226982, 227656, 227801, 228410, 229512, 229542, 229571, 229709, 231093, 232196, 232227, 232975, 233020, 233208, 233870, 233902, 234593, 234854, 235312, 235606, 235626, 237711, 237891, 238323, 239546, 239667, 240327, 240752, 241638, 242687, 242748, 243547, 243819, 243912, 243963, 244058, 244329, 244891, 244895, 245688, 246102, 246694, 268510, 268566, 269152, 319154, 319189, 319322, 319415, 319758, 319984, 327655, 330401, 330671, 330914, 332359, 338362, 380669, 380994, 381677, 382056, 382406, 387157, 387189, 387222, 432467, 544791, 606496, 619991, 665113, 668173, 668212, 723896, 723902, 723951, 100043597, 100127111
Gene Ontology Biological Process	GO:0006996	organelle organization	2.33298241618366e-17	7.38622232963748e-14	0.694209294764729	2.00212535689564	enriched	3341	217	101504.700987728	14056, 74148, 76719, 108100, 214572, 218194, 246198, 317717, 360013, 11838, 12323, 13435, 15270, 17977, 18763, 20239, 20817, 22668, 64009, 67300, 69188, 70300, 71769, 100855, 108655, 216439, 217218, 223697, 233489, 233877, 233904, 244059, 546071, 11430, 11567, 11736, 11938, 12418, 12457, 12466, 12469, 12631, 12799, 13447, 14270, 14312, 14433, 14705, 14758, 14809, 15205, 15481, 16150, 16691, 16848, 17258, 17535, 17754, 17931, 18005, 18626, 18795, 18861, 19069, 19155, 19205, 19325, 19345, 19704, 19735, 20068, 20393, 20411, 20620, 20658, 20740, 20742, 20807, 20874, 20877, 21423, 21429, 22004, 22088, 22154, 22218, 22411, 22433, 22631, 23807, 23897, 23969, 24116, 24127, 26404, 26406, 27418, 28019, 28042, 29871, 50875, 53379, 53605, 54525, 56216, 56334, 56351, 56399, 56453, 56455, 56486, 57261, 57748, 59008, 59046, 59047, 65964, 66083, 66359, 66379, 66419, 66865, 66910, 66929, 66961, 67023, 67588, 67767, 67773, 67785, 68114, 68328, 68339, 68365, 68810, 68953, 69612, 69917, 70231, 70292, 70369, 70790, 71254, 71514, 71732, 71820, 71878, 72205, 74026, 75387, 75406, 75811, 75909, 76007, 76308, 77579, 77891, 78670, 78926, 80913, 83431, 83767, 83797, 84092, 93687, 93742, 101867, 103468, 103768, 104263, 104831, 107338, 107932, 107976, 108829, 140499, 170789, 171506, 192285, 192287, 192662, 193796, 207165, 208263, 216848, 216853, 217335, 217365, 223696, 224727, 224836, 224904, 225131, 225518, 226517, 226747, 229512, 229542, 230861, 232227, 233020, 235626, 237891, 240752, 242687, 244329, 245688, 246102, 246694, 319154, 319189, 329324, 382406, 606496, 665113, 668173, 723951
Gene Ontology Cellular Component	GO:0036477	somatodendritic compartment	7.85506060118175e-17	1.23324451438553e-14	1.01078040709251	2.74774453782365	enriched	864	84	183185.278935185	23984, 18574, 108100, 12323, 16438, 16520, 64009, 67972, 110355, 217166, 233489, 233908, 268980, 269713, 320127, 11540, 11735, 11898, 12286, 12290, 12631, 12709, 12846, 13199, 13488, 14270, 14400, 14645, 14800, 14804, 14809, 14810, 15166, 15444, 15481, 16514, 16526, 16974, 17918, 18104, 18619, 19711, 20269, 20320, 20620, 20660, 20743, 22084, 22218, 23802, 23879, 24127, 26556, 53379, 54393, 54525, 56351, 57138, 66259, 67760, 69601, 74309, 74326, 75406, 76089, 77579, 80913, 83431, 84036, 84092, 93742, 101490, 108069, 110351, 207165, 211480, 227801, 232975, 241638, 243547, 268566, 319984, 381677, 382056
Gene Ontology Cellular Component	GO:0044422	organelle part	1.33648329223002e-16	1.74856564066761e-14	0.598036850317577	1.81854521733311	enriched	6659	368	94412.641237423	14056, 19739, 52633, 66704, 76719, 108100, 214572, 360013, 12323, 13435, 13498, 15270, 16201, 16438, 17356, 17904, 17977, 19055, 20239, 20817, 22129, 22393, 22668, 26422, 54446, 56036, 64009, 66047, 67036, 67300, 73469, 83486, 100855, 110109, 216439, 217166, 217218, 223697, 224020, 225908, 228866, 233489, 233877, 233904, 244059, 268448, 269713, 320127, 11430, 11540, 11735, 11736, 11766, 11865, 11898, 11911, 11938, 12418, 12466, 12469, 12631, 12748, 12799, 13002, 13030, 13207, 13409, 13488, 13627, 13653, 13713, 13716, 14232, 14270, 14377, 14400, 14421, 14433, 14660, 14705, 14800, 14810, 15205, 15357, 15382, 15388, 15481, 16478, 16514, 16594, 16691, 16848, 17184, 17246, 17258, 17347, 17535, 17754, 17859, 17918, 17931, 17979, 18005, 18453, 18514, 18521, 18587, 18626, 18749, 18795, 18861, 19025, 19069, 19309, 19325, 19345, 19356, 19358, 19367, 19704, 19711, 19719, 19921, 20024, 20068, 20192, 20382, 20383, 20393, 20411, 20441, 20451, 20620, 20658, 20660, 20740, 20742, 20743, 20807, 20877, 20931, 20974, 21423, 21429, 22004, 22088, 22142, 22145, 22154, 22218, 22433, 23802, 23807, 23897, 23918, 23969, 24116, 26371, 26403, 26431, 26556, 26919, 27362, 28019, 29871, 30928, 50875, 52679, 52830, 52856, 53379, 54152, 54196, 54383, 54393, 56176, 56216, 56325, 56334, 56351, 56354, 56399, 56453, 56455, 56486, 56632, 56812, 57261, 58172, 58249, 59004, 59008, 59013, 59047, 66043, 66059, 66077, 66313, 66419, 66448, 66477, 66599, 66865, 66884, 66910, 66929, 66939, 66961, 67040, 67169, 67263, 67429, 67513, 67588, 67673, 67713, 67767, 67773, 67785, 68011, 68090, 68328, 68339, 68342, 68365, 68810, 68953, 68966, 69131, 69564, 69612, 69773, 69917, 70078, 70231, 70292, 70790, 71254, 71514, 71679, 71713, 71732, 71745, 71820, 71878, 71998, 72193, 72205, 72289, 72567, 74026, 74326, 74610, 74648, 74737, 75387, 75406, 75580, 75665, 75811, 75909, 75956, 76007, 76022, 76308, 76897, 77579, 77891, 78670, 78926, 80286, 80913, 83431, 83767, 83797, 84092, 93679, 93687, 93742, 94280, 101739, 101867, 102423, 103468, 103768, 103806, 104263, 104831, 105782, 106585, 107338, 107701, 107932, 107976, 108000, 108829, 108946, 109135, 110265, 110379, 110809, 114641, 117109, 140742, 170789, 170791, 171506, 192160, 192285, 192287, 192786, 193796, 207165, 208263, 208449, 208898, 213827, 216848, 216853, 217335, 217365, 217695, 223696, 224530, 224674, 224727, 224823, 224829, 224904, 225131, 226517, 226747, 227656, 227801, 228410, 229512, 229542, 231093, 232196, 232227, 233870, 234593, 234854, 235606, 237711, 237891, 240327, 240752, 243963, 245688, 246102, 269152, 319154, 319189, 319322, 320225, 327655, 330671, 330914, 380669, 381677, 382056, 382406, 432467, 606496, 665113, 668173, 100043597
Gene Ontology Cellular Component	GO:0044446	intracellular organelle part	5.12799687131694e-16	5.65809916631304e-14	0.588424023442038	1.80114761105286	enriched	6436	356	92489.2249844624	14056, 52633, 66704, 76719, 108100, 214572, 360013, 12323, 13435, 13498, 15270, 16201, 16438, 17356, 17904, 17977, 19055, 20239, 20817, 22129, 22393, 22668, 26422, 54446, 56036, 64009, 66047, 67036, 67300, 73469, 83486, 100855, 110109, 216439, 217166, 217218, 223697, 224020, 225908, 228866, 233489, 233877, 233904, 244059, 268448, 269713, 320127, 11430, 11540, 11736, 11766, 11865, 11898, 11911, 11938, 12418, 12466, 12469, 12631, 12748, 12799, 13002, 13030, 13207, 13627, 13653, 13713, 13716, 14232, 14270, 14377, 14400, 14421, 14433, 14660, 14705, 14800, 15205, 15357, 15382, 15388, 15481, 16478, 16514, 16594, 16691, 16848, 17184, 17246, 17258, 17347, 17535, 17754, 17859, 17918, 17931, 17979, 18005, 18453, 18514, 18521, 18626, 18749, 18795, 18861, 19025, 19069, 19325, 19345, 19356, 19358, 19367, 19704, 19711, 19719, 19921, 20024, 20068, 20192, 20382, 20383, 20393, 20411, 20441, 20451, 20620, 20658, 20660, 20740, 20742, 20743, 20807, 20877, 20931, 20974, 21423, 21429, 22004, 22088, 22142, 22145, 22154, 22218, 22433, 23802, 23807, 23897, 23918, 23969, 24116, 26371, 26403, 26431, 26919, 27362, 28019, 29871, 30928, 50875, 52679, 52830, 52856, 53379, 54152, 54196, 54383, 54393, 56176, 56216, 56325, 56334, 56351, 56354, 56399, 56453, 56455, 56486, 56632, 56812, 57261, 58172, 58249, 59004, 59008, 59013, 59047, 66043, 66059, 66077, 66313, 66419, 66448, 66477, 66599, 66865, 66884, 66929, 66939, 66961, 67040, 67169, 67429, 67513, 67588, 67673, 67713, 67767, 67773, 67785, 68011, 68090, 68328, 68339, 68342, 68365, 68953, 68966, 69131, 69564, 69612, 69773, 69917, 70078, 70231, 70292, 70790, 71254, 71514, 71679, 71713, 71732, 71745, 71820, 71878, 71998, 72193, 72205, 72289, 72567, 74026, 74326, 74610, 74648, 74737, 75387, 75406, 75580, 75665, 75811, 75909, 75956, 76007, 76022, 76308, 76897, 77579, 77891, 78670, 78926, 80286, 80913, 83431, 83767, 83797, 84092, 93679, 93687, 93742, 94280, 101739, 101867, 102423, 103468, 103768, 103806, 104263, 104831, 105782, 106585, 107338, 107701, 107932, 107976, 108000, 108829, 108946, 109135, 110265, 110379, 110809, 114641, 117109, 140742, 170789, 170791, 171506, 192160, 192285, 192287, 192786, 193796, 207165, 208263, 208449, 208898, 213827, 216848, 216853, 217335, 217365, 217695, 223696, 224530, 224674, 224727, 224823, 224829, 224904, 225131, 226517, 226747, 227656, 227801, 228410, 229512, 229542, 231093, 232196, 232227, 233870, 234593, 234854, 235606, 237711, 237891, 240327, 240752, 243963, 245688, 246102, 269152, 319154, 319189, 319322, 327655, 330671, 330914, 380669, 381677, 382056, 382406, 432467, 606496, 665113, 668173, 100043597
