Peakset	Peak.Subtrack	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EZH2	3342544	371802.4817	8.9901	3.1683	1e-05	1.25e-05	3.21428571428571e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EZH2.Q111-enriched	4767	372.2157	12.7755	3.6753	0.00668	0.01336	0.0143142857142857
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EZH2.WT-enriched	0	21.5944	0.0443	-4.4979	0.96102	0.96102	0.99986
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27Ac	4694240	1180422.749	3.9767	1.9916	1e-05	1.25e-05	3.21428571428571e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27Ac.Q111-enriched	82829	14848.7342	5.5779	2.4797	1e-05	5e-05	3.21428571428571e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27Ac.WT-enriched	33895	18417.8566	1.8403	0.8799	0.03277	0.054617	0.06554
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27me3	465475	1310117.0546	0.3553	-1.4929	1e-05	1.25e-05	3.21428571428571e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27me3.Q111-enriched	0	933.4847	0.0011	-9.868	0.29253	0.36566	0.431601639344262
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K27me3.WT-enriched	55911	46115.0272	1.2124	0.2779	0.21736	0.31051	0.349328571428571
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	H3K4me3	2832892	473253.9357	5.986	2.5816	1e-05	1.25e-05	3.21428571428571e-05
