Peakset	Peak.Subtrack	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	Enh	89851	18620.325	4.8252	2.2706	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EnhLo1	45660	25363.4069	1.8002	0.8482	0.00012	0.00013846	0.000196363636363636
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EnhLo2	234950	105645.8126	2.2239	1.1531	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EnhPois1	229702	63367.4746	3.6249	1.8579	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	EnhPois2	139316	90329.8379	1.5423	0.6251	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	HetCons	11817	88331.4298	0.1338	-2.902	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	HetFac	180549	110660.5432	1.6316	0.7062	0.00232	0.0024857	0.0036
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	Quies	827201	5414066.8323	0.1528	-2.7104	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	QuiesG	2997336	2355806.5321	1.2723	0.3475	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	TssA	601723	86045.4045	6.993	2.8059	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	TssAFlnk1	139765	18078.7888	7.7305	2.9506	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	TssAFlnk2	323492	69188.5273	4.6755	2.2251	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	TssBiv	29416	19447.6353	1.5125	0.597	0.03477	0.03477	0.0474136363636364
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	Tx1	157152	12351.3645	12.7225	3.6693	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	All-Reproducible	Tx2	3203425	734051.0852	4.364	2.1257	1e-05	1.25e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-specific	Enh	38417	9336.5219	4.1144	2.0407	1e-05	1.6667e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	mHTT-specific	Enh	4584	744.6123	6.1493	2.6204	1e-04	0.00015	0.000166666666666667
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-mHTT-shared	Enh	31487	4329.9089	7.2705	2.8621	1e-05	1.6667e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	mHTT-specific	EnhLo1	635	1026.8539	0.6188	-0.6925	0.32565	0.3408	0.36635625
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-specific	EnhLo1	21847	12709.8314	1.7188	0.7814	0.00727	0.0096221	0.0107262295081967
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-mHTT-shared	EnhLo1	14998	5862.4857	2.558	1.355	0.00472	0.0066375	0.0072
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	mHTT-specific	EnhLo2	5843	4294	1.3607	0.4443	0.16	0.18462	0.197260273972603
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-specific	EnhLo2	111129	52898.8601	2.1008	1.0709	1e-05	1.6667e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	WT-mHTT-shared	EnhLo2	70110	24404.3751	2.8728	1.5224	1e-05	1.6667e-05	1.76470588235294e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	mHTT-specific	EnhPois1	7507	2515.1164	2.984	1.5772	1e-04	0.00015	0.000166666666666667
