Peakset	Annotation	Observed	Expected	Fold.Change	Log2FC	Pvalue	Qvalue	Adjusted.Pvalue
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k27ac	487130	190704.6444	2.5544	1.353	1e-05	1.2e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k27me3	441939	148257.8282	2.9809	1.5757	1e-05	1.2e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k36me3	2578341	504349.5174	5.1122	2.3539	1e-05	1.2e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k4me1	1632916	876749.425	1.8625	0.8972	1e-05	1.2e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k4me3	398432	106091.0959	3.7555	1.909	1e-05	1.2e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.all_reproducible	H3k9me3	17145	10831.7284	1.5828	0.6625	0.04059	0.04059	0.0503875862068966
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27ac	14719	7679.5405	1.9165	0.9385	0.00131	0.001572	0.00174666666666667
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27ac	248955	95602.5581	2.604	1.3808	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27ac	149439	44328.3368	3.3711	1.7532	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27me3	152653	74167.1665	2.0582	1.0414	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27me3	189298	35271.789	5.3667	2.424	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k27me3	34676	5866.2421	5.9103	2.5632	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k36me3	70637	19569.6747	3.6094	1.8518	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k36me3	1399392	253540.0521	5.5194	2.4645	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k36me3	712704	120067.767	5.9358	2.5694	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me1	54161	34943.0654	1.55	0.6322	0.00019	0.00024429	0.000263076923076923
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me1	807830	438762.7865	1.8412	0.8806	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me1	488856	205683.5737	2.3767	1.249	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me3	187714	53185.1738	3.5294	1.8194	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me3	15330	4194.2048	3.6544	1.8696	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k4me3	147035	25135.21	5.8496	2.5483	1e-05	1.3846e-05	1.56521739130435e-05
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k9me3	467	419.2628	1.1136	0.1552	0.33484	0.33484	0.36528
Htt_ChIPSeq.B2020.any_2_samples.reproducibility_groups.conditionally_reproducible	H3k9me3	2925	2584.9502	1.1315	0.1782	0.26992	0.2858	0.30366
