Gene.ID	logFC	logCPM	F	PValue	FDR	Gene.name	Gene.type	Gene.description
ENSMUSG00000074797	-0.666607428683349	6.21129327673363	84.4947989831028	5.95243065744192e-06	0.0176079118091987	Itpa	protein_coding	inosine triphosphatase (nucleoside triphosphate pyrophosphatase) [Source:MGI Symbol;Acc:MGI:96622]
ENSMUSG00000037703	-0.705536018698422	5.33806760518329	82.6592511347669	6.52810286712358e-06	0.0176079118091987	Lzts3	protein_coding	leucine zipper, putative tumor suppressor family member 3 [Source:MGI Symbol;Acc:MGI:2656976]
ENSMUSG00000026258	-0.715004596380945	5.18366275539378	75.8264869819504	9.36474036067689e-06	0.0176079118091987	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
ENSMUSG00000023868	-0.544894927092554	9.68685046103382	75.199926194453	9.69388755263609e-06	0.0176079118091987	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
ENSMUSG00000026259	-0.609737154353376	5.88522164368819	72.1839064090829	1.1490150473267e-05	0.0176079118091987	Ngef	protein_coding	neuronal guanine nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1858414]
ENSMUSG00000019578	-1.04801033850928	3.76199419629841	65.3905117659314	1.72702789003979e-05	0.0176079118091987	Ubxn6	protein_coding	UBX domain protein 6 [Source:MGI Symbol;Acc:MGI:1913780]
ENSMUSG00000053483	-0.643466688229265	5.85299739525399	64.5449101591342	1.82163943535262e-05	0.0176079118091987	Usp21	protein_coding	ubiquitin specific peptidase 21 [Source:MGI Symbol;Acc:MGI:1353665]
ENSMUSG00000027300	-0.676699481456832	4.84632596121111	62.704543441342	2.05030680164468e-05	0.0176079118091987	Ubox5	protein_coding	U box domain containing 5 [Source:MGI Symbol;Acc:MGI:2154658]
ENSMUSG00000079043	-0.671542978357488	4.86899379549067	62.1719899477737	2.12289631345854e-05	0.0176079118091987	Fastkd5	protein_coding	FAST kinase domains 5 [Source:MGI Symbol;Acc:MGI:2139469]
ENSMUSG00000049643	-0.566028470218427	7.16925674005466	62.0120932482038	2.14529877452595e-05	0.0176079118091987	2310022A10Rik	protein_coding	RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]
ENSMUSG00000013973	-0.64345709013314	5.59029575266487	61.0648760544666	2.28407146369121e-05	0.0176079118091987	Dedd	protein_coding	death effector domain-containing [Source:MGI Symbol;Acc:MGI:1333874]
ENSMUSG00000011148	-0.628524249424242	5.06752380183769	59.0817780904219	2.61172442698941e-05	0.0176079118091987	Adssl1	protein_coding	adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]
ENSMUSG00000064326	-0.628524249424242	5.06752380183769	59.0817780904219	2.61172442698941e-05	0.0176079118091987	Siva1	protein_coding	SIVA1, apoptosis-inducing factor [Source:MGI Symbol;Acc:MGI:1353606]
ENSMUSG00000059995	-0.577801420168756	6.0775276708333	58.1352832985857	2.78818138897082e-05	0.0176079118091987	Atxn7l3	protein_coding	ataxin 7-like 3 [Source:MGI Symbol;Acc:MGI:3036270]
ENSMUSG00000023873	-0.626571262469459	8.2652241445653	56.32657985115	3.16755799413028e-05	0.0176079118091987	1700010I14Rik	protein_coding	RIKEN cDNA 1700010I14 gene [Source:MGI Symbol;Acc:MGI:1914181]
ENSMUSG00000083386	-0.521377607695809	6.37039661216251	56.3171964023709	3.1696844964161e-05	0.0176079118091987	Gm15426	processed_pseudogene	predicted gene 15426 [Source:MGI Symbol;Acc:MGI:3705598]
ENSMUSG00000027953	-0.775427232648532	4.58896423891933	56.2980402812061	3.17403110281206e-05	0.0176079118091987	Slc50a1	protein_coding	solute carrier family 50 (sugar transporter), member 1 [Source:MGI Symbol;Acc:MGI:107417]
ENSMUSG00000062729	-0.643442693534693	5.26886665877663	56.2847620202251	3.17704825338481e-05	0.0176079118091987	Ppox	protein_coding	protoporphyrinogen oxidase [Source:MGI Symbol;Acc:MGI:104968]
ENSMUSG00000040701	-0.515651046663196	7.22625142443276	55.4742844241629	3.36800141926988e-05	0.0176079118091987	Ap1g2	protein_coding	adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]
ENSMUSG00000031834	-0.576867600840859	6.48274055129268	55.2445245211137	3.42465582607456e-05	0.0176079118091987	Pik3r2	protein_coding	phosphoinositide-3-kinase regulatory subunit 2 [Source:MGI Symbol;Acc:MGI:1098772]
ENSMUSG00000079434	-0.627230754868462	4.77727339046042	55.0355035692759	3.4772065825952e-05	0.0176079118091987	Neu2	protein_coding	neuraminidase 2 [Source:MGI Symbol;Acc:MGI:1344417]
ENSMUSG00000091123	-0.626357763116347	4.70351891871374	51.7719685176438	4.44043907706451e-05	0.0204841930739729	Gm17181	processed_pseudogene	predicted gene 17181 [Source:MGI Symbol;Acc:MGI:4938008]
ENSMUSG00000034708	-0.565936371317467	5.81477807302351	51.7501036468772	4.44791747259315e-05	0.0204841930739729	Grn	protein_coding	granulin [Source:MGI Symbol;Acc:MGI:95832]
ENSMUSG00000020895	-0.456285896663935	7.75681555103414	51.2503490644593	4.62310169057128e-05	0.0204841930739729	Tmem107	protein_coding	transmembrane protein 107 [Source:MGI Symbol;Acc:MGI:1914160]
ENSMUSG00000040424	-0.643729528852846	4.82979300230239	48.8075160730691	5.6107843735225e-05	0.0236366150515265	Hipk4	protein_coding	homeodomain interacting protein kinase 4 [Source:MGI Symbol;Acc:MGI:2685008]
ENSMUSG00000040721	-0.527403283494243	5.70382649680699	48.4434981634767	5.7791234844808e-05	0.0236366150515265	Zfhx2	protein_coding	zinc finger homeobox 2 [Source:MGI Symbol;Acc:MGI:2686934]
ENSMUSG00000029192	-0.418452043247968	8.42903452277494	47.1302455301424	6.43983342264014e-05	0.0253634031912427	Tbc1d14	protein_coding	TBC1 domain family, member 14 [Source:MGI Symbol;Acc:MGI:1098708]
ENSMUSG00000059070	-0.505656335071606	8.33826573675552	46.1845918791775	6.97307616376774e-05	0.0262635417007631	Rpl18	protein_coding	ribosomal protein L18 [Source:MGI Symbol;Acc:MGI:98003]
ENSMUSG00000006728	-0.425930179158431	7.40910783466072	45.7803083893203	7.21736825640392e-05	0.0262635417007631	Cdk4	protein_coding	cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]
ENSMUSG00000018677	-0.581892008126258	6.04706311377512	44.7776755638097	7.86965001637641e-05	0.0262635417007631	Slc25a39	protein_coding	solute carrier family 25, member 39 [Source:MGI Symbol;Acc:MGI:1196386]
ENSMUSG00000000631	-0.556726159746687	5.34064119564712	43.8062879049662	8.57128757805977e-05	0.0262635417007631	Myo18a	protein_coding	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]
ENSMUSG00000054874	-0.717777434366564	6.15785197678242	43.7965601319929	8.57869050837875e-05	0.0262635417007631	Pcnx3	protein_coding	pecanex homolog 3 [Source:MGI Symbol;Acc:MGI:1861733]
ENSMUSG00000075528	-0.475567952353231	6.94068861169926	43.7736534288308	8.59615348886198e-05	0.0262635417007631	Aarsd1	protein_coding	alanyl-tRNA synthetase domain containing 1 [Source:MGI Symbol;Acc:MGI:1916934]
ENSMUSG00000020893	-0.452815779290864	8.6788737697199	43.6760074728669	8.67108110750152e-05	0.0262635417007631	Per1	protein_coding	period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]
ENSMUSG00000031284	0.933751896082855	4.8373824530448	43.1702503608571	9.07213683283227e-05	0.0262635417007631	Pak3	protein_coding	p21 (RAC1) activated kinase 3 [Source:MGI Symbol;Acc:MGI:1339656]
ENSMUSG00000063316	-0.471377392688595	6.96911447388143	43.0665988698641	9.15709703564083e-05	0.0262635417007631	Rpl27	protein_coding	ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:98036]
ENSMUSG00000040521	-0.425927151249829	7.0466994244221	42.9984944916762	9.21344762991494e-05	0.0262635417007631	Tsfm	protein_coding	Ts translation elongation factor, mitochondrial [Source:MGI Symbol;Acc:MGI:1913649]
ENSMUSG00000097487	-0.473722686129642	6.90568765616754	42.5299547601363	9.61277902096382e-05	0.0262635417007631	Ptges3l	protein_coding	prostaglandin E synthase 3 like [Source:MGI Symbol;Acc:MGI:1916146]
ENSMUSG00000059824	-0.489905216810117	7.52146938473645	41.7571554996047	0.000103185160222293	0.0262635417007631	Dbp	protein_coding	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
ENSMUSG00000032135	-0.480174961147435	6.09709553162569	41.6783782084586	0.000103939449699392	0.0262635417007631	Mcam	protein_coding	melanoma cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1933966]
ENSMUSG00000079592	-0.480174961147435	6.09709553162569	41.6783782084586	0.000103939449699392	0.0262635417007631	C1qtnf5	protein_coding	C1q and tumor necrosis factor related protein 5 [Source:MGI Symbol;Acc:MGI:2385958]
ENSMUSG00000036646	-0.422270651384543	7.87767590145215	41.4427733668064	0.000106235745883832	0.0262635417007631	Man1b1	protein_coding	mannosidase, alpha, class 1B, member 1 [Source:MGI Symbol;Acc:MGI:2684954]
ENSMUSG00000020894	-0.434579450639852	8.62615498518438	41.2109213877161	0.000108556015863568	0.0262635417007631	Vamp2	protein_coding	vesicle-associated membrane protein 2 [Source:MGI Symbol;Acc:MGI:1313277]
ENSMUSG00000030805	-0.486316743949837	6.10375386637295	41.1996960537345	0.000108669911118448	0.0262635417007631	Stx4a	protein_coding	syntaxin 4A (placental) [Source:MGI Symbol;Acc:MGI:893577]
ENSMUSG00000024426	-0.36863922639003	8.83627814171293	40.6789171276304	0.000114117498829622	0.026660845633256	Atat1	protein_coding	alpha tubulin acetyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913869]
ENSMUSG00000020886	-0.424009917470768	8.84117973490849	40.4081932549635	0.000117080609533024	0.026660845633256	Dlg4	protein_coding	discs large MAGUK scaffold protein 4 [Source:MGI Symbol;Acc:MGI:1277959]
ENSMUSG00000062963	-0.655987424047301	4.41878944178063	40.0523912253488	0.000121118675302295	0.026660845633256	Ufc1	protein_coding	ubiquitin-fold modifier conjugating enzyme 1 [Source:MGI Symbol;Acc:MGI:1913405]
ENSMUSG00000032131	-0.397091219804168	8.36952445392484	39.6267665188085	0.000126174227192781	0.026660845633256	Abcg4	protein_coding	ATP binding cassette subfamily G member 4 [Source:MGI Symbol;Acc:MGI:1890594]
ENSMUSG00000029713	-0.539599835807225	5.89643313107365	39.4100251296339	0.000128847292345521	0.026660845633256	Gnb2	protein_coding	guanine nucleotide binding protein (G protein), beta 2 [Source:MGI Symbol;Acc:MGI:95784]
ENSMUSG00000037727	-0.697294757996877	3.79585909086045	39.1661389602223	0.000131938027735749	0.026660845633256	Avp	protein_coding	arginine vasopressin [Source:MGI Symbol;Acc:MGI:88121]
ENSMUSG00000022490	-0.535917734465295	4.75429348594687	39.0530566970313	0.000133401692916438	0.026660845633256	Ppp1r1a	protein_coding	protein phosphatase 1, regulatory inhibitor subunit 1A [Source:MGI Symbol;Acc:MGI:1889595]
ENSMUSG00000001313	-0.475670251926394	6.18784671708025	38.9871372789552	0.000134264031358306	0.026660845633256	Rnd2	protein_coding	Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]
ENSMUSG00000026966	-0.420773913463732	7.28807121327891	38.8916681403252	0.000135524991848827	0.026660845633256	Ssna1	protein_coding	SS nuclear autoantigen 1 [Source:MGI Symbol;Acc:MGI:1915725]
ENSMUSG00000010358	-0.471366749778953	6.23266056443095	38.6244640326203	0.000139131638808134	0.026660845633256	Ifi35	protein_coding	interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]
ENSMUSG00000003273	-0.489897664543214	6.78485273120343	38.3830658787584	0.000142490860577298	0.026660845633256	Car11	protein_coding	carbonic anhydrase 11 [Source:MGI Symbol;Acc:MGI:1336193]
ENSMUSG00000017837	-0.522229989262165	6.18024051357269	38.3316250627779	0.000143219405183059	0.026660845633256	Nkiras2	protein_coding	NFKB inhibitor interacting Ras-like protein 2 [Source:MGI Symbol;Acc:MGI:1919216]
ENSMUSG00000097545	-0.447490431021073	6.65025376861355	38.2446439555831	0.000144461641804273	0.026660845633256	Mir124a-1hg	lincRNA	Mir124-1 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:2442197]
ENSMUSG00000032010	-0.460487362186133	6.13636439153444	37.9582244821414	0.000148645947381186	0.026660845633256	Usp2	protein_coding	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]
ENSMUSG00000022051	-0.38032799098723	8.23524286744942	37.5454151091989	0.00015493943754715	0.026660845633256	Bnip3l	protein_coding	BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]
ENSMUSG00000041798	-0.618659707992516	5.06033547086815	37.4504337799276	0.000156433081763184	0.026660845633256	Gck	protein_coding	glucokinase [Source:MGI Symbol;Acc:MGI:1270854]
ENSMUSG00000039849	-0.484804499415216	6.20988634998536	37.3906302349291	0.00015738252662938	0.026660845633256	Pcif1	protein_coding	PDX1 C-terminal inhibiting factor 1 [Source:MGI Symbol;Acc:MGI:2443858]
ENSMUSG00000026959	-0.418140147528532	7.4204747239981	37.2029100850644	0.000160408688777726	0.026660845633256	Grin1	protein_coding	glutamate receptor, ionotropic, NMDA1 (zeta 1) [Source:MGI Symbol;Acc:MGI:95819]
ENSMUSG00000024436	-0.370542021728976	7.85036030704301	37.1541697013897	0.000161205964271112	0.026660845633256	Mrps18b	protein_coding	mitochondrial ribosomal protein S18B [Source:MGI Symbol;Acc:MGI:1914223]
ENSMUSG00000026798	-1.31008989165638	1.77960973921538	36.9097286361538	0.000165277960859216	0.026660845633256	Coq4	protein_coding	coenzyme Q4 [Source:MGI Symbol;Acc:MGI:1098826]
ENSMUSG00000025733	-0.468360912796048	7.79347667801143	36.8218026957856	0.000166773212770638	0.026660845633256	Rhot2	protein_coding	ras homolog family member T2 [Source:MGI Symbol;Acc:MGI:2384892]
ENSMUSG00000055053	-0.54319855578668	5.36690481124642	36.8197915492137	0.000166807606122124	0.026660845633256	Nfic	protein_coding	nuclear factor I/C [Source:MGI Symbol;Acc:MGI:109591]
ENSMUSG00000054161	-0.502885786049165	6.65733810841034	36.7516598052693	0.000167977868857264	0.026660845633256	Fam83e	protein_coding	family with sequence similarity 83, member E [Source:MGI Symbol;Acc:MGI:1921063]
ENSMUSG00000027655	-0.567824329521814	5.77361525411004	36.4671372153666	0.000172974291717012	0.0270501267370398	Dhx35	protein_coding	DEAH (Asp-Glu-Ala-His) box polypeptide 35 [Source:MGI Symbol;Acc:MGI:1918965]
ENSMUSG00000020599	-0.489299297989481	6.7084323165353	36.2304169368589	0.000177269690408208	0.0273200853304476	Rgs9	protein_coding	regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]
ENSMUSG00000030428	-0.388647854321128	7.01847820360661	35.3977656768633	0.000193447450560241	0.0284576875567384	Ttyh1	protein_coding	tweety family member 1 [Source:MGI Symbol;Acc:MGI:1889007]
ENSMUSG00000034739	-0.480155097647094	5.361066296435	35.351548860458	0.000194396964948476	0.0284576875567384	Mfrp	protein_coding	membrane frizzled-related protein [Source:MGI Symbol;Acc:MGI:2385957]
ENSMUSG00000057342	-0.512288224912879	6.45779106789672	35.2596856470131	0.000196301175838062	0.0284576875567384	Sphk2	protein_coding	sphingosine kinase 2 [Source:MGI Symbol;Acc:MGI:1861380]
ENSMUSG00000052373	-0.659659867998755	4.93519760446188	35.2154491538042	0.000197226240271778	0.0284576875567384	Mpp3	protein_coding	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) [Source:MGI Symbol;Acc:MGI:1328354]
ENSMUSG00000028786	-0.546653030072875	5.2360671658742	35.1018558163301	0.000199626099354447	0.0284576875567384	Tmem54	protein_coding	transmembrane protein 54 [Source:MGI Symbol;Acc:MGI:1913510]
ENSMUSG00000020892	-0.428681592632695	8.4242594264524	34.9236850479402	0.000203462297502236	0.0284576875567384	Aloxe3	protein_coding	arachidonate lipoxygenase 3 [Source:MGI Symbol;Acc:MGI:1345140]
ENSMUSG00000024941	-0.412701822314721	6.01928164079539	34.9189139657065	0.00020356625155713	0.0284576875567384	Scyl1	protein_coding	SCY1-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1931787]
ENSMUSG00000052087	-0.585421468643378	4.56749117213543	34.8053421324987	0.000206059990771945	0.0284576875567384	Rgs14	protein_coding	regulator of G-protein signaling 14 [Source:MGI Symbol;Acc:MGI:1859709]
ENSMUSG00000092267	-0.410490014618979	6.02692279077273	34.524563957405	0.000212386563529832	0.0285888445136232	NA	NA	NA
ENSMUSG00000102349	-0.410490014618979	6.02692279077273	34.524563957405	0.000212386563529832	0.0285888445136232	Gm37376	TEC	predicted gene, 37376 [Source:MGI Symbol;Acc:MGI:5610604]
ENSMUSG00000097239	-0.473697534588134	5.58496230836183	34.3264459092412	0.000216993227525741	0.0286927175390647	Gm27029	protein_coding	predicted gene, 27029 [Source:MGI Symbol;Acc:MGI:5504144]
ENSMUSG00000006471	-0.378523596741803	8.84229776466254	34.2604530173601	0.000218554647419996	0.0286927175390647	Ndor1	protein_coding	NADPH dependent diflavin oxidoreductase 1 [Source:MGI Symbol;Acc:MGI:1926047]
ENSMUSG00000035545	-0.380003425130611	7.63388304070601	34.0542959288878	0.000223521295932308	0.0288600608077233	Leng8	protein_coding	leukocyte receptor cluster (LRC) member 8 [Source:MGI Symbol;Acc:MGI:2142195]
ENSMUSG00000018565	-0.411096456229	8.41829753007243	33.9453136589461	0.000226202352758503	0.0288600608077233	Elp5	protein_coding	elongator acetyltransferase complex subunit 5 [Source:MGI Symbol;Acc:MGI:1859017]
ENSMUSG00000052915	-0.35528657407358	8.86248219500319	33.8666144973309	0.000228162784765946	0.0288600608077233	Msl1	protein_coding	male specific lethal 1 [Source:MGI Symbol;Acc:MGI:1921276]
ENSMUSG00000017754	-0.364857607935539	7.44146853204395	33.7665622643406	0.000230685082627091	0.0288600608077233	Pltp	protein_coding	phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]
ENSMUSG00000033760	-0.447720905013388	7.4198663769341	33.5476681066353	0.000236322759031149	0.0292215839481074	Rbm4b	protein_coding	RNA binding motif protein 4B [Source:MGI Symbol;Acc:MGI:1913954]
ENSMUSG00000038406	-0.549695708307	5.4950553360087	33.1919019298146	0.000245847979910708	0.0300499703260973	Scaf1	protein_coding	SR-related CTD-associated factor 1 [Source:MGI Symbol;Acc:MGI:2141980]
ENSMUSG00000092341	-0.379057082065679	8.93985649940742	33.0234073226172	0.000250522094856675	0.0302733176898396	Malat1	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539]
ENSMUSG00000029190	-0.358652872334101	7.19934497364791	32.7801140263182	0.000257463599564533	0.0303750632767966	D5Ertd579e	protein_coding	DNA segment, Chr 5, ERATO Doi 579, expressed [Source:MGI Symbol;Acc:MGI:1261849]
ENSMUSG00000035455	2.7385535910694	0.347350499407947	32.7716062875161	0.000257710546151189	0.0303750632767966	Fignl1	protein_coding	fidgetin-like 1 [Source:MGI Symbol;Acc:MGI:1890648]
ENSMUSG00000078676	-0.360084122359954	8.25382103531314	32.6954723222754	0.000259933304324666	0.0303750632767966	Casc3	protein_coding	cancer susceptibility candidate 3 [Source:MGI Symbol;Acc:MGI:2179723]
