Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_57973_chrY_4161555_4161570	-8.49585502688717	-0.724687456747092	83.3509820430093	6.89694189572521e-20	3.18852520781272e-15	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_35083_chr2_181069163_181069481	7.48917896203135	-1.37851181561305	54.1018588810576	1.90673678134785e-13	4.40751740692461e-09	Intergenic	-25776	ENSMUSG00000027577	Chrna4	protein_coding	cholinergic receptor, nicotinic, alpha polypeptide 4 [Source:MGI Symbol;Acc:MGI:87888]
Htt_PeakRegion_10265_chr11_95030384_95030721	7.3779335046161	-1.35940299266535	52.3136899172951	4.73792237980248e-13	7.30129631802161e-09	intron (ENSMUST00000141712, intron 4 of 5)	-1129	ENSMUSG00000038967	Pdk2	protein_coding	pyruvate dehydrogenase kinase, isoenzyme 2 [Source:MGI Symbol;Acc:MGI:1343087]
Htt_PeakRegion_09737_chr11_86311489_86311852	7.09803208296053	-1.48838943338543	43.827469958005	3.59025430800534e-11	4.14952617283487e-07	intron (ENSMUST00000043624, intron 9 of 29)	20512	ENSMUSG00000034297	Med13	protein_coding	mediator complex subunit 13 [Source:MGI Symbol;Acc:MGI:3029632]
Htt_PeakRegion_18162_chr14_62713168_62713477	7.15312975889933	-1.59610325068568	42.0616204029471	8.85306986543395e-11	7.20698616899719e-07	intron (ENSMUST00000053959, intron 7 of 18)	44711	ENSMUSG00000089531	Gm25162	snoRNA	predicted gene, 25162 [Source:MGI Symbol;Acc:MGI:5454939]
Htt_PeakRegion_26442_chr17_78720228_78720595	6.95031287589964	-1.45758338660425	41.9540993486617	9.3534461755063e-11	7.20698616899719e-07	intron (ENSMUST00000145910, intron 1 of 17)	16784	ENSMUSG00000024077	Strn	protein_coding	striatin, calmodulin binding protein [Source:MGI Symbol;Acc:MGI:1333757]
Htt_PeakRegion_46082_chr6_99208892_99209142	7.06967352780681	-1.61864581933677	40.161929326778	2.33973678375303e-10	1.41982417028297e-06	intron (ENSMUST00000177227, intron 4 of 4)	39319	ENSMUSG00000030067	Foxp1	protein_coding	forkhead box P1 [Source:MGI Symbol;Acc:MGI:1914004]
Htt_PeakRegion_42339_chr5_90292406_90292706	6.95031287589964	-1.54124131565116	40.0664535056044	2.45692140820309e-10	1.41982417028297e-06	intron (ENSMUST00000168058, intron 7 of 26)	-68555	ENSMUSG00000035505	Cox18	protein_coding	cytochrome c oxidase assembly protein 18 [Source:MGI Symbol;Acc:MGI:2448532]
Htt_PeakRegion_20437_chr15_90976898_90977097	7.09803208296053	-1.89308498844281	33.8838520263449	5.85407024520181e-09	2.95333441159181e-05	intron (ENSMUST00000100304, intron 11 of 36)	72950	ENSMUSG00000022629	Kif21a	protein_coding	kinesin family member 21A [Source:MGI Symbol;Acc:MGI:109188]
Htt_PeakRegion_10639_chr11_97882603_97882773	6.98109153744993	-1.83914618133201	33.6957581312694	6.4482952325943e-09	2.95333441159181e-05	intron (ENSMUST00000093939, intron 1 of 10)	1466	ENSMUSG00000070336	Fbxo47	protein_coding	F-box protein 47 [Source:MGI Symbol;Acc:MGI:1920223]
Htt_PeakRegion_30432_chr2_6826215_6826501	6.59991284218713	-1.59610325068568	33.5285626113899	7.02703348997639e-09	2.95333441159181e-05	intron (ENSMUST00000183209, intron 2 of 13)	45614	ENSMUSG00000002107	Celf2	protein_coding	CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]
Htt_PeakRegion_18831_chr14_103273274_103273485	7.06967352780681	-1.93490516413744	32.5373331152556	1.16995745337742e-08	4.50735858559096e-05	intron (ENSMUST00000160758, intron 17 of 82)	73038	ENSMUSG00000033004	Mycbp2	protein_coding	MYC binding protein 2, E3 ubiquitin protein ligase [Source:MGI Symbol;Acc:MGI:2179432]
Htt_PeakRegion_34437_chr2_158050675_158050940	6.78572490608606	-1.83914618133201	31.258995230371	2.25925693710585e-08	7.57715825347084e-05	intron (ENSMUST00000152452, intron 5 of 5)	2849	ENSMUSG00000027651	Rprd1b	protein_coding	regulation of nuclear pre-mRNA domain containing 1B [Source:MGI Symbol;Acc:MGI:1917720]
Htt_PeakRegion_57544_chr9_112165663_112165901	6.71424551766612	-1.79997558405133	31.1675603131446	2.36820752081694e-08	7.57715825347084e-05	intron (ENSMUST00000161412, intron 9 of 9)	19944	ENSMUSG00000032503	Arpp21	protein_coding	cyclic AMP-regulated phosphoprotein, 21 [Source:MGI Symbol;Acc:MGI:107562]
Htt_PeakRegion_22911_chr16_66654686_66654944	6.75042785397277	-1.82597079258427	31.0949484788585	2.45846669555196e-08	7.57715825347084e-05	TTS (ENSMUST00000114292)	-2303	ENSMUSG00000092599	1700010K23Rik	antisense	RIKEN cDNA 1700010K23 gene [Source:MGI Symbol;Acc:MGI:1922751]
Htt_PeakRegion_02011_chr1_157255443_157255704	6.75042785397277	-1.83914618133201	30.827987684446	2.82096326629436e-08	8.15099704775342e-05	intron (ENSMUST00000132699, intron 3 of 17)	1108	ENSMUSG00000070565	Rasal2	protein_coding	RAS protein activator like 2 [Source:MGI Symbol;Acc:MGI:2443881]
Htt_PeakRegion_02846_chr10_5366704_5366811	6.8538293518571	-1.90689078796784	30.6515432821685	3.08947920616663e-08	8.40174783413469e-05	intron (ENSMUST00000041639, intron 15 of 31)	9585	ENSMUSG00000094906	Gm23573	snRNA	predicted gene, 23573 [Source:MGI Symbol;Acc:MGI:5453350]
Htt_PeakRegion_18203_chr14_64365305_64365534	6.78572490608606	-1.89308498844281	30.1487509301225	4.00354426399e-08	0.000102826586038068	intron (ENSMUST00000067927, intron 6 of 10)	90483	ENSMUSG00000054733	Msra	protein_coding	methionine sulfoxide reductase A [Source:MGI Symbol;Acc:MGI:106916]
Htt_PeakRegion_54413_chr9_44198255_44198427	6.63903917347695	-1.81291463975883	29.9862216729679	4.35352741657892e-08	0.000105930487366242	intron (ENSMUST00000037644, intron 2 of 15)	35705	ENSMUSG00000034342	Cbl	protein_coding	Casitas B-lineage lymphoma [Source:MGI Symbol;Acc:MGI:88279]
Htt_PeakRegion_12614_chr11_116910646_116910791	6.78572490608606	-1.96347431633421	28.7000002545671	8.45439559309376e-08	0.000195427581332159	Intergenic	-8144	ENSMUSG00000043857	Mgat5b	protein_coding	mannoside acetylglucosaminyltransferase 5, isoenzyme B [Source:MGI Symbol;Acc:MGI:3606200]
Htt_PeakRegion_51711_chr8_41310452_41310721	6.67713234464902	-1.92082997892571	28.3590309443823	1.00822464805069e-07	0.000221958255733483	intron (ENSMUST00000045218, intron 25 of 37)	33269	ENSMUSG00000031591	Asah1	protein_coding	N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]
Htt_PeakRegion_57617_chr9_113873427_113873619	6.67713234464902	-1.93490516413744	28.0859443497393	1.16098600032742e-07	0.000243970653550622	intron (ENSMUST00000166734, intron 17 of 33)	-57411	ENSMUSG00000009741	Ubp1	protein_coding	upstream binding protein 1 [Source:MGI Symbol;Acc:MGI:104889]
Htt_PeakRegion_02773_chr10_5157216_5157387	6.59991284218713	-1.96347431633421	26.7150872803319	2.35871098572735e-07	0.000474111163396354	Intergenic	88110	ENSMUSG00000096553	Gm10097	antisense	predicted gene 10097 [Source:MGI Symbol;Acc:MGI:3642295]
Htt_PeakRegion_52530_chr8_85664868_85665087	6.55969574211072	-1.94911902335714	26.5550858537029	2.56234491528903e-07	0.000480862201305573	intron (ENSMUST00000109686, intron 4 of 8)	25995	ENSMUSG00000036902	Neto2	protein_coding	neuropilin (NRP) and tolloid (TLL)-like 2 [Source:MGI Symbol;Acc:MGI:1921763]
Htt_PeakRegion_54617_chr9_44780345_44780422	6.75042785397277	-2.0527416544313	26.5266605122351	2.60032338314969e-07	0.000480862201305573	intron (ENSMUST00000154090, intron 5 of 5)	2442	ENSMUSG00000002031	Ift46	protein_coding	intraflagellar transport 46 [Source:MGI Symbol;Acc:MGI:1923818]
Htt_PeakRegion_15620_chr13_8837291_8837515	6.47573343096639	-1.94911902335714	25.6750354050449	4.04174972003186e-07	0.000706309832392147	promoter-TSS (ENSMUST00000177409)	-169	ENSMUSG00000021147	Wdr37	protein_coding	WD repeat domain 37 [Source:MGI Symbol;Acc:MGI:1920393]
Htt_PeakRegion_46893_chr6_135022263_135022373	6.59991284218713	-2.02236800538778	25.6236012846959	4.15091887014983e-07	0.000706309832392147	TTS (ENSMUST00000154558)	3318	ENSMUSG00000030204	Ddx47	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:MGI Symbol;Acc:MGI:1915005]
