Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_38348_chr4_64497992_64498040	1.30371653345262	2.14002332336913	27.5144895037193	3.29650466143422e-07	0.0108756742760424	Intergenic	53286	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_57973_chrY_4161555_4161570	2.33394227985604	-0.724687456747092	26.752825980817	4.70492711645536e-07	0.0108756742760424	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_14142_chr12_73042426_73043334	1.55290129148886	-0.135655291716888	25.3046157713599	9.2868944954605e-07	0.0122251991129779	promoter-TSS (ENSMUST00000176310)	-65	ENSMUSG00000051367	Six1	protein_coding	sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
Htt_PeakRegion_34328_chr2_156175986_156176737	1.9653576104533	-0.806430606188627	25.0286445862476	1.05774905262511e-06	0.0122251991129779	TTS (ENSMUST00000132929)	1021	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_54221_chr9_37541581_37541819	-2.38912914514771	-1.60733050610893	21.591243213869	5.43173274267538e-06	0.0502228872853251	intron (ENSMUST00000002008, intron 4 of 6)	2445	ENSMUSG00000001943	Vsig2	protein_coding	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
Htt_PeakRegion_35488_chr3_55484698_55485080	2.68896472595396	-1.74934951098136	20.2890807700124	1.01744287554738e-05	0.0783956692990514	intron (ENSMUST00000070418, intron 4 of 13)	-12679	ENSMUSG00000094962	Gm21954	protein_coding	predicted gene, 21954 [Source:MGI Symbol;Acc:MGI:5439423]
Htt_PeakRegion_38347_chr4_64497904_64497938	1.17665391838208	1.45741225864132	19.6555884041932	1.38303542856543e-05	0.0913415869971551	Intergenic	53191	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_03221_chr10_50897123_50897618	1.61186098405361	-0.859137656519474	19.0806129478735	1.82920615893375e-05	0.105707537417083	intron (ENSMUST00000020071, intron 1 of 10)	1720	ENSMUSG00000019913	Sim1	protein_coding	single-minded family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:98306]
Htt_PeakRegion_30951_chr2_28553182_28553332	-3.07166098512745	-2.13159707514253	18.6162828375245	2.29416417148941e-05	0.117846115346808	TTS (ENSMUST00000028170)	4199	ENSMUSG00000026821	Ralgds	protein_coding	ral guanine nucleotide dissociation stimulator [Source:MGI Symbol;Acc:MGI:107485]
Htt_PeakRegion_29596_chr19_37270332_37270723	1.69938241135805	-1.0681716950009	18.2449807165666	2.75091049174195e-05	0.127177342943722	TTS (ENSMUST00000154339)	20350	ENSMUSG00000056999	Ide	protein_coding	insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]
Htt_PeakRegion_01091_chr1_87472851_87473193	-1.84007922792286	-1.37851181561305	17.495810942659	3.97301816782639e-05	0.166978729924347	intron (ENSMUST00000191095, intron 1 of 2)	483	ENSMUSG00000026258	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
Htt_PeakRegion_03783_chr10_80131517_80131679	-3.13451966531111	-2.23229107476201	16.6601887809058	5.99897211677132e-05	0.204288222008321	TTS (ENSMUST00000003152)	3083	ENSMUSG00000035640	Cbarp	protein_coding	calcium channel, voltage-dependent, beta subunit associated regulatory protein [Source:MGI Symbol;Acc:MGI:1354170]
Htt_PeakRegion_11419_chr11_101580989_101581267	-2.4447848426729	-1.92082997892571	16.6183705173858	6.12432137599287e-05	0.204288222008321	TTS (ENSMUST00000071537)	-1114	ENSMUSG00000034947	Tmem106a	protein_coding	transmembrane protein 106A [Source:MGI Symbol;Acc:MGI:1922056]
Htt_PeakRegion_15536_chr12_112608940_112609259	-1.87446911791614	-1.43740550466662	16.5979798627178	6.18640113369058e-05	0.204288222008321	intron (ENSMUST00000101029, intron 16 of 22)	-10945	ENSMUSG00000011148	Adssl1	protein_coding	adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]
Htt_PeakRegion_25856_chr17_46681965_46682259	-1.8568009899765	-1.40765816127257	16.2095093069098	7.49890258679218e-05	0.229141944000896	TTS (ENSMUST00000002839)	975	ENSMUSG00000002768	Mea1	protein_coding	male enhanced antigen 1 [Source:MGI Symbol;Acc:MGI:96957]
Htt_PeakRegion_06312_chr11_5967374_5968124	-1.30243917753849	-0.530514909058102	15.9981517480034	8.3282046282787e-05	0.229141944000896	TTS (ENSMUST00000002818)	8445	ENSMUSG00000002741	Ykt6	protein_coding	YKT6 v-SNARE homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1927550]
Htt_PeakRegion_13392_chr12_4679284_4679817	2.03863684860697	-1.55204807060774	15.9746521886059	8.4259761805179e-05	0.229141944000896	intron (ENSMUST00000062580, intron 28 of 38)	10375	ENSMUSG00000091732	Gm17541	processed_pseudogene	predicted gene, 17541 [Source:MGI Symbol;Acc:MGI:4937175]
Htt_PeakRegion_45864_chr6_91689432_91689868	1.51131179075742	-1.02236800538778	15.3923713227013	0.000112584332373402	0.260100246294918	intron (ENSMUST00000032185, intron 1 of 14)	5583	ENSMUSG00000030096	Slc6a6	protein_coding	solute carrier family 6 (neurotransmitter transporter, taurine), member 6 [Source:MGI Symbol;Acc:MGI:98488]
Htt_PeakRegion_28636_chr19_5701138_5701456	-1.7476752373208	-1.39787714047998	15.272024125985	0.000119551169117904	0.260100246294918	intron (ENSMUST00000004156, intron 11 of 11)	-3070	ENSMUSG00000024936	Kcnk7	protein_coding	potassium channel, subfamily K, member 7 [Source:MGI Symbol;Acc:MGI:1341841]
Htt_PeakRegion_00221_chr1_38052592_38053013	1.7623587515946	-1.31270975721731	15.2568504523814	0.0001204600670517	0.260100246294918	TTS (ENSMUST00000027251)	1447	ENSMUSG00000026082	Rev1	protein_coding	REV1, DNA directed polymerase [Source:MGI Symbol;Acc:MGI:1929074]
Htt_PeakRegion_34326_chr2_156174252_156175309	1.28424171869975	-0.378511815613052	15.2223386412676	0.000122553496380219	0.260100246294918	TTS (ENSMUST00000109584)	-1820	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_28396_chr19_5058347_5058464	-3.24523239769456	-2.32192828724669	15.2024891444467	0.000123774208182566	0.260100246294918	Intergenic	7598	ENSMUSG00000024883	Rin1	protein_coding	Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695]
Htt_PeakRegion_48549_chr7_59274326_59275181	1.8352858548054	-1.40765816127257	14.8069727099465	0.000150843409277243	0.293896914620646	intron (ENSMUST00000107537, intron 5 of 12)	43703	ENSMUSG00000100826	Snhg14	processed_transcript	small nucleolar RNA host gene 14 [Source:MGI Symbol;Acc:MGI:1289201]
Htt_PeakRegion_00527_chr1_63462955_63463356	2.75118923035902	-2.0681716950009	14.7842295785458	0.000152571347167388	0.293896914620646	intron (ENSMUST00000182642, intron 2 of 23)	-7463	ENSMUSG00000025964	Adam23	protein_coding	a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162]
Htt_PeakRegion_42202_chr5_88991655_88991965	2.24180057139457	-1.77444049194419	14.6378608547809	0.000164182840505591	0.300570461528515	intron (ENSMUST00000156238, intron 3 of 24)	-36156	ENSMUSG00000060961	Slc4a4	protein_coding	solute carrier family 4 (anion exchanger), member 4 [Source:MGI Symbol;Acc:MGI:1927555]
Htt_PeakRegion_56133_chr9_72539710_72540167	2.24180057139457	-1.77444049194419	14.5738477083828	0.000169539097619222	0.300570461528515	intron (ENSMUST00000184851, intron 2 of 5)	7204	ENSMUSG00000037674	Rfx7	protein_coding	regulatory factor X, 7 [Source:MGI Symbol;Acc:MGI:2442675]
Htt_PeakRegion_53419_chr8_123230940_123233145	-0.925410683579317	0.986994097815915	14.5045203923343	0.000175540275167526	0.300570461528515	TTS (ENSMUST00000098327)	-3048	ENSMUSG00000097637	4933417D19Rik	antisense	RIKEN cDNA 4933417D19 gene [Source:MGI Symbol;Acc:MGI:1918436]
Htt_PeakRegion_10878_chr11_98767256_98767751	-1.52484150828359	-1.17270227847221	14.329367650732	0.000191680616241031	0.310251453196895	TTS (ENSMUST00000064941)	2922	ENSMUSG00000020889	Nr1d1	protein_coding	nuclear receptor subfamily 1, group D, member 1 [Source:MGI Symbol;Acc:MGI:2444210]
Htt_PeakRegion_05506_chr10_128458473_128458653	-2.69339873276052	-2.13159707514253	14.2991282702162	0.000194615996684258	0.310251453196895	promoter-TSS (ENSMUST00000026433)	-117	ENSMUSG00000098957	Mir8105	miRNA	microRNA 8105 [Source:MGI Symbol;Acc:MGI:5530728]
Htt_PeakRegion_47073_chr7_4134072_4137222	-0.885110079572049	1.75132069478395	14.0996825966014	0.000215153728274872	0.320284771428328	TTS (ENSMUST00000032594)	1279	ENSMUSG00000085886	D030047H15Rik	antisense	RIKEN cDNA D030047H15 gene [Source:MGI Symbol;Acc:MGI:3698136]
