Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_02501_chr17_8936413_8990251	-0.65246301720241	6.40835313900975	115.606193543723	2.81765043108614e-18	5.80435988803745e-15	intron (ENSMUST00000149440, intron 13 of 19)	17763	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_02883_chrX_143483016_143483103	0.933528716380665	3.83906358942562	74.8939447241591	9.9526201383313e-14	1.02511987424812e-10	Intergenic	-35531	ENSMUSG00000031284	Pak3	protein_coding	p21 (RAC1) activated kinase 3 [Source:MGI Symbol;Acc:MGI:1339656]
Htt_PeakRegion_00061_chr1_87470947_87479689	-0.852361868758778	3.62643894433799	62.6296518581827	3.854883370771e-12	2.64701991459608e-09	intron (ENSMUST00000191095, intron 2 of 2)	2779	ENSMUSG00000026258	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
Htt_PeakRegion_02481_chr17_8856735_8863543	-0.918064442922288	2.9675783299483	50.9598424597319	1.65389042392281e-10	8.51753568320248e-08	intron (ENSMUST00000115720, intron 1 of 21)	10154	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_02788_chr19_5789450_5820380	-0.410879589796433	5.96154596789033	42.6738568341906	2.89323723807268e-09	1.19201374208595e-06	Intergenic	-2243	ENSMUSG00000092341	Malat1	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539]
Htt_PeakRegion_01040_chr7_45700428_45719231	-0.516453466337759	4.85410630771512	40.2593373227065	6.89046064635202e-09	1.92767988523095e-06	TTS (ENSMUST00000072836)	1941	ENSMUSG00000059824	Dbp	protein_coding	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
Htt_PeakRegion_02663_chr17_78639423_78668016	-0.457743987810919	5.32832567372619	39.656114615109	8.58031935749478e-09	1.92767988523095e-06	TTS (ENSMUST00000024881)	30632	ENSMUSG00000024077	Strn	protein_coding	striatin, calmodulin binding protein [Source:MGI Symbol;Acc:MGI:1333757]
Htt_PeakRegion_02474_chr17_8801464_8823865	-0.485619520511103	5.00674664008126	39.6099653347325	8.72588312236746e-09	1.92767988523095e-06	intron (ENSMUST00000141877, intron 1 of 1)	10886	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_01904_chr11_109246726_109265826	-0.548756047185669	4.61012238226023	39.5570869363289	8.89577658975523e-09	1.92767988523095e-06	exon (ENSMUST00000106704, exon 10 of 10)	-6125	ENSMUSG00000020599	Rgs9	protein_coding	regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]
Htt_PeakRegion_02373_chr15_103519509_103534845	-0.555036984975217	4.39803088161383	39.4183799827535	9.35766934578131e-09	1.92767988523095e-06	intron (ENSMUST00000023132, intron 13 of 15)	10815	ENSMUSG00000022490	Ppp1r1a	protein_coding	protein phosphatase 1, regulatory inhibitor subunit 1A [Source:MGI Symbol;Acc:MGI:1889595]
Htt_PeakRegion_01630_chr11_5964653_5970839	-0.787437921701724	3.13111365610151	37.8513632023499	1.66418530582909e-08	3.11656520909812e-06	TTS (ENSMUST00000002818)	8442	ENSMUSG00000002741	Ykt6	protein_coding	YKT6 v-SNARE homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1927550]
Htt_PeakRegion_01000_chr7_27521823_27529330	-0.667375450726514	3.55731458368317	36.8916544654778	2.37617587165399e-08	4.07910191300601e-06	intron (ENSMUST00000108353, intron 1 of 3)	-1482	ENSMUSG00000040424	Hipk4	protein_coding	homeodomain interacting protein kinase 4 [Source:MGI Symbol;Acc:MGI:2685008]
