Peak.ID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
Htt_PeakRegion_05006	chr9	88809214	88809794	+	0	NA	Intergenic	Intergenic	16042	ENSMUST00000085257	ENSMUSG00000074149	ENSMUST00000085257	NA	ENSMUSG00000074149	Gm10634	NA	predicted gene 10634 [Source:MGI Symbol;Acc:MGI:3641833]	antisense
Htt_PeakRegion_07378	chr13	98884067	98884246	+	0	NA	intron (ENSMUST00000179301, intron 4 of 20)	-intron (ENSMUST00000109399, intron 4 of 23)	6842	ENSMUST00000179301	ENSMUSG00000009470	ENSMUST00000109399	NA	ENSMUSG00000009470	Tnpo1	NA	transportin 1 [Source:MGI Symbol;Acc:MGI:2681523]	protein_coding
Htt_PeakRegion_06996	chr12	102672589	102672712	+	0	NA	TTS (ENSMUST00000178129)	-TTS (ENSMUST00000178129)	12370	ENSMUST00000158699	ENSMUSG00000089324	ENSMUST00000158699	NA	ENSMUSG00000089324	Mir1936	NA	microRNA 1936 [Source:MGI Symbol;Acc:MGI:3836973]	miRNA
Htt_PeakRegion_03706	chr7	36124523	36124693	+	0	NA	Intergenic	Intergenic	6334	ENSMUST00000119541	ENSMUSG00000066543	ENSMUST00000119541	NA	ENSMUSG00000066543	Rpl17-ps9	NA	ribosomal protein L17, pseudogene 9 [Source:MGI Symbol;Acc:MGI:3641818]	processed_pseudogene
Htt_PeakRegion_02710	chr5	114525525	114525571	+	0	NA	Intergenic	Intergenic	-25741	ENSMUST00000156209	ENSMUSG00000086302	ENSMUST00000156209	NA	ENSMUSG00000086302	Gm13790	NA	predicted gene 13790 [Source:MGI Symbol;Acc:MGI:3650747]	lincRNA
Htt_PeakRegion_03918	chr7	90189417	90194789	+	0	NA	intron (ENSMUST00000049537, intron 17 of 20)	-intron (ENSMUST00000049537, intron 17 of 20)	61871	ENSMUST00000049537	ENSMUSG00000039361	ENSMUST00000049537	NA	ENSMUSG00000039361	Picalm	NA	phosphatidylinositol binding clathrin assembly protein [Source:MGI Symbol;Acc:MGI:2385902]	protein_coding
Htt_PeakRegion_04383	chr8	71550083	71550330	+	0	NA	Intergenic	Intergenic	7276	ENSMUST00000034272	ENSMUSG00000031813	ENSMUST00000034272	NA	ENSMUSG00000031813	Mvb12a	NA	multivesicular body subunit 12A [Source:MGI Symbol;Acc:MGI:1920961]	protein_coding
Htt_PeakRegion_00878	chr2	75677774	75678871	+	0	NA	intron (ENSMUST00000102672, intron 3 of 4)	-intron (ENSMUST00000102672, intron 3 of 4)	8516	ENSMUST00000158390	ENSMUSG00000089015	ENSMUST00000158390	NA	ENSMUSG00000089015	Gm24996	NA	predicted gene, 24996 [Source:MGI Symbol;Acc:MGI:5454773]	snRNA
Htt_PeakRegion_07551	chr14	36546706	36546809	+	0	NA	Intergenic	Intergenic	-65360	ENSMUST00000158141	ENSMUSG00000088766	ENSMUST00000158141	NA	ENSMUSG00000088766	Gm24394	NA	predicted gene, 24394 [Source:MGI Symbol;Acc:MGI:5454171]	snoRNA
Htt_PeakRegion_07664	chr14	66805754	66806097	+	0	NA	intron (ENSMUST00000022629, intron 13 of 13)	-intron (ENSMUST00000022629, intron 13 of 13)	21396	ENSMUST00000071522	ENSMUSG00000057913	ENSMUST00000071522	NA	ENSMUSG00000057913	Gm10032	NA	predicted gene 10032 [Source:MGI Symbol;Acc:MGI:3642901]	lincRNA
Htt_PeakRegion_07482	chr14	23608876	23609043	+	0	NA	intron (ENSMUST00000190985, intron 3 of 28)	-intron (ENSMUST00000065788, intron 2 of 28)	41230	ENSMUST00000112423	ENSMUSG00000063142	ENSMUST00000065788	NA	ENSMUSG00000063142	Kcnma1	NA	potassium large conductance calcium-activated channel, subfamily M, alpha member 1 [Source:MGI Symbol;Acc:MGI:99923]	protein_coding
Htt_PeakRegion_07144	chr13	26587503	26587617	+	0	NA	Intergenic	Intergenic	95006	ENSMUST00000180940	ENSMUSG00000060198	ENSMUST00000180940	NA	ENSMUSG00000060198	Gm11353	NA	predicted gene 11353 [Source:MGI Symbol;Acc:MGI:3649794]	processed_pseudogene
