Gene.ID	logFC	logCPM	F	PValue	FDR	Gene.name	Gene.type	Gene.description
ENSMUSG00000036256	-1.04893298729549	2.64098753230852	28.1537526966214	0.000164129964635345	0.966936865953655	Igfbp7	protein_coding	insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]
ENSMUSG00000087694	-0.944735671565808	3.63725595223836	22.1255471679371	0.000461583206293046	0.966936865953655	A530058N18Rik	processed_transcript	RIKEN cDNA A530058N18 gene [Source:MGI Symbol;Acc:MGI:2444858]
ENSMUSG00000027355	0.883234216465931	3.84867561286084	20.4312048213742	0.000638806613924335	0.966936865953655	Tmco5	protein_coding	transmembrane and coiled-coil domains 5 [Source:MGI Symbol;Acc:MGI:1914606]
ENSMUSG00000092397	-0.944332091405986	3.1566151346098	20.3874538076381	0.000644338865517417	0.966936865953655	C130080G10Rik	antisense	RIKEN cDNA C130080G10 gene [Source:MGI Symbol;Acc:MGI:4844008]
ENSMUSG00000050730	-0.77907527702833	3.47726410387196	18.7396136593795	0.000899808856123225	0.966936865953655	Arhgap42	protein_coding	Rho GTPase activating protein 42 [Source:MGI Symbol;Acc:MGI:1918794]
ENSMUSG00000018604	-0.686478444327571	5.55135908691974	17.8448779921362	0.00108731224970742	0.966936865953655	Tbx3	protein_coding	T-box 3 [Source:MGI Symbol;Acc:MGI:98495]
ENSMUSG00000021411	-0.689192678074455	4.62571656457642	17.8425923779224	0.00108784638706453	0.966936865953655	Pxdc1	protein_coding	PX domain containing 1 [Source:MGI Symbol;Acc:MGI:1914145]
ENSMUSG00000023965	-0.784482310524283	6.42140458526426	16.8173278097913	0.00136151578529349	0.966936865953655	Fbxl17	protein_coding	F-box and leucine-rich repeat protein 17 [Source:MGI Symbol;Acc:MGI:1354704]
ENSMUSG00000087516	-0.686092927771615	4.8166636848526	16.7336060296612	0.00138720865824223	0.966936865953655	Tbx3os1	antisense	T-box 3, opposite strand 1 [Source:MGI Symbol;Acc:MGI:3780472]
ENSMUSG00000085253	-0.779859730849559	2.89826245542699	16.590438150678	0.00143246480048119	0.966936865953655	Gm16833	antisense	predicted gene, 16833 [Source:MGI Symbol;Acc:MGI:4439757]
ENSMUSG00000085555	-0.603535881406292	5.80816431042898	15.6607589903531	0.00177197920864088	0.966936865953655	2610035F20Rik	processed_transcript	RIKEN cDNA 2610035F20 gene [Source:MGI Symbol;Acc:MGI:1916498]
