chrom	start	end	RegionID	PeakRegion	Locus	LogFC	F	PValue	FDR
chr1	3043876	3044402	WT_PeakRegion	WT_PeakRegion_1_chr1_3043876_3044402	chr1:3043876-3044402	-0.642036025019198	2.76851326204817	0.100542567074712	0.163010779401199
chr1	3276142	3276455	Q111_PeakRegion	Q111_PeakRegion_1_chr1_3276142_3276455	chr1:3276142-3276455	1.4988073865227	7.6852720217745	0.00945210184185665	0.0304327727492076
chr1	3793657	3793889	WT_PeakRegion	WT_PeakRegion_2_chr1_3793657_3793889	chr1:3793657-3793889	-0.971463944159325	5.20733083284036	0.0254911600378817	0.0601142425717801
chr1	3842287	3843204	WT_PeakRegion	WT_PeakRegion_3_chr1_3842287_3843204	chr1:3842287-3843204	-0.373505174048868	1.19924655747818	0.277172650256447	0.359479545730611
chr1	3993152	3993685	Q111_PeakRegion	Q111_PeakRegion_2_chr1_3993152_3993685	chr1:3993152-3993685	0.578965763670399	1.91360375565192	0.177775966954448	0.25232486807356
chr1	4127484	4127720	WT_PeakRegion	WT_PeakRegion_4_chr1_4127484_4127720	chr1:4127484-4127720	-1.36166308630629	7.36680552191007	0.0114404872370793	0.0347190202855305
chr1	4246839	4248660	Shared_PeakRegion	Shared_PeakRegion_1_chr1_4246839_4248660	chr1:4246839-4248660	-0.398786405563966	2.63029353781229	0.109274237083688	0.173378507997497
chr1	4549716	4550522	WT_PeakRegion	WT_PeakRegion_5_chr1_4549716_4550522	chr1:4549716-4550522	-0.684790610886968	3.33674382407185	0.0728952062319048	0.128423415180483
chr1	4621546	4621865	WT_PeakRegion	WT_PeakRegion_6_chr1_4621546_4621865	chr1:4621546-4621865	-1.48989276716932	10.1336421622214	0.00216151640978176	0.0120558992699886
chr1	4824886	4825846	WT_PeakRegion	WT_PeakRegion_7_chr1_4824886_4825846	chr1:4824886-4825846	-1.43329065308741	14.9675344273966	0.000240088700225324	0.00379225305722123
chr1	5062049	5063106	WT_PeakRegion	WT_PeakRegion_8_chr1_5062049_5063106	chr1:5062049-5063106	-0.992490811428402	8.73371134041617	0.00423605837118757	0.0180558330771119
chr1	5099420	5104697	Shared_PeakRegion	Shared_PeakRegion_2_chr1_5099420_5104697	chr1:5099420-5104697	-0.710480651502225	18.6634666507933	4.97772530519188e-05	0.00173733713482169
chr1	5332455	5333030	WT_PeakRegion	WT_PeakRegion_9_chr1_5332455_5333030	chr1:5332455-5333030	-1.48594220489068	14.039217242082	0.000361302427058788	0.00455426138499638
chr1	5338200	5338668	Q111_PeakRegion	Q111_PeakRegion_3_chr1_5338200_5338668	chr1:5338200-5338668	0.0873971534526987	0.0615274296245742	0.804813728008336	0.845878920217235
