Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_08582_chr17_8920465_8990561	-0.62655374978364	6.68088672836037	95.13684901047	6.1023228928491e-12	5.52870454092128e-08	intron (ENSMUST00000149440, intron 11 of 19)	9944	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_08576_chr17_8799743_8868651	-0.521377607695809	6.37039661216251	73.9038761599762	1.75863128599435e-10	7.9665997255544e-07	intron (ENSMUST00000141877, intron 1 of 1)	-15788	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_09622_chrX_143482944_143483178	0.933605808965181	3.84074276910022	68.8892334014577	4.2751100565207e-10	1.29108323706925e-06	Intergenic	-35530	ENSMUSG00000031284	Pak3	protein_coding	p21 (RAC1) activated kinase 3 [Source:MGI Symbol;Acc:MGI:1339656]
Htt_PeakRegion_00221_chr1_87470591_87484995	-0.714919091781907	4.18630666885376	63.1918945782795	1.23658254043231e-09	2.80085945407918e-06	TTS (ENSMUST00000168235)	5254	ENSMUSG00000026258	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
Htt_PeakRegion_08958_chr17_78636827_78716037	-0.448226777230916	6.61380973137457	53.9105795650989	8.00880642695583e-09	1.26167326632894e-05	intron (ENSMUST00000145910, intron 7 of 17)	7920	ENSMUSG00000024077	Strn	protein_coding	striatin, calmodulin binding protein [Source:MGI Symbol;Acc:MGI:1333757]
Htt_PeakRegion_06528_chr11_109237083_109266906	-0.578888699529906	5.11061361314157	53.7104670282071	8.35545209489365e-09	1.26167326632894e-05	intron (ENSMUST00000106706, intron 9 of 16)	-1844	ENSMUSG00000020599	Rgs9	protein_coding	regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]
Htt_PeakRegion_01106_chr2_130629966_130639861	-0.741938604492504	3.62253976617831	52.8574004259006	1.00203083329526e-08	1.29691419280787e-05	exon (ENSMUST00000045761, exon 5 of 5)	3181	ENSMUSG00000037703	Lzts3	protein_coding	leucine zipper, putative tumor suppressor family member 3 [Source:MGI Symbol;Acc:MGI:2656976]
Htt_PeakRegion_08190_chr15_103514186_103536591	-0.535917734465295	4.75429348594687	45.0168217657152	5.80663334988712e-08	6.57601226874716e-05	intron (ENSMUST00000023132, intron 10 of 15)	12603	ENSMUSG00000022490	Ppp1r1a	protein_coding	protein phosphatase 1, regulatory inhibitor subunit 1A [Source:MGI Symbol;Acc:MGI:1889595]
Htt_PeakRegion_03641_chr7_27520082_27529386	-0.675466754066495	3.72064309650495	43.989920492595	7.40148360433065e-08	7.45082682835952e-05	intron (ENSMUST00000108353, intron 1 of 3)	1467	ENSMUSG00000040424	Hipk4	protein_coding	homeodomain interacting protein kinase 4 [Source:MGI Symbol;Acc:MGI:2685008]
Htt_PeakRegion_07074_chr12_112608965_112618791	-0.629326594859636	3.87337556056255	43.2043485537995	8.93034903423728e-08	8.09089622501898e-05	intron (ENSMUST00000101029, intron 22 of 22)	-6167	ENSMUSG00000011148	Adssl1	protein_coding	adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]
Htt_PeakRegion_09350_chr19_5789045_5822239	-0.412701822314721	6.01928164079539	41.9898611503656	1.19828820549307e-07	9.86953740160654e-05	Intergenic	-2970	ENSMUSG00000092341	Malat1	lincRNA	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA) [Source:MGI Symbol;Acc:MGI:1919539]
Htt_PeakRegion_03756_chr7_45700413_45720176	-0.512238600055558	4.8750152974781	38.8298020493813	2.63302487368683e-07	0.000198793377963356	TTS (ENSMUST00000072836)	2406	ENSMUSG00000059824	Dbp	protein_coding	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
Htt_PeakRegion_08381_chr16_35298506_35313500	-0.56088234660867	4.16099168431298	37.7623047589128	3.46143950957996e-07	0.000241235707359957	TTS (ENSMUST00000114913)	41736	ENSMUSG00000034473	Sec22a	protein_coding	SEC22 homolog A, vesicle trafficking protein [Source:MGI Symbol;Acc:MGI:2447876]
Htt_PeakRegion_05599_chr10_98992062_99038900	-0.412077230208175	5.88467912415904	36.9032150120827	4.32649562577839e-07	0.00027998607406823	intron (ENSMUST00000020107, intron 17 of 20)	-91555	ENSMUSG00000019952	Poc1b	protein_coding	POC1 centriolar protein B [Source:MGI Symbol;Acc:MGI:1918511]
Htt_PeakRegion_06022_chr11_69081510_69121356	-0.425302010559766	5.70873884900026	35.2194962143657	6.75171487982119e-07	0.0004078035787412	TTS (ENSMUST00000132462)	911	ENSMUSG00000020893	Per1	protein_coding	period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]
Htt_PeakRegion_05772_chr11_5963287_5972009	-0.618500161252266	3.48112649737729	32.3397137558537	1.48258655956696e-06	0.000839514639354789	exon (ENSMUST00000002818, exon 7 of 7)	8344	ENSMUSG00000002741	Ykt6	protein_coding	YKT6 v-SNARE homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1927550]
Htt_PeakRegion_00624_chr2_25281864_25304837	-0.428763690855675	4.88698342452162	29.9595794041846	2.91500592868696e-06	0.00155352668905317	intron (ENSMUST00000114308, intron 19 of 19)	2131	ENSMUSG00000085830	Grin1os	antisense	glutamate receptor, ionotropic, NMDA1 (zeta 1), opposite strand [Source:MGI Symbol;Acc:MGI:2443867]
Htt_PeakRegion_07648_chr14_64578145_64597629	-0.447433816940338	4.65312353536112	29.5627681768019	3.2707339470204e-06	0.00164626942000027	promoter-TSS (ENSMUST00000180610)	-164	ENSMUSG00000097545	Mir124a-1hg	lincRNA	Mir124-1 host gene (non-protein coding) [Source:MGI Symbol;Acc:MGI:2442197]
Htt_PeakRegion_08579_chr17_8893853_8905944	-0.592768961739839	3.8373824530448	29.0988960545358	3.74539487850691e-06	0.00178596197890908	TTS (ENSMUST00000141877)	6608	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_05598_chr10_98976868_98991472	-0.508608511497206	4.09310921203216	28.3961105380144	4.60774406549764e-06	0.00208730806167043	intron (ENSMUST00000020107, intron 3 of 20)	69018	ENSMUSG00000019943	Atp2b1	protein_coding	ATPase, Ca++ transporting, plasma membrane 1 [Source:MGI Symbol;Acc:MGI:104653]
Htt_PeakRegion_04397_chr8_75217309_75227527	-0.601706330271792	3.52286464117101	28.1696160012322	4.92840412197762e-06	0.00212625434976749	TTS (ENSMUST00000132133)	7916	ENSMUSG00000034472	Rasd2	protein_coding	RASD family, member 2 [Source:MGI Symbol;Acc:MGI:1922391]
Htt_PeakRegion_04467_chr8_93963867_93974086	-0.544498697328326	3.62123769475338	27.4642915613431	6.08667030873822e-06	0.00250660149987129	TTS (ENSMUST00000125716)	4984	ENSMUSG00000031751	Amfr	protein_coding	autocrine motility factor receptor [Source:MGI Symbol;Acc:MGI:1345634]
Htt_PeakRegion_06401_chr11_101422534_101441248	-0.450413213965631	4.37851143089441	27.0651986683264	6.8662329987952e-06	0.00262000901593122	intron (ENSMUST00000040561, intron 3 of 4)	-6558	ENSMUSG00000097487	Ptges3l	protein_coding	prostaglandin E synthase 3 like [Source:MGI Symbol;Acc:MGI:1916146]
Htt_PeakRegion_07593_chr14_55102974_55109518	-0.62309480602329	2.98185246093042	27.0297359197303	6.94042123425488e-06	0.00262000901593122	promoter-TSS (ENSMUST00000131323)	21	ENSMUSG00000040701	Ap1g2	protein_coding	adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]
Htt_PeakRegion_07681_chr14_69782679_69792074	-0.534713395594619	3.50744209833441	26.6096536310696	7.8864401943258e-06	0.00285804592642367	exon (ENSMUST00000022665, exon 10 of 10)	18153	ENSMUSG00000022075	Rhobtb2	protein_coding	Rho-related BTB domain containing 2 [Source:MGI Symbol;Acc:MGI:2180557]
Htt_PeakRegion_05634_chr10_111282807_111303669	-0.444886301587872	4.54706570060331	25.8017943908062	1.01087292618619e-05	0.00352250335047955	exon (ENSMUST00000095310, exon 23 of 23)	-5441	ENSMUSG00000035759	Bbs10	protein_coding	Bardet-Biedl syndrome 10 (human) [Source:MGI Symbol;Acc:MGI:1919019]
Htt_PeakRegion_03662_chr7_28808991_28828617	-0.422830743086576	4.68057421995649	25.1986499217064	1.21941005011245e-05	0.0040917981681551	TTS (ENSMUST00000173578)	970	ENSMUSG00000015165	Hnrnpl	protein_coding	heterogeneous nuclear ribonucleoprotein L [Source:MGI Symbol;Acc:MGI:104816]
Htt_PeakRegion_08577_chr17_8869341_8889106	-0.460320351949106	4.40863619614565	24.8614270632609	1.35536350781703e-05	0.00411421409438889	intron (ENSMUST00000115720, intron 1 of 21)	-1202	ENSMUSG00000023868	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
Htt_PeakRegion_02516_chr5_36628773_36630766	-0.385750513977656	4.92652643067596	24.8538116551698	1.35861225679275e-05	0.00411421409438889	exon (ENSMUST00000031091, exon 3 of 9)	-8515	ENSMUSG00000029190	D5Ertd579e	protein_coding	DNA segment, Chr 5, ERATO Doi 579, expressed [Source:MGI Symbol;Acc:MGI:1261849]
Htt_PeakRegion_07999_chr15_79719056_79727689	-0.64301303463029	3.03952817182731	24.8039126184322	1.38010349367099e-05	0.00411421409438889	TTS (ENSMUST00000046259)	12578	ENSMUSG00000042524	Sun2	protein_coding	Sad1 and UNC84 domain containing 2 [Source:MGI Symbol;Acc:MGI:2443011]
Htt_PeakRegion_08602_chr17_10262633_10309158	-0.336744038621188	5.76258485957826	24.7409513789605	1.40773329940459e-05	0.00411421409438889	intron (ENSMUST00000097414, intron 1 of 7)	33465	ENSMUSG00000062078	Qk	protein_coding	quaking [Source:MGI Symbol;Acc:MGI:97837]
Htt_PeakRegion_00672_chr2_29975452_30021273	-0.350542271633846	5.77229605103433	24.5609648468195	1.48998355779565e-05	0.00421851594800894	intron (ENSMUST00000113719, intron 20 of 56)	2413	ENSMUSG00000098453	Mir6997	miRNA	microRNA 6997 [Source:MGI Symbol;Acc:MGI:5530692]
Htt_PeakRegion_01557_chr3_88630764_88656416	-0.388209266070444	5.06800175282463	24.4177741634335	1.55903412965406e-05	0.0042802573377775	promoter-TSS (ENSMUST00000176272)	-342	ENSMUSG00000028059	Arhgef2	protein_coding	rho/rac guanine nucleotide exchange factor (GEF) 2 [Source:MGI Symbol;Acc:MGI:103264]
Htt_PeakRegion_07060_chr12_111665316_111673955	-0.5429717760581	3.50885098032225	24.0053510263992	1.77744085825022e-05	0.00473635711051382	exon (ENSMUST00000001304, exon 8 of 8)	2702	ENSMUSG00000001270	Ckb	protein_coding	creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]
Htt_PeakRegion_04742_chr9_44088208_44099986	-0.480055805018222	3.78077649628737	23.8768175167613	1.85192877977501e-05	0.00479384992707475	TTS (ENSMUST00000114830)	1423	ENSMUSG00000032010	Usp2	protein_coding	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]
Htt_PeakRegion_01213_chr2_156141177_156189458	-0.3065557058771	6.12985520905691	23.6232794708445	2.00868002726522e-05	0.00491498631349795	promoter-TSS (ENSMUST00000135274)	-106	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_07241_chr13_55313168_55321476	-0.546284791918849	3.28868647878296	23.5198573630398	2.07658551761672e-05	0.00491498631349795	exon (ENSMUST00000099490, exon 23 of 23)	4658	ENSMUSG00000034789	Rab24	protein_coding	RAB24, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105065]
Htt_PeakRegion_09366_chr19_6400370_6418793	-0.439892009771183	4.34577464448241	23.4714743792976	2.10918046455115e-05	0.00491498631349795	TTS (ENSMUST00000135532)	1177	ENSMUSG00000032946	Rasgrp2	protein_coding	RAS, guanyl releasing protein 2 [Source:MGI Symbol;Acc:MGI:1333849]
Htt_PeakRegion_07666_chr14_67008071_67032593	-0.371134222472213	4.99924820822754	23.412046068567	2.14995658913073e-05	0.00491498631349795	intron (ENSMUST00000089230, intron 8 of 9)	-11455	ENSMUSG00000022051	Bnip3l	protein_coding	BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]
Htt_PeakRegion_05528_chr10_81457673_81466282	-0.542813056533471	3.23946574233607	23.3312206071031	2.20675342535155e-05	0.00491498631349795	exon (ENSMUST00000118763, exon 12 of 12)	819	ENSMUSG00000084849	Gm16105	antisense	predicted gene 16105 [Source:MGI Symbol;Acc:MGI:3801737]
Htt_PeakRegion_03996_chr7_101509173_101519561	-0.530324104636949	3.57558107206753	23.3068034971313	2.22422117939753e-05	0.00491498631349795	Intergenic	38991	ENSMUSG00000065446	Mir139	miRNA	microRNA 139 [Source:MGI Symbol;Acc:MGI:2676824]
Htt_PeakRegion_01553_chr3_88578948_88579670	-1.80806299325753	-0.0406421768566668	23.0127655777953	2.44641044674952e-05	0.00527725682084538	promoter-TSS (ENSMUST00000035785)	-299	ENSMUSG00000041355	Ssr2	protein_coding	signal sequence receptor, beta [Source:MGI Symbol;Acc:MGI:1913506]
Htt_PeakRegion_07017_chr12_107909695_107915044	-0.685864802872918	2.42551879078784	22.893929710449	2.54274598752625e-05	0.0053575066620902	exon (ENSMUST00000066060, exon 4 of 4)	91044	ENSMUSG00000048251	Bcl11b	protein_coding	B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]
Htt_PeakRegion_01277_chr2_164874727_164885282	-0.498683850520083	3.65089198806253	22.3819841951474	3.00589192499932e-05	0.00618940473647586	promoter-TSS (ENSMUST00000122810)	-47	ENSMUSG00000039849	Pcif1	protein_coding	PDX1 C-terminal inhibiting factor 1 [Source:MGI Symbol;Acc:MGI:2443858]
Htt_PeakRegion_07668_chr14_67053184_67055637	-0.977329741177745	1.53881384755794	22.3027285549515	3.08520214047585e-05	0.00621154030949137	intron (ENSMUST00000089230, intron 2 of 9)	18060	ENSMUSG00000022052	Ppp2r2a	protein_coding	protein phosphatase 2, regulatory subunit B, alpha [Source:MGI Symbol;Acc:MGI:1919228]
Htt_PeakRegion_02237_chr4_137729643_137734339	-0.702614089375429	2.42402609014678	22.1274523911157	3.26854363699601e-05	0.00643760985895301	Intergenic	3780	ENSMUSG00000041351	Rap1gap	protein_coding	Rap1 GTPase-activating protein [Source:MGI Symbol;Acc:MGI:109338]
Htt_PeakRegion_08885_chr17_56121663_56123681	-1.04625063105576	1.21205028475567	21.6937280050501	3.77343527099899e-05	0.00727389862877677	promoter-TSS (ENSMUST00000041357)	-726	ENSMUSG00000037095	Lrg1	protein_coding	leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155]
Htt_PeakRegion_06048_chr11_69981671_69996305	-0.429493929662811	4.09545543964455	21.0555469123698	4.67126863270001e-05	0.00869567876901335	promoter-TSS (ENSMUST00000138246)	-83	ENSMUSG00000018559	Ctdnep1	protein_coding	CTD nuclear envelope phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914431]
Htt_PeakRegion_02956_chr5_137293717_137296741	-0.716334988078914	2.18938512308881	21.0150920369447	4.73530621436477e-05	0.00869567876901335	TTS (ENSMUST00000024099)	600	ENSMUSG00000051502	Ufsp1	protein_coding	UFM1-specific peptidase 1 [Source:MGI Symbol;Acc:MGI:1917490]
Htt_PeakRegion_08121_chr15_98943580_98961580	-0.409922313571069	4.53915861874871	20.9645606097371	4.8165983262489e-05	0.00869567876901335	intron (ENSMUST00000097014, intron 1 of 3)	962	ENSMUSG00000072235	Tuba1a	protein_coding	tubulin, alpha 1A [Source:MGI Symbol;Acc:MGI:98869]
Htt_PeakRegion_04352_chr8_70323806_70337358	-0.425066783345226	4.13841383633777	20.8891248605084	4.94070677134405e-05	0.00869567876901335	TTS (ENSMUST00000075666)	765	ENSMUSG00000055694	NA	NA	NA
Htt_PeakRegion_06672_chr11_120795702_120798484	-0.946895825432117	1.39078976067284	20.8591842198895	4.99089730671848e-05	0.00869567876901335	promoter-TSS (ENSMUST00000026151)	-690	ENSMUSG00000025155	Dus1l	protein_coding	dihydrouridine synthase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915980]
Htt_PeakRegion_06035_chr11_69659133_69681248	-0.38219122406552	4.69147193583562	20.6560811725096	5.34589390674553e-05	0.0091384526028518	promoter-TSS (ENSMUST00000122759)	-413	ENSMUSG00000084708	Gm22988	snoRNA	predicted gene, 22988 [Source:MGI Symbol;Acc:MGI:5452765]
Htt_PeakRegion_06020_chr11_69060523_69066198	-0.609017520772728	2.72973383257581	20.547091404891	5.54729241313448e-05	0.00916292753834374	Intergenic	-2878	ENSMUSG00000072809	9330160F10Rik	antisense	RIKEN cDNA 9330160F10 gene [Source:MGI Symbol;Acc:MGI:3693095]
Htt_PeakRegion_08679_chr17_25809501_25836350	-0.354166599635252	4.98742174156121	20.4264540948395	5.77958508728056e-05	0.00916292753834374	promoter-TSS (ENSMUST00000026833)	-701	ENSMUSG00000025737	Wdr24	protein_coding	WD repeat domain 24 [Source:MGI Symbol;Acc:MGI:2446285]
Htt_PeakRegion_02953_chr5_137029579_137035373	-0.593379008026271	2.78891748144161	20.4256534152038	5.78116069049976e-05	0.00916292753834374	exon (ENSMUST00000041543, exon 2 of 2)	1775	ENSMUSG00000037428	Vgf	protein_coding	VGF nerve growth factor inducible [Source:MGI Symbol;Acc:MGI:1343180]
