Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_57973_chrY_4161555_4161570	3.13830302226909	-0.724687456747092	59.6524227251011	1.1340508741235e-14	5.24283059616036e-10	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_26442_chr17_78720228_78720595	-6.55969574211072	-1.45758338660425	40.1296950323123	2.37866101958238e-10	4.597605905955e-06	intron (ENSMUST00000145910, intron 1 of 17)	16784	ENSMUSG00000024077	Strn	protein_coding	striatin, calmodulin binding protein [Source:MGI Symbol;Acc:MGI:1333757]
Htt_PeakRegion_10265_chr11_95030384_95030721	-6.4318457869654	-1.35940299266535	39.687158602958	2.98345649409811e-10	4.597605905955e-06	intron (ENSMUST00000141712, intron 4 of 5)	-1129	ENSMUSG00000038967	Pdk2	protein_coding	pyruvate dehydrogenase kinase, isoenzyme 2 [Source:MGI Symbol;Acc:MGI:1343087]
Htt_PeakRegion_09737_chr11_86311489_86311852	-6.38658105322961	-1.48838943338543	36.6329526005682	1.42709740783958e-09	1.34825927609042e-05	intron (ENSMUST00000043624, intron 9 of 29)	20512	ENSMUSG00000034297	Med13	protein_coding	mediator complex subunit 13 [Source:MGI Symbol;Acc:MGI:3029632]
Htt_PeakRegion_35083_chr2_181069163_181069481	-6.2667865406949	-1.37851181561305	36.5275187808223	1.50640585916689e-09	1.34825927609042e-05	Intergenic	-25776	ENSMUSG00000027577	Chrna4	protein_coding	cholinergic receptor, nicotinic, alpha polypeptide 4 [Source:MGI Symbol;Acc:MGI:87888]
Htt_PeakRegion_30432_chr2_6826215_6826501	-6.49718654063271	-1.59610325068568	36.2355661088788	1.74981195659677e-09	1.34825927609042e-05	intron (ENSMUST00000183209, intron 2 of 13)	45614	ENSMUSG00000002107	Celf2	protein_coding	CUGBP, Elav-like family member 2 [Source:MGI Symbol;Acc:MGI:1338822]
Htt_PeakRegion_42339_chr5_90292406_90292706	-6.38658105322961	-1.54124131565116	35.6265771574618	2.39177609312551e-09	1.5796314365898e-05	intron (ENSMUST00000168058, intron 7 of 26)	-68555	ENSMUSG00000035505	Cox18	protein_coding	cytochrome c oxidase assembly protein 18 [Source:MGI Symbol;Acc:MGI:2448532]
Htt_PeakRegion_46082_chr6_99208892_99209142	-6.10852445677817	-1.61864581933677	30.2178264907804	3.86347077120081e-08	0.000200943249749725	intron (ENSMUST00000177227, intron 4 of 4)	39319	ENSMUSG00000030067	Foxp1	protein_coding	forkhead box P1 [Source:MGI Symbol;Acc:MGI:1914004]
Htt_PeakRegion_18162_chr14_62713168_62713477	-6.08037341646402	-1.59610325068568	30.1936872155016	3.91185405409255e-08	0.000200943249749725	intron (ENSMUST00000053959, intron 7 of 18)	44711	ENSMUSG00000089531	Gm25162	snoRNA	predicted gene, 25162 [Source:MGI Symbol;Acc:MGI:5454939]
Htt_PeakRegion_38348_chr4_64497992_64498040	1.39455717530418	2.14002332336913	27.9451219664483	1.24861623062056e-07	0.000577247769578189	Intergenic	53286	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_54413_chr9_44198255_44198427	-6.02236781302845	-1.81291463975883	26.0678329036742	3.29760478793552e-07	0.00136764926183287	intron (ENSMUST00000037644, intron 2 of 15)	35705	ENSMUSG00000034342	Cbl	protein_coding	Casitas B-lineage lymphoma [Source:MGI Symbol;Acc:MGI:88279]
Htt_PeakRegion_57544_chr9_112165663_112165901	-5.99246632731459	-1.79997558405133	25.9254671412051	3.54995374142771e-07	0.00136764926183287	intron (ENSMUST00000161412, intron 9 of 9)	19944	ENSMUSG00000032503	Arpp21	protein_coding	cyclic AMP-regulated phosphoprotein, 21 [Source:MGI Symbol;Acc:MGI:107562]
Htt_PeakRegion_34328_chr2_156175986_156176737	2.0761428551217	-0.806430606188627	24.8104917500518	6.32749789943445e-07	0.00225020427222119	TTS (ENSMUST00000132929)	1021	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_22911_chr16_66654686_66654944	-5.8988532765431	-1.82597079258427	24.4931497020323	7.46006481484468e-07	0.00246347326039346	TTS (ENSMUST00000114292)	-2303	ENSMUSG00000092599	1700010K23Rik	antisense	RIKEN cDNA 1700010K23 gene [Source:MGI Symbol;Acc:MGI:1922751]
Htt_PeakRegion_02011_chr1_157255443_157255704	-5.86624861111117	-1.83914618133201	23.9524553584336	9.87774362032142e-07	0.00285990252729333	intron (ENSMUST00000132699, intron 3 of 17)	1108	ENSMUSG00000070565	Rasal2	protein_coding	RAS protein activator like 2 [Source:MGI Symbol;Acc:MGI:2443881]
Htt_PeakRegion_41274_chr5_23477501_23477694	-6.02236781302845	-1.94911902335714	23.9485533027235	9.89778296742301e-07	0.00285990252729333	intron (ENSMUST00000115128, intron 9 of 26)	-7903	ENSMUSG00000029004	Kmt2e	protein_coding	lysine (K)-specific methyltransferase 2E [Source:MGI Symbol;Acc:MGI:1924825]
Htt_PeakRegion_38347_chr4_64497904_64497938	1.30655465961003	1.45741225864132	23.7829273761242	1.07870428722625e-06	0.00293350458251511	Intergenic	53191	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_34437_chr2_158050675_158050940	-5.83289001416474	-1.83914618133201	23.5960277553697	1.18871340079673e-06	0.00305307829067965	intron (ENSMUST00000152452, intron 5 of 5)	2849	ENSMUSG00000027651	Rprd1b	protein_coding	regulation of nuclear pre-mRNA domain containing 1B [Source:MGI Symbol;Acc:MGI:1917720]
Htt_PeakRegion_35875_chr3_84959956_84960129	-6.08037341646402	-2.02236800538778	23.3532616425174	1.34857831536511e-06	0.00328137495250761	intron (ENSMUST00000151410, intron 6 of 12)	5537	ENSMUSG00000104322	NA	NA	NA
Htt_PeakRegion_14110_chr12_71098395_71098585	-5.8988532765431	-1.94911902335714	22.718251295858	1.87634646806878e-06	0.00433726867826439	exon (ENSMUST00000046305, exon 24 of 24)	-12938	ENSMUSG00000021078	Tomm20l	protein_coding	translocase of outer mitochondrial membrane 20-like [Source:MGI Symbol;Acc:MGI:1922516]
Htt_PeakRegion_01078_chr1_87402710_87402928	-5.86624861111117	-1.94911902335714	22.3992092575673	2.21530545500674e-06	0.00487694221382936	promoter-TSS (ENSMUST00000172736)	-848	ENSMUSG00000048000	Gigyf2	protein_coding	GRB10 interacting GYF protein 2 [Source:MGI Symbol;Acc:MGI:2138584]
Htt_PeakRegion_15620_chr13_8837291_8837515	-5.83289001416474	-1.94911902335714	22.0753010991415	2.62236527694507e-06	0.00532228952546815	promoter-TSS (ENSMUST00000177409)	-169	ENSMUSG00000021147	Wdr37	protein_coding	WD repeat domain 37 [Source:MGI Symbol;Acc:MGI:1920393]
Htt_PeakRegion_14142_chr12_73042426_73043334	1.58496250072116	-0.135655291716888	22.0567373013022	2.6478479610168e-06	0.00532228952546815	promoter-TSS (ENSMUST00000176310)	-65	ENSMUSG00000051367	Six1	protein_coding	sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
Htt_PeakRegion_15321_chr12_111403860_111404010	-5.99246632731459	-2.0681716950009	21.8220322299813	2.9922925498839e-06	0.0057640282030701	Intergenic	-2874	ENSMUSG00000087075	Lbhd2	protein_coding	LBH domain containing 2 [Source:MGI Symbol;Acc:MGI:2685744]
Htt_PeakRegion_51711_chr8_41310452_41310721	-5.7279204545632	-1.92082997892571	21.4404391641653	3.65090478246774e-06	0.00634379408365796	intron (ENSMUST00000045218, intron 25 of 37)	33269	ENSMUSG00000031591	Asah1	protein_coding	N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]
Htt_PeakRegion_18203_chr14_64365305_64365534	-5.69116190455308	-1.89308498844281	21.4376569376454	3.65620589893042e-06	0.00634379408365796	intron (ENSMUST00000067927, intron 6 of 10)	90483	ENSMUSG00000054733	Msra	protein_coding	methionine sulfoxide reductase A [Source:MGI Symbol;Acc:MGI:106916]
Htt_PeakRegion_52530_chr8_85664868_85665087	-5.76376565350992	-1.94911902335714	21.4122746413408	3.70492613741353e-06	0.00634379408365796	intron (ENSMUST00000109686, intron 4 of 8)	25995	ENSMUSG00000036902	Neto2	protein_coding	neuropilin (NRP) and tolloid (TLL)-like 2 [Source:MGI Symbol;Acc:MGI:1921763]
Htt_PeakRegion_10639_chr11_97882603_97882773	-5.61470984411521	-1.83914618133201	21.340171166394	3.8469089770737e-06	0.00635165888996765	intron (ENSMUST00000093939, intron 1 of 10)	1466	ENSMUSG00000070336	Fbxo47	protein_coding	F-box protein 47 [Source:MGI Symbol;Acc:MGI:1920223]
Htt_PeakRegion_12754_chr11_118866572_118866704	-5.83289001416474	-2.02236800538778	21.0552600772306	4.46343154549196e-06	0.00711547944067719	intron (ENSMUST00000127327, intron 1 of 1)	582	ENSMUSG00000084887	Gm11749	sense_intronic	predicted gene 11749 [Source:MGI Symbol;Acc:MGI:3652041]
Htt_PeakRegion_22197_chr16_31134386_31134554	-5.86624861111117	-2.0527416544313	20.9265810982935	4.77349984422617e-06	0.00718676729813347	intron (ENSMUST00000058033, intron 7 of 22)	-53038	ENSMUSG00000047434	Xxylt1	protein_coding	xyloside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2146443]
Htt_PeakRegion_57617_chr9_113873427_113873619	-5.69116190455308	-1.93490516413744	20.9083852276106	4.81905617966597e-06	0.00718676729813347	intron (ENSMUST00000166734, intron 17 of 33)	-57411	ENSMUSG00000009741	Ubp1	protein_coding	upstream binding protein 1 [Source:MGI Symbol;Acc:MGI:104889]
Htt_PeakRegion_51010_chr7_128447482_128447675	-5.83289001416474	-2.03747489777799	20.8449635459687	4.98128099663551e-06	0.007196550054858	TTS (ENSMUST00000136782)	634	ENSMUSG00000030846	Tial1	protein_coding	Tia1 cytotoxic granule-associated RNA binding protein-like 1 [Source:MGI Symbol;Acc:MGI:107913]
Htt_PeakRegion_02439_chr1_180085328_180085500	-5.86624861111117	-2.0681716950009	20.707666061496	5.35149632618974e-06	0.00749712201988115	intron (ENSMUST00000134959, intron 13 of 17)	931	ENSMUSG00000026490	Cdc42bpa	protein_coding	CDC42 binding protein kinase alpha [Source:MGI Symbol;Acc:MGI:2441841]
Htt_PeakRegion_02773_chr10_5157216_5157387	-5.69116190455308	-1.96347431633421	20.5453277062311	5.82503251792026e-06	0.00792050230399916	Intergenic	88110	ENSMUSG00000096553	Gm10097	antisense	predicted gene 10097 [Source:MGI Symbol;Acc:MGI:3642295]
Htt_PeakRegion_04517_chr10_93222810_93222971	-5.79874179175289	-2.0527416544313	20.333945700877	6.50524153443914e-06	0.00859268061081874	intron (ENSMUST00000069965, intron 6 of 16)	60106	ENSMUSG00000089214	Mir1931	miRNA	microRNA 1931 [Source:MGI Symbol;Acc:MGI:3836967]
Htt_PeakRegion_55648_chr9_64820933_64821059	-5.86624861111117	-2.09953586591024	20.2620273011155	6.75440519191496e-06	0.00863349218998659	intron (ENSMUST00000038890, intron 1 of 33)	9656	ENSMUSG00000053641	Dennd4a	protein_coding	DENN/MADD domain containing 4A [Source:MGI Symbol;Acc:MGI:2142979]
Htt_PeakRegion_32630_chr2_91539883_91540010	-5.69116190455308	-1.99262066199372	20.174168498594	7.07183369113814e-06	0.00863349218998659	intron (ENSMUST00000123253, intron 1 of 4)	-6373	ENSMUSG00000040549	Ckap5	protein_coding	cytoskeleton associated protein 5 [Source:MGI Symbol;Acc:MGI:1923036]
Htt_PeakRegion_02846_chr10_5366704_5366811	-5.57490883605723	-1.90689078796784	20.1540679252762	7.14653600590005e-06	0.00863349218998659	intron (ENSMUST00000041639, intron 15 of 31)	9585	ENSMUSG00000094906	Gm23573	snRNA	predicted gene, 23573 [Source:MGI Symbol;Acc:MGI:5453350]
Htt_PeakRegion_01079_chr1_87402935_87403116	-5.7279204545632	-2.02236800538778	20.1178543725835	7.28312594167284e-06	0.00863349218998659	promoter-TSS (ENSMUST00000172736)	-641	ENSMUSG00000048000	Gigyf2	protein_coding	GRB10 interacting GYF protein 2 [Source:MGI Symbol;Acc:MGI:2138584]
Htt_PeakRegion_08880_chr11_77271147_77271344	-5.83289001416474	-2.11547740977926	19.7588553709727	8.78740825205269e-06	0.0101562667725162	intron (ENSMUST00000037912, intron 1 of 14)	-22198	ENSMUSG00000083899	Gm12346	transcribed_processed_pseudogene	predicted gene 12346 [Source:MGI Symbol;Acc:MGI:3649810]
Htt_PeakRegion_02444_chr1_180091900_180092090	-5.7279204545632	-2.0681716950009	19.5206388207479	9.95411868622758e-06	0.0112241185605607	intron (ENSMUST00000134959, intron 13 of 17)	7512	ENSMUSG00000026490	Cdc42bpa	protein_coding	CDC42 binding protein kinase alpha [Source:MGI Symbol;Acc:MGI:2441841]
Htt_PeakRegion_13353_chr12_4464396_4464547	-5.69116190455308	-2.0681716950009	19.2113828733079	1.17039316580613e-05	0.0128829634400913	intron (ENSMUST00000085814, intron 1 of 22)	12710	ENSMUSG00000020647	Ncoa1	protein_coding	nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1276523]
Htt_PeakRegion_17697_chr14_31750961_31751111	-5.7279204545632	-2.09953586591024	19.110938227058	1.23362860952175e-05	0.0132006235779675	intron (ENSMUST00000014640, intron 4 of 27)	79379	ENSMUSG00000014496	Ankrd28	protein_coding	ankyrin repeat domain 28 [Source:MGI Symbol;Acc:MGI:2145661]
Htt_PeakRegion_55817_chr9_66422966_66423144	-5.83289001416474	-2.1643870102602	19.0733720491568	1.25815051945772e-05	0.0132006235779675	intron (ENSMUST00000042824, intron 25 of 77)	-2414	ENSMUSG00000100130	Gm28379	antisense	predicted gene 28379 [Source:MGI Symbol;Acc:MGI:5579085]
Htt_PeakRegion_56512_chr9_95705923_95706073	-5.79874179175289	-2.14789888747163	19.0332037375917	1.28491285286612e-05	0.0132006235779675	TTS (ENSMUST00000053785)	12616	ENSMUSG00000032839	Trpc1	protein_coding	transient receptor potential cation channel, subfamily C, member 1 [Source:MGI Symbol;Acc:MGI:109528]
Htt_PeakRegion_52522_chr8_85639311_85639394	-5.76376565350992	-2.13159707514253	18.9762319021449	1.32385407109066e-05	0.0132072774707425	exon (ENSMUST00000109686, exon 9 of 9)	51620	ENSMUSG00000036902	Neto2	protein_coding	neuropilin (NRP) and tolloid (TLL)-like 2 [Source:MGI Symbol;Acc:MGI:1921763]
Htt_PeakRegion_06634_chr11_29540370_29540520	-5.61470984411521	-2.03747489777799	18.9492664150929	1.34269654804113e-05	0.0132072774707425	TTS (ENSMUST00000132783)	474	ENSMUSG00000020459	Mtif2	protein_coding	mitochondrial translational initiation factor 2 [Source:MGI Symbol;Acc:MGI:1924034]
Htt_PeakRegion_13224_chr12_3602338_3602488	-5.79874179175289	-2.1643870102602	18.8063657955563	1.44713974174639e-05	0.0134869273170074	intron (ENSMUST00000174639, intron 4 of 17)	13241	ENSMUSG00000071454	Dtnb	protein_coding	dystrobrevin, beta [Source:MGI Symbol;Acc:MGI:1203728]
Htt_PeakRegion_54145_chr9_32228036_32228186	-5.61470984411521	-2.0527416544313	18.7639763010593	1.47966311171756e-05	0.0134869273170074	intron (ENSMUST00000183121, intron 1 of 3)	3519	ENSMUSG00000041444	Arhgap32	protein_coding	Rho GTPase activating protein 32 [Source:MGI Symbol;Acc:MGI:2450166]
Htt_PeakRegion_36072_chr3_88444302_88444402	-5.76376565350992	-2.14789888747163	18.7569709239414	1.48510824429054e-05	0.0134869273170074	intron (ENSMUST00000169222, intron 10 of 14)	-3213	ENSMUSG00000028064	Sema4a	protein_coding	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A [Source:MGI Symbol;Acc:MGI:107560]
Htt_PeakRegion_12614_chr11_116910646_116910791	-5.49185309632967	-1.96347431633421	18.7534938983524	1.4878183322173e-05	0.0134869273170074	Intergenic	-8144	ENSMUSG00000043857	Mgat5b	protein_coding	mannoside acetylglucosaminyltransferase 5, isoenzyme B [Source:MGI Symbol;Acc:MGI:3606200]
Htt_PeakRegion_56793_chr9_107059346_107059467	-5.69116190455308	-2.11547740977926	18.6068463765847	1.6067584715391e-05	0.0142850097880238	intron (ENSMUST00000167053, intron 7 of 8)	11604	ENSMUSG00000075469	Gm17205	processed_pseudogene	predicted gene 17205 [Source:MGI Symbol;Acc:MGI:4938032]
Htt_PeakRegion_46893_chr6_135022263_135022373	-5.53397857200235	-2.02236800538778	18.4468077916241	1.74748821754871e-05	0.0152430429783952	TTS (ENSMUST00000154558)	3318	ENSMUSG00000030204	Ddx47	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47 [Source:MGI Symbol;Acc:MGI:1915005]
Htt_PeakRegion_16497_chr13_59137785_59137853	-5.69116190455308	-2.13159707514253	18.3998975024981	1.79103896290632e-05	0.0153336152396522	Intergenic	312409	ENSMUSG00000021557	Agtpbp1	protein_coding	ATP/GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:2159437]
Htt_PeakRegion_09247_chr11_78520788_78520967	-5.93073733756288	-2.26748050322431	18.2853477320984	1.90202291866149e-05	0.0159877130095708	intron (ENSMUST00000133601, intron 9 of 10)	2547	ENSMUSG00000001100	Poldip2	protein_coding	polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]
