Gene.ID	logFC	logCPM	F	PValue	FDR	Gene.name	Gene.type	Gene.description
ENSMUSG00000063659	1.04029924389449	4.88316956620914	8.00164986735708	0.0046746601705278	0.999933314589864	Zbtb18	protein_coding	zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]
ENSMUSG00000024383	1.1185320546807	2.16429153691637	7.15438848276142	0.00747962969178777	0.999933314589864	Map3k2	protein_coding	mitogen-activated protein kinase kinase kinase 2 [Source:MGI Symbol;Acc:MGI:1346873]
ENSMUSG00000024386	1.1185320546807	2.16429153691637	7.15438848276142	0.00747962969178777	0.999933314589864	Proc	protein_coding	protein C [Source:MGI Symbol;Acc:MGI:97771]
ENSMUSG00000024712	1.07498347389111	2.4896766559206	7.08417808371345	0.00777833270482447	0.999933314589864	Rfk	protein_coding	riboflavin kinase [Source:MGI Symbol;Acc:MGI:1914688]
ENSMUSG00000027454	0.945752682652535	4.22604773163188	6.54096872096174	0.0105436567496624	0.999933314589864	Gins1	protein_coding	GINS complex subunit 1 (Psf1 homolog) [Source:MGI Symbol;Acc:MGI:1916520]
ENSMUSG00000032046	0.945752682652535	4.22604773163188	6.54096872096174	0.0105436567496624	0.999933314589864	Abhd12	protein_coding	abhydrolase domain containing 12 [Source:MGI Symbol;Acc:MGI:1923442]
ENSMUSG00000097892	1.0305680405413	2.31237289623984	6.28724227916543	0.0121630168788366	0.999933314589864	Gm26801	antisense	predicted gene, 26801 [Source:MGI Symbol;Acc:MGI:5477295]
ENSMUSG00000102432	1.0305680405413	2.31237289623984	6.28724227916543	0.0121630168788366	0.999933314589864	Gm29856	processed_transcript	predicted gene, 29856 [Source:MGI Symbol;Acc:MGI:5589015]
ENSMUSG00000038843	1.07195856120371	1.91168847899893	6.25013342883386	0.012420420899682	0.999933314589864	Gcnt1	protein_coding	glucosaminyl (N-acetyl) transferase 1, core 2 [Source:MGI Symbol;Acc:MGI:95676]
ENSMUSG00000023147	0.887724556973273	6.08849091580916	6.20174841175425	0.0127644715851551	0.999933314589864	Get1	protein_coding	guided entry of tail-anchored proteins factor 1 [Source:MGI Symbol;Acc:MGI:2136882]
ENSMUSG00000040118	0.882596331424675	4.37564557327792	5.7187981779925	0.0167865573515346	0.999933314589864	Cacna2d1	protein_coding	calcium channel, voltage-dependent, alpha2/delta subunit 1 [Source:MGI Symbol;Acc:MGI:88295]
ENSMUSG00000032449	0.835695932131927	5.70245332483961	5.44050572684752	0.019677488719778	0.999933314589864	Slc25a36	protein_coding	solute carrier family 25, member 36 [Source:MGI Symbol;Acc:MGI:1924909]
ENSMUSG00000082341	0.938590494607055	2.23735099174349	5.14734956353802	0.0232845891740883	0.999933314589864	Gm14143	processed_pseudogene	predicted gene 14143 [Source:MGI Symbol;Acc:MGI:3649545]
ENSMUSG00000103043	1.02101690978579	1.32956509992325	5.09713133392901	0.02396818440876	0.999933314589864	Gm37306	lincRNA	predicted gene, 37306 [Source:MGI Symbol;Acc:MGI:5610534]
ENSMUSG00000033060	0.802129273778594	6.13780646627298	5.08438440357712	0.0241449924208185	0.999933314589864	Lmo7	protein_coding	LIM domain only 7 [Source:MGI Symbol;Acc:MGI:1353586]
ENSMUSG00000039488	0.854497178591875	2.78082210839597	4.76818550525911	0.0289933177746103	0.999933314589864	Cntn5	protein_coding	contactin 5 [Source:MGI Symbol;Acc:MGI:3042287]
ENSMUSG00000032712	0.790777710970919	4.9906782460436	4.68926192277569	0.0303546870157613	0.999933314589864	Resf1	protein_coding	retroelement silencing factor 1 [Source:MGI Symbol;Acc:MGI:1914496]
ENSMUSG00000029233	0.771947874832045	5.59499881428738	4.63478444071679	0.0313331203543991	0.999933314589864	Srd5a3	protein_coding	steroid 5 alpha-reductase 3 [Source:MGI Symbol;Acc:MGI:1930252]
ENSMUSG00000035376	0.904851688930294	2.02150826251917	4.59933245470442	0.0319874713068479	0.999933314589864	Hacd2	protein_coding	3-hydroxyacyl-CoA dehydratase 2 [Source:MGI Symbol;Acc:MGI:1918007]
ENSMUSG00000026988	0.761523721816892	5.60157969596966	4.51251111131822	0.0336509273385946	0.999933314589864	Wdsub1	protein_coding	WD repeat, SAM and U-box domain containing 1 [Source:MGI Symbol;Acc:MGI:1919387]
ENSMUSG00000101365	0.832444847115447	2.5464701280954	4.34787795905083	0.0370583158937281	0.999933314589864	Gm19325	lincRNA	predicted gene, 19325 [Source:MGI Symbol;Acc:MGI:5011510]
ENSMUSG00000021928	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864	Ebpl	protein_coding	emopamil binding protein-like [Source:MGI Symbol;Acc:MGI:1915427]
ENSMUSG00000089253	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864	Gm25716	snRNA	predicted gene, 25716 [Source:MGI Symbol;Acc:MGI:5455493]
ENSMUSG00000101505	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864	1700109G14Rik	antisense	RIKEN cDNA 1700109G14 gene [Source:MGI Symbol;Acc:MGI:1914605]
ENSMUSG00000058486	0.754861158657654	4.94582985412123	4.26862829829784	0.0388255340596192	0.999933314589864	Wdr91	protein_coding	WD repeat domain 91 [Source:MGI Symbol;Acc:MGI:2141558]
ENSMUSG00000040681	0.729649846267165	6.61568762239675	4.25159114763858	0.0392168609189212	0.999933314589864	Hmgn1	protein_coding	high mobility group nucleosomal binding domain 1 [Source:MGI Symbol;Acc:MGI:96120]
ENSMUSG00000093581	0.963759073392802	0.943527409495811	4.21476566747093	0.0400769114142755	0.999933314589864	Gm18006	processed_pseudogene	predicted gene, 18006 [Source:MGI Symbol;Acc:MGI:5010191]
ENSMUSG00000096936	0.878100559694009	1.81578171847079	4.17361512828546	0.0410614406759424	0.999933314589864	Gm3510	lincRNA	predicted gene 3510 [Source:MGI Symbol;Acc:MGI:3781687]
ENSMUSG00000039630	0.721131742008546	6.1956792998827	4.12657265833002	0.0422181316079044	0.999933314589864	Hnrnpu	protein_coding	heterogeneous nuclear ribonucleoprotein U [Source:MGI Symbol;Acc:MGI:1858195]
ENSMUSG00000072653	0.746355729071284	4.26750286435181	4.10492406860135	0.0427618901151486	0.999933314589864	Zfp783	transcribed_unprocessed_pseudogene	zinc finger protein 783 [Source:MGI Symbol;Acc:MGI:3040704]
ENSMUSG00000026304	0.742582679804255	4.13271784143304	4.06193590793605	0.043863594731503	0.999933314589864	Rab17	protein_coding	RAB17, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:104640]
ENSMUSG00000020191	0.763115687010849	3.25399558410269	4.05681305021291	0.0439968613021511	0.999933314589864	Spata48	protein_coding	spermatogenesis associated 48 [Source:MGI Symbol;Acc:MGI:1921112]
ENSMUSG00000062098	0.746676291037444	3.76055223702887	4.04485878664933	0.0443095008576674	0.999933314589864	Btbd3	protein_coding	BTB (POZ) domain containing 3 [Source:MGI Symbol;Acc:MGI:2385155]
ENSMUSG00000100725	0.720679068147283	5.45952592297762	4.01712186976101	0.0450439466461736	0.999933314589864	NA	NA	NA
ENSMUSG00000026527	0.748355613903081	3.55707307266363	4.01087809152084	0.0452110364453057	0.999933314589864	Rgs7	protein_coding	regulator of G protein signaling 7 [Source:MGI Symbol;Acc:MGI:1346089]
ENSMUSG00000056004	0.734644648060728	4.61247122024799	3.99892527754972	0.0455327295616322	0.999933314589864	9330182L06Rik	protein_coding	RIKEN cDNA 9330182L06 gene [Source:MGI Symbol;Acc:MGI:2443264]
ENSMUSG00000104026	0.749255250485402	3.46094164525553	3.98980963503696	0.0457796845202628	0.999933314589864	Gm37212	TEC	predicted gene, 37212 [Source:MGI Symbol;Acc:MGI:5610440]
ENSMUSG00000069303	0.754124258057432	3.27486535222808	3.96971400086681	0.0463291008430941	0.999933314589864	Hist1h2br	protein_coding	histone cluster 1 H2br [Source:MGI Symbol;Acc:MGI:3710645]
ENSMUSG00000044250	1.02497311052383	0.155116914901364	3.92312401748948	0.0476297883300132	0.999933314589864	Pced1b	protein_coding	PC-esterase domain containing 1B [Source:MGI Symbol;Acc:MGI:2446270]
ENSMUSG00000048218	1.02497311052383	0.155116914901364	3.92312401748948	0.0476297883300132	0.999933314589864	Amigo2	protein_coding	adhesion molecule with Ig like domain 2 [Source:MGI Symbol;Acc:MGI:2145995]
ENSMUSG00000028656	0.940493779939217	0.841570161034747	3.91584159068282	0.0478365530209251	0.999933314589864	Cap1	protein_coding	CAP, adenylate cyclase-associated protein 1 (yeast) [Source:MGI Symbol;Acc:MGI:88262]
