Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_57973_chrY_4161555_4161570	2.12750085442742	-0.724687456747092	24.4131684901757	7.7762595848888e-07	0.0268010679228208	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_38348_chr4_64497992_64498040	1.46404116467108	4.49792327359195	23.6440091760166	1.15944141043113e-06	0.0268010679228208	Intergenic	53286	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_38347_chr4_64497904_64497938	1.39548386118752	3.65005733658372	21.8349698052663	2.97218521682624e-06	0.045802364919698	Intergenic	53191	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_54221_chr9_37541581_37541819	-1.84767891666614	-1.25860235187786	19.6020012331072	9.53910558129694e-06	0.110250597532235	intron (ENSMUST00000002008, intron 4 of 6)	2445	ENSMUSG00000001943	Vsig2	protein_coding	V-set and immunoglobulin domain containing 2 [Source:MGI Symbol;Acc:MGI:1928009]
Htt_PeakRegion_28396_chr19_5058347_5058464	-2.4327506459648	-2.08376855005192	18.0558099556456	2.14564927313307e-05	0.19839102309243	Intergenic	7598	ENSMUSG00000024883	Rin1	protein_coding	Ras and Rab interactor 1 [Source:MGI Symbol;Acc:MGI:2385695]
Htt_PeakRegion_21563_chr16_11144185_11144303	-1.00159214148729	1.03110540788154	17.2517672969847	3.27451563001884e-05	0.217111378316517	TTS (ENSMUST00000102303)	119	ENSMUSG00000076258	Gm23935	miRNA	predicted gene, 23935 [Source:MGI Symbol;Acc:MGI:5453712]
Htt_PeakRegion_15536_chr12_112608940_112609259	-1.63247249036258	-1.1561193942766	17.2443286325173	3.2873605334421e-05	0.217111378316517	intron (ENSMUST00000101029, intron 16 of 22)	-10945	ENSMUSG00000011148	Adssl1	protein_coding	adenylosuccinate synthetase like 1 [Source:MGI Symbol;Acc:MGI:87947]
Htt_PeakRegion_29596_chr19_37270332_37270723	1.46658482140066	-0.79997558405133	16.6137694258677	4.58248232293481e-05	0.237811492968285	TTS (ENSMUST00000154339)	20350	ENSMUSG00000056999	Ide	protein_coding	insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]
Htt_PeakRegion_00566_chr1_64573667_64573760	2.99021058117684	-2.34054396541403	16.4730267716005	4.93552554213573e-05	0.237811492968285	intron (ENSMUST00000190876, intron 6 of 9)	-2674	ENSMUSG00000025958	Creb1	protein_coding	cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]
Htt_PeakRegion_30951_chr2_28553182_28553332	-2.1101422071906	-1.89308498844281	16.3946029846285	5.14398332219258e-05	0.237811492968285	TTS (ENSMUST00000028170)	4199	ENSMUSG00000026821	Ralgds	protein_coding	ral guanine nucleotide dissociation stimulator [Source:MGI Symbol;Acc:MGI:107485]
Htt_PeakRegion_36100_chr3_88579139_88579385	-1.7652504286574	-1.5305149090581	15.789161516094	7.08176983725266e-05	0.297633910314571	promoter-TSS (ENSMUST00000035785)	-346	ENSMUSG00000041355	Ssr2	protein_coding	signal sequence receptor, beta [Source:MGI Symbol;Acc:MGI:1913506]
Htt_PeakRegion_48432_chr7_47078568_47078593	-2.741205281252	-2.51986766485859	14.2413739037641	0.000160816178188379	0.574619106867602	exon (ENSMUST00000033142, exon 14 of 14)	4643	ENSMUSG00000098960	Mir7056	miRNA	microRNA 7056 [Source:MGI Symbol;Acc:MGI:5531078]
Htt_PeakRegion_44158_chr5_140620126_140620749	-1.27436129388565	-0.688467268834337	14.1927310967054	0.000165027157522412	0.574619106867602	TTS (ENSMUST00000042661)	13097	ENSMUSG00000029570	Lfng	protein_coding	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:MGI Symbol;Acc:MGI:1095413]
Htt_PeakRegion_14142_chr12_73042426_73043334	1.08958162841138	0.117183347011017	14.07342535697	0.000175831754727539	0.574619106867602	promoter-TSS (ENSMUST00000176310)	-65	ENSMUSG00000051367	Six1	protein_coding	sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
Htt_PeakRegion_31366_chr2_31701758_31701929	-1.96964366220275	-1.92082997892571	13.8637623567493	0.000196575314612083	0.574619106867602	intron (ENSMUST00000142554, intron 2 of 11)	12233	ENSMUSG00000026842	Abl1	protein_coding	c-abl oncogene 1, non-receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:87859]
Htt_PeakRegion_01091_chr1_87472851_87473193	-1.3966600886412	-0.985278686652557	13.8419634406915	0.000198868847956601	0.574619106867602	intron (ENSMUST00000191095, intron 1 of 2)	483	ENSMUSG00000026258	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
Htt_PeakRegion_37994_chr4_21848172_21848237	-2.56678752988139	-2.60733050610893	13.5346063985004	0.000234231047675666	0.636984445005512	intron (ENSMUST00000152666, intron 1 of 2)	124	ENSMUSG00000028248	Pnisr	protein_coding	PNN interacting serine/arginine-rich [Source:MGI Symbol;Acc:MGI:1913875]
