Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_41917_chr5_36660897_36661262	-2.64583479792695	3.06332574300951	29.4656595458912	5.69479804005399e-08	0.00263276208189736	intron (ENSMUST00000031091, intron 2 of 8)	5432	ENSMUSG00000089407	Gm24878	snRNA	predicted gene, 24878 [Source:MGI Symbol;Acc:MGI:5454655]
Htt_PeakRegion_34316_chr2_156166051_156166406	-6.77510248997785	-1.10748461902573	27.8370149450865	1.32042662794725e-07	0.00305223217183147	intron (ENSMUST00000155837, intron 7 of 17)	-1017	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_41916_chr5_36630463_36630759	-2.58713657899742	3.80682617316521	25.1976779519787	5.17657478509573e-07	0.00797727429632535	intron (ENSMUST00000031091, intron 2 of 8)	-9356	ENSMUSG00000029190	D5Ertd579e	protein_coding	DNA segment, Chr 5, ERATO Doi 579, expressed [Source:MGI Symbol;Acc:MGI:1261849]
Htt_PeakRegion_03183_chr10_41822461_41823015	-2.66528363025149	-0.402759361859728	20.0428579230398	7.5745890074374e-06	0.0875452061007096	intron (ENSMUST00000099931, intron 1 of 9)	12164	ENSMUSG00000038332	Sesn1	protein_coding	sestrin 1 [Source:MGI Symbol;Acc:MGI:2155278]
Htt_PeakRegion_06159_chr11_4595227_4595604	-3.75365915382116	-1.25860235187786	18.1645897487544	2.02655725524202e-05	0.187379536934187	promoter-TSS (ENSMUST00000109943)	-553	ENSMUSG00000034354	Mtmr3	protein_coding	myotubularin related protein 3 [Source:MGI Symbol;Acc:MGI:1921552]
Htt_PeakRegion_01917_chr1_154510949_154511098	-6.50558720736351	-1.94911902335714	17.4385622570883	2.96804721576157e-05	0.227149089950757	intron (ENSMUST00000188965, intron 9 of 13)	-34328	ENSMUSG00000004110	Cacna1e	protein_coding	calcium channel, voltage-dependent, R type, alpha 1E subunit [Source:MGI Symbol;Acc:MGI:106217]
Htt_PeakRegion_37884_chr4_3067968_3067982	3.77055061845936	-1.59610325068568	17.1585026108836	3.43934509237373e-05	0.227149089950757	Intergenic	-16156	ENSMUSG00000099186	Gm27878	miRNA	predicted gene, 27878 [Source:MGI Symbol;Acc:MGI:5531260]
Htt_PeakRegion_26744_chr18_3008520_3008559	1.94680218347047	0.281412742789327	16.3873081840057	5.16391131840187e-05	0.274586400024273	Intergenic	19342	ENSMUSG00000093774	Vmn1r-ps151	unprocessed_pseudogene	vomeronasal 1 receptor, pseudogene 151 [Source:MGI Symbol;Acc:MGI:3852490]
Htt_PeakRegion_26251_chr17_67030925_67031007	-6.79288596690569	-2.47804748916397	16.1668217717781	5.80113788112745e-05	0.274586400024273	intron (ENSMUST00000037974, intron 7 of 30)	-4731	ENSMUSG00000093508	Mir5709	miRNA	microRNA 5709 [Source:MGI Symbol;Acc:MGI:5451818]
Htt_PeakRegion_18728_chr14_78590727_78591141	-5.74863754997347	-1.21501308333017	15.9671382776315	6.44626951948778e-05	0.274586400024273	intron (ENSMUST00000074729, intron 20 of 28)	-12776	ENSMUSG00000084447	Gm26251	snoRNA	predicted gene, 26251 [Source:MGI Symbol;Acc:MGI:5456028]
