Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_41917_chr5_36660897_36661262	2.32668946898109	3.06332574300951	38.6961449225957	4.95654605158702e-10	2.2914608051092e-05	intron (ENSMUST00000031091, intron 2 of 8)	5432	ENSMUSG00000089407	Gm24878	snRNA	predicted gene, 24878 [Source:MGI Symbol;Acc:MGI:5454655]
Htt_PeakRegion_41916_chr5_36630463_36630759	2.19564756610392	3.80682617316521	30.3694538967134	3.57318312573092e-08	0.000825959145428331	intron (ENSMUST00000031091, intron 2 of 8)	-9356	ENSMUSG00000029190	D5Ertd579e	protein_coding	DNA segment, Chr 5, ERATO Doi 579, expressed [Source:MGI Symbol;Acc:MGI:1261849]
Htt_PeakRegion_57973_chrY_4161555_4161570	2.15600502400255	-0.724687456747092	27.3948735435246	1.65950563608368e-07	0.00255735350205949	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_14142_chr12_73042426_73043334	2.39023410827827	0.117183347011017	25.1550868848099	5.29216227550935e-07	0.00611654885397682	promoter-TSS (ENSMUST00000176310)	-65	ENSMUSG00000051367	Six1	protein_coding	sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
Htt_PeakRegion_38347_chr4_64497904_64497938	1.56154885247912	3.65005733658372	24.2162891781167	8.61337867040227e-07	0.00702877680093637	Intergenic	53191	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_34316_chr2_156166051_156166406	5.88264304936184	-1.10748461902573	24.1057593500086	9.1221606293652e-07	0.00702877680093637	intron (ENSMUST00000155837, intron 7 of 17)	-1017	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_05908_chr11_3180165_3180278	-1.36138744546252	1.27531254325291	23.5356309241998	1.22665990059693e-06	0.00810138769492811	intron (ENSMUST00000140846, intron 1 of 29)	-2729	ENSMUSG00000023764	Sfi1	protein_coding	Sfi1 homolog, spindle assembly associated (yeast) [Source:MGI Symbol;Acc:MGI:1926137]
Htt_PeakRegion_38348_chr4_64497992_64498040	1.58021543121064	4.49792327359195	22.1821360858688	2.48050137428381e-06	0.0143345073793143	Intergenic	53286	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_34328_chr2_156175986_156176737	3.23946593469539	-0.258602351877856	21.6714929014805	3.23663759161796e-06	0.0166258880553433	TTS (ENSMUST00000132929)	1021	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_21563_chr16_11144185_11144303	-1.35715001245666	1.03110540788154	21.2842973481435	3.96079549747953e-06	0.0183111536643976	TTS (ENSMUST00000102303)	119	ENSMUSG00000076258	Gm23935	miRNA	predicted gene, 23935 [Source:MGI Symbol;Acc:MGI:5453712]
