Gene.ID	logFC	logCPM	F	PValue	FDR	Gene.name	Gene.type	Gene.description
ENSMUSG00000074797	-0.736200531292072	5.90982623729345	97.9430501431996	4.53342459783056e-06	0.0106209938945812	Itpa	protein_coding	inosine triphosphatase (nucleoside triphosphate pyrophosphatase) [Source:MGI Symbol;Acc:MGI:96622]
ENSMUSG00000026258	-0.852514969613566	4.62253976617831	91.5225600097615	5.9733461410027e-06	0.0106209938945812	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
ENSMUSG00000037703	-0.744588068666243	4.7918138788025	73.3443000920965	1.45464100388272e-05	0.0106209938945812	Lzts3	protein_coding	leucine zipper, putative tumor suppressor family member 3 [Source:MGI Symbol;Acc:MGI:2656976]
ENSMUSG00000027300	-0.736120560361391	4.59029575266487	71.4756565971636	1.61176784896957e-05	0.0106209938945812	Ubox5	protein_coding	U box domain containing 5 [Source:MGI Symbol;Acc:MGI:2154658]
ENSMUSG00000079043	-0.736120560361391	4.59029575266487	71.4756565971636	1.61176784896957e-05	0.0106209938945812	Fastkd5	protein_coding	FAST kinase domains 5 [Source:MGI Symbol;Acc:MGI:2139469]
ENSMUSG00000023868	-0.544308674432952	8.40421889950939	69.6433711833073	1.78654228672517e-05	0.0106209938945812	Pde10a	protein_coding	phosphodiesterase 10A [Source:MGI Symbol;Acc:MGI:1345143]
ENSMUSG00000040701	-0.54997300577891	7.12446580828787	61.8462666314177	2.85039889711814e-05	0.013090138252968	Ap1g2	protein_coding	adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]
ENSMUSG00000049643	-0.658984086326546	6.56029017779799	59.1867266319568	3.38333260098458e-05	0.013090138252968	2310022A10Rik	protein_coding	RIKEN cDNA 2310022A10 gene [Source:MGI Symbol;Acc:MGI:1913617]
ENSMUSG00000023873	-0.652485106727794	7.99256054908056	55.74883087559	4.26652087358732e-05	0.013090138252968	1700010I14Rik	protein_coding	RIKEN cDNA 1700010I14 gene [Source:MGI Symbol;Acc:MGI:1914181]
ENSMUSG00000052429	-0.751696583710785	4.52912665021521	55.6204973564779	4.30465858325187e-05	0.013090138252968	NA	NA	NA
ENSMUSG00000079434	-0.770256891815109	3.98235964850495	55.2934839434586	4.4037470994005e-05	0.013090138252968	Neu2	protein_coding	neuraminidase 2 [Source:MGI Symbol;Acc:MGI:1344417]
ENSMUSG00000091123	-0.770256891815109	3.98235964850495	55.2934839434586	4.4037470994005e-05	0.013090138252968	Gm17181	processed_pseudogene	predicted gene 17181 [Source:MGI Symbol;Acc:MGI:4938008]
ENSMUSG00000038406	-0.751676261500812	4.33707653896249	52.822028806939	5.25072622880394e-05	0.0144071849678028	Scaf1	protein_coding	SR-related CTD-associated factor 1 [Source:MGI Symbol;Acc:MGI:2141980]
