Chr	Start	End	Peak.ID	Peak.Label	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
chr1	5069759	5070260	Htt_PeakRegion_00003	mHTT-specific	NA	promoter-TSS (ENSMUST00000192847)	-promoter-TSS (ENSMUST00000192847)	-8	ENSMUST00000192847	ENSMUSG00000033793	ENSMUST00000192029	NA	ENSMUSG00000033793	Atp6v1h	NA	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]	protein_coding
chr1	5139041	5139278	Htt_PeakRegion_00004	WT-specific	NA	intron (ENSMUST00000194301, intron 10 of 10)	-intron (ENSMUST00000044369, intron 11 of 13)	55996	ENSMUST00000192142	ENSMUSG00000033793	ENSMUST00000192029	NA	ENSMUSG00000033793	Atp6v1h	NA	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]	protein_coding
chr1	9088486	9088504	Htt_PeakRegion_00009	mHTT-specific	NA	intron (ENSMUST00000191683, intron 2 of 20)	-intron (ENSMUST00000126083, intron 3 of 4)	103621	ENSMUST00000193635	ENSMUSG00000102316	ENSMUST00000193635	NA	ENSMUSG00000102316	Gm37629	NA	predicted gene, 37629 [Source:MGI Symbol;Acc:MGI:5610857]	TEC
chr1	10026767	10026958	Htt_PeakRegion_00011	mHTT-specific	NA	TTS (ENSMUST00000186528)	-TTS (ENSMUST00000186528)	8265	ENSMUST00000190155	ENSMUSG00000025917	ENSMUST00000188619	NA	ENSMUSG00000025917	Cops5	NA	COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]	protein_coding
chr1	13620197	13620303	Htt_PeakRegion_00015	WT-specific	NA	Intergenic	Intergenic	18161	ENSMUST00000156222	ENSMUSG00000025937	ENSMUST00000027071	NA	ENSMUSG00000025937	Lactb2	NA	lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]	protein_coding
chr1	16342322	16343138	Htt_PeakRegion_00016	WT-mHTT-shared	NA	TTS (ENSMUST00000128957)	-TTS (ENSMUST00000128957)	32665	ENSMUST00000115360	ENSMUSG00000025920	ENSMUST00000115360	NA	ENSMUSG00000025920	Stau2	NA	staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]	protein_coding
chr1	16963984	16964247	Htt_PeakRegion_00017	mHTT-specific	NA	TTS (ENSMUST00000186024)	-TTS (ENSMUST00000186024)	33146	ENSMUST00000194790	ENSMUSG00000104133	ENSMUST00000194790	NA	ENSMUSG00000104133	4921511E07Rik	NA	RIKEN cDNA 4921511E07 gene [Source:MGI Symbol;Acc:MGI:1918145]	TEC
chr1	21272448	21272676	Htt_PeakRegion_00018	mHTT-specific	NA	promoter-TSS (ENSMUST00000185842)	-promoter-TSS (ENSMUST00000185842)	159	ENSMUST00000178379	ENSMUSG00000096375	ENSMUST00000178379	NA	ENSMUSG00000096375	Gm7094	NA	predicted pseudogene 7094 [Source:MGI Symbol;Acc:MGI:3648114]	unprocessed_pseudogene
chr1	23946109	23946287	Htt_PeakRegion_00022	WT-specific	NA	Intergenic	Intergenic	-23881	ENSMUST00000027339	ENSMUSG00000026155	ENSMUST00000136506	NA	ENSMUSG00000026155	Smap1	NA	small ArfGAP 1 [Source:MGI Symbol;Acc:MGI:2138261]	protein_coding
chr1	25070414	25070577	Htt_PeakRegion_00024	mHTT-specific	NA	intron (ENSMUST00000153568, intron 9 of 9)	-intron (ENSMUST00000041838, intron 29 of 29)	-43264	ENSMUST00000185379	ENSMUSG00000099392	ENSMUST00000185379	NA	ENSMUSG00000099392	Gm29414	NA	predicted gene 29414 [Source:MGI Symbol;Acc:MGI:5580120]	lincRNA
