genes	logFC	logCPM	F	PValue	FDR	PeakRegion	Htt.LogFC	Htt.PValue	Htt.FDR
WT_PeakRegion_24_chr1_9535818_9536843	1.48315559125273	1.32734271588999	22.4202777594845	3.96460281684846e-06	0.0156284643040166	WT_PeakRegion_24_chr1_9535818_9536843	-0.975005856038365	0.00134745728799101	0.00929747688338622
WT_PeakRegion_4991_chr13_113221001_113222526	1.78118160078238	-0.247161223149762	17.177499079548	4.889953723114e-05	0.096380987882577	WT_PeakRegion_4991_chr13_113221001_113222526	-0.255818233287516	0.444549099525432	0.525394288634966
WT_PeakRegion_406_chr1_169270403_169270633	-1.13803925455065	2.57898598279251	13.1631365976799	0.000356388687155772	0.468294734922684	WT_PeakRegion_406_chr1_169270403_169270633	-1.12971828501056	5.76054644671347e-05	0.00183011809566755
WT_PeakRegion_2460_chr6_43693506_43694293	-1.61134107131337	-0.516804312967247	12.5859995210899	0.000476718124053479	0.469805711254704	WT_PeakRegion_2460_chr6_43693506_43694293	-0.419603719375162	0.299184572680034	0.382468349807636
WT_PeakRegion_1004_chr3_61963028_61963321	-1.06377662893194	2.64425628802024	11.2344130672244	0.000947923956502185	0.544978091147875	WT_PeakRegion_1004_chr3_61963028_61963321	-1.27397353895985	3.06591387584184e-05	0.00134429510066476
WT_PeakRegion_4627_chr12_105020386_105020986	-1.41958589534473	-0.298690858928695	11.034968392472	0.00104992268094393	0.544978091147875	WT_PeakRegion_4627_chr12_105020386_105020986	-1.2653943536941	0.00209114683886538	0.0118811108159437
WT_PeakRegion_859_chr3_9994986_9995971	-1.5670277432356	-0.685319057456387	10.9232580522507	0.00111187670295532	0.544978091147875	WT_PeakRegion_859_chr3_9994986_9995971	-1.45876399218501	0.000100157393109437	0.00242188369104674
Shared_PeakRegion_609_chr5_96448852_96450285	-1.34746709278856	-0.140736351208525	10.8081386915084	0.00117963050749103	0.544978091147875	Shared_PeakRegion_609_chr5_96448852_96450285	-1.20945080678995	4.41412988688185e-05	0.00165371204623037
Shared_PeakRegion_1811_chrX_148177381_148178506	-1.07282699611911	0.723326463899364	10.1670633060864	0.00164203792755539	0.544978091147875	Shared_PeakRegion_1811_chrX_148177381_148178506	-1.12853755220993	0.000653194742676753	0.00617932752539414
WT_PeakRegion_3612_chr9_12740078_12740985	-1.41784573959305	-0.515125343827886	9.95907764699577	0.00182895141211292	0.544978091147875	WT_PeakRegion_3612_chr9_12740078_12740985	-1.61941234194869	0.000120019454265107	0.00265879575098404
WT_PeakRegion_4079_chr10_104675285_104675604	-0.990695675362501	2.97329314592447	9.94470325198633	0.00184264650507787	0.544978091147875	WT_PeakRegion_4079_chr10_104675285_104675604	-1.14996069517661	5.30876518304436e-05	0.00175305380278843
Shared_PeakRegion_1253_chr15_83868940_83871102	-1.34905779968659	-0.339133074019706	9.8188758054581	0.00196709470332585	0.544978091147875	Shared_PeakRegion_1253_chr15_83868940_83871102	-1.05638365713591	0.000249911656315332	0.0038892731550576
Shared_PeakRegion_468_chr4_147119301_147120946	-1.43723299536398	-0.633945054736273	9.73934667918149	0.00205015278519477	0.544978091147875	Shared_PeakRegion_468_chr4_147119301_147120946	-0.261310758865154	0.233258530307762	0.313314209960865
WT_PeakRegion_1863_chr5_40466340_40467810	-1.31498776918401	-0.25806218464976	9.65972143286704	0.00213690718453409	0.544978091147875	WT_PeakRegion_1863_chr5_40466340_40467810	-0.906077271672581	0.0033184010562781	0.0155356028380908
WT_PeakRegion_5033_chr14_14526266_14527164	-1.36020998382128	-0.495820649661329	9.47037562617452	0.00235860917434601	0.544978091147875	WT_PeakRegion_5033_chr14_14526266_14527164	-0.827084091266803	0.0159105182544373	0.0436115332564609
Q111_PeakRegion_453_chr4_146499382_146499972	-1.05194318022193	0.55132722809276	9.35279816428787	0.00250799271709751	0.544978091147875	Q111_PeakRegion_453_chr4_146499382_146499972	-0.102015810417113	0.755844136033766	0.804411822486535
Shared_PeakRegion_22_chr1_44537585_44538693	-1.28151333219964	-0.274197020068809	9.18224611156219	0.00274208757263273	0.544978091147875	Shared_PeakRegion_22_chr1_44537585_44538693	-1.05807088216464	0.00477360764232638	0.019544735850084
WT_PeakRegion_492_chr2_9134270_9134920	-1.55003722060635	-0.855710688374038	9.11101297914164	0.00284637561892396	0.544978091147875	WT_PeakRegion_492_chr2_9134270_9134920	-0.582594729154533	0.174745114246963	0.249071493000893
WT_PeakRegion_1511_chr4_120926939_120928482	-1.15331753351498	0.0908314800857627	9.08309382029764	0.00288835042646338	0.544978091147875	WT_PeakRegion_1511_chr4_120926939_120928482	-1.07790001975617	0.000491430520605015	0.00530976105443066
WT_PeakRegion_5233_chr14_72190147_72191906	-1.08060974431918	0.256654284206573	8.80471807975596	0.00334322100103373	0.544978091147875	WT_PeakRegion_5233_chr14_72190147_72191906	-1.0569606110864	0.00155038213792964	0.0101199814482184
WT_PeakRegion_2632_chr6_117642087_117643766	-1.09926849825206	0.20518959087684	8.7988760941249	0.00335351667285574	0.544978091147875	WT_PeakRegion_2632_chr6_117642087_117643766	-1.44540706684132	8.67997348425519e-06	0.000710901954110544
WT_PeakRegion_2395_chr6_13521685_13522523	-1.48197311038586	-0.824380530699781	8.79271072425759	0.00336441751267267	0.544978091147875	WT_PeakRegion_2395_chr6_13521685_13522523	-1.20434527152064	0.00185648470951503	0.0111483361673379
Shared_PeakRegion_1052_chr12_35621732_35622992	-1.53472081786078	-0.87686862610718	8.74752269372853	0.00344543008102194	0.544978091147875	Shared_PeakRegion_1052_chr12_35621732_35622992	-0.64261973964603	0.0301198565315987	0.0681534312568316
Shared_PeakRegion_1537_chrX_114200857_114203309	-0.997100846046064	0.801740525228069	8.59191192006203	0.00374003620289006	0.544978091147875	Shared_PeakRegion_1537_chrX_114200857_114203309	-1.40828823634193	1.703741751223e-07	6.69127558462996e-05
Shared_PeakRegion_139_chr2_102448971_102449809	-1.2057472103056	-0.222813845917864	8.36904282071507	0.00420765387455245	0.544978091147875	Shared_PeakRegion_139_chr2_102448971_102449809	-0.465111964225832	0.173950923647951	0.248363654936886
Shared_PeakRegion_262_chr3_159430041_159431479	-1.15585087609192	-0.0968996680547478	8.22302472452567	0.00454618600831574	0.544978091147875	Shared_PeakRegion_262_chr3_159430041_159431479	-0.620157962991951	0.052160296843701	0.100360134149197
Shared_PeakRegion_1305_chr16_86951106_86952128	-1.00215069270444	0.480376571357606	8.20828984220138	0.0045818660938018	0.544978091147875	Shared_PeakRegion_1305_chr16_86951106_86952128	-0.656869215387169	0.0593705687414761	0.110178298885784
WT_PeakRegion_6486_chrX_61885242_61886409	-1.13308780861919	-0.103704967525	8.05416445379878	0.00497277376700947	0.544978091147875	WT_PeakRegion_6486_chrX_61885242_61886409	-1.35188473943222	0.00016895937799701	0.00315135143132913
