genes	logFC	logCPM	F	PValue	FDR	PeakRegion	Htt.LogFC	Htt.PValue	Htt.FDR
Shared_PeakRegion_1258_chr15_96528779_96531620	-0.606554290950285	4.96565218090156	9.57786207854848	0.00309862176563093	0.998176896711307	Shared_PeakRegion_1258_chr15_96528779_96531620	-0.172195518832578	0.316105405379354	0.399746986434135
Shared_PeakRegion_71_chr1_90193918_90195949	-1.40481066753692	-0.657954120519958	8.89257231085191	0.00426559534262946	0.998176896711307	Shared_PeakRegion_71_chr1_90193918_90195949	-0.281989025146339	0.0816241851232144	0.139545701845589
Shared_PeakRegion_316_chr4_100747367_100748932	-1.32530737064211	-0.751356097106682	8.11182167450428	0.00617952990981072	0.998176896711307	Shared_PeakRegion_316_chr4_100747367_100748932	-0.634862977130107	0.0254918066588574	0.0601142425717801
Shared_PeakRegion_1348_chr17_24392538_24394279	-1.37573560673271	-0.897580922119839	7.67227108539319	0.00763838018152405	0.998176896711307	Shared_PeakRegion_1348_chr17_24392538_24394279	-0.293126289110953	0.244487447266215	0.325582716479154
WT_PeakRegion_3766_chr9_86116396_86116667	1.27508575469987	-0.753189985255176	7.47341772825709	0.00841391007084723	0.998176896711307	WT_PeakRegion_3766_chr9_86116396_86116667	-1.32801639213935	0.00615411849503543	0.022901997133044
Shared_PeakRegion_848_chr8_19713256_19714439	-1.57222418060951	-1.15071650233081	7.14554138093837	0.00987975810444753	0.998176896711307	Shared_PeakRegion_848_chr8_19713256_19714439	-0.9086730942875	1.23249871671721e-06	0.00027710242424576
WT_PeakRegion_6376_chr19_60832428_60832725	-0.697892683263227	2.82155328229052	6.82051202121364	0.0116019617022814	0.998176896711307	WT_PeakRegion_6376_chr19_60832428_60832725	-2.82298179683463	1.08406150136215e-05	0.000812431055666231
Q111_PeakRegion_56_chr1_88338850_88339707	-0.498567464636821	4.8643751233083	6.63311966353294	0.0127370182549038	0.998176896711307	Q111_PeakRegion_56_chr1_88338850_88339707	-0.554703494559594	0.0279649648549588	0.0643523047958079
Shared_PeakRegion_1330_chr17_13410518_13413787	-1.19999274719028	-0.756718578091806	6.35981862971151	0.0146083197162195	0.998176896711307	Shared_PeakRegion_1330_chr17_13410518_13413787	-0.55465461345576	0.000833114380462543	0.0070541022903427
WT_PeakRegion_3675_chr9_35693371_35695091	-1.25742160991281	-0.976013658823801	6.02989165008996	0.0172642523830694	0.998176896711307	WT_PeakRegion_3675_chr9_35693371_35695091	-1.00723356516175	0.00113369206138145	0.00835406137560518
Q111_PeakRegion_236_chr3_89640029_89641347	-0.92867580614166	-0.206232063373252	5.63438966107969	0.0211423406015487	0.998176896711307	Q111_PeakRegion_236_chr3_89640029_89641347	-0.516958277055156	0.0885577454621179	0.148443797001618
