genes	logFC	logCPM	F	PValue	FDR
H3K27Ac_Striata_PeakRegion_7470_chr5_30734200_30740999	1.35931319844341	2.88224935503233	58.5001296243737	7.09265560201006e-06	0.195913333038722
H3K27Ac_Striata_PeakRegion_7903_chr5_77405400_77408199	-1.00610654467766	1.85692410440899	23.0333930522733	0.000471444093320258	0.802247501594295
H3K27Ac_Striata_PeakRegion_26828_chr19_44509400_44514799	-0.628357567846968	4.11464337326071	19.6057225617639	0.00088441939087916	0.802247501594295
H3K27Ac_Striata_PeakRegion_1987_chr2_19595600_19602199	0.666682745128755	3.10618672524555	18.2720260730442	0.00115250073683153	0.802247501594295
H3K27Ac_Striata_PeakRegion_12856_chr8_72317600_72326799	-0.67822044826598	3.70803768993914	17.9629247564664	0.00122763091497644	0.802247501594295
H3K27Ac_Striata_PeakRegion_7659_chr5_42777200_42778999	1.24160758411731	1.0162518330406	17.3763127354191	0.00138665212557484	0.802247501594295
H3K27Ac_Striata_PeakRegion_27409_chrX_95136800_95139799	1.14985214103941	0.862439820845776	17.2307532384355	0.0014297848033358	0.802247501594295
H3K27Ac_Striata_PeakRegion_9912_chr6_98429800_98436399	0.813218382019286	3.24863015710876	17.0920569208027	0.00147235810755419	0.802247501594295
H3K27Ac_Striata_PeakRegion_18910_chr12_44175600_44178199	0.947451734402012	1.37260770130938	16.5079212188004	0.0016688351833911	0.802247501594295
H3K27Ac_Striata_PeakRegion_11467_chr7_91971800_91975399	0.696741895093854	2.15084631640145	16.4199503634001	0.00170102545001237	0.802247501594295
H3K27Ac_Striata_PeakRegion_26725_chr19_37271000_37284199	0.641604860336196	4.26925519718857	16.24477120719	0.00176732773298194	0.802247501594295
H3K27Ac_Striata_PeakRegion_13340_chr8_114188000_114189599	1.01596098828443	1.29981587971756	16.2047657605288	0.00178289251795923	0.802247501594295
H3K27Ac_Striata_PeakRegion_4280_chr3_50925400_50935999	0.510573926062034	4.58906062255306	15.9718977242136	0.00187676101434799	0.802247501594295
H3K27Ac_Striata_PeakRegion_20007_chr13_31801200_31809399	-0.764346149075265	3.62252549557484	15.9048984311741	0.00190483683874146	0.802247501594295
H3K27Ac_Striata_PeakRegion_15099_chr9_111319000_111331399	0.5264865689045	3.93496383067933	15.7942413526865	0.00195229655942236	0.802247501594295
H3K27Ac_Striata_PeakRegion_23835_chr16_38741400_38744199	-0.706193858804368	2.87145769700832	15.6859088851885	0.00200011208511184	0.802247501594295
H3K27Ac_Striata_PeakRegion_20038_chr13_34650000_34653399	-0.704939646718823	2.67069951069672	15.6420864317484	0.00201984474198782	0.802247501594295
H3K27Ac_Striata_PeakRegion_13649_chr9_9237200_9239799	-0.795948519033252	1.98691758062151	15.619102396346	0.00203028564757514	0.802247501594295
H3K27Ac_Striata_PeakRegion_9911_chr6_98409600_98412799	1.11558401078983	1.54709548575227	15.5263212626492	0.00207308366120664	0.802247501594295
H3K27Ac_Striata_PeakRegion_23001_chr15_90187400_90190199	0.663443729989496	2.52558315350096	15.409477073322	0.00212850052509306	0.802247501594295
H3K27Ac_Striata_PeakRegion_20005_chr13_31556400_31560599	-0.878888683848974	3.2368836461072	15.3441307560395	0.00216025231272909	0.802247501594295
H3K27Ac_Striata_PeakRegion_18758_chr12_26863000_26866199	0.770858821759948	1.6384937874282	15.317336559248	0.00217343247316985	0.802247501594295
H3K27Ac_Striata_PeakRegion_7507_chr5_32750600_32754399	0.658189199873303	2.48945736751787	15.0686765611797	0.00230037167200215	0.802247501594295
H3K27Ac_Striata_PeakRegion_22155_chr14_122471600_122487799	-0.648411460581681	4.63676748510229	15.0294876344816	0.00232116374170632	0.802247501594295
