genes	logFC	logCPM	F	PValue	FDR	PeakRegion	Htt.LogFC	Htt.PValue	Htt.FDR
Shared_PeakRegion_1242_chr15_46884238_46885063	-2.85816965547291	-1.3368137921791	16.5167052642304	0.000299344300075986	0.981111556984954	Shared_PeakRegion_1242_chr15_46884238_46885063	-0.410383942877254	0.163985660837493	0.236952889111143
Q111_PeakRegion_100_chr1_184644126_184644714	-2.70279706393613	-1.5277295275401	9.22722728504866	0.00476445149128904	0.981111556984954	Q111_PeakRegion_100_chr1_184644126_184644714	0.47582283354018	0.244858189185098	0.325994265480526
WT_PeakRegion_526_chr2_23151437_23152257	-1.90706679509268	-1.33376556700064	8.53225190396998	0.00640416475932676	0.981111556984954	WT_PeakRegion_526_chr2_23151437_23152257	-0.603424540203972	0.0849981572077173	0.143938385771466
Q111_PeakRegion_243_chr3_98446803_98447570	-1.69014172035811	-0.743645401672397	8.38416983419345	0.00682685056877527	0.981111556984954	Q111_PeakRegion_243_chr3_98446803_98447570	0.15488007153547	0.707230033394449	0.762270477649851
WT_PeakRegion_4551_chr12_74449366_74450001	-1.65764082225953	-1.06583311432434	7.96252465075735	0.00820425088143593	0.981111556984954	WT_PeakRegion_4551_chr12_74449366_74450001	-1.2795198168836	0.0011409077281399	0.00837009903190384
WT_PeakRegion_5363_chr15_25483009_25483776	-1.6957111098434	-0.517922841252199	7.72612403757539	0.00910566237920843	0.981111556984954	WT_PeakRegion_5363_chr15_25483009_25483776	-0.361325740146017	0.369777142432148	0.454723037830852
WT_PeakRegion_6489_chrX_63228205_63229142	-1.69891649401691	-0.851548833802784	7.52156247467123	0.0099723891027873	0.981111556984954	WT_PeakRegion_6489_chrX_63228205_63229142	-0.942822626252514	0.0203592324276677	0.0514433307181167
Shared_PeakRegion_838_chr7_148994464_148995666	-1.84922695980759	-0.495458883345016	7.41208502103739	0.0104725879126224	0.981111556984954	Shared_PeakRegion_838_chr7_148994464_148995666	-0.499703008463934	0.118906343950779	0.184837828228664
Q111_PeakRegion_863_chr7_46503486_46504172	-1.58325520047095	-1.05198154851248	7.37784123637053	0.010634572737726	0.981111556984954	Q111_PeakRegion_863_chr7_46503486_46504172	0.12019088863512	0.686317499106262	0.744591069102246
Q111_PeakRegion_986_chr8_74327300_74327826	-1.73544067229352	-1.27197979727386	7.3423684911739	0.0108052361078388	0.981111556984954	Q111_PeakRegion_986_chr8_74327300_74327826	-0.561417938571036	0.0397891395381768	0.0826035044204154
