Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
H3K27Ac_PeakRegion_07309_chr5_30736400_30740999	1.33859105474069	2.56975181637847	59.4803417962001	6.87033084144507e-06	0.186014207532125	intron (ENSMUST00000088081, intron 1 of 12)	26799	ENSMUSG00000029168	Dpysl5	protein_coding	dihydropyrimidinase-like 5 [Source:MGI Symbol;Acc:MGI:1929772]
H3K27Ac_PeakRegion_07733_chr5_77406400_77408199	-1.04890690487703	1.66123212800481	22.5492250293115	0.000524953029159198	0.869367456221538	intron (ENSMUST00000163898, intron 1 of 5)	745	ENSMUSG00000036256	Igfbp7	protein_coding	insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]
H3K27Ac_PeakRegion_26411_chr19_44509400_44514799	-0.628340300593596	4.11463566925899	19.4981189664869	0.000921067059886636	0.869367456221538	exon (ENSMUST00000041163, exon 6 of 6)	8493	ENSMUSG00000051984	Sec31b	protein_coding	Sec31 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2685187]
H3K27Ac_PeakRegion_12636_chr8_72317600_72325999	-0.68868118315941	3.67300036763722	17.992817280461	0.00124245782457127	0.869367456221538	TTS (ENSMUST00000067912)	2767	ENSMUSG00000055148	Klf2	protein_coding	Kruppel-like factor 2 (lung) [Source:MGI Symbol;Acc:MGI:1342772]
H3K27Ac_PeakRegion_01948_chr2_19595600_19601599	0.672127789307014	3.05793239643618	17.8801635914706	0.00127142762864448	0.869367456221538	Intergenic	38386	ENSMUSG00000086621	Gm13348	antisense	predicted gene 13348 [Source:MGI Symbol;Acc:MGI:3649255]
H3K27Ac_PeakRegion_26310_chr19_37271800_37279199	0.67510997049987	3.82734046990542	17.7674589960468	0.00130120913219968	0.869367456221538	intron (ENSMUST00000154339, intron 12 of 14)	15378	ENSMUSG00000056999	Ide	protein_coding	insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]
H3K27Ac_PeakRegion_09723_chr6_98429800_98436399	0.813232055004228	3.24866698819614	17.0300742114968	0.00151764978493918	0.869367456221538	Intergenic	-90346	ENSMUSG00000090667	Gm765	protein_coding	predicted gene 765 [Source:MGI Symbol;Acc:MGI:2685611]
H3K27Ac_PeakRegion_09369_chr6_71464400_71465999	1.15951548542202	0.948204530868656	16.8766481475079	0.00156785946578895	0.869367456221538	Intergenic	-24563	ENSMUSG00000002222	Rmnd5a	protein_coding	required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]
H3K27Ac_PeakRegion_04186_chr3_50925400_50935999	0.51056740545206	4.5890637532295	15.9059548223548	0.00193499497475217	0.869367456221538	Intergenic	-9175	ENSMUSG00000102614	Gm37843	TEC	predicted gene, 37843 [Source:MGI Symbol;Acc:MGI:5611071]
H3K27Ac_PeakRegion_19704_chr13_31801200_31809399	-0.764350759917436	3.62250128212236	15.8435107535072	0.00196189673166177	0.869367456221538	Intergenic	-1391	ENSMUSG00000050295	Foxc1	protein_coding	forkhead box C1 [Source:MGI Symbol;Acc:MGI:1347466]
