Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
H3K4me3_PeakRegion_11126_chr11_77980200_77987399	0.355159495552329	7.47186760309274	28.548397354739	0.000559810112250963	0.671134792036717	intron (ENSMUST00000108360, intron 1 of 10)	998	ENSMUSG00000037791	Phf12	protein_coding	PHD finger protein 12 [Source:MGI Symbol;Acc:MGI:1924057]
H3K4me3_PeakRegion_01674_chr2_93185000_93191599	0.428140605468255	5.55438427905304	26.0377773700381	0.000761269481851276	0.671134792036717	promoter-TSS (ENSMUST00000127173)	630	ENSMUSG00000068735	Trp53i11	protein_coding	transformation related protein 53 inducible protein 11 [Source:MGI Symbol;Acc:MGI:2670995]
H3K4me3_PeakRegion_13398_chr14_32425200_32428399	-0.627408151980358	2.6489073613197	23.1576981189761	0.00111600165963512	0.671134792036717	intron (ENSMUST00000070125, intron 8 of 15)	38050	ENSMUSG00000100241	Slc18a3	protein_coding	solute carrier family 18 (vesicular monoamine), member 3 [Source:MGI Symbol;Acc:MGI:1101061]
H3K4me3_PeakRegion_04614_chr5_32711600_32714599	-0.50502655577192	6.03291224159097	22.6357000572303	0.00120074801110662	0.671134792036717	Intergenic	-11252	ENSMUSG00000082305	Gm2420	transcribed_unprocessed_pseudogene	predicted gene 2420 [Source:MGI Symbol;Acc:MGI:3780587]
H3K4me3_PeakRegion_11386_chr11_97656400_97672799	0.316713337352322	7.25243764850708	22.2590945759801	0.00126687020424513	0.671134792036717	promoter-TSS (ENSMUST00000134158)	-401	ENSMUSG00000038437	Mllt6	protein_coding	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6 [Source:MGI Symbol;Acc:MGI:1935145]
H3K4me3_PeakRegion_04751_chr5_53587400_53594599	0.337350371703919	7.10791626032279	21.9154498991622	0.00133117699620431	0.671134792036717	intron (ENSMUST00000113865, intron 1 of 10)	426	ENSMUSG00000039191	Rbpj	protein_coding	recombination signal binding protein for immunoglobulin kappa J region [Source:MGI Symbol;Acc:MGI:96522]
H3K4me3_PeakRegion_09422_chr9_108823200_108833999	0.398512700940686	6.41397560421767	21.9120912750873	0.00133182517611718	0.671134792036717	exon (ENSMUST00000024238, exon 1 of 35)	2280	ENSMUSG00000023473	Celsr3	protein_coding	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:MGI Symbol;Acc:MGI:1858236]
H3K4me3_PeakRegion_12477_chr12_112800000_112812999	0.34423589756132	6.36571216086738	21.6523646667631	0.00138315413469443	0.671134792036717	Intergenic	-2475	ENSMUSG00000037594	Clba1	protein_coding	clathrin binding box of aftiphilin containing 1 [Source:MGI Symbol;Acc:MGI:2443738]
H3K4me3_PeakRegion_15766_chr17_62877600_62884599	0.308742727306433	7.12384345322786	21.5110327245745	0.00141211366589114	0.671134792036717	promoter-TSS (ENSMUST00000078839)	44	ENSMUSG00000048915	Efna5	protein_coding	ephrin A5 [Source:MGI Symbol;Acc:MGI:107444]
H3K4me3_PeakRegion_15510_chr17_33924000_33959799	0.267558283400774	8.83658737883886	21.3626410786159	0.00144333131313816	0.671134792036717	TTS (ENSMUST00000173857)	495	ENSMUSG00000024312	Wdr46	protein_coding	WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871]
H3K4me3_PeakRegion_16585_chr19_5683800_5696799	0.302252803717725	8.11474689439971	20.8258229309285	0.00156364025379955	0.671134792036717	exon (ENSMUST00000004156, exon 3 of 12)	1169	ENSMUSG00000004054	Map3k11	protein_coding	mitogen-activated protein kinase kinase kinase 11 [Source:MGI Symbol;Acc:MGI:1346880]
H3K4me3_PeakRegion_06864_chr7_45046000_45055199	0.313112896141917	6.98766296786642	20.6119490079062	0.00161501228035981	0.671134792036717	intron (ENSMUST00000057293, intron 2 of 13)	2281	ENSMUSG00000046574	Prr12	protein_coding	proline rich 12 [Source:MGI Symbol;Acc:MGI:2679002]
