Peak.ID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Entrez.ID	Nearest.Unigene	Nearest.Refseq	Nearest.Ensembl	Gene.Name	Gene.Alias	Gene.Description	Gene.Type
EZH2_PeakRegion_11531	chr18	38348601	38351799	+	0	NA	Intergenic	Intergenic	-6378	ENSMUST00000157759	ENSMUSG00000088384	ENSMUST00000157759	NA	ENSMUSG00000088384	Gm24690	NA	predicted gene, 24690 [Source:MGI Symbol;Acc:MGI:5454467]	rRNA
EZH2_PeakRegion_07228	chr10	89872201	89874599	+	0	NA	promoter-TSS (ENSMUST00000099368)	-promoter-TSS (ENSMUST00000099368)	-109	ENSMUST00000183156	ENSMUSG00000058589	ENSMUST00000182053	NA	ENSMUSG00000058589	Anks1b	NA	ankyrin repeat and sterile alpha motif domain containing 1B [Source:MGI Symbol;Acc:MGI:1924781]	protein_coding
EZH2_PeakRegion_06774	chr9	120538801	120540199	+	0	NA	promoter-TSS (ENSMUST00000047687)	-promoter-TSS (ENSMUST00000047687)	-318	ENSMUST00000047687	ENSMUSG00000041608	ENSMUST00000143579	NA	ENSMUSG00000041608	Entpd3	NA	ectonucleoside triphosphate diphosphohydrolase 3 [Source:MGI Symbol;Acc:MGI:1321386]	protein_coding
EZH2_PeakRegion_09575	chr14	34889601	34898799	+	0	NA	promoter-TSS (ENSMUST00000083547)	-promoter-TSS (ENSMUST00000083547)	-409	ENSMUST00000083547	ENSMUSG00000065481	ENSMUST00000083547	NA	ENSMUSG00000065481	Mir346	NA	microRNA 346 [Source:MGI Symbol;Acc:MGI:3619362]	miRNA
EZH2_PeakRegion_07550	chr11	35119401	35125599	+	0	NA	intron (ENSMUST00000069837, intron 1 of 35)	-intron (ENSMUST00000069837, intron 1 of 35)	1276	ENSMUST00000069837	ENSMUSG00000056427	ENSMUST00000156571	NA	ENSMUSG00000056427	Slit3	NA	slit guidance ligand 3 [Source:MGI Symbol;Acc:MGI:1315202]	protein_coding
EZH2_PeakRegion_11276	chr17	73804401	73807399	+	0	NA	intron (ENSMUST00000024860, intron 1 of 5)	-intron (ENSMUST00000024860, intron 1 of 5)	1059	ENSMUST00000024860	ENSMUSG00000024065	ENSMUST00000024860	NA	ENSMUSG00000024065	Ehd3	NA	EH-domain containing 3 [Source:MGI Symbol;Acc:MGI:1928900]	protein_coding
EZH2_PeakRegion_08102	chr11	98317401	98331999	+	0	NA	TTS (ENSMUST00000041685)	-TTS (ENSMUST00000041685)	4948	ENSMUST00000041685	ENSMUSG00000038255	ENSMUST00000041685	NA	ENSMUSG00000038255	Neurod2	NA	neurogenic differentiation 2 [Source:MGI Symbol;Acc:MGI:107755]	protein_coding
EZH2_PeakRegion_03644	chr5	125049601	125064599	+	0	NA	intron (ENSMUST00000111402, intron 17 of 47)	-intron (ENSMUST00000055256, intron 16 of 45)	-1112	ENSMUST00000149968	ENSMUSG00000029478	ENSMUST00000138890	NA	ENSMUSG00000029478	Ncor2	NA	nuclear receptor co-repressor 2 [Source:MGI Symbol;Acc:MGI:1337080]	protein_coding
EZH2_PeakRegion_00269	chr1	82285601	82293399	+	0	NA	exon (ENSMUST00000069799, exon 1 of 2)	-exon (ENSMUST00000069799, exon 1 of 2)	1916	ENSMUST00000069799	ENSMUSG00000055980	ENSMUST00000069799	NA	ENSMUSG00000055980	Irs1	NA	insulin receptor substrate 1 [Source:MGI Symbol;Acc:MGI:99454]	protein_coding
EZH2_PeakRegion_00160	chr1	57969201	57970599	+	0	NA	promoter-TSS (ENSMUST00000161608)	-promoter-TSS (ENSMUST00000161608)	148	ENSMUST00000159826	ENSMUSG00000054770	ENSMUST00000068000	NA	ENSMUSG00000054770	Kctd18	NA	potassium channel tetramerisation domain containing 18 [Source:MGI Symbol;Acc:MGI:3603813]	protein_coding
