Peak.ID	logFC	logCPM	F	PValue	FDR	Annotation	Distance.to.TSS	Nearest.Ensembl	Gene.Name	Gene.Type	Gene.Description
Htt_PeakRegion_20533_chr15_96698830_96699238	-1.96552109804404	0.375663068585378	26.9546756569349	2.08370520315712e-07	0.00963317752471569	intron (ENSMUST00000023099, intron 1 of 15)	664	ENSMUSG00000022462	Slc38a2	protein_coding	solute carrier family 38, member 2 [Source:MGI Symbol;Acc:MGI:1915010]
Htt_PeakRegion_57973_chrY_4161555_4161570	-5.35755200461808	-0.724687456747092	21.9069501552651	2.8627646313086e-06	0.0653501270826558	Intergenic	3142	ENSMUSG00000101108	Gm29038	unprocessed_pseudogene	predicted gene 29038 [Source:MGI Symbol;Acc:MGI:5579744]
Htt_PeakRegion_25335_chr17_34118976_34119729	-2.39552412567908	-0.755581464692875	21.1533713073212	4.24066927490141e-06	0.0653501270826558	promoter-TSS (ENSMUST00000095347)	-864	ENSMUSG00000024335	Brd2	protein_coding	bromodomain containing 2 [Source:MGI Symbol;Acc:MGI:99495]
Htt_PeakRegion_28736_chr19_5844768_5846340	-1.40036253659331	2.02838761422211	19.8001226800595	8.59971956028168e-06	0.0993934087478456	promoter-TSS (ENSMUST00000173672)	-69	ENSMUSG00000043488	Frmd8os	antisense	FERM domain containing 8, opposite strand [Source:MGI Symbol;Acc:MGI:3704490]
Htt_PeakRegion_46709_chr6_124920143_124920626	-1.53888933197325	0.495957302303088	18.2084549162846	1.98037243043517e-05	0.183109195662896	intron (ENSMUST00000069553, intron 1 of 1)	-2439	ENSMUSG00000030122	Ptms	protein_coding	parathymosin [Source:MGI Symbol;Acc:MGI:1916452]
Htt_PeakRegion_14142_chr12_73042426_73043334	1.50901364748786	-0.135655291716888	17.2759043344665	3.23318274848772e-05	0.215983672395181	promoter-TSS (ENSMUST00000176310)	-65	ENSMUSG00000051367	Six1	protein_coding	sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
Htt_PeakRegion_47073_chr7_4134072_4137222	-1.29994676665719	1.75132069478395	17.1969910507393	3.37029693814516e-05	0.215983672395181	TTS (ENSMUST00000032594)	1279	ENSMUSG00000085886	D030047H15Rik	antisense	RIKEN cDNA D030047H15 gene [Source:MGI Symbol;Acc:MGI:3698136]
Htt_PeakRegion_38348_chr4_64497992_64498040	1.17294980869728	2.14002332336913	17.0005913798799	3.73746918552799e-05	0.215983672395181	Intergenic	53286	ENSMUSG00000077214	Gm23950	snoRNA	predicted gene, 23950 [Source:MGI Symbol;Acc:MGI:5453727]
Htt_PeakRegion_34328_chr2_156175986_156176737	1.80302466855887	-0.806430606188627	15.9520913903592	6.49760002544206e-05	0.333767274195791	TTS (ENSMUST00000132929)	1021	ENSMUSG00000027620	Rbm39	protein_coding	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
Htt_PeakRegion_52129_chr8_70777354_70778557	-1.43257678029047	0.278365867230462	15.3162197673316	9.09454036047803e-05	0.397798460434395	TTS (ENSMUST00000166004)	1141	ENSMUSG00000100691	2010320M18Rik	lincRNA	RIKEN cDNA 2010320M18 gene [Source:MGI Symbol;Acc:MGI:1919343]
Htt_PeakRegion_53419_chr8_123230940_123233145	-1.28166422467364	0.986994097815915	15.2407925893545	9.4650409136258e-05	0.397798460434395	TTS (ENSMUST00000098327)	-3048	ENSMUSG00000097637	4933417D19Rik	antisense	RIKEN cDNA 4933417D19 gene [Source:MGI Symbol;Acc:MGI:1918436]
Htt_PeakRegion_48383_chr7_45707195_45711762	-1.16297339603649	2.28900189780101	14.2002382367959	0.00016437009390054	0.602687190662968	TTS (ENSMUST00000072836)	1590	ENSMUSG00000059824	Dbp	protein_coding	D site albumin promoter binding protein [Source:MGI Symbol;Acc:MGI:94866]
Htt_PeakRegion_01092_chr1_87473199_87475622	-1.2067183156072	1.23187328198801	14.1334073497434	0.000170313401128818	0.602687190662968	intron (ENSMUST00000191095, intron 1 of 2)	1872	ENSMUSG00000026258	Snorc	protein_coding	secondary ossification center associated regulator of chondrocyte maturation [Source:MGI Symbol;Acc:MGI:1920484]
Htt_PeakRegion_02347_chr1_178319022_178319333	-2.55614880321642	-1.43740550466662	13.834368280294	0.000199674276012205	0.602687190662968	promoter-TSS (ENSMUST00000027781)	48	ENSMUSG00000026500	Cox20	protein_coding	cytochrome c oxidase assembly protein 20 [Source:MGI Symbol;Acc:MGI:1913609]
Htt_PeakRegion_08378_chr11_70669165_70669809	-1.81927261751832	-0.749349510981361	13.7654011415238	0.000207139977754306	0.602687190662968	promoter-TSS (ENSMUST00000018431)	-71	ENSMUSG00000018287	Spag7	protein_coding	sperm associated antigen 7 [Source:MGI Symbol;Acc:MGI:107380]
Htt_PeakRegion_29596_chr19_37270332_37270723	1.79046314265883	-1.0681716950009	13.7523609993949	0.000208582878384796	0.602687190662968	TTS (ENSMUST00000154339)	20350	ENSMUSG00000056999	Ide	protein_coding	insulin degrading enzyme [Source:MGI Symbol;Acc:MGI:96412]
Htt_PeakRegion_45188_chr6_49220954_49221593	1.48417466880358	-0.579424509539049	13.5723802254529	0.000229564284056352	0.624293318600543	Intergenic	-6320	ENSMUSG00000029814	Igf2bp3	protein_coding	insulin-like growth factor 2 mRNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1890359]
Htt_PeakRegion_25535_chr17_35837500_35838333	-1.51484331514698	-0.289917892344064	13.3066402372927	0.000264496875081015	0.66304354500063	promoter-TSS (ENSMUST00000173253)	291	ENSMUSG00000001525	Tubb5	protein_coding	tubulin, beta 5 class I [Source:MGI Symbol;Acc:MGI:107812]
