genes	logFC	logCPM	F	PValue	FDR
H3K27me3_Striata_PeakRegion_14488_chr9_110281200_110281599	-0.958220483587294	3.83958872997952	28.9259022895399	7.53635648939859e-08	0.00147433381726318
H3K27me3_Striata_PeakRegion_18903_chr13_28950600_28953599	-0.927814011979296	2.71819212448994	28.1188237607364	1.14324892777852e-07	0.00147433381726318
H3K27me3_Striata_PeakRegion_17975_chr12_27341200_27343799	-0.982292909624773	1.96636794504398	23.4766769221329	1.26620404665797e-06	0.0108859782571341
H3K27me3_Striata_PeakRegion_17898_chr12_17639600_17644799	-0.855156885878648	2.30344423792222	21.2057656704187	4.13013095300384e-06	0.0258411457772962
H3K27me3_Striata_PeakRegion_20158_chr14_3208000_3208999	-0.885687660997809	2.12396124855835	20.8358456349102	5.00952732965575e-06	0.0258411457772962
H3K27me3_Striata_PeakRegion_6488_chr5_23826400_23832799	-0.775454496063089	2.88770215904003	20.1573990886176	7.14009166796395e-06	0.027320327247154
H3K27me3_Striata_PeakRegion_6487_chr5_23710400_23716999	-0.784565786336143	3.7509830852861	19.9276885672307	8.05121065706367e-06	0.027320327247154
H3K27me3_Striata_PeakRegion_2437_chr2_92600000_92602999	-0.905964532039402	1.93949042856056	19.8298179745184	8.47404691288897e-06	0.027320327247154
H3K27me3_Striata_PeakRegion_20159_chr14_4110400_4110999	-0.772884337767482	2.67015447885584	19.601041944128	9.55149216348044e-06	0.0273724539867208
H3K27me3_Striata_PeakRegion_9690_chr7_18801000_18804799	-0.850562170438326	2.12543453218292	19.336485533704	1.09701548512369e-05	0.0282942233923102
H3K27me3_Striata_PeakRegion_17499_chr11_107791800_107796799	-0.754856080087153	2.66703138593872	18.7202853706511	1.51505728069575e-05	0.0355239612579135
H3K27me3_Striata_PeakRegion_14392_chr9_104578800_104583999	0.743773936197562	3.69072387200445	18.1998101753717	1.99075574837823e-05	0.0427879768851427
H3K27me3_Striata_PeakRegion_13208_chr8_126138400_126140199	-0.946942429530639	1.54920178931466	17.7854137963136	2.47482157594956e-05	0.0469254141221907
H3K27me3_Striata_PeakRegion_26042_chrX_105762600_105765599	-0.840166135117085	1.98237545455332	17.5211614143486	2.84362740745684e-05	0.0469254141221907
